	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_24h	chicken_d_lps_24h
ENSGALG00010014241	50	216	117	108
ENSGALG00010029524	2541	1723	1590	1169
ENSGALG00010021631	33	42	23	16
ENSGALG00010012009	0	7	1	5
ENSGALG00010005393	64	26	180	61
ENSGALG00010000313	266	35	121	52
ENSGALG00010000249	832	476	942	757
ENSGALG00010030108	2725	2428	1949	1422
ENSGALG00010030107	725	489	622	507
ENSGALG00010030106	3140	2106	3469	3372
ENSGALG00010030103	0	6	3	0
ENSGALG00010030014	169	140	258	387
ENSGALG00010029966	1440	921	1367	897
ENSGALG00010029962	30	0	438	92
ENSGALG00010029947	65	55	59	37
ENSGALG00010029945	130	20	90	71
ENSGALG00010029941	417	280	372	283
ENSGALG00010029938	3	4	8	7
ENSGALG00010029937	4902	6133	2502	1149
ENSGALG00010029936	12	10	8	4
ENSGALG00010029935	1368	851	762	691
ENSGALG00010029932	78	22	57	7
ENSGALG00010029930	1	2	3	0
ENSGALG00010029929	1772	1248	1619	1521
ENSGALG00010029927	10	3	4	5
ENSGALG00010029925	1011	756	831	527
ENSGALG00010029895	4297	2564	3782	2295
ENSGALG00010029864	1474	985	1572	170
ENSGALG00010029859	1695	1067	1316	916
ENSGALG00010029835	428	416	314	273
ENSGALG00010029782	855	734	423	262
ENSGALG00010029776	2087	1586	1882	1307
ENSGALG00010029774	18	12	15	5
ENSGALG00010029773	790	523	536	325
ENSGALG00010029772	1556	999	1229	856
ENSGALG00010029770	590	341	678	338
ENSGALG00010029766	292	228	390	238
ENSGALG00010029765	19	16	10	3
ENSGALG00010029761	409	280	391	350
ENSGALG00010029755	2425	1151	2289	2118
ENSGALG00010029749	323	169	517	358
ENSGALG00010029745	342	238	231	219
ENSGALG00010029739	1245	878	390	162
ENSGALG00010029737	46	20	6	11
ENSGALG00010029733	3	3	12	4
ENSGALG00010029727	75	56	84	66
ENSGALG00010029726	5691	3608	3683	4576
ENSGALG00010029725	464	257	251	265
ENSGALG00010029723	86	20	332	150
ENSGALG00010029721	1191	996	1143	945
ENSGALG00010029711	205	118	117	162
ENSGALG00010029710	1986	1250	2141	1705
ENSGALG00010029709	1951	1880	456	321
ENSGALG00010029708	1610	1003	1266	1388
ENSGALG00010029706	4509	3858	1579	910
ENSGALG00010029701	1271	1011	1150	953
ENSGALG00010029700	3624	2668	2051	1583
ENSGALG00010029699	279	150	209	78
ENSGALG00010029698	1722	1318	1570	1205
ENSGALG00010029697	816	464	958	553
ENSGALG00010029693	3119	2089	5193	2631
ENSGALG00010029691	2736	1926	1507	954
ENSGALG00010029690	627	578	302	202
ENSGALG00010029689	2362	2940	1308	842
ENSGALG00010029688	663	302	337	356
ENSGALG00010029683	246	174	208	247
ENSGALG00010029677	3684	2841	2568	1841
ENSGALG00010029675	95	64	40	39
ENSGALG00010029672	52	30	42	34
ENSGALG00010029669	445	361	358	331
ENSGALG00010029668	795	493	826	565
ENSGALG00010029664	508	283	631	299
ENSGALG00010029661	209	74	483	285
ENSGALG00010029658	1955	1324	1540	1119
ENSGALG00010029657	4720	2413	6537	5282
ENSGALG00010029656	505	303	483	396
ENSGALG00010029655	1580	936	2110	1542
ENSGALG00010029653	3306	2395	4021	2825
ENSGALG00010029650	326	189	556	606
ENSGALG00010029647	111	49	115	48
ENSGALG00010029641	1902	877	13627	2296
ENSGALG00010029639	88	124	789	2744
ENSGALG00010029636	954	770	655	519
ENSGALG00010029634	30692	21178	21673	15592
ENSGALG00010029633	608	457	204	130
ENSGALG00010029630	497	273	455	440
ENSGALG00010029627	184	148	165	151
ENSGALG00010029626	8732	6055	8840	6861
ENSGALG00010029625	3048	1955	1737	554
ENSGALG00010029631	929	715	707	595
ENSGALG00010029624	263	279	70	37
ENSGALG00010029622	63	15	50	4
ENSGALG00010029616	716	528	828	631
ENSGALG00010029614	5154	3473	6650	4429
ENSGALG00010029609	20	17	33	25
ENSGALG00010029605	815	316	717	457
ENSGALG00010029604	611	497	513	438
ENSGALG00010029600	911	536	847	616
ENSGALG00010029596	252	141	336	300
ENSGALG00010029595	1318	794	1424	1188
ENSGALG00010029592	1007	1050	610	395
ENSGALG00010029588	142	93	153	219
ENSGALG00010029586	629	355	496	372
ENSGALG00010029585	260	121	1969	787
ENSGALG00010029584	1974	903	1174	1239
ENSGALG00010029581	687	445	385	312
ENSGALG00010029580	720	838	480	134
ENSGALG00010029577	63	130	43	0
ENSGALG00010029576	25603	33643	8356	4916
ENSGALG00010029573	385	182	427	330
ENSGALG00010029572	130	94	97	83
ENSGALG00010029570	574	412	449	281
ENSGALG00010029567	729	374	853	579
ENSGALG00010029566	325	134	468	363
ENSGALG00010029562	929	313	7611	5180
ENSGALG00010029659	878	330	1149	586
ENSGALG00010029561	1389	852	1400	1226
ENSGALG00010029556	3	0	0	6
ENSGALG00010029551	17	19	1045	223
ENSGALG00010029548	287	154	225	167
ENSGALG00010029546	6195	4347	4003	2738
ENSGALG00010029541	637	331	429	247
ENSGALG00010029538	12	10	25	9
ENSGALG00010029534	1973	1488	1029	791
ENSGALG00010029533	180	80	549	278
ENSGALG00010029532	1119	447	1172	526
ENSGALG00010029531	615	404	580	375
ENSGALG00010029529	688	526	408	370
ENSGALG00010029526	1221	1052	1070	981
ENSGALG00010029519	133	77	109	66
ENSGALG00010029516	7	10	2	5
ENSGALG00010029515	2158	1600	1807	1427
ENSGALG00010029514	438	314	457	371
ENSGALG00010029513	360	195	398	282
ENSGALG00010029512	48	83	18	7
ENSGALG00010029510	8	15	8	9
ENSGALG00010029509	140	70	88	73
ENSGALG00010029508	174	99	211	70
ENSGALG00010029507	52	19	41	20
ENSGALG00010029506	73	54	65	41
ENSGALG00010029501	278	222	313	214
ENSGALG00010029495	3460	3690	3956	3374
ENSGALG00010029491	142	157	148	172
ENSGALG00010029487	277	169	608	209
ENSGALG00010029481	359	439	297	331
ENSGALG00010029477	1263	886	788	527
ENSGALG00010029476	4	7	0	0
ENSGALG00010029473	821	671	647	562
ENSGALG00010029472	9	3	31	0
ENSGALG00010029456	275	134	326	140
ENSGALG00010029454	90	20	171	178
ENSGALG00010029451	512	520	1025	937
ENSGALG00010029449	1018	757	847	643
ENSGALG00010029447	8	5	2	8
ENSGALG00010029446	646	531	652	526
ENSGALG00010029436	2082	1496	2633	1123
ENSGALG00010029427	46	41	28	15
ENSGALG00010029424	76	36	30	6
ENSGALG00010029423	777	584	648	435
ENSGALG00010029413	327	200	217	201
ENSGALG00010029411	1	3	13	0
ENSGALG00010029406	267	149	303	259
ENSGALG00010029404	93	58	67	51
ENSGALG00010029402	2048	1678	1391	1118
ENSGALG00010029401	25	44	21	10
ENSGALG00010029398	2107	1515	1678	1411
ENSGALG00010029397	185	134	174	163
ENSGALG00010029396	1213	1067	1262	822
ENSGALG00010029395	306	182	294	245
ENSGALG00010029391	254	167	208	161
ENSGALG00010029390	1077	687	1599	1319
ENSGALG00010029384	1975	1352	1416	1598
ENSGALG00010029383	4831	2642	2949	2014
ENSGALG00010029382	49	25	19	19
ENSGALG00010029378	5	5	1	9
ENSGALG00010029375	1148	810	1102	843
ENSGALG00010029373	26	6	14	15
ENSGALG00010029372	51	46	59	38
ENSGALG00010029367	224	117	184	60
ENSGALG00010029362	208	162	194	172
ENSGALG00010029359	5	6	3	1
ENSGALG00010029357	15072	11417	18334	13684
ENSGALG00010029354	100	92	121	56
ENSGALG00010029350	1286	828	1339	1458
