	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_8h	chicken_d_pic_8h
ENSGALG00010014241	50	216	46	59
ENSGALG00010029524	2541	1723	2309	2991
ENSGALG00010024181	1	1	25	14
ENSGALG00010021631	33	42	22	15
ENSGALG00010005393	64	26	49	26
ENSGALG00010000313	266	35	95	83
ENSGALG00010000249	832	476	572	558
ENSGALG00010030108	2725	2428	1363	1834
ENSGALG00010030107	725	489	307	233
ENSGALG00010030106	3140	2106	448	94
ENSGALG00010030103	0	6	1	2
ENSGALG00010030014	169	140	89	103
ENSGALG00010029966	1440	921	1037	826
ENSGALG00010029962	30	0	63	403
ENSGALG00010029947	65	55	114	49
ENSGALG00010029945	130	20	16968	12283
ENSGALG00010029941	417	280	241	216
ENSGALG00010029938	3	4	5	8
ENSGALG00010029937	4902	6133	3619	3456
ENSGALG00010029936	12	10	13	25
ENSGALG00010029935	1368	851	680	764
ENSGALG00010029932	78	22	51	41
ENSGALG00010029930	1	2	0	2
ENSGALG00010029929	1772	1248	513	474
ENSGALG00010029927	10	3	20	34
ENSGALG00010029925	1011	756	694	664
ENSGALG00010029895	4297	2564	1634	1396
ENSGALG00010029864	1474	985	467	191
ENSGALG00010029859	1695	1067	1524	1468
ENSGALG00010029835	428	416	301	424
ENSGALG00010029782	855	734	518	379
ENSGALG00010029776	2087	1586	1261	1079
ENSGALG00010029774	18	12	6	2
ENSGALG00010029773	790	523	456	355
ENSGALG00010029772	1556	999	810	843
ENSGALG00010029770	590	341	60	28
ENSGALG00010029766	292	228	237	215
ENSGALG00010029765	19	16	17	10
ENSGALG00010029761	409	280	264	270
ENSGALG00010029755	2425	1151	583	577
ENSGALG00010029749	323	169	216	124
ENSGALG00010029745	342	238	306	322
ENSGALG00010029739	1245	878	1419	1441
ENSGALG00010029737	46	20	54	45
ENSGALG00010029733	3	3	4	6
ENSGALG00010029727	75	56	102	79
ENSGALG00010029726	5691	3608	5059	3904
ENSGALG00010029725	464	257	316	441
ENSGALG00010029724	3	0	3	0
ENSGALG00010029723	86	20	296	118
ENSGALG00010029721	1191	996	684	672
ENSGALG00010029711	205	118	72	100
ENSGALG00010029710	1986	1250	881	547
ENSGALG00010029709	1951	1880	209	286
ENSGALG00010029708	1610	1003	761	718
ENSGALG00010029706	4509	3858	1938	1866
ENSGALG00010029701	1271	1011	797	756
ENSGALG00010029700	3624	2668	2223	2149
ENSGALG00010029699	279	150	160	128
ENSGALG00010029698	1722	1318	893	803
ENSGALG00010029697	816	464	850	728
ENSGALG00010029693	3119	2089	1403	992
ENSGALG00010029691	2736	1926	1143	1168
ENSGALG00010029690	627	578	111	130
ENSGALG00010029689	2362	2940	523	789
ENSGALG00010029688	663	302	48	45
ENSGALG00010029683	246	174	155	111
ENSGALG00010029677	3684	2841	3009	2797
ENSGALG00010029675	95	64	43	37
ENSGALG00010029672	52	30	26	10
ENSGALG00010029669	445	361	384	407
ENSGALG00010029668	795	493	344	177
ENSGALG00010029664	508	283	114	63
ENSGALG00010029661	209	74	45	39
ENSGALG00010029658	1955	1324	825	775
ENSGALG00010029657	4720	2413	1495	1394
ENSGALG00010029656	505	303	222	165
ENSGALG00010029655	1580	936	503	499
ENSGALG00010029653	3306	2395	1654	1493
ENSGALG00010029651	0	0	8	6
ENSGALG00010029650	326	189	145	144
ENSGALG00010029647	111	49	70	75
ENSGALG00010029641	1902	877	2810	1178
ENSGALG00010029639	88	124	228	920
ENSGALG00010029636	954	770	803	1046
ENSGALG00010029634	30692	21178	24486	24340
ENSGALG00010029633	608	457	485	391
ENSGALG00010029630	497	273	378	336
ENSGALG00010029627	184	148	115	113
ENSGALG00010029626	8732	6055	3866	3286
ENSGALG00010029625	3048	1955	2229	1655
ENSGALG00010029631	929	715	555	573
ENSGALG00010029624	263	279	97	107
ENSGALG00010029622	63	15	25	15
ENSGALG00010029616	716	528	407	404
ENSGALG00010029614	5154	3473	1522	904
ENSGALG00010029609	20	17	22	22
ENSGALG00010029605	815	316	578	354
ENSGALG00010029604	611	497	735	679
ENSGALG00010029600	911	536	584	568
ENSGALG00010029596	252	141	231	209
ENSGALG00010029595	1318	794	436	389
ENSGALG00010029592	1007	1050	1097	1068
ENSGALG00010029588	142	93	59	57
ENSGALG00010029586	629	355	834	783
ENSGALG00010029585	260	121	295	78
ENSGALG00010029584	1974	903	12457	14178
ENSGALG00010029581	687	445	559	499
ENSGALG00010029580	720	838	177	71
ENSGALG00010029577	63	130	10	1
ENSGALG00010029576	25603	33643	9407	11675
ENSGALG00010029573	385	182	242	181
ENSGALG00010029572	130	94	104	98
ENSGALG00010029570	574	412	415	335
ENSGALG00010029567	729	374	469	310
ENSGALG00010029566	325	134	192	133
ENSGALG00010029562	929	313	21071	12075
ENSGALG00010029659	878	330	329	269
ENSGALG00010029561	1389	852	635	517
ENSGALG00010029556	3	0	2	3
ENSGALG00010029551	17	19	1071	281
ENSGALG00010029548	287	154	167	111
ENSGALG00010029546	6195	4347	6498	5286
ENSGALG00010029541	637	331	168	105
ENSGALG00010029538	12	10	8	24
ENSGALG00010029534	1973	1488	1105	1284
ENSGALG00010029533	180	80	28	8
ENSGALG00010029532	1119	447	3321	2421
ENSGALG00010029531	615	404	182	145
ENSGALG00010029529	688	526	443	535
ENSGALG00010029526	1221	1052	662	735
ENSGALG00010029519	133	77	42	40
ENSGALG00010029516	7	10	5	6
ENSGALG00010029515	2158	1600	1141	1176
ENSGALG00010029514	438	314	242	195
ENSGALG00010029513	360	195	178	135
ENSGALG00010029512	48	83	0	4
ENSGALG00010029510	8	15	12	11
ENSGALG00010029509	140	70	54	62
ENSGALG00010029508	174	99	106	91
ENSGALG00010029507	52	19	21	24
ENSGALG00010029506	73	54	71	47
ENSGALG00010029501	278	222	126	113
ENSGALG00010029495	3460	3690	2196	1796
ENSGALG00010029491	142	157	90	82
ENSGALG00010029489	0	0	2	6
ENSGALG00010029487	277	169	793	476
ENSGALG00010029481	359	439	117	229
ENSGALG00010029477	1263	886	919	877
ENSGALG00010029476	4	7	0	4
ENSGALG00010029473	821	671	585	608
ENSGALG00010029472	9	3	3	4
ENSGALG00010029456	275	134	307	176
ENSGALG00010029454	90	20	112	42
ENSGALG00010029451	512	520	222	142
ENSGALG00010029449	1018	757	1629	1398
ENSGALG00010029447	8	5	47	31
ENSGALG00010029446	646	531	694	791
ENSGALG00010029436	2082	1496	1286	1182
ENSGALG00010029427	46	41	14	11
ENSGALG00010029424	76	36	34	5
ENSGALG00010029423	777	584	388	320
ENSGALG00010029413	327	200	140	145
ENSGALG00010029411	1	3	1	2
ENSGALG00010029406	267	149	145	127
ENSGALG00010029404	93	58	35	37
ENSGALG00010029402	2048	1678	1405	1427
ENSGALG00010029401	25	44	36	49
ENSGALG00010029400	0	3	0	2
ENSGALG00010029398	2107	1515	752	564
ENSGALG00010029397	185	134	123	114
ENSGALG00010029396	1213	1067	802	752
ENSGALG00010029395	306	182	177	173
ENSGALG00010029391	254	167	179	170
ENSGALG00010029390	1077	687	706	560
ENSGALG00010029388	2	1	8	10
ENSGALG00010029384	1975	1352	639	555
ENSGALG00010029383	4831	2642	4932	4916
ENSGALG00010029382	49	25	23	19
ENSGALG00010029378	5	5	6	21
ENSGALG00010029375	1148	810	751	1094
ENSGALG00010029373	26	6	10	12
ENSGALG00010029372	51	46	58	69
ENSGALG00010029367	224	117	480	444
ENSGALG00010029362	208	162	149	96
ENSGALG00010029359	5	6	4	10
ENSGALG00010029357	15072	11417	4826	3290
ENSGALG00010029354	100	92	31	39
ENSGALG00010029350	1286	828	432	466
ENSGALG00010029348	6799	5646	2989	2671
ENSGALG00010029347	9160	6748	4518	4213
ENSGALG00010029346	86	46	96	74
ENSGALG00010029345	306	229	421	377
ENSGALG00010029342	709	562	386	496
ENSGALG00010029341	8129	6027	4359	5443
ENSGALG00010029340	2121	1661	1573	1277
ENSGALG00010029338	1094	531	582	561
ENSGALG00010029336	3637	1955	1572	1147
ENSGALG00010029331	76	11	129	34
ENSGALG00010029327	1762	1053	1308	1083
ENSGALG00010029325	96	52	14	5
ENSGALG00010029324	398	245	155	189
ENSGALG00010029323	971	471	656	657
ENSGALG00010029322	4009	2988	2613	2741
ENSGALG00010029321	17	8	14	6
ENSGALG00010029315	1617	1311	869	948
ENSGALG00010029311	66	63	46	32
ENSGALG00010029597	1189	799	457	506
ENSGALG00010029310	712	562	359	375
ENSGALG00010029344	5321	3957	3079	2598
ENSGALG00010029309	57	28	29	44
ENSGALG00010029307	1893	987	1001	677
ENSGALG00010029305	154	67	61	96
ENSGALG00010029304	801	729	416	363
ENSGALG00010029303	875	536	1194	1244
ENSGALG00010029301	9721	7745	76029	94108
ENSGALG00010029300	3	13	10	9
ENSGALG00010029298	351	277	1063	1479
ENSGALG00010029295	274	87	2161	1514
ENSGALG00010029294	709	460	1226	917
ENSGALG00010029292	33	12	21	6
ENSGALG00010029290	1684	1128	369	405
ENSGALG00010029284	9467	7400	6684	6982
ENSGALG00010029281	942	522	607	589
ENSGALG00010029280	1295	882	527	498
ENSGALG00010029275	1737	1540	798	989
ENSGALG00010029274	1712	530	1797	1148
ENSGALG00010029271	7	1	3	3
ENSGALG00010029270	4012	2865	1065	1623
ENSGALG00010029269	296	157	21	37
ENSGALG00010029266	546	310	229	225
ENSGALG00010029264	5	2	4	7
ENSGALG00010029261	111	60	92	47
ENSGALG00010029259	391	277	256	185
ENSGALG00010029255	2885	3203	494	748
ENSGALG00010029252	385	284	180	187
ENSGALG00010029251	135	60	86	85
ENSGALG00010029250	1773	1195	915	981
ENSGALG00010029248	2303	1716	1004	685
ENSGALG00010029245	486	341	346	266
ENSGALG00010029242	826	575	584	513
ENSGALG00010029241	11	7	4	10
ENSGALG00010029385	1435	1503	1131	671
ENSGALG00010029227	641	434	410	379
ENSGALG00010029224	1148	871	677	679
ENSGALG00010029223	3874	2957	1350	1301
ENSGALG00010029221	106	42	80	68
ENSGALG00010029218	8974	7705	5843	4991
ENSGALG00010029217	152	54	125	90
ENSGALG00010029216	34	23	14	22
ENSGALG00010029212	5130	4980	2883	3160
ENSGALG00010029210	20	21	7	10
ENSGALG00010029207	66	40	58	23
ENSGALG00010029203	16684	13339	5222	4604
ENSGALG00010029200	1138	528	226	124
ENSGALG00010029198	1016	872	2066	1960
ENSGALG00010029233	10	4	5	1
ENSGALG00010029196	125	62	66	62
ENSGALG00010029194	60	40	22	35
ENSGALG00010029187	10359	8769	8068	7262
ENSGALG00010029186	396	282	311	199
ENSGALG00010029181	211	154	117	149
ENSGALG00010029179	108	50	69	70
ENSGALG00010029175	372	224	151	178
ENSGALG00010029172	491	419	394	444
ENSGALG00010029170	226	190	49	43
ENSGALG00010029169	1165	787	729	675
ENSGALG00010029164	367	209	198	162
ENSGALG00010029163	2500	1633	1548	1180
ENSGALG00010029162	74	87	21	14
ENSGALG00010029158	646	451	2151	1573
ENSGALG00010029151	2874	1986	2178	1494
ENSGALG00010029150	10871	5413	3948	2080
ENSGALG00010029149	45	40	2	4
ENSGALG00010029146	3521	1838	2051	1433
ENSGALG00010029143	450	281	191	133
ENSGALG00010029140	82	38	72	64
ENSGALG00010028926	210	152	18	1
ENSGALG00010028924	316	171	159	153
ENSGALG00010028923	1243	495	911	610
ENSGALG00010028922	7	10	7	5
ENSGALG00010028921	178	103	113	100
ENSGALG00010028916	1	3	4	2
ENSGALG00010028915	10	5	4	3
ENSGALG00010029463	9	19	7	2
ENSGALG00010028914	2279	1343	888	884
ENSGALG00010028909	129	61	23	19
ENSGALG00010028901	7	5	4	31
