,logFC,logCPM,PValue,QValue
ENSGALG00010024441,6.29984703153724,7.68378216022795,1.33341636099478e-60,1.77637727611725e-56
ENSGALG00010004483,5.96658692191142,6.92587011374528,3.07705464629739e-37,2.04962609989869e-33
ENSGALG00010010014,4.42608308168553,4.63119828269899,1.00516262939765e-33,4.46359218294516e-30
ENSGALG00010006134,4.31700052422879,7.55966324292265,4.41859390900718e-33,1.47161270139484e-29
ENSGALG00010029140,3.73117840986027,4.25181569946154,1.01076786043474e-32,2.69308988734232e-29
ENSGALG00010018665,7.92952144964555,7.34144054381643,5.18937033766303e-30,1.15221319397245e-26
ENSGALG00010008013,8.6338196318567,2.50386757226398,3.54227023510168e-29,6.74144629600352e-26
ENSGALG00010008006,6.76489634602747,3.5323281455687,6.37071670784516e-29,1.06088359977392e-25
ENSGALG00010001313,4.66477600471065,5.97920296179276,2.224733652243e-24,3.29310019057569e-21
ENSGALG00010025688,7.05870723480629,2.29995181315429,1.04354051910336e-23,1.3902046795495e-20
ENSGALG00010009125,3.13047551945883,7.29850270546638,1.50357208816335e-23,1.82096248713747e-20
ENSGALG00010023272,7.86378559705732,3.97484595399431,3.28885382786805e-23,3.65117589123818e-20
ENSGALG00010017380,5.22080324693878,7.27698142514026,4.11739611606884e-22,4.21938085063609e-19
ENSGALG00010002669,6.19447224556173,5.6400757536115,9.77312463270656e-22,9.2998261683512e-19
ENSGALG00010022270,6.06782206030751,6.07179288883483,2.0367722450949e-21,1.80892532327695e-18
ENSGALG00010001911,5.24041862202233,4.53605050671783,2.89400437401849e-20,2.40962039191715e-17
ENSGALG00010029329,3.26127594052649,4.19007302396244,1.79540026287272e-19,1.4069601354112e-16
ENSGALG00010027425,5.79059483399335,2.02896127766406,2.01025358915665e-19,1.48781101748582e-16
ENSGALG00010024688,-2.31856834244939,5.07343166998717,1.35300864616073e-18,9.48672693902805e-16
ENSGALG00010029295,3.48680411555872,5.54914709912421,2.27952081466128e-18,1.51838881464588e-15
ENSGALG00010018498,6.26940014776979,1.90457249129833,6.90274519538453e-18,4.37897007109108e-15
ENSGALG00010009195,4.27293883846438,4.57595086588222,1.07272471240285e-17,6.49583573574126e-15
ENSGALG00010028912,2.92213132454305,8.79776989601799,1.34240825086162e-17,7.77546205129501e-15
ENSGALG00010018489,2.01926215919391,6.61170468979021,4.52778764823559e-17,2.5132994604081e-14
ENSGALG00010023110,3.21011575726198,3.71552036249518,5.53919064967499e-17,2.95172391339881e-14
ENSGALG00010021717,3.06844346170379,5.90694774821446,9.05856644855617e-17,4.64147008567944e-14
ENSGALG00010010422,2.76500121041421,3.66696282305326,1.57778003747419e-16,7.78488357749303e-14
ENSGALG00010027200,4.08219363664781,6.01867444245788,3.8323498159859e-16,1.82337729459157e-13
ENSGALG00010021744,2.00888266937626,7.66186405672422,1.73599506372528e-15,7.97480215136142e-13
ENSGALG00010027636,3.36204272586427,3.05803295145519,2.30333461957392e-15,1.02283412673213e-12
ENSGALG00010007007,2.93787375401452,9.18977655835764,4.79795582694851e-15,2.06188282343897e-12
ENSGALG00010005131,2.24407336357804,4.06113796760707,7.40459541897561e-15,3.08262563036228e-12
ENSGALG00010002601,1.98840169893931,6.52424761103897,2.8699973013606e-14,1.15860921359775e-11
ENSGALG00010021094,3.14290516688363,3.52318385388613,8.62885574767181e-14,3.38098871383776e-11
ENSGALG00010015094,2.64394705751884,10.7738821622225,2.41868354233811e-13,9.2062006145795e-11
ENSGALG00010012062,-2.86029827330393,3.12999684900019,3.40490251820099e-13,1.24131602903875e-10
ENSGALG00010014054,3.81273835665472,3.55122754390437,3.44758242564433e-13,1.24131602903875e-10
ENSGALG00010013266,2.58041226457164,5.29764228788455,1.19037251229678e-12,4.17319542337309e-10
ENSGALG00010011634,6.49963154990055,8.54168483115918,1.67037645317189e-12,5.7058346433733e-10
ENSGALG00010021083,2.42004389727664,8.55806206951826,1.86829371325795e-12,6.22235221200559e-10
ENSGALG00010001906,2.02840640117877,5.91254957418234,2.65617623074614e-12,8.63062920634147e-10
ENSGALG00010005357,3.61674904914933,3.97439509818273,5.01525384228272e-12,1.5812513948643e-09
ENSGALG00010011749,5.85354245434786,1.72980531900837,5.10387404137255e-12,1.5812513948643e-09
ENSGALG00010011431,2.67528336234807,6.83451203136975,7.98573664055132e-12,2.39740483647088e-09
ENSGALG00010027314,3.18162656544486,2.49838952967745,8.09812472910897e-12,2.39740483647088e-09
ENSGALG00010025917,5.82912534333468,0.634733132317396,9.07120046697875e-12,2.57120282172534e-09
ENSGALG00010001378,1.77780740218487,4.77964438660951,9.02563044856145e-12,2.57120282172534e-09
ENSGALG00010026128,1.71412464587287,9.886228033547,1.75383581639521e-11,4.86762515542022e-09
ENSGALG00010001373,2.02761461232466,4.78307682623029,1.840940582794e-11,5.00510417224116e-09
ENSGALG00010000791,3.43022311940117,3.70232107103471,2.75370882768886e-11,7.33698180049419e-09
ENSGALG00010024571,2.11951579453827,4.90023931224722,3.22734286699759e-11,8.43032581845918e-09
ENSGALG00010008203,8.83993261335019,0.448365863461929,5.9150432528071e-11,1.51538858103647e-08
ENSGALG00010011950,2.12080341034097,9.06382200645099,8.25089999237459e-11,2.07393376789461e-08
ENSGALG00010012226,5.28266100086933,5.24615487579831,8.87908227424011e-11,2.19050248254494e-08
ENSGALG00010003921,-1.87653443746913,8.29758190670043,9.99498080884621e-11,2.42096607882635e-08
ENSGALG00010011983,3.62713137280204,6.5443479140453,1.11671089697642e-10,2.65657545884283e-08
ENSGALG00010028419,1.78014420301015,6.43101578445979,3.08882828168994e-10,7.21918778397778e-08
ENSGALG00010027141,4.4485610650664,0.94930449475099,3.9234725931916e-10,9.01181067008595e-08
ENSGALG00010005789,2.66575231626767,9.11321175499263,7.65182729705084e-10,1.72775666527646e-07
ENSGALG00010008814,1.94966549977709,6.78903407220485,7.98070750259382e-10,1.77198308915925e-07
ENSGALG00010013480,2.22014160043521,4.18199771879259,1.04454744810735e-09,2.28122313175183e-07
ENSGALG00010015306,-1.51123818268975,6.03342710948669,1.12487717638394e-09,2.41703447480433e-07
ENSGALG00010027110,1.37856827951631,5.88046096222349,1.17487244735081e-09,2.48438900692183e-07
ENSGALG00010029562,2.44824880625323,6.4123740097984,1.39057495284608e-09,2.89456867528368e-07
ENSGALG00010007980,2.47216428486695,5.98478101380885,1.41985730872242e-09,2.91005216412309e-07
ENSGALG00010008497,2.76731944222741,6.28767098255855,1.90198081522172e-09,3.78181916722146e-07
ENSGALG00010016766,1.83193070171561,5.95376137375829,1.88192426651953e-09,3.78181916722146e-07
ENSGALG00010005254,1.85086760798668,3.98028037377398,2.05034768585435e-09,4.01687233396348e-07
ENSGALG00010004479,2.30710617721671,3.76206764994364,2.43578443004469e-09,4.70282901116745e-07
ENSGALG00010017668,1.69586806471581,5.52647689780327,2.69278015405339e-09,5.12474531604276e-07
ENSGALG00010001520,4.91005184063235,0.888559590799636,2.86671499558195e-09,5.23155851659489e-07
ENSGALG00010028160,1.66370411838401,3.91190273415378,2.85862653818976e-09,5.23155851659489e-07
ENSGALG00010003189,1.34638571905552,6.70930170347445,2.85388750800889e-09,5.23155851659489e-07
ENSGALG00010016930,1.54507458323549,5.77292942743255,3.35164352590889e-09,6.0338641962376e-07
ENSGALG00010005042,-1.72608581469864,6.91386285979952,4.8033764624945e-09,8.53207749778022e-07
ENSGALG00010009037,2.32765496564053,7.34100214867404,6.50776780751125e-09,1.1407431938377e-06
ENSGALG00010006955,2.01946145442002,4.82623628801375,7.13009063805812e-09,1.23359827896377e-06
ENSGALG00010023603,3.32435188197757,2.31806512563205,8.6465419485819e-09,1.47678502357703e-06
ENSGALG00010016355,-1.39606051082967,5.25611738407495,8.9867002176305e-09,1.51545342150979e-06
ENSGALG00010020399,1.35846081447978,8.37499587702556,9.98269127077566e-09,1.66236766386592e-06
ENSGALG00010029552,1.91270946325993,5.06574727731207,1.10697859435526e-08,1.82063812765442e-06
ENSGALG00010007436,1.69542820463576,5.39771083079631,1.16768129600918e-08,1.89705490554077e-06
ENSGALG00010016973,1.80487988180821,6.83385160303835,1.19063834619511e-08,1.91104627084472e-06
ENSGALG00010000797,4.87248798381586,4.66305606743977,1.35322262384123e-08,2.14614664223962e-06
ENSGALG00010008444,2.77489705523654,2.22693917768956,1.59014997563368e-08,2.49223270298729e-06
ENSGALG00010016816,2.04736173763419,5.01538479974522,1.62154843516856e-08,2.51189165736227e-06
ENSGALG00010007780,1.69854797790579,4.35276967405374,1.65478629120717e-08,2.53391528407609e-06
ENSGALG00010005555,3.51684501118928,1.6806344473195,1.8489806708128e-08,2.79910460188274e-06
ENSGALG00010009615,1.65592324339881,3.67439015546814,1.92640553728477e-08,2.88354770423682e-06
ENSGALG00010028744,-1.46715138457745,5.94669076598768,2.02694089119095e-08,3.00032295027176e-06
ENSGALG00010005429,1.3715916345142,5.52450399998989,2.38617726315255e-08,3.49325862634266e-06
ENSGALG00010017641,-1.50111034491361,5.37253006032412,2.74156628523197e-08,3.92722000557638e-06
ENSGALG00010018261,1.70699418606832,6.92762693125912,2.71911581540905e-08,3.92722000557638e-06
ENSGALG00010024764,1.91272477330838,5.56883768320383,2.88254943185291e-08,4.08524718416431e-06
ENSGALG00010027751,8.10076077185664,-0.244505608053738,3.13446700466832e-08,4.39551257223067e-06
ENSGALG00010012839,2.12639436647417,6.64905095388766,4.49607257158014e-08,6.23923737485319e-06
ENSGALG00010028163,1.90720894778916,5.94013603538373,4.6080326665425e-08,6.32868156532776e-06
ENSGALG00010021090,3.66429708364735,2.82206455889518,4.83000470536869e-08,6.56584925356344e-06
ENSGALG00010016030,3.33941213565137,3.49039569703993,6.37066351447455e-08,8.57272518584141e-06
ENSGALG00010001788,4.90075628459378,-0.263640332532489,6.84727775424201e-08,9.1219434242012e-06
ENSGALG00010009347,1.25677245064369,5.69240439551498,9.68730297566961e-08,1.27776485387991e-05
