,logFC,logCPM,PValue,QValue
ENSGALG00010012381,14.6137989797567,8.30329741843592,4.64552557384318e-116,6.3128047022955e-112
ENSGALG00010012421,12.3453643370831,7.42065054477308,5.49976630733275e-108,3.73681621751724e-104
ENSGALG00010001941,10.7574267897392,8.6107386370254,1.59568089783722e-106,7.22790257356998e-103
ENSGALG00010011543,12.132341351481,6.65164469461673,1.00385060070919e-104,3.4103314532593e-101
ENSGALG00010008064,10.9142865314684,6.64461363335666,1.20169277104606e-103,3.26596061314899e-100
ENSGALG00010012349,11.6602941473119,7.10260718248992,2.6529836387685e-103,6.00856577787085e-100
ENSGALG00010012356,15.4484601956283,6.9477035301151,1.59183385595714e-96,3.09020432408594e-93
ENSGALG00010011933,12.1912356659786,5.88185155174061,1.97479092842e-92,3.35442924078742e-89
ENSGALG00010009615,6.91170928072046,8.33882121650393,2.06968981339408e-70,3.12500165269024e-67
ENSGALG00010018016,7.48536267980296,13.2155833048561,3.89581333083731e-69,5.29402073527482e-66
ENSGALG00010019269,6.38190909389624,8.18311887660311,1.23936276588396e-68,1.5310636932361e-65
ENSGALG00010013857,6.62022671602192,5.16868818644944,6.70348454433434e-63,7.59113762274662e-60
ENSGALG00010020999,6.27940627939876,10.4071108980601,3.29234643176196e-58,3.44151505086255e-55
ENSGALG00010012416,13.8234311416445,5.32276562284888,1.83191563038198e-55,1.77813582151862e-52
ENSGALG00010028160,5.3287286747825,7.01234430688091,8.26836912096646e-55,7.49059119898755e-52
ENSGALG00010017699,5.24803491054369,8.50820567570947,2.04350213343308e-54,1.73557190570138e-51
ENSGALG00010015706,6.63332159531382,5.49042936032924,8.19362130817899e-54,6.54959529157908e-51
ENSGALG00010007707,9.42775155297345,4.46457772608234,2.55385569803157e-53,1.92801917114172e-50
ENSGALG00010025073,5.00108360264216,7.64323005673808,3.5298635067545e-50,2.52459553648878e-47
ENSGALG00010026316,4.68321506944954,6.06062886349226,5.04737338495579e-50,3.42943784640821e-47
ENSGALG00010028610,4.91120924585231,8.76445288479887,1.99745697887338e-49,1.29254489932907e-46
ENSGALG00010022134,5.41158168570927,5.95341285827624,6.18723076977249e-49,3.82173995138356e-46
ENSGALG00010003583,5.53119060915864,11.856556312267,9.8060178571487e-49,5.79365115916494e-46
ENSGALG00010027634,7.16216065831328,11.1668027361379,1.19967213841862e-48,6.79264362040445e-46
ENSGALG00010009324,8.33742288441973,3.7566405683944,4.95962803510404e-48,2.69585541476115e-45
ENSGALG00010017804,7.05460793612687,6.1637503595798,1.83424552317321e-47,9.58675477476951e-45
ENSGALG00010024053,6.12790837776852,6.62628979141369,3.08456268601088e-47,1.55244897556303e-44
ENSGALG00010020548,5.02150877362774,9.58285254571028,4.34722712063581e-47,2.10980247651143e-44
ENSGALG00010016655,5.97111902643199,10.2876626876445,7.3183290667397e-47,3.42926805820434e-44
ENSGALG00010020557,5.07823924822868,9.21535082405328,1.0670390253249e-46,4.83333110504668e-44
ENSGALG00010009024,4.69898659907264,8.76300490291851,6.41948279950209e-46,2.81401134717529e-43
ENSGALG00010027616,9.75745061292669,3.4498518098608,7.62548763639908e-46,3.2382109840946e-43
ENSGALG00010016426,5.77691030338653,11.0310226015178,1.12023392762802e-45,4.61298752804158e-43
ENSGALG00010004479,4.85814956252425,5.89066662920586,1.6546683987863e-45,6.61332025620793e-43
ENSGALG00010023172,4.41693513999895,6.826575268028,1.87723447671794e-45,7.2884969440343e-43
ENSGALG00010016462,4.56035900576006,6.06369039964392,2.05529073969782e-45,7.75815162826491e-43
ENSGALG00010015562,4.71517840891207,7.77891263774719,2.92323906354023e-45,1.07361880093103e-42
ENSGALG00010012633,4.7453209516903,8.88805351805323,5.27995967012756e-45,1.88814136729904e-42
ENSGALG00010021272,4.52000419291391,7.64698829581798,1.53278254568822e-44,5.34076461880954e-42
