,logFC,logCPM,PValue,QValue
ENSGALG00010024688,-2.31856834244939,5.07343166998717,1.3530086461607299e-18,9.48672693902805e-16
ENSGALG00010012062,-2.86029827330393,3.12999684900019,3.40490251820099e-13,1.24131602903875e-10
ENSGALG00010003921,-1.87653443746913,8.29758190670043,9.994980808846209e-11,2.42096607882635e-08
ENSGALG00010015306,-1.51123818268975,6.03342710948669,1.12487717638394e-09,2.41703447480433e-07
ENSGALG00010005042,-1.72608581469864,6.91386285979952,4.8033764624945e-09,8.53207749778022e-07
ENSGALG00010016355,-1.39606051082967,5.25611738407495,8.9867002176305e-09,1.51545342150979e-06
ENSGALG00010028744,-1.46715138457745,5.94669076598768,2.02694089119095e-08,3.00032295027176e-06
ENSGALG00010017641,-1.50111034491361,5.37253006032412,2.74156628523197e-08,3.92722000557638e-06
ENSGALG00010021062,-1.36475532821727,5.46960733058434,1.21557737993526e-07,1.55710787072091e-05
ENSGALG00010018944,-3.49697423120803,3.8560867085541,4.42613115329742e-07,5.17236133545862e-05
ENSGALG00010010871,-2.28889147325341,3.38678719258822,4.97146352889907e-07,5.75911627234725e-05
ENSGALG00010006069,-3.07781945937308,6.35693551394835,5.68737748806662e-07,6.53165887034686e-05
ENSGALG00010003895,-1.52036904044157,4.29795524126167,9.38289692555482e-07,0.0001050411368422
ENSGALG00010019012,-1.70612710389368,8.272000340608,1.24970846613818e-06,0.0001364640670974
ENSGALG00010020147,-1.30102069113119,3.96185820826205,3.00986774177499e-06,0.0002992347616113
ENSGALG00010021011,-1.25786487218681,4.45345616490485,3.65461610286182e-06,0.0003553780709658
ENSGALG00010015260,-1.38915756114194,5.05324573912534,5.72987320220261e-06,0.0005337997958023
ENSGALG00010018915,-1.17936886025127,6.18173731777918,6.48058172006867e-06,0.0005954090322396
ENSGALG00010027789,-1.01661357187912,5.47044590270069,7.0565804027521e-06,0.0006438887953798
ENSGALG00010008296,-1.55835679345125,4.57306644212449,7.14338685846546e-06,0.0006473755083569
ENSGALG00010025703,-1.14503984580333,8.19370327510876,8.02380647452948e-06,0.0007079016546601
ENSGALG00010027087,-1.18191198617533,6.6831907963141,8.4489134726748e-06,0.0007326185748367
ENSGALG00010021762,-1.41178342935881,5.04645844662181,1.10075638795213e-05,0.0009108246335588
ENSGALG00010007201,-1.42168563076961,4.35281966647421,1.18944839506788e-05,0.0009661525783596
ENSGALG00010016941,-0.980641460102311,5.44872708505463,1.19663095202927e-05,0.0009661525783596
ENSGALG00010028892,-1.17661729194178,7.96979069531014,1.25643386278525e-05,0.0010083260192786
ENSGALG00010007190,-1.66037572595065,4.61694359025587,1.38520908900484e-05,0.0010919381943031
ENSGALG00010027490,-0.999186320988593,7.46178425342487,1.41071740818366e-05,0.0011055045477542
ENSGALG00010025125,-1.08100493654189,6.90416998642852,1.61284050239441e-05,0.0012348425961435
ENSGALG00010024511,-1.10169774435675,7.09851663756051,2.04069949853256e-05,0.0014855846294781
ENSGALG00010027050,-1.41046005231752,3.26289472089298,3.0913955263955e-05,0.0021562079163686
ENSGALG00010021447,-1.81148285193108,4.61932690784244,3.26767166623666e-05,0.002255539996767
ENSGALG00010007884,-2.82231301648677,-0.0120145259320792,3.6034828823825e-05,0.0024618255876461
ENSGALG00010012346,-1.18770448060619,3.80291043708034,3.89780431635983e-05,0.0026493137297217
ENSGALG00010011570,-1.21833166430239,4.84881329716377,4.18821632635628e-05,0.0028322547157217
ENSGALG00010005792,-1.71079520223164,3.2816707123801,4.95370178559931e-05,0.0033162419692338
ENSGALG00010015097,-1.63923059922285,5.39826156036224,7.03579459127444e-05,0.0044847299303807
ENSGALG00010011477,-2.03787680008101,8.69347284872663,7.17274834108956e-05,0.0045473057977738
ENSGALG00010011503,-1.35230997151237,5.60653638697039,7.418032290537e-05,0.0046614634987987
ENSGALG00010013954,-2.40120619021585,7.10913424746705,7.92574918874898e-05,0.004843432600574
ENSGALG00010024333,-4.4902474905248,-1.18614967051851,8.17264944010851e-05,0.0049715084858961
ENSGALG00010026973,-0.901499468078861,7.22440131761596,8.27386992907748e-05,0.0050102043270531
ENSGALG00010001320,-1.42084242142282,3.19587667684936,8.609920783722e-05,0.0051901069991287
ENSGALG00010017283,-1.17631314967681,9.85053716850078,8.78655458638166e-05,0.0052727243333232
ENSGALG00010014865,-1.11386172445054,5.41672653732573,8.94760300927229e-05,0.0053218783179908
ENSGALG00010021173,-1.12842361915936,4.29076679296405,9.02981746946192e-05,0.0053227977136359
ENSGALG00010020098,-3.43809596464158,0.682720008320939,9.02277143602326e-05,0.0053227977136359
ENSGALG00010016970,-1.10924053794583,4.29301977297168,0.0001014439514393,0.0059273522854139
ENSGALG00010012714,-1.01183460507727,4.23552408832605,0.0001037590279916,0.0060099033517582
ENSGALG00010027134,-0.983212410046239,4.78524125146658,0.0001063210682655,0.0061316418676796
ENSGALG00010023453,-1.17320726892331,4.57253819818203,0.0001093391626626,0.0062248560897107
ENSGALG00010005990,-1.36733414506612,3.33146566104762,0.0001135914939497,0.0064394292868027
ENSGALG00010023387,-3.29293884319113,0.882695928793053,0.0001193266478453,0.0067074666776186
ENSGALG00010024773,-1.66853946916081,6.11593836745983,0.0001270493995747,0.0070818079545373
ENSGALG00010005216,-1.22709627745141,3.57519136982185,0.0001446055096446,0.0078629983652517
ENSGALG00010018843,-1.17179903339126,3.47500686187827,0.0001459898371228,0.0079060024802858
ENSGALG00010014984,-1.38301796473588,7.2078693802578,0.0001756101416146,0.0093579132263605
ENSGALG00010023273,-0.859179539109617,6.75541793531034,0.0001839663251181,0.0096752433798328
ENSGALG00010020847,-1.09035914113042,4.90746443377698,0.0001830108317579,0.0096752433798328
ENSGALG00010018885,-2.25987467244588,2.00916711742063,0.0001844701860439,0.0096752433798328
ENSGALG00010029416,-3.09491225678563,-0.279377678663372,0.0001860001520687,0.0097172314739594
ENSGALG00010027114,-1.05448966549439,9.92484377606925,0.0001874273273048,0.0097535423998231
ENSGALG00010026005,-0.882304848266061,5.26906181185588,0.0001885918031974,0.0097759533159368
ENSGALG00010029577,-2.77006216257847,1.52573320234412,0.0001948102516938,0.010059155709556
ENSGALG00010004117,-1.49290886037437,5.49548296793089,0.0002052449557922,0.0105570397724475
