,logFC,logCPM,PValue,QValue
ENSGALG00010014241,0.208937190082304,2.21857618112096,0.764726664046392,1
ENSGALG00010029524,-0.0668590348591311,6.78840500049715,0.94187239960814,1
ENSGALG00010024689,-1.67495672563481,-3.13836823042778,1,1
ENSGALG00010024181,3.7736717987866,-1.12946037668161,0.150036313236611,1
ENSGALG00010021631,-0.267572208814687,0.430040850300767,0.75060129060026,1
ENSGALG00010015073,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010012013,0.686322511405219,-3.10053340064048,1,1
ENSGALG00010012009,-1.16216829056609,-2.34949381974333,0.81909646063017,1
ENSGALG00010011611,2.34778475192057,-2.4639701507293,0.666666666666668,1
ENSGALG00010011525,-1.52169523592585,-3.11714692261581,1,1
ENSGALG00010008507,-2.64092048389458,-3.16460590251499,0.944802673955398,1
ENSGALG00010005701,-4.02221881684026,-2.68276507973213,0.368121569772507,1
ENSGALG00010005393,1.85984524483495,1.26430345194522,0.0134998412407764,1
ENSGALG00010001782,-5.12548240610387e-15,-2.94869210435131,1,1
ENSGALG00010001772,-2.33299398962547,-3.19227500536467,0.944802673955398,1
ENSGALG00010000515,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010000514,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010000313,0.236770352913215,2.10978242416548,0.728280796926174,1
ENSGALG00010000251,-5.12548240610387e-15,-2.62098556998834,1,1
ENSGALG00010000249,0.111177563095282,5.14421404802714,0.700524400364493,1
ENSGALG00010030108,-0.114597836771465,6.61174944604132,0.758868994245075,1
ENSGALG00010030107,-0.346981642519191,4.54142228262453,0.367003055675446,1
ENSGALG00010030106,-0.240086802628879,6.56733334349824,0.92079034977532,1
ENSGALG00010030103,-0.457681442808582,-1.81478276289949,0.945555038247366,1
ENSGALG00010030014,0.121426474629766,3.18990053357063,0.834060142569778,1
ENSGALG00010029966,0.129577732905512,5.66629112704153,0.628926097319027,1
ENSGALG00010029962,1.23083637779379,3.78114045415565,0.455972278032637,1
ENSGALG00010029949,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029947,-0.78096392106409,1.95678031402362,0.432430477044373,1
ENSGALG00010029945,4.13126549807429,8.21943696429277,0.0273578270857088,1
ENSGALG00010029942,-4.71320230020022,-2.69450792365014,0.456407003542388,1
ENSGALG00010029941,-0.166601770637284,3.96541513881549,0.634393255012663,1
ENSGALG00010029940,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029939,-5.12548240610387e-15,-3.18839919734071,1,1
ENSGALG00010029938,1.2436971714575,-1.49822614622013,0.196824879000059,1
ENSGALG00010029937,-0.0193202029334205,7.55792531114403,0.990118514137155,1
ENSGALG00010029936,0.889386791124427,-0.511646903402294,0.22532285698342,1
ENSGALG00010029935,-0.276846985160229,5.40239238557273,0.386307505448117,1
ENSGALG00010029932,0.2813485819115,1.15022827475389,0.664960195931185,1
ENSGALG00010029930,1.06265458232653,-2.5335374496011,0.41639458147388,1
ENSGALG00010029929,-0.391191850352728,5.83247820490282,0.513228592572553,1
ENSGALG00010029927,0.851261539636354,-0.554911529280276,0.411930915512446,1
ENSGALG00010029925,0.0771062314988918,5.17284006428133,0.773965280134441,1
ENSGALG00010029907,1.26091394636339,-3.0310116222017,0.471936817203477,1
ENSGALG00010029895,-0.0622848886418121,6.90960722059785,0.889180450011909,1
ENSGALG00010029864,0.489173874650499,4.83574803302354,0.500282709846481,1
ENSGALG00010029859,0.166058745587616,6.03379406026319,0.625002628655767,1
ENSGALG00010029835,0.139264370680761,4.46753138831567,0.737538667171676,1
ENSGALG00010029782,-0.555336704214173,4.72298813936007,0.190214579231935,1
ENSGALG00010029779,-5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029776,0.114655773174072,6.110404316735,0.690323904171057,1
ENSGALG00010029774,-0.416070494696826,-0.586935824876859,0.741589781610069,1
ENSGALG00010029773,-0.291697856367623,4.64805968411398,0.339988556135984,1
ENSGALG00010029772,-0.065555323021708,5.70481087007493,0.831311613633556,1
ENSGALG00010029770,0.00988331624003707,3.71553820067185,0.932245217346976,1
ENSGALG00010029766,0.301478997261794,3.66789151654847,0.32293283321574,1
ENSGALG00010029765,0.0646855167394872,-0.70655795967318,0.935391242947098,1
ENSGALG00010029761,-0.115879504797331,4.06529180749129,0.754933000806249,1
ENSGALG00010029755,-0.401203076840778,6.19594536392955,0.574674532905237,1
ENSGALG00010029751,2.36127923704002,-3.18344835429513,0.666666666666666,1
ENSGALG00010029749,0.661724532876614,3.63439209282027,0.200172071579846,1
ENSGALG00010029745,-0.200829878004125,3.90859278188842,0.687378208705813,1
ENSGALG00010029739,0.171257721157153,5.57146580616594,0.784689361975763,1
ENSGALG00010029737,-0.207023827641455,1.0586154418815,0.884073397067068,1
ENSGALG00010029733,1.12183160166897,-1.29047759626935,0.147794498151706,1
ENSGALG00010029727,0.141936349791556,1.87103081811648,0.757670820453027,1
ENSGALG00010029726,-0.287553445633918,7.79105523219739,0.486006772325688,1
ENSGALG00010029725,-0.134744630510535,4.18590701575425,0.774844446760659,1
ENSGALG00010029724,-4.61652422183146,-2.32574695663855,0.0674650052083778,1
ENSGALG00010029723,0.715924614109331,2.77897840523807,0.435290447891721,1
ENSGALG00010029721,-0.0844372821647319,5.53189608945724,0.787839981873168,1
ENSGALG00010029711,-0.596633880978915,2.87117452956745,0.203918062315868,1
ENSGALG00010029710,-0.171700007194759,6.07873073144375,0.732034628760078,1
ENSGALG00010029709,-1.37590345362434,5.52764279113822,0.0306712279282264,1
ENSGALG00010029708,-0.267192265709948,5.7449688040517,0.452650242666018,1
ENSGALG00010029706,-0.536536813016789,6.96754466950825,0.26509938491277,1
ENSGALG00010029702,0.812127251513331,-2.55317164530139,0.522249219559102,1
ENSGALG00010029701,-0.152091008460386,5.64308697920761,0.615747521466511,1
ENSGALG00010029700,-0.345491472664439,6.94863706295644,0.382308626101048,1
ENSGALG00010029699,-0.451643224272075,3.20050278641044,0.448034558728728,1
ENSGALG00010029698,-0.175053866994485,5.9354721398205,0.591602253723829,1
ENSGALG00010029697,0.349656869117222,5.14979123390998,0.427965537410143,1
ENSGALG00010029693,0.570734509309147,6.65290671935327,0.216316740127874,1
ENSGALG00010029691,-0.186412990277094,6.24546556890326,0.642038391528053,1
ENSGALG00010029690,-0.587237249859279,4.00849342923435,0.295945966672501,1
ENSGALG00010029689,-0.353977352580524,6.19447845293014,0.493408028107059,1
ENSGALG00010029688,-0.880889349967285,3.89332913466406,0.546331662654181,1
ENSGALG00010029687,-2.43817378770467,-2.91689786390817,0.927154055445253,1
ENSGALG00010029683,-0.331122393016524,3.24257858269964,0.418712645871499,1
ENSGALG00010029680,-5.12548240610387e-15,-3.23527591473391,1,1
ENSGALG00010029678,2.18130366478311,-3.1501144126548,0.666666666666666,1
ENSGALG00010029677,-0.109081115690704,7.13864616958614,0.808636034919168,1
ENSGALG00010029675,-0.431042428511267,1.65012538744502,0.476663823289887,1
