,logFC,logCPM,PValue,QValue
ENSGALG00010029437,9.98552276739022,0.824773789531183,4.92842223079662e-05,0.835367568120027
ENSGALG00010014241,0.22205030958852,2.21857618112096,0.751428049833863,1
ENSGALG00010029524,-0.578669862093503,6.78840500049715,0.343114550830979,1
ENSGALG00010024689,-1.78936344380162,-3.13836823042778,1,1
ENSGALG00010024181,0.462303346637624,-1.12946037668161,0.784093022131547,1
ENSGALG00010021631,0.0652979299179673,0.430040850300767,0.936379527179082,1
ENSGALG00010015073,0,-3.28454432349721,1,1
ENSGALG00010012013,0.243671475203947,-3.10053340064048,1,1
ENSGALG00010012009,-0.14907159136178,-2.34949381974333,1,1
ENSGALG00010011611,0,-2.4639701507293,1,1
ENSGALG00010011525,1.25713634607734,-3.11714692261581,0.566101335421094,1
ENSGALG00010008507,-2.78337827241329,-3.16460590251499,0.944802673955398,1
ENSGALG00010005701,-2.15069688457457,-2.68276507973213,0.618130115816929,1
ENSGALG00010005393,1.48877591879567,1.26430345194522,0.046813487419598,1
ENSGALG00010001782,2.83536778122496,-2.94869210435131,0.288687721282155,1
ENSGALG00010001772,-2.46769348077287,-3.19227500536467,0.944802673955398,1
ENSGALG00010000515,0,-3.28454432349721,1,1
ENSGALG00010000514,0,-3.28454432349721,1,1
ENSGALG00010000313,0.842704089622962,2.10978242416548,0.254516858592251,1
ENSGALG00010000251,0,-2.62098556998834,1,1
ENSGALG00010000249,-0.0389074549785606,5.14421404802714,0.9181996458895,1
ENSGALG00010030108,-0.393357498555657,6.61174944604132,0.267540420790486,1
ENSGALG00010030107,-0.0396441292766529,4.54142228262453,0.93889836639794,1
ENSGALG00010030106,0.718428230217027,6.56733334349824,0.49106594920707,1
ENSGALG00010030103,0.0730105684198928,-1.81478276289949,1,1
ENSGALG00010030014,0.207989336122631,3.18990053357063,0.747995146473839,1
ENSGALG00010029966,-0.0852140914411236,5.66629112704153,0.780076314650718,1
ENSGALG00010029962,-1.08379132442523,3.78114045415565,0.741323849888609,1
ENSGALG00010029949,0,-3.28454432349721,1,1
ENSGALG00010029947,-0.0687123404550763,1.95678031402362,0.994978362667487,1
ENSGALG00010029945,-0.815384445837499,8.21943696429277,0.80872487535332,1
ENSGALG00010029942,-4.8731756209694,-2.69450792365014,0.437641979145134,1
ENSGALG00010029941,-0.0719067586182298,3.96541513881549,0.847674804851124,1
ENSGALG00010029940,0,-3.28454432349721,1,1
ENSGALG00010029939,0,-3.18839919734071,1,1
ENSGALG00010029938,0.489916767889279,-1.49822614622013,0.63676300364867,1
ENSGALG00010029937,0.186617667705235,7.55792531114403,0.716155516301329,1
ENSGALG00010029936,-0.772239573917899,-0.511646903402294,0.442158935397646,1
ENSGALG00010029935,-0.49429664190806,5.40239238557273,0.118740412012764,1
ENSGALG00010029932,0.0185871788726803,1.15022827475389,0.953116691048475,1
ENSGALG00010029930,-0.553003256371535,-2.5335374496011,0.794690724538926,1
ENSGALG00010029929,0.110074652187845,5.83247820490282,0.808958560531295,1
ENSGALG00010029927,-1.28550475628525,-0.554911529280276,0.329575659207451,1
ENSGALG00010029925,-0.123020943021595,5.17284006428133,0.690953285655562,1
ENSGALG00010029907,-0.438648769040898,-3.0310116222017,1,1
ENSGALG00010029895,-0.2171041953406,6.90960722059785,0.580078668867877,1
ENSGALG00010029864,0.276033767680266,4.83574803302354,0.685441737383602,1
ENSGALG00010029859,-0.170080072350413,6.03379406026319,0.661289431964561,1
ENSGALG00010029835,-0.197019398363566,4.46753138831567,0.704338966946224,1
ENSGALG00010029782,-0.145978843368995,4.72298813936007,0.742723497291125,1
ENSGALG00010029779,0,-3.28454432349721,1,1
ENSGALG00010029776,0.116990814216495,6.110404316735,0.684084802206739,1
ENSGALG00010029774,-0.0169993282061202,-0.586935824876859,1,1
ENSGALG00010029773,0.0186991086597625,4.64805968411398,0.933604474143052,1
ENSGALG00010029772,-0.110559288083349,5.70481087007493,0.706513954175462,1
ENSGALG00010029770,0.186970480757648,3.71553820067185,0.793891277480511,1
ENSGALG00010029766,-0.038748361414211,3.66789151654847,0.925419266809577,1
ENSGALG00010029765,-1.02749706313404,-0.70655795967318,0.284519550193858,1
ENSGALG00010029761,-0.123568218295382,4.06529180749129,0.730761224601764,1
ENSGALG00010029755,-0.425464185266771,6.19594536392955,0.550315340707165,1
ENSGALG00010029751,0,-3.18344835429513,1,1
ENSGALG00010029749,0.798106370520581,3.63439209282027,0.123047767278051,1
ENSGALG00010029745,-0.398271531918525,3.90859278188842,0.406047562963239,1
ENSGALG00010029739,-0.121332122431811,5.57146580616594,0.932114525389536,1
ENSGALG00010029737,-0.349074014472987,1.0586154418815,0.760499856343288,1
ENSGALG00010029733,-0.250305658057324,-1.29047759626935,0.89795935733977,1
ENSGALG00010029727,-0.26092128947327,1.87103081811648,0.637886654700716,1
ENSGALG00010029726,-0.142222723210386,7.79105523219739,0.740037886664797,1
ENSGALG00010029725,-0.612708541263868,4.18590701575425,0.159897330718888,1
ENSGALG00010029724,-1.91147866821758,-2.32574695663855,0.149947294470243,1
ENSGALG00010029723,-0.84547970211787,2.77897840523807,0.485597471307948,1
ENSGALG00010029721,-0.126654964181901,5.53189608945724,0.677990500196815,1
ENSGALG00010029711,-0.31952806579809,2.87117452956745,0.494831422458115,1
ENSGALG00010029710,0.201380887393141,6.07873073144375,0.629106721044752,1
ENSGALG00010029709,-0.201346605461666,5.52764279113822,0.766636598961917,1
ENSGALG00010029708,-0.165550248990274,5.7449688040517,0.647228123520712,1
ENSGALG00010029706,0.0875113364389193,6.96754466950825,0.820091158112102,1
ENSGALG00010029702,-1.67430888311143,-2.55317164530139,0.629472487946112,1
ENSGALG00010029701,-0.0221077267216139,5.64308697920761,0.956831645374747,1
ENSGALG00010029700,-0.31457359848929,6.94863706295644,0.426599840190462,1
ENSGALG00010029699,-0.13534665542715,3.20050278641044,0.840567027652441,1
ENSGALG00010029698,-0.0381906171024137,5.9354721398205,0.921631076718745,1
ENSGALG00010029697,-0.403218167137406,5.14979123390998,0.416390207649334,1
ENSGALG00010029693,0.268147581618767,6.65290671935327,0.551604876437167,1
ENSGALG00010029691,-0.0865395460757832,6.24546556890326,0.840657595758078,1
ENSGALG00010029690,0.198788347243762,4.00849342923435,0.673340985680947,1
ENSGALG00010029689,0.214082715182959,6.19447845293014,0.628172201983668,1
ENSGALG00010029688,0.600882760254266,3.89332913466406,0.552182330527708,1
ENSGALG00010029687,-2.57364321942269,-2.91689786390817,0.667100698209781,1
ENSGALG00010029683,-0.0903661795296035,3.24257858269964,0.836679474658871,1
ENSGALG00010029680,0,-3.23527591473391,1,1
ENSGALG00010029678,0,-3.1501144126548,1,1
ENSGALG00010029677,-0.21535909731885,7.13864616958614,0.6121850179743,1
ENSGALG00010029675,0.537446356403229,1.65012538744502,0.276648515695585,1
ENSGALG00010029672,-0.538243658741833,0.707345054712345,0.459013913923194,1
ENSGALG00010029669,-0.562939026830571,4.37125283572952,0.176005960110213,1
ENSGALG00010029668,0.794866794406322,4.52308378581714,0.100217890588231,1
ENSGALG00010029664,0.992497213783332,3.80991410028653,0.109172019598015,1
ENSGALG00010029661,0.373604727406715,2.84237050793759,0.612020793216187,1
ENSGALG00010029658,0.238819296554489,5.97562612954939,0.438350938107851,1
ENSGALG00010029657,0.169103620486078,7.42733158033171,0.749267735826762,1
ENSGALG00010029656,0.152346155600252,4.05096074120248,0.690744969926134,1
ENSGALG00010029655,0.300871507384021,5.83269996665023,0.54855803082523,1
ENSGALG00010029653,0.0558886852798485,7.05330850671148,0.862651869179806,1
ENSGALG00010029651,0.170549562918771,-2.22993622681133,0.963798025332417,1
ENSGALG00010029650,0.0342438604932234,3.82820343046361,0.920747262016644,1
ENSGALG00010029647,-0.146498896710079,1.95974219408164,0.776404368642448,1
ENSGALG00010029641,1.06244296553034,7.27562666581593,0.25656554102255,1
ENSGALG00010029640,0,-3.05064822114717,1,1
ENSGALG00010029639,-1.64636798885802,5.31777351346422,0.242958494779372,1
ENSGALG00010029637,-1.78936344380162,-3.0873956680688,1,1
ENSGALG00010029636,-0.257519722153589,5.44177300298625,0.555461731598125,1
ENSGALG00010029634,-0.214675105991027,10.2028463200931,0.642581781954022,1
ENSGALG00010029633,-0.410020204332396,4.28895385389175,0.548568267705496,1
ENSGALG00010029630,0.189705399470769,4.37654578958551,0.588948903001906,1
ENSGALG00010029627,0.108052113765646,2.89360271026849,0.747441434768624,1
ENSGALG00010029626,0.305254983026356,8.2717289192227,0.470224522952341,1
ENSGALG00010029625,0.318647062411166,6.54153758773107,0.576980400999929,1
ENSGALG00010029631,-0.329753477857356,5.18854487208843,0.265378954574907,1
ENSGALG00010029624,0.0120164711778551,2.89565702694516,0.952915461709802,1
ENSGALG00010029622,0.732370396892138,0.522533587119708,0.29364406769244,1
ENSGALG00010029616,-0.303850162393626,4.91733569833211,0.481811324660661,1
ENSGALG00010029614,0.320148461161198,7.44529202428021,0.593066985390107,1
ENSGALG00010029612,0,-3.19031293611516,1,1
ENSGALG00010029609,-0.612100100818951,0.301471720922168,0.319683198721852,1
ENSGALG00010029605,0.111380758830448,4.6672971146679,0.744860035286916,1
ENSGALG00010029604,-0.343505909105282,4.99342957993663,0.471993611279957,1
ENSGALG00010029601,-0.858117217418818,-2.36538351448204,0.749123238326764,1
ENSGALG00010029600,0.00486051830276008,5.08452954155884,0.971860444277899,1
ENSGALG00010029596,0.0287367660931185,3.43626984586305,0.929804769854743,1
ENSGALG00010029595,-0.0643146048103281,5.47591910244492,0.937817672263672,1
ENSGALG00010029592,-0.131106133961797,5.46920014371957,0.825852438452229,1
ENSGALG00010029589,-1.66977753575153,-2.9384592557152,1,1
ENSGALG00010029588,-0.113456356830628,2.5861159313629,0.917509708866643,1
ENSGALG00010029587,0,-3.28454432349721,1,1
ENSGALG00010029586,-0.314624843909334,4.9523688314353,0.563528180240938,1
ENSGALG00010029585,1.72128563327247,4.02055748650547,0.046369535462767,1
ENSGALG00010029584,-0.878511271237704,8.20896046495844,0.547298644625619,1
ENSGALG00010029581,-0.236620565589479,4.67861293427637,0.631529138245243,1
ENSGALG00010029580,0.609602713959358,4.08066420866252,0.319290790712128,1
ENSGALG00010029577,0.256405557282498,0.22177603154218,0.788409402494103,1
