	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_4h	chicken_d_lps_4h
ENSGALG00000047959	2	1	3	0
ENSGALG00000027526	13	11	21	10
ENSGALG00000032011	7	3	4	0
ENSGALG00000005929	1139	1042	1047	540
ENSGALG00000046425	77	42	107	30
ENSGALG00000036763	137	95	110	80
ENSGALG00000054202	6	0	15	2
ENSGALG00000043012	23	11	11	0
ENSGALG00000048475	19346	19425	15074	5731
ENSGALG00000053505	25	4	38	6
ENSGALG00000047071	53	19	38	42
ENSGALG00000049412	240	197	263	157
ENSGALG00000049916	3	0	2	0
ENSGALG00000006651	60	32	72	31
ENSGALG00000053881	652	451	620	401
ENSGALG00000005655	94	57	201	235
ENSGALG00000043143	41	21	32	8
ENSGALG00000036805	1108	969	1368	555
ENSGALG00000029702	3395	3073	3659	2163
ENSGALG00000032042	33	42	65	32
ENSGALG00000012365	2529	2092	2418	1325
ENSGALG00000036196	1364	928	1333	808
ENSGALG00000009965	14941	20096	16702	8049
ENSGALG00000031524	32	10	9	3
ENSGALG00000013239	483	275	116	6
ENSGALG00000051726	16	5	16	8
ENSGALG00000048605	8	6	19	10
ENSGALG00000047566	298	180	330	194
ENSGALG00000038522	1058	788	1175	677
ENSGALG00000036994	20	5	17	0
ENSGALG00000031447	596	445	464	264
ENSGALG00000041233	2	3	2	0
ENSGALG00000002389	116	207	123	43
ENSGALG00000049533	399	435	298	167
ENSGALG00000046371	382	422	389	281
ENSGALG00000054889	2676	1357	2860	1282
ENSGALG00000035743	17	11	30	3
ENSGALG00000043906	18	88	20	31
ENSGALG00000038593	134	60	139	62
ENSGALG00000049390	72	27	60	38
ENSGALG00000004504	86	59	63	37
ENSGALG00000054495	517	379	517	304
ENSGALG00000028898	227	157	267	187
ENSGALG00000039964	2083	1539	2291	1089
ENSGALG00000005644	6052	3268	6726	2703
ENSGALG00000049626	1477	1148	1596	731
ENSGALG00000027899	505	306	546	270
ENSGALG00000001764	78	49	60	11
ENSGALG00000033234	4644	2702	4983	2045
ENSGALG00000040041	572	421	676	412
ENSGALG00000043389	228	228	199	97
ENSGALG00000051259	545	562	476	263
ENSGALG00000047702	1220	669	998	558
ENSGALG00000051897	175	60	57	55
ENSGALG00000009156	257	155	198	173
ENSGALG00000035030	45	0	28	0
ENSGALG00000030657	56	49	85	39
ENSGALG00000044684	261	80	327	51
ENSGALG00000027429	48	36	26	14
ENSGALG00000029533	1023	610	817	659
ENSGALG00000038853	438	235	400	213
ENSGALG00000039257	1584	864	1282	669
ENSGALG00000054956	192	130	223	77
ENSGALG00000042944	1	0	7	5
ENSGALG00000049014	10	2	5	1
ENSGALG00000039780	94	44	65	38
ENSGALG00000037269	538	250	625	397
ENSGALG00000041553	1	0	4	4
ENSGALG00000034426	114	72	124	85
ENSGALG00000002957	6	3	4	0
ENSGALG00000027592	1595	1231	2290	1211
ENSGALG00000050386	1766	1983	1803	885
ENSGALG00000011326	317	194	340	171
ENSGALG00000054882	613	311	527	283
ENSGALG00000009650	236	265	137	41
ENSGALG00000008337	1397	835	1440	1461
ENSGALG00000042551	7	5	4	9
ENSGALG00000037527	2325	1497	2773	1524
ENSGALG00000051984	142	135	492	248
ENSGALG00000051385	34	30	35	5
ENSGALG00000011715	4140	6552	2967	5298
ENSGALG00000054952	2311	2695	2655	1283
ENSGALG00000052734	38	28	35	13
ENSGALG00000040316	43	15	32	15
ENSGALG00000033656	473	312	557	271
ENSGALG00000006123	156	103	127	81
ENSGALG00000005770	430	305	377	221
ENSGALG00000037018	1657	1053	1768	1052
ENSGALG00000026221	633	455	682	423
ENSGALG00000049557	295	106	320	111
ENSGALG00000026834	10	11	14	7
ENSGALG00000053084	12	9	5	1
ENSGALG00000008457	1433	934	1088	838
ENSGALG00000038311	18	12	26	8
ENSGALG00000028026	367	226	563	319
ENSGALG00000029166	226	108	320	149
ENSGALG00000016325	13001	8984	13031	9515
ENSGALG00000011189	17	9	13	9
ENSGALG00000007572	845	594	1040	567
ENSGALG00000048579	40	60	62	18
ENSGALG00000004622	438	316	494	271
ENSGALG00000015006	16	10	28	12
ENSGALG00000012869	2	1	3	1
ENSGALG00000028551	656	552	657	267
ENSGALG00000033971	749	497	543	438
ENSGALG00000007592	381	322	492	221
ENSGALG00000002532	1227	1642	1014	538
ENSGALG00000019551	23	19	21	7
ENSGALG00000033730	121	89	117	104
ENSGALG00000012552	1942	1655	2103	1728
ENSGALG00000030481	221	226	231	133
ENSGALG00000016737	984	546	1211	684
ENSGALG00000032402	4	5	11	2
ENSGALG00000045788	1783	1174	1949	1229
ENSGALG00000025991	8	3	12	6
