	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_8h	chicken_d_pic_8h
ENSGALG00000027526	13	11	11	15
ENSGALG00000032011	7	3	8	0
ENSGALG00000005929	1139	1042	1190	1504
ENSGALG00000046425	77	42	153	93
ENSGALG00000036763	137	95	96	80
ENSGALG00000054202	6	0	3	1
ENSGALG00000043012	23	11	22	5
ENSGALG00000048475	19346	19425	4772	3506
ENSGALG00000053505	25	4	86	8
ENSGALG00000047071	53	19	16	4
ENSGALG00000049412	240	197	159	125
ENSGALG00000006651	60	32	49	34
ENSGALG00000053881	652	451	551	535
ENSGALG00000005655	94	57	111	50
ENSGALG00000043143	41	21	5	11
ENSGALG00000036805	1108	969	434	531
ENSGALG00000029702	3395	3073	3181	3195
ENSGALG00000032042	33	42	34	22
ENSGALG00000037439	5	0	83	21
ENSGALG00000012365	2529	2092	727	827
ENSGALG00000036196	1364	928	498	377
ENSGALG00000009965	14941	20096	5272	6525
ENSGALG00000031524	32	10	5	9
ENSGALG00000013239	483	275	38	10
ENSGALG00000051726	16	5	15	2
ENSGALG00000048605	8	6	11	6
ENSGALG00000047566	298	180	161	163
ENSGALG00000038522	1058	788	700	661
ENSGALG00000036994	20	5	17	0
ENSGALG00000031447	596	445	320	327
ENSGALG00000041233	2	3	2	0
ENSGALG00000002389	116	207	41	75
ENSGALG00000049533	399	435	177	177
ENSGALG00000046371	382	422	178	163
ENSGALG00000044235	1	0	11	8
ENSGALG00000054889	2676	1357	1287	1322
ENSGALG00000035743	17	11	3	4
ENSGALG00000043906	18	88	4	45
ENSGALG00000038593	134	60	44	41
ENSGALG00000049390	72	27	53	35
ENSGALG00000004504	86	59	19	17
ENSGALG00000054495	517	379	374	334
ENSGALG00000028898	227	157	185	169
ENSGALG00000039964	2083	1539	1421	1550
ENSGALG00000005644	6052	3268	3990	3286
ENSGALG00000049626	1477	1148	954	1022
ENSGALG00000036593	0	0	9	16
ENSGALG00000027899	505	306	249	324
ENSGALG00000042686	1	1	25	14
ENSGALG00000001764	78	49	4	4
ENSGALG00000033234	4644	2702	4731	4115
ENSGALG00000040041	572	421	304	308
ENSGALG00000043389	228	228	107	78
ENSGALG00000051259	545	562	230	293
ENSGALG00000047702	1220	669	893	827
ENSGALG00000051897	175	60	28	27
ENSGALG00000009156	257	155	201	222
ENSGALG00000023819	1	1	2	13
ENSGALG00000035030	45	0	27	4
ENSGALG00000030657	56	49	42	42
ENSGALG00000044684	261	80	133	51
ENSGALG00000027429	48	36	15	35
ENSGALG00000029533	1023	610	399	353
ENSGALG00000038853	438	235	211	223
ENSGALG00000039257	1584	864	176	102
ENSGALG00000054956	192	130	85	106
ENSGALG00000042944	1	0	8	2
ENSGALG00000049014	10	2	10	0
ENSGALG00000039780	94	44	29	35
ENSGALG00000037269	538	250	274	227
ENSGALG00000034426	114	72	51	51
ENSGALG00000002957	6	3	1	0
ENSGALG00000027592	1595	1231	600	489
ENSGALG00000050386	1766	1983	602	541
ENSGALG00000011326	317	194	200	157
ENSGALG00000054882	613	311	225	207
ENSGALG00000009650	236	265	30	15
ENSGALG00000008337	1397	835	500	466
ENSGALG00000042551	7	5	8	8
ENSGALG00000037527	2325	1497	1172	1003
ENSGALG00000025800	2	0	12	6
ENSGALG00000051984	142	135	92	35
ENSGALG00000051385	34	30	53	60
ENSGALG00000011715	4140	6552	4861	17803
ENSGALG00000054952	2311	2695	673	951
ENSGALG00000052734	38	28	40	26
ENSGALG00000041371	4	0	5	4
ENSGALG00000040316	43	15	84	95
ENSGALG00000033656	473	312	176	210
ENSGALG00000006123	156	103	103	108
ENSGALG00000005770	430	305	281	282
ENSGALG00000037018	1657	1053	576	609
ENSGALG00000026221	633	455	249	217
ENSGALG00000049557	295	106	167	100
ENSGALG00000026834	10	11	0	5
ENSGALG00000053084	12	9	5	2
ENSGALG00000008457	1433	934	700	1198
ENSGALG00000038311	18	12	9	7
