,logFC,logCPM,PValue,QValue
ENSGALG00000027716,6.26921121549829,8.36888280635725,2.27702106847645e-67,3.04346636012562e-63
ENSGALG00000043754,4.48599047195154,5.03491080808135,6.72776436553496e-36,4.49616492548702e-32
ENSGALG00000008997,5.96875534097213,7.36831459775525,1.46303472205258e-34,6.51830736498492e-31
ENSGALG00000020316,7.97404752884596,7.64990067377999,3.15517143298585e-34,1.05430053433222e-30
ENSGALG00000023472,8.64721438495122,2.90595219025507,8.05077696268201e-33,2.15213369766415e-29
ENSGALG00000041978,4.19154177130704,7.95938078186089,2.24949647081561e-30,5.01112830482024e-27
ENSGALG00000000507,6.77099431882926,3.76636916370375,1.86806842993367e-29,3.56694323349906e-26
ENSGALG00000032997,4.64803280182549,6.3477763029738,3.15947480137364e-25,5.27869252439501e-22
ENSGALG00000002766,7.8392863299744,4.34173187060388,7.59645742798399e-24,1.12815833313816e-20
ENSGALG00000002383,3.13163856494909,7.66828228511724,1.12450132764243e-23,1.50300847452687e-20
ENSGALG00000043605,8.04434682056862,2.31794646992221,3.76946110849907e-23,4.58023792510897e-20
ENSGALG00000031482,3.76215553398646,3.54337965600872,9.22885785990712e-22,1.02794095129599e-18
ENSGALG00000032335,5.1995715868409,7.66158751773256,1.17514478049331e-21,1.20822962585181e-18
ENSGALG00000040832,5.62613478194662,2.45777164927282,1.51284733678412e-21,1.44433696453261e-18
ENSGALG00000000081,6.19353670685792,6.02963229921207,2.03557881657424e-21,1.81383643082209e-18
ENSGALG00000051203,6.06548625991993,6.62111667731484,2.34335674494005e-19,1.95758164080429e-16
ENSGALG00000027822,3.24470467045801,4.57026577440414,2.99037610720952e-19,2.35113923817426e-16
ENSGALG00000027786,3.47784059441932,5.91112188133146,3.92833819843761e-18,2.9034582117174e-15
ENSGALG00000035007,5.34641356114505,4.28455366245317,4.1273160274301e-18,2.9034582117174e-15
ENSGALG00000034742,3.20653792844859,4.0965200795788,1.2688203337299e-17,8.47952629031695e-15
ENSGALG00000043064,2.87366521915005,9.40250417580042,1.56904523637623e-17,9.98659934733559e-15
ENSGALG00000029035,4.26303253861326,4.95594132020753,2.7133551520171e-17,1.64848658917548e-14
ENSGALG00000033002,2.00698998575473,7.03202351470073,1.16628614793441e-16,6.77764376230056e-14
ENSGALG00000023933,4.08473206841765,6.38024047036012,2.35939061136738e-16,1.31398395464735e-13
ENSGALG00000003932,3.07872093794851,6.3202775243948,5.7146654250047e-16,3.05528872282451e-13
ENSGALG00000000558,3.35563406342012,3.35390995328993,6.75835569276415e-16,3.4743146995956e-13
ENSGALG00000014582,-2.23205040439418,4.90304103978634,1.09560135604002e-15,5.42363249067813e-13
ENSGALG00000026098,2.24257476991951,4.44860443620544,1.31470882144428e-15,6.27585646693723e-13
ENSGALG00000000608,2.88704525745204,3.90944247186087,2.14179098872249e-15,9.87144081216027e-13
ENSGALG00000003217,2.02374047154091,8.08337014225101,2.21929862121875e-15,9.88771512373662e-13
ENSGALG00000010628,2.93211644557289,9.57015344655311,3.12584364225911e-15,1.34774277814307e-12
ENSGALG00000006756,2.65323376716509,10.6867746809089,6.83008239894422e-14,2.85284004200901e-11
ENSGALG00000021025,3.76293015948326,3.91732283108778,9.72621077253954e-14,3.93941009653829e-11
ENSGALG00000016721,1.98935848702237,6.88445095221177,1.04225211417994e-13,4.09727698768502e-11
ENSGALG00000037029,3.272443966144,2.73614828618973,2.17348572063985e-13,8.30023146916351e-11
ENSGALG00000046593,3.15145514674492,3.95437354723122,3.85316018478298e-13,1.43059275082804e-10
