,logFC,logCPM,PValue,QValue
ENSGALG00000048874,13.9373762566576,9.83599808604864,8.67194472552127e-126,1.18068527437972e-121
ENSGALG00000010915,10.8213539272028,9.15587532682991,1.58458652280945e-109,1.07870727540253e-105
ENSGALG00000005759,11.6748219206741,7.59757014357509,7.80636904094472e-105,3.54279048308208e-101
ENSGALG00000009639,10.9673099855352,6.87988484719161,5.48817467767138e-102,1.8680374559124e-98
ENSGALG00000009903,12.207605733481,6.38098706031462,6.4289432453141e-91,1.45883437141586e-87
ENSGALG00000054104,11.047308215519,6.60262739523292,5.57529533654928e-91,1.45883437141586e-87
ENSGALG00000054396,13.9642548325441,5.95569339471735,5.97151824788016e-82,1.16146029921269e-78
ENSGALG00000016556,6.92836858504435,8.47271754627146,1.34422331436837e-75,2.28770005314067e-72
ENSGALG00000007158,6.42786029875677,8.35972804067813,1.03149530575345e-73,1.56042317642591e-70
ENSGALG00000045085,7.50991076900434,13.7102085280788,2.15622750256738e-71,2.93570374474549e-68
ENSGALG00000016788,6.67222667982168,5.4779144954179,2.79740803422344e-62,3.46242821690474e-59
ENSGALG00000041192,6.30463874671187,10.8813182899542,4.79332733999802e-61,5.43842931117275e-58
ENSGALG00000050943,5.37812978199532,8.665788404983,5.48386747549112e-60,5.74329659067782e-57
ENSGALG00000037629,5.93015206648469,9.82690304958725,1.69205708108242e-57,1.64552551135266e-54
ENSGALG00000050257,5.87999209096613,5.35544945730818,7.10897460558077e-57,6.45257928366548e-54
ENSGALG00000016400,5.58673735796684,12.3177771137832,7.56545851312857e-53,6.43773235351535e-50
ENSGALG00000015662,9.93596768998174,4.93528915438995,1.21422351885157e-52,9.72450188774362e-50
ENSGALG00000045478,6.65569549116612,5.96477945904952,1.2986648903189e-52,9.82295693427325e-50
ENSGALG00000028871,9.92382021705543,4.0988096285159,1.74776613936945e-52,1.25241242039553e-49
ENSGALG00000007701,7.60183654675803,5.28200324557676,5.32763447796082e-51,3.62678717087183e-48
ENSGALG00000010149,4.9063137952061,9.06975563440955,3.53715738851948e-50,2.29325704022346e-47
ENSGALG00000032618,7.17425331814723,6.58435589919025,3.83084052585543e-49,2.37076789816008e-46
ENSGALG00000026422,5.11176531424676,9.66602322004165,4.70630090291814e-49,2.66984528305127e-46
ENSGALG00000045534,4.65872084084862,7.58103640698141,4.66519712483428e-49,2.66984528305127e-46
ENSGALG00000045596,5.01120874628431,7.32872731912027,1.17360282584412e-48,6.39144098954707e-46
ENSGALG00000046098,4.62174153848294,6.43258377481536,1.48965492844406e-48,7.80063532721762e-46
ENSGALG00000007874,5.09472948748474,6.91947075855242,3.32574174509091e-48,1.67703606886714e-45
ENSGALG00000030661,4.64317318331039,9.60408496265146,1.57619295289507e-47,7.6642382334523e-45
ENSGALG00000013057,4.77412039955659,9.39166178528986,2.40435780269274e-47,1.12880453391937e-44
ENSGALG00000006944,6.63041453050553,4.31644894543822,1.46583547063727e-46,6.65244997757547e-44
ENSGALG00000006352,5.53738045726634,6.36497022417756,3.1893298314999e-46,1.40073308567326e-43
ENSGALG00000028005,4.79968723528065,5.22533358331167,5.85827112160922e-46,2.49251129127217e-43
ENSGALG00000030291,4.65219356885107,8.33565302029793,1.57021846844432e-45,6.47834074177859e-43
ENSGALG00000010560,5.16461216404392,9.66688362629129,2.21713808344195e-45,8.87833382531239e-43
ENSGALG00000023821,4.45243308801499,7.02096621134185,3.27414293795247e-45,1.27364160286351e-42
ENSGALG00000030571,4.77437410680685,6.83177384854561,1.12902963149875e-44,4.26992734245987e-42
ENSGALG00000027533,4.57647530363264,6.47646855333463,1.71723013518251e-44,6.31894278121889e-42
ENSGALG00000003003,6.00494855703003,5.39853736567318,2.04931137131891e-44,7.3424669264492e-42
