,logFC,logCPM,PValue,QValue
ENSGALG00000008544,-1.97012777908558,4.75268048791812,7.39568738242007e-12,3.6510043377880403e-09
ENSGALG00000015143,-3.55058996899053,5.98264570399979,1.4594859126252401e-09,4.74475310472727e-07
ENSGALG00000011608,-1.90274460967004,8.89987676078265,4.21299739376218e-09,1.27625096048764e-06
ENSGALG00000002028,-2.80664927199624,4.19275594924318,7.093288621593791e-09,2.05535747907008e-06
ENSGALG00000006401,-1.62117996558964,5.53895918369708,3.50187030991369e-08,9.52580191037542e-06
ENSGALG00000010718,-1.79606320414305,3.93474541797412,9.59157769996731e-08,2.45857959928585e-05
ENSGALG00000006374,-1.59928088860285,4.74664629401464,1.53502853203756e-07,3.72007187336885e-05
ENSGALG00000000311,-1.59753767070398,6.3134059118527,2.26293517217291e-07,5.14874349054322e-05
ENSGALG00000017089,-1.64035430588262,7.49311144548267,6.79664475981291e-07,0.0001352126537366
ENSGALG00000033619,-1.48443395165234,4.34524618925317,1.07752995189401e-06,0.0002022872778703
ENSGALG00000006076,-1.68039247457716,5.09700341617449,1.12043165234565e-06,0.0002074199096404
ENSGALG00000032382,-1.48721442056413,4.73834098912988,1.86543291871214e-06,0.000327368114921
ENSGALG00000010961,-1.67453431215935,3.62482212100867,2.66854333115856e-06,0.0004560130007822
ENSGALG00000010921,-1.9673528602728,6.24811091406818,4.58937356266467e-06,0.000739066516131
ENSGALG00000003849,-1.85371207176677,4.68027230405787,4.53366082154287e-06,0.000739066516131
ENSGALG00000043618,-1.50908059603412,7.63045462380831,6.02675857428131e-06,0.0009095531344753
ENSGALG00000017652,-1.86482733207605,3.75553264066894,6.07324097594015e-06,0.0009095531344753
ENSGALG00000036133,-1.35407902544749,4.48868857706262,7.52483653898295e-06,0.0010902015894359
ENSGALG00000002854,-3.34044789344119,0.556657332653467,7.95674857669741e-06,0.0011403817395569
ENSGALG00000008385,-1.19420972116675,5.29823105454002,9.32227974203284e-06,0.0012679251702199
ENSGALG00000009825,-1.69924546899097,4.02514547522967,1.30232283433285e-05,0.0016853068989148
ENSGALG00000046788,-2.66754341985532,1.76695979710668,1.42276243574288e-05,0.0017723364958894
ENSGALG00000006567,-1.12717220776559,7.05073358205862,1.46746340886557e-05,0.0018110944237749
ENSGALG00000003732,-1.07762455565194,7.73682957612829,2.02432421816389e-05,0.0024308304057573
ENSGALG00000015935,-4.09853629536375,0.937040516367406,2.06104967657662e-05,0.0024528331374187
ENSGALG00000008439,-1.28522906342904,8.38996377944344,2.09096097255092e-05,0.0024602634071623
ENSGALG00000040993,-1.49248032034918,3.43841328645266,2.10420908107519e-05,0.0024602634071623
ENSGALG00000048911,-1.5704610753425,3.20094100043131,3.06671840839738e-05,0.0034936999714127
ENSGALG00000007114,-1.65951131523317,6.46914315767086,3.74124570263407e-05,0.0041496132904506
ENSGALG00000012481,-4.73830042722765,0.145657316768925,3.91588840325217e-05,0.0042782685677826
ENSGALG00000003841,-1.17031348413617,4.91242073984529,4.23521728216847e-05,0.0045895293621157
ENSGALG00000052302,-1.94811933210169,4.57287364308266,4.61885262244834e-05,0.0048860862384614
ENSGALG00000007078,-1.10627810597222,7.37140505720468,5.33171752805285e-05,0.0055520674165169
ENSGALG00000006526,-1.78543476580858,3.25371666795352,5.51605000999249e-05,0.0056994907428829
ENSGALG00000042810,-2.56461631084296,5.56378603197584,5.6777956318353e-05,0.0057332831800555
ENSGALG00000000314,-3.7704120776806,2.82967243717091,5.85635600157216e-05,0.0057821754922189
ENSGALG00000030025,-3.22823163971376,6.82794543753822,6.16306958067526e-05,0.0060270930813173
ENSGALG00000008744,-1.27300393137847,6.38402342431708,6.56139815628376e-05,0.006246919716079
ENSGALG00000032632,-1.06459345403204,6.38140722543197,7.40211539188609e-05,0.0069480842294682
ENSGALG00000048153,-2.48805209755674,1.55243318877381,7.55265840000739e-05,0.0069515786115165
ENSGALG00000028373,-1.65137741433308,4.06709560686325,7.56229948735763e-05,0.0069515786115165
ENSGALG00000010433,-1.14981421623612,5.96921145476796,8.11165361287349e-05,0.0074054952743829
ENSGALG00000004140,-1.81551241760678,2.79060366776396,8.39361251823593e-05,0.0075593554902409
ENSGALG00000009700,-1.08079133212962,4.77796699462775,8.39193973879482e-05,0.0075593554902409
ENSGALG00000049201,-6.5769833622296,-0.959014142068869,9.01151828769432e-05,0.0080076351504451
ENSGALG00000033512,-1.028390705112,5.32936101604184,9.40017800334206e-05,0.0082430903030622
ENSGALG00000009875,-3.04900436976845,0.800957192252412,0.0001026178811053,0.0088817775146312
ENSGALG00000000636,-0.994905499185746,5.43288271560386,0.0001164042962173,0.0098825023202601
