,logFC,logCPM,PValue,QValue
ENSGALG00000027716,6.22662509126637,8.29545188538575,3.67091369433247e-52,4.89296086317576e-48
ENSGALG00000020316,6.81098956928999,6.45868892111451,1.38388592353793e-25,9.222907737418509e-22
ENSGALG00000000608,3.60507044740095,4.52173866640462,5.85286930072534e-24,2.60042983031227e-20
ENSGALG00000029035,4.83330670130068,5.46844865976103,1.22674185835246e-21,4.0878105574949794e-18
ENSGALG00000027786,3.46768713335579,5.86957508989869,7.80686743082207e-18,2.08115471970855e-14
ENSGALG00000041978,2.82330438140206,6.67352471366652,1.1531070193449401e-17,2.56162724347478e-14
ENSGALG00000002383,3.19659571795001,7.69416874484641,3.97571509349691e-17,6.62403831015254e-14
ENSGALG00000000507,5.83862445842167,2.81639782813903,3.54994493718926e-17,6.62403831015254e-14
ENSGALG00000027822,3.43110008344116,4.70251959787376,5.0523313171766103e-17,7.48250268073855e-14
ENSGALG00000023933,3.89118707273086,6.16662828399219,5.84823718984462e-17,7.7951153503439e-14
ENSGALG00000008997,4.15478607483419,5.57596486379286,2.99994526820369e-16,3.63511549817154e-13
ENSGALG00000043754,3.23238922158173,3.83044266984101,5.85975895165607e-16,6.50872725555198e-13
ENSGALG00000026098,2.51612626966378,4.6437401666966,3.2882268878321905e-15,3.37144432214732e-12
ENSGALG00000032335,4.35574423980306,6.81474398385696,3.78997179653564e-15,3.6083238625731097e-12
ENSGALG00000032997,2.75177219505121,4.56371027563107,8.654161945744051e-15,7.69008830498817e-12
ENSGALG00000051203,5.09106902695669,5.6339173948612,2.40986105863868e-14,2.0075648781621897e-11
ENSGALG00000000081,5.478103570175,5.28528659346838,3.3502786072864904e-14,2.6268155033248e-11
ENSGALG00000035007,4.94341555753655,3.85293522274855,3.57002315162858e-14,2.6436021437809697e-11
ENSGALG00000040832,5.56637568302372,2.34853865911487,5.62320670702263e-14,3.9448274841002396e-11
ENSGALG00000036942,2.70815102421552,5.53426597279624,6.10778450364229e-14,4.0705329824524095e-11
ENSGALG00000003932,2.70753534830578,5.96161253712078,2.99492278765672e-13,1.9009202779369701e-10
ENSGALG00000046593,3.11075744237838,3.88569425977904,4.52000208853043e-13,2.73850490172827e-10
ENSGALG00000006756,2.97847007455516,10.9396688390702,5.73773883571845e-13,3.32514438875179e-10
ENSGALG00000043064,3.30953105915401,9.76050159956663,6.94186570762717e-13,3.85533866737344e-10
ENSGALG00000051984,2.4652408993765,4.76417189494952,1.37576137587533e-12,7.05289360732394e-10
ENSGALG00000002766,6.94279447105689,3.3772797605636,1.3594612869285598e-12,7.05289360732394e-10
ENSGALG00000053121,2.68864921337892,7.09114818821193,2.89253465577793e-11,1.37694980095943e-08
ENSGALG00000010243,1.95670168959683,10.4372697843296,3.02056675418242e-11,1.38831497470681e-08
ENSGALG00000045607,8.59651875578484,0.654816405375617,4.2381318833197594e-11,1.88300199575897e-08
ENSGALG00000025945,6.52691749477348,9.73029316069894,5.884924721278409e-11,2.53032779386839e-08
ENSGALG00000006738,3.05683257165346,9.47748197638878,6.28668269101021e-11,2.61859979963985e-08
ENSGALG00000032717,2.47790134051593,6.79746888121895,6.82372674475768e-11,2.75616526608713e-08
ENSGALG00000034742,2.39968691768686,3.36476993121903,7.045811704472289e-11,2.76216541790915e-08
ENSGALG00000016721,1.85244259236543,6.74395080918354,1.02471484413166e-10,3.90240690212312e-08
ENSGALG00000005194,3.7740573567001,3.84341385805369,1.35559735685186e-10,5.01909921374403e-08
ENSGALG00000021025,3.59041595394541,3.72023860148929,1.56631441126966e-10,5.64254183454413e-08
ENSGALG00000029446,2.03464270232276,4.16943694661574,1.79790315748505e-10,6.30638189108375e-08
ENSGALG00000050728,5.19697227777896,3.15876071821402,2.4466295324139e-10,8.36182693270382e-08
ENSGALG00000000919,4.77716220003265,1.59021518806084,3.54708743156269e-10,1.18197820938248e-07
ENSGALG00000010628,1.89955058267724,8.67093922655246,1.6348194255379e-09,5.18821621976065e-07
ENSGALG00000014509,2.68703785276228,3.20430369686963,1.74236936078077e-09,5.40093981624345e-07
ENSGALG00000027835,1.81514186315385,5.24485335510192,6.736472155258311e-09,1.99534305238751e-06
ENSGALG00000010203,1.80054078695667,5.30184538434481,1.4083234419191e-08,3.99394535262545e-06
ENSGALG00000009963,3.63744092676452,6.79034945187996,1.6392299708444e-08,4.55193672528855e-06
ENSGALG00000015666,1.73156803591061,5.06219830652875,3.67296446138533e-08,9.79138866116101e-06
ENSGALG00000031482,2.95149043502787,2.75772395758827,3.87644874565505e-08,1.01312128099679e-05
ENSGALG00000002558,2.93265407614857,3.8912540360052,1.12421503139509e-07,2.82729474593681e-05
ENSGALG00000026768,4.54748710123369,4.41033495553615,1.52606579488114e-07,3.72007187336885e-05
ENSGALG00000004257,3.38857049846882,3.41212560947291,1.58190208473038e-07,3.76520944417344e-05
ENSGALG00000030081,1.83995930352289,5.80698381913246,1.79782117425064e-07,4.20406288273453e-05
ENSGALG00000014603,3.0281015878877,2.33739882670758,2.27905968896429e-07,5.14874349054322e-05
ENSGALG00000012761,2.05704661065724,6.69498903849222,2.67764121317997e-07,5.94837995507931e-05
ENSGALG00000006443,5.1060491790986,0.235102542807393,2.88514303054093e-07,6.30427400886557e-05
ENSGALG00000045596,1.69268940912886,4.43234446845416,3.0639784199913e-07,6.58705941291355e-05
ENSGALG00000029429,1.74466959890192,6.68028116108764,3.44174479499861e-07,7.28174863056135e-05
ENSGALG00000005473,1.56202614039291,5.74805048372696,3.52235137863709e-07,7.33584711341465e-05
ENSGALG00000047775,4.49932674260149,0.901850288077268,4.19538516485266e-07,8.60312136343403e-05
ENSGALG00000033002,1.31071195729891,6.47246023132205,6.47866742364004e-07,0.0001308396334692
ENSGALG00000035505,1.82209301799406,6.20861286241345,7.83361025325512e-07,0.0001535502809788
ENSGALG00000043675,1.283368088791,5.68539997377334,8.34757757912743e-07,0.0001612534225394
ENSGALG00000000209,1.44813182650364,6.93760114160381,9.65016188567385e-07,0.0001837528682487
ENSGALG00000003217,1.23928074225665,7.459625839259,1.58771167393426e-06,0.0002898987520804
ENSGALG00000026884,1.20396529434127,7.39846972224986,1.86095199371386e-06,0.000327368114921
ENSGALG00000014585,2.75755395965547,4.61661285783283,1.86660490164313e-06,0.000327368114921
ENSGALG00000029940,1.51625769605172,3.97852019021328,2.56116190902119e-06,0.0004433471050044
ENSGALG00000014971,3.36393419973062,1.82282601317516,3.22083582021566e-06,0.0005434243119956
ENSGALG00000004336,1.35378104204719,5.25234138092045,4.07706106621905e-06,0.0006792893368954
ENSGALG00000034960,1.81619466684145,4.03666646871176,4.60218477296685e-06,0.000739066516131
ENSGALG00000014970,1.5871844545412,3.65073997428836,4.89360424872127e-06,0.0007765101313238
ENSGALG00000013495,2.51187274465806,5.46225045307018,4.95824775130886e-06,0.0007775115797317
ENSGALG00000009520,1.92898746733945,5.90499880415746,5.62435532083483e-06,0.0008698844450076
ENSGALG00000052423,4.07032489551263,0.690279028711717,5.67784130209835e-06,0.0008698844450076
ENSGALG00000013218,1.43220225496027,6.60754124238681,6.14836194182552e-06,0.0009105724035843
ENSGALG00000005582,1.3241264801159,7.68747653981325,6.45695165984486e-06,0.0009457660293854
ENSGALG00000006352,1.84893444323654,3.07483922708865,8.38430315615456e-06,0.0011888763485998
