,logFC,logCPM,PValue,QValue
ENSGALG00000012061,-3.87844122147682,7.37891612584438,1.37793312488435e-34,2.53521074260817e-32
ENSGALG00000008439,-3.75443516494516,7.92203197320664,2.2538717755488404e-31,3.16355301279355e-29
ENSGALG00000034085,-3.80932374146299,4.31771016980846,1.64050808424396e-26,1.59539411192725e-24
ENSGALG00000034100,-3.39325578584645,6.27002797099685,4.76640211361638e-24,4.18674611463787e-22
ENSGALG00000008631,-3.53819442280367,5.90040033889968,2.56801060088096e-21,1.8499187476716602e-19
ENSGALG00000030677,-4.59706611001284,3.83013413360172,2.38465358144867e-19,1.54605040530589e-17
ENSGALG00000031306,-3.42307188828733,4.49942935422835,4.64884354352371e-18,2.7048720019263e-16
ENSGALG00000002598,-2.73669720044315,5.36644479958704,2.6048428394775e-17,1.4300377120760601e-15
ENSGALG00000032632,-2.13406871436903,6.04282771520711,1.16375324333481e-14,5.4076793201377e-13
ENSGALG00000026229,-3.35860796247408,3.64882485465239,2.02682699206116e-14,9.32271942463266e-13
ENSGALG00000035504,-5.01740211034375,1.9378997311359,2.47716182682667e-13,1.0706843895950799e-11
ENSGALG00000008262,-3.77107601860383,4.60652173062408,3.00786007604476e-13,1.2797504667296698e-11
ENSGALG00000006344,-2.88632242808028,3.27239449866638,8.60177835559914e-13,3.48551227117507e-11
ENSGALG00000003849,-2.80963554051108,4.44472253557725,2.1634934835150397e-12,8.4159896508735e-11
ENSGALG00000002492,-2.33415439347409,4.17809106568202,4.3324812158155e-12,1.63852032648134e-10
ENSGALG00000005845,-1.97345238952574,9.13661907991104,4.53616369807592e-12,1.71079968834636e-10
ENSGALG00000015849,-2.93242207925761,3.91144425789789,4.8350120788741295e-12,1.80848047950196e-10
ENSGALG00000020538,-2.38413331499503,4.75731825783752,4.89450757667005e-12,1.82571837414692e-10
ENSGALG00000031117,-3.59186455406559,5.34362158440081,5.35826591160646e-12,1.99324563897601e-10
ENSGALG00000002473,-2.35312342676047,4.22706185055806,6.51650798351313e-12,2.40439718687077e-10
ENSGALG00000015652,-2.24017373737566,4.49062451246906,7.46533326290913e-12,2.73963645214307e-10
ENSGALG00000021395,-2.85881900449358,6.65934280520473,7.84549934232461e-12,2.8714105791868203e-10
ENSGALG00000005676,-1.99976869185862,5.64849041859117,8.80186436214312e-12,3.17871043211084e-10
ENSGALG00000003010,-2.112686086896,4.82772813738499,1.0209467900012399e-11,3.65794488049127e-10
ENSGALG00000048035,-3.68102894588935,4.03783739697413,1.4593458942325098e-11,5.08158423273035e-10
ENSGALG00000011007,-2.22148880546263,4.80397591076351,1.53086889050056e-11,5.30350634711582e-10
ENSGALG00000017089,-1.9862292369625,7.34403819489413,1.7670027381029797e-11,6.02950934317595e-10
ENSGALG00000002313,-1.84812008319583,5.60373671492656,2.6105370130012798e-11,8.70578505846051e-10
ENSGALG00000037370,-1.88737553838729,5.33037069967452,3.9469009927715094e-11,1.2855755267125402e-09
ENSGALG00000032382,-2.42803888722175,4.47693167984088,4.7508576159463095e-11,1.5255407179506902e-09
ENSGALG00000010433,-3.13449145877165,5.51424629703981,4.9103843671224095e-11,1.56936345442187e-09
ENSGALG00000029652,-1.87509185130167,6.6101494217694,5.39432429137904e-11,1.7079936099331501e-09
ENSGALG00000023898,-2.94149305227699,3.1921819072047,5.6393219669622095e-11,1.7773001986155202e-09
