,logFC,logCPM,PValue,QValue
ENSGALG00000033171,-2.84957472964383,3.83876624062491,5.11726007637521e-05,0.876893686687655
ENSGALG00000026768,-5.05502784118236,4.71995100667746,0.000145979804890685,0.973112778673723
ENSGALG00000041752,-2.33970594148491,2.40037591390001,0.00017036288142047,0.973112778673723
ENSGALG00000047959,0.35531541504655,-2.46333719674048,1,1
ENSGALG00000050708,0,-2.86600809122234,1,1
ENSGALG00000053790,0,-2.86600809122234,1,1
ENSGALG00000050336,-1.49306902286908,-2.82095108635954,1,1
ENSGALG00000049509,0,-2.72543428815683,1,1
ENSGALG00000055002,0,-2.86600809122234,1,1
ENSGALG00000051129,0,-2.86600809122234,1,1
ENSGALG00000053450,0,-2.77446491340113,1,1
ENSGALG00000051694,0,-2.86600809122234,1,1
ENSGALG00000050262,0,-2.86600809122234,1,1
ENSGALG00000051666,0,-2.76762710736169,1,1
ENSGALG00000052071,0,-2.86600809122234,1,1
ENSGALG00000051007,0,-2.76762710736169,1,1
ENSGALG00000047633,0,-2.86600809122234,1,1
ENSGALG00000028424,0,-2.86600809122234,1,1
ENSGALG00000053872,0,-2.86600809122234,1,1
ENSGALG00000027526,-0.626999992377185,0.303964414271617,0.403476887941651,1
ENSGALG00000032011,-1.40931925662588,-1.24795847066474,0.762073274935771,1
ENSGALG00000005929,0.407095911673207,6.18472068410479,0.281845455327687,1
ENSGALG00000046425,-0.441991428298124,2.53665665255125,0.306086767440149,1
ENSGALG00000036763,0.215628166425758,2.75126776683337,0.471242361702898,1
ENSGALG00000049074,0,-2.86600809122234,1,1
ENSGALG00000054202,-1.24771096617869,-0.464531865213559,0.337038322395825,1
ENSGALG00000049602,0,-2.86600809122234,1,1
ENSGALG00000043012,-0.0292226487845547,-0.233083398196581,1,1
ENSGALG00000048475,0.666988696348436,9.21632815660841,0.221835163879474,1
ENSGALG00000053505,-1.82323579438628,0.704860193913325,0.153346700682635,1
ENSGALG00000013454,0,-2.86600809122234,1,1
ENSGALG00000047071,-1.43226066929036,1.44509695615839,0.0633343361515933,1
ENSGALG00000033577,2.55156537764425,-2.81646656184443,0.666666666666661,1
ENSGALG00000048555,0,-2.86600809122234,1,1
ENSGALG00000049412,-0.0153259325484429,3.67180429960043,0.96734805601791,1
ENSGALG00000049916,-3.23861676774794,-2.07912220917537,0.515482372039621,1
ENSGALG00000054895,0.276096943101639,-2.43039413552952,1,1
ENSGALG00000006651,-0.349398612072298,2.05311039396227,0.497835953951296,1
ENSGALG00000053881,0.145087520261747,5.10576295767182,0.498009491783658,1
ENSGALG00000036500,0,-2.86600809122234,1,1
ENSGALG00000031583,-0.178968543111263,-2.52530325688442,1,1
ENSGALG00000038767,0,-2.86600809122234,1,1
ENSGALG00000005655,0.0965189283243583,2.38380097913946,0.823395141325629,1
ENSGALG00000043143,0.318909117429269,0.25913628777983,0.657350561167245,1
ENSGALG00000036805,0.222737057224399,5.66687031287326,0.635388043713522,1
ENSGALG00000029702,0.250933859800495,7.605534939311,0.279286356722528,1
ENSGALG00000032042,0.402777415658331,1.33778528472531,0.346441861587521,1
ENSGALG00000037439,-3.18958309113889,0.790083043612406,0.556829899755267,1
ENSGALG00000012365,0.172607928314317,6.87630820494282,0.444188619610852,1
ENSGALG00000036196,-0.211299560043657,6.01390049376791,0.42414645253386,1
ENSGALG00000005435,0,-2.72327077140369,1,1
ENSGALG00000009965,0.693474665383048,9.32202640272754,0.115727744401539,1
ENSGALG00000051704,0,-2.81778052915987,1,1
ENSGALG00000031524,-0.664302545025238,0.538547790676139,0.465338214974407,1
ENSGALG00000013239,0.221986588664273,2.99739139984451,0.799269752962607,1
ENSGALG00000051726,-0.267110004550404,-0.505587481736141,0.988516060663155,1
ENSGALG00000048605,0.475383997884977,-0.538726593141355,0.594150981786562,1
ENSGALG00000047566,-0.380948806135547,3.82084951754894,0.149650245217025,1
ENSGALG00000048709,-4.70127908522482,-1.38628737400689,0.391677811547408,1
ENSGALG00000038522,0.116844628151511,5.72024078664774,0.57197394787334,1
ENSGALG00000036994,-1.52639828711115,-0.103766868928287,0.680449545697326,1
ENSGALG00000031447,0.344877704556609,4.59403560664448,0.211134844317056,1
ENSGALG00000041233,1.27867950410946,-2.29707481410306,0.542484718557624,1
ENSGALG00000002389,1.31285246600204,2.28763160964106,0.0148235140476941,1
ENSGALG00000049533,0.49453915898199,4.25344902615164,0.162886529183838,1
ENSGALG00000046371,0.270353380204907,4.26680772075992,0.324216533701245,1
ENSGALG00000044235,-1.4736064939497,-1.83764814456316,1,1
ENSGALG00000033786,-1.48809569110561,-2.56373290032177,1,1
ENSGALG00000054074,0,-2.86600809122234,1,1
ENSGALG00000053540,0,-2.86600809122234,1,1
ENSGALG00000031266,0,-2.86600809122234,1,1
ENSGALG00000029958,0,-2.86600809122234,1,1
ENSGALG00000054889,-0.120794281500844,6.81902818196486,0.625259195341553,1
ENSGALG00000035743,-1.0402097343624,0.0334041625151155,0.33992180905552,1
ENSGALG00000043906,1.45234144259541,1.05457641326584,0.117392161764684,1
ENSGALG00000038593,-0.640862399761525,2.37067084556834,0.0568999240484689,1
ENSGALG00000036360,-0.891092543048947,-2.48570909274972,0.755704717669348,1
ENSGALG00000049390,-0.290690328244293,1.70526467582905,0.490186175071494,1
ENSGALG00000004504,0.0299648995600097,1.75308119100878,0.950845957346676,1
ENSGALG00000054495,0.0564686258725756,4.64572348526713,0.774186261862541,1
ENSGALG00000028898,-0.072496668465953,3.73280289263248,0.823823976567932,1
ENSGALG00000054148,0,-2.86600809122234,1,1
ENSGALG00000039964,0.0830168039982982,6.82543236929068,0.686467714464081,1
ENSGALG00000002093,0,-2.86600809122234,1,1
ENSGALG00000005644,-0.303148138615766,8.08376896072239,0.414335633418626,1
ENSGALG00000052098,0,-2.86600809122234,1,1
ENSGALG00000048240,0,-2.86600809122234,1,1
ENSGALG00000048935,0,-2.86600809122234,1,1
ENSGALG00000049626,0.11188201691588,6.30781869488797,0.59301976342658,1
ENSGALG00000036593,0,-1.53145114843847,1,1
ENSGALG00000027899,-0.0646011214233429,4.45604423723456,0.853070722700868,1
ENSGALG00000001156,0,-2.77088442562239,1,1
ENSGALG00000042686,-0.924587955954681,-0.748486790835402,0.824638414418442,1
ENSGALG00000001764,0.0548889237907826,1.4955120850812,0.906285590616635,1
ENSGALG00000033234,-0.0679073580984278,7.88504766651972,0.89535009487132,1
ENSGALG00000040041,0.0147454038236314,4.89056935395443,0.943466458040572,1
ENSGALG00000043389,0.608648839061515,3.25791009948745,0.130406537438722,1
ENSGALG00000051259,0.658196472843165,4.4925172500548,0.0271527077288809,1
ENSGALG00000047702,0.0129173771214849,5.79058259489473,0.941920567287136,1
ENSGALG00000051897,0.114871940731417,2.94870883700372,0.831506723785557,1
ENSGALG00000009156,-0.0400691024279169,3.77901590859225,0.927664912252657,1
ENSGALG00000023819,-0.385291042143577,-1.40271233139372,1,1
ENSGALG00000037819,0,-2.86600809122234,1,1
ENSGALG00000035030,-3.34878754926651,2.7968398839562,0.102761273156769,1
ENSGALG00000038425,-1.49518642505442,-2.56646750231399,1,1
ENSGALG00000002678,-2.14692934306109,-2.64779681953439,0.943598968448623,1
ENSGALG00000030657,0.422694320322742,1.74768963758471,0.259391000791827,1
ENSGALG00000044684,-0.583532045222962,3.11748260750949,0.517411062281434,1
ENSGALG00000033669,0.925211343497563,-2.72352721602811,1,1
ENSGALG00000027429,0.270090313698115,1.04270528189357,0.587987150624593,1
ENSGALG00000029533,-0.00233477254260231,5.68547611022911,0.980576662228539,1
ENSGALG00000038853,-0.270030777361861,4.39699341619836,0.39282930862625,1
ENSGALG00000039257,-0.155350847471993,5.86519874673096,0.723405673338897,1
ENSGALG00000054956,0.0866434327657825,3.16757812571045,0.750961450073332,1
ENSGALG00000042944,-3.80875780620798,-1.1104931366744,0.490059380320726,1
ENSGALG00000051678,0,-2.86600809122234,1,1
ENSGALG00000048984,0,-2.86600809122234,1,1
ENSGALG00000049014,-0.247841956712432,-1.11104858809827,1,1
ENSGALG00000039780,-0.226463836942578,1.68519197105519,0.586901822942558,1
ENSGALG00000040479,-0.178025000327757,-2.6052594041802,1,1
