,logFC,logCPM,PValue,QValue
ENSGALG00000032428,5.54151649290493,5.81628643739799,1.48571625666903e-103,2.54592337742805e-99
ENSGALG00000009639,10.0474604988332,6.66590380576665,1.2239641006778e-76,1.04869244146074e-72
ENSGALG00000026970,5.34454647819487,9.27046468869636,5.81569164674895e-63,3.321923068623e-59
ENSGALG00000011190,4.05862231410017,7.60137883818518,2.04505435808011e-52,8.76101287001519e-49
ENSGALG00000003624,5.32863911912321,4.94814932639164,2.88878541036248e-45,9.90044535839429e-42
ENSGALG00000023709,5.67895441132318,5.74348329508882,4.22029634202534e-45,1.20531663528244e-41
ENSGALG00000010149,5.0688933577837,8.38985820658876,1.96808068907258e-44,4.81786152684968e-41
ENSGALG00000045814,6.45113790615617,3.82084140302252,2.97930602515251e-44,6.38167350587667e-41
ENSGALG00000037629,6.03247274986724,9.07184770770202,4.52912338407944e-44,8.62345092328726e-41
ENSGALG00000033087,3.92019600858951,7.43402855916634,6.81060777734338e-44,1.16706574872556e-40
ENSGALG00000015109,4.07731288804194,5.04160052848076,3.5392117089132e-43,5.51344834944878e-40
ENSGALG00000045534,4.65464162193511,6.82976409536218,5.44956344603791e-41,7.78197660094214e-38
ENSGALG00000030571,4.53297344962085,6.20608675758921,8.31639069648049e-41,1.09622823826838e-37
ENSGALG00000000720,3.8220700118847,9.278564191596,1.11544401598888e-40,1.36530347557039e-37
ENSGALG00000019094,4.09804169233673,7.24368065691197,1.34113629545853e-40,1.53211410393183e-37
ENSGALG00000015662,8.96317867045421,4.22687869206933,1.86450004627231e-38,1.99687954955765e-35
ENSGALG00000051068,4.69645990799302,5.4908476485173,2.89743299584573e-38,2.92061245981249e-35
ENSGALG00000014811,4.17567277158715,8.84826483696748,1.18267608844239e-37,1.12590763619716e-34
ENSGALG00000030268,2.83425572650443,7.74280104718007,2.90379675385398e-37,2.61891900916009e-34
ENSGALG00000010636,3.76963051361817,4.71006643871189,4.84220635710676e-37,4.14880240676907e-34
ENSGALG00000042001,6.75422540999049,8.60634628676884,3.52981736566639e-36,2.88033097038377e-33
ENSGALG00000013723,7.40253697114071,10.3610165092301,9.0718567922636e-36,7.0661517269195e-33
ENSGALG00000001558,4.35322751799472,8.99398421934292,1.04230794713051e-35,7.76564738349062e-33
ENSGALG00000029569,3.23140086521503,7.21200812746486,1.04792477468102e-34,7.48218289122251e-32
ENSGALG00000026152,5.04696318581773,9.87599991989754,2.45457917898775e-34,1.68246675244537e-31
ENSGALG00000000504,4.00032600438288,4.11923021395926,7.03339738067064e-34,4.63554990442969e-31
ENSGALG00000016964,4.89632156622306,7.35086358803712,1.48929433847377e-33,9.45205473484683e-31
ENSGALG00000012281,2.50400330119739,5.68343389557208,9.49680628639266e-33,5.81204544727231e-30
ENSGALG00000037170,3.17318992175793,5.32760440614228,1.24792856084601e-32,7.37396683401972e-30
ENSGALG00000015712,8.00000845697098,6.87340855052639,1.83953712342815e-32,1.05074360490216e-29
ENSGALG00000050206,3.9480268987294,5.58012261489152,1.49942008015191e-31,8.28840725596229e-29
ENSGALG00000046794,2.50524554445703,5.69226796011078,1.60978840065077e-31,8.62041688548489e-29
ENSGALG00000016142,9.08360160910839,8.28748325931023,2.03342966354563e-31,1.0559045671066e-28
ENSGALG00000002167,4.73293837321839,6.52271514274439,2.62113532684898e-31,1.32105220473188e-28
ENSGALG00000041129,3.622313736818,5.7560318103134,7.88999728373572e-31,3.86294267011701e-28
ENSGALG00000048671,2.94200005604741,7.20411659155351,1.23902222124823e-30,5.89774577314159e-28
ENSGALG00000005408,3.87049927002606,4.82689578596162,3.30532100020699e-30,1.53081028809586e-27
ENSGALG00000020193,4.10832596555192,2.75269445341577,5.22222185667909e-30,2.35494720358034e-27
ENSGALG00000032746,4.90880403834822,3.64352372699219,7.5171878844826e-30,3.30293670739728e-27
ENSGALG00000035453,3.65562961927694,6.0040834785345,1.85984551012182e-29,7.96757816536187e-27
ENSGALG00000048091,2.5711114801246,6.97249054981657,2.70541995729657e-29,1.13073357044473e-26
ENSGALG00000053296,2.41239453268348,6.58053773545059,3.31595344149048e-29,1.35290900412812e-26
ENSGALG00000016759,4.50754968087664,6.43980547721193,4.54191511783867e-29,1.8100059874252e-26
ENSGALG00000004665,8.73057418059333,2.15516509631013,6.76616263053229e-29,2.63511279174549e-26
ENSGALG00000013754,3.26140651328085,5.52177391885476,1.70797130721483e-28,6.50395473787409e-26
ENSGALG00000007780,2.21855955880753,5.64370846540416,4.92651386372955e-28,1.83523351236673e-25
ENSGALG00000004111,2.94686276052687,6.23934281986303,5.51550241233981e-28,2.01092870931606e-25
ENSGALG00000001256,4.13879182762178,8.48359809512233,8.82312239506227e-28,3.14985469503723e-25
ENSGALG00000012072,3.61025246855573,9.53746702790376,1.1648846215069e-26,4.07376793349842e-24
ENSGALG00000051954,3.34989805167886,5.92076970112498,1.25975297940221e-26,4.31742541100724e-24
ENSGALG00000011531,3.30499517670291,6.36999172726498,1.45575542284698e-26,4.89133822076584e-24
ENSGALG00000030661,4.64692428453708,8.72080363665107,2.12909801386891e-26,7.01619683954954e-24
ENSGALG00000007651,3.76677420458327,10.7696185013308,2.6139210800275e-26,8.37014980831508e-24
ENSGALG00000045085,7.61072720830554,12.6396888384244,2.63765225051946e-26,8.37014980831508e-24
ENSGALG00000026422,4.58036646595139,8.8648787410388,4.47531178169763e-26,1.39434441256674e-23
ENSGALG00000003651,4.06532040757435,7.67461391560059,5.49473545996779e-26,1.68138905075014e-23
ENSGALG00000039269,4.28781086822094,11.2006770295264,2.78657593124722e-25,8.37732722067584e-23
ENSGALG00000008739,3.64647839869593,6.51999911750358,2.92745998989605e-25,8.64913006669977e-23
ENSGALG00000040101,1.99367560580523,6.3449059789099,2.97893168175776e-25,8.65202937264422e-23
ENSGALG00000009885,2.28732952292278,6.12716660451289,5.52540758302949e-25,1.57805640571322e-22
ENSGALG00000027533,4.72643607628706,5.73937315910457,6.784462236531e-25,1.9058777850032e-22
ENSGALG00000007158,5.74949047832735,7.26068780945546,8.39786476541222e-25,2.32106146161458e-22
ENSGALG00000045511,3.83853144144092,7.78403575926794,9.58956032536718e-25,2.60836040849987e-22
ENSGALG00000006138,5.77463357151984,9.64536095519507,1.42515983894848e-24,3.81586546878455e-22
ENSGALG00000050257,6.63950592572963,4.4700732316253,1.57450874073072e-24,4.15088950479411e-22
ENSGALG00000043208,3.3680667209675,7.92394871752547,2.08814049625618e-24,5.42157205209787e-22
ENSGALG00000016042,2.43441522399108,4.79299434755161,2.22678306175826e-24,5.69524694720738e-22
ENSGALG00000029000,2.42468445860837,5.5137690621538,3.23535452883395e-24,8.15309341266156e-22
ENSGALG00000037686,3.52168594245648,5.77528296210149,7.76093144662896e-24,1.9274104531802e-21
ENSGALG00000010560,5.04003051995514,8.69587612754553,1.23014896350682e-23,3.01140466266469e-21
ENSGALG00000046098,4.00861385507139,5.84422500533948,1.5265146298542e-23,3.6842753094622e-21
ENSGALG00000001470,3.83428255512642,7.2083362418823,1.71689983340643e-23,4.0862216035073e-21
ENSGALG00000045199,6.28738100509128,7.03667923803935,2.02861063076971e-23,4.76195503683148e-21
ENSGALG00000014508,3.28480720453411,6.0918632930331,3.04684549549559e-23,7.05550600146113e-21
ENSGALG00000010629,2.87440195723639,7.55402960726685,5.71252454072178e-23,1.30519760706411e-20
ENSGALG00000031306,-2.78829301354326,4.6295487460076,9.87539419307931e-23,2.22664151174483e-20
ENSGALG00000001231,3.28150950776381,7.32027468500357,1.17407658403456e-22,2.61285407065147e-20
ENSGALG00000012075,3.29447916214207,7.90637722106309,1.35359930739581e-22,2.97375355532495e-20
ENSGALG00000041192,6.05044224369298,9.75621010500683,2.45902236032405e-22,5.33389964133075e-20
ENSGALG00000004859,3.33225114963104,9.90780125816924,2.49677072195783e-22,5.34808288643366e-20
ENSGALG00000009179,3.40009108282918,5.73204102589105,2.94435707816238e-22,6.22895097424575e-20
ENSGALG00000036747,3.32411732548571,7.32292832500709,3.40388861172123e-22,7.11329698176281e-20
ENSGALG00000006775,4.98106045425821,7.50440431709269,3.71589473902822e-22,7.67175569252862e-20
ENSGALG00000005609,3.3214497892461,6.41058893253004,4.24483419642459e-22,8.65946176070616e-20
ENSGALG00000046187,3.16564091253553,8.66423701789216,5.09791916140462e-22,1.02774050293917e-19
ENSGALG00000007381,3.40326109410007,7.72341852763402,7.48500137052945e-22,1.49143004052782e-19
ENSGALG00000028256,10.9928541063933,4.55057109140255,9.05711975315162e-22,1.78394027689662e-19
ENSGALG00000044841,2.05090992776006,6.65192118730373,1.34990754242953e-21,2.62863814171278e-19
ENSGALG00000053788,2.31451673708451,5.44842185785842,1.57373060274579e-21,3.03005029310694e-19
ENSGALG00000010623,4.61227610727101,4.57742423115121,1.63231065598114e-21,3.1079194889881e-19
ENSGALG00000006785,3.41826863926725,9.9285835984847,1.67009268709458e-21,3.14491299846733e-19
