Name,chicken_a_control_1,chicken_a_control_2,chicken_a_lps_24h,chicken_a_lps_4h,chicken_a_lps_8h,chicken_a_pic_24h,chicken_a_pic_4h,chicken_a_pic_8h,chicken_d_control_1,chicken_d_control_2,chicken_d_lps_24h,chicken_d_lps_4h,chicken_d_lps_8h,chicken_d_pic_4h,chicken_d_pic_8h
ENSGALG00000047959,2,1,0,3,1,0,0,0,1,1,0,0,0,1,0
ENSGALG00000050708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049509,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ENSGALG00000055002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053450,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000051694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051666,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSGALG00000052071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051007,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSGALG00000047633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000028424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000027526,13,11,26,21,25,21,21,11,8,7,6,10,21,20,15
ENSGALG00000032011,7,3,14,4,17,7,5,8,0,0,0,0,0,0,0
ENSGALG00000005929,1139,1042,560,1047,757,546,2365,1190,768,656,435,540,555,2202,1504
ENSGALG00000046425,77,42,125,107,87,86,159,153,72,34,62,30,32,75,93
ENSGALG00000036763,137,95,72,110,117,105,73,96,101,103,55,80,80,97,80
ENSGALG00000049074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054202,6,0,35,15,15,4,15,3,3,5,17,2,8,4,1
ENSGALG00000049602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000043012,23,11,39,11,10,11,21,22,5,2,1,0,0,2,5
ENSGALG00000048475,19346,19425,10541,15074,10519,1568,11774,4772,6506,6605,6260,5731,6085,7514,3506
ENSGALG00000053505,25,4,43,38,23,35,40,86,7,2,6,6,5,4,8
ENSGALG00000013454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047071,53,19,117,38,64,23,32,16,25,12,59,42,59,12,4
ENSGALG00000033577,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000048555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049412,240,197,240,263,250,138,233,159,193,129,146,157,145,144,125
ENSGALG00000049916,3,0,14,2,2,0,0,0,0,0,2,0,0,0,0
ENSGALG00000054895,1,1,1,5,0,1,0,1,1,0,0,0,0,0,0
ENSGALG00000006651,60,32,117,72,108,53,56,49,33,38,135,31,36,34,34
ENSGALG00000053881,652,451,488,620,537,345,648,551,484,412,376,401,326,546,535
ENSGALG00000036500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000031583,1,0,1,1,0,1,0,0,2,1,0,0,0,1,0
ENSGALG00000038767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000005655,94,57,79,201,69,32,39,111,27,31,30,235,29,30,50
ENSGALG00000043143,41,21,7,32,13,3,21,5,13,15,13,8,10,24,11
ENSGALG00000036805,1108,969,466,1368,1157,137,1062,434,755,672,406,555,576,1035,531
ENSGALG00000029702,3395,3073,2193,3659,2867,3182,3240,3181,2622,2168,1566,2163,2074,2670,3195
ENSGALG00000032042,33,42,44,65,51,38,40,34,31,24,30,32,14,25,22
ENSGALG00000037439,5,0,0,0,0,6,125,83,0,0,0,0,0,88,21
ENSGALG00000012365,2529,2092,2078,2418,2281,1073,1401,727,2241,1771,1997,1325,1540,1354,827
ENSGALG00000036196,1364,928,1549,1333,1506,524,655,498,1177,831,1303,808,1023,384,377
ENSGALG00000005435,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSGALG00000009965,14941,20096,5010,16702,11766,2418,10445,5272,11389,8482,2721,8049,6319,10868,6525
ENSGALG00000051704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSGALG00000031524,32,10,82,9,24,31,13,5,8,5,55,3,3,7,9
ENSGALG00000013239,483,275,609,116,225,36,143,38,10,9,32,6,3,8,10
ENSGALG00000051726,16,5,15,16,15,9,13,15,3,5,1,8,1,4,2
ENSGALG00000048605,8,6,7,19,9,0,4,11,15,12,2,10,2,10,6
ENSGALG00000047566,298,180,324,330,298,145,219,161,189,107,207,194,163,127,163
ENSGALG00000048709,1,0,18,2,13,9,4,7,0,0,0,0,1,0,0
ENSGALG00000038522,1058,788,876,1175,914,651,697,700,763,626,738,677,573,528,661
ENSGALG00000036994,20,5,52,17,22,19,32,17,1,0,0,0,0,0,0
ENSGALG00000031447,596,445,306,464,340,188,355,320,360,336,242,264,269,385,327
ENSGALG00000041233,2,3,5,2,1,0,0,2,0,0,0,0,0,0,0
ENSGALG00000002389,116,207,25,123,80,28,79,41,55,51,16,43,22,85,75
ENSGALG00000049533,399,435,236,298,253,136,392,177,333,276,223,167,248,315,177
ENSGALG00000046371,382,422,426,389,381,163,211,178,322,226,212,281,243,189,163
ENSGALG00000044235,1,0,0,0,0,1,3,11,0,0,4,0,0,2,8
ENSGALG00000033786,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0
ENSGALG00000054074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000031266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000029958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054889,2676,1357,2479,2860,2540,1059,1349,1287,1490,1401,1424,1282,1198,1421,1322
ENSGALG00000035743,17,11,46,30,35,10,13,3,10,1,18,3,4,3,4
ENSGALG00000043906,18,88,5,20,9,4,21,4,46,24,15,31,18,50,45
ENSGALG00000038593,134,60,136,139,121,45,39,44,84,44,82,62,74,33,41
ENSGALG00000036360,2,1,0,1,0,0,0,0,1,0,0,1,2,1,0
ENSGALG00000049390,72,27,26,60,50,63,58,53,45,35,23,38,31,53,35
ENSGALG00000004504,86,59,58,63,56,5,20,19,88,60,70,37,58,15,17
ENSGALG00000054495,517,379,316,517,481,315,353,374,397,299,238,304,268,298,334
ENSGALG00000028898,227,157,217,267,289,202,196,185,154,142,163,187,139,149,169
ENSGALG00000054148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
