	crocodile_3_control_1	crocodile_3_control_2	crocodile_3_pic_4h	crocodile_5_pic_4h
ENSCPRG00005018727	945	1005	1059	88
ENSCPRG00005017337	1048	1280	1087	117
ENSCPRG00005016881	231	276	186	36
ENSCPRG00005015685	38	42	37	20
ENSCPRG00005014756	2	1	4	3
ENSCPRG00005014074	34	37	47	0
ENSCPRG00005013569	1429	1331	1369	136
ENSCPRG00005012340	79779	165446	127631	17524
ENSCPRG00005012165	4325	4957	4523	504
ENSCPRG00005006630	31	42	35	11
ENSCPRG00005005638	1	4	6	5
ENSCPRG00005004394	49	70	44	53
ENSCPRG00005004164	163	159	180	242
ENSCPRG00005002370	72	80	91	11
ENSCPRG00005019198	24	42	33	26
ENSCPRG00005019197	47	48	61	36
ENSCPRG00005019181	160	234	201	136
ENSCPRG00005019173	174	171	186	234
ENSCPRG00005019170	2842	3177	3208	2863
ENSCPRG00005019169	6248	6163	7172	7277
ENSCPRG00005019167	820	773	876	857
ENSCPRG00005019165	119	205	138	29
ENSCPRG00005019163	125	145	186	84
ENSCPRG00005019162	831	959	986	773
ENSCPRG00005019158	182	268	201	143
ENSCPRG00005019156	2146	2702	2492	1246
ENSCPRG00005019152	285	328	341	661
ENSCPRG00005019138	355	408	432	403
ENSCPRG00005019125	512	600	656	574
ENSCPRG00005019120	3000	3383	3123	2752
ENSCPRG00005019115	70	97	59	111
ENSCPRG00005019111	235	241	256	188
ENSCPRG00005019109	853	875	916	525
ENSCPRG00005019106	4	5	2	0
ENSCPRG00005019105	17	10	15	0
ENSCPRG00005019102	2850	2944	3201	2406
ENSCPRG00005019100	1850	1834	2079	3278
ENSCPRG00005019098	61	71	83	104
ENSCPRG00005019097	219	214	220	193
ENSCPRG00005019090	1077	1228	1230	1132
ENSCPRG00005019086	573	715	625	218
ENSCPRG00005019079	4336	5599	3996	1517
ENSCPRG00005019078	264	310	314	277
ENSCPRG00005019077	8	8	6	3
ENSCPRG00005019075	218	199	253	78
ENSCPRG00005019074	13	21	14	13
ENSCPRG00005019071	133	165	96	79
ENSCPRG00005019070	181	220	175	75
ENSCPRG00005019063	150	206	169	117
ENSCPRG00005019056	211	250	252	114
ENSCPRG00005019054	67	78	52	18
ENSCPRG00005019050	4446	5284	4127	1560
ENSCPRG00005016214	2191	2676	2011	548
ENSCPRG00005019048	280	266	285	85
ENSCPRG00005019047	3056	4479	3040	990
ENSCPRG00005019044	198	231	206	204
ENSCPRG00005019040	16	20	13	2
ENSCPRG00005019038	161	170	213	153
ENSCPRG00005019035	12	15	13	0
ENSCPRG00005019033	519	585	519	209
ENSCPRG00005019029	21068	21381	25175	13269
ENSCPRG00005019026	123	178	102	36
ENSCPRG00005019025	356	525	301	49
ENSCPRG00005019022	6	6	4	1
ENSCPRG00005019019	1775	2073	1924	702
ENSCPRG00005019017	1562	1635	1700	774
ENSCPRG00005019013	114	197	78	23
ENSCPRG00005019012	5479	7620	6533	2038
ENSCPRG00005019008	1446	1704	1540	779
ENSCPRG00005019007	2010	2182	2131	1475
ENSCPRG00005019006	2346	2269	2730	2971
ENSCPRG00005019005	165	182	180	48
ENSCPRG00005019003	3	3	4	16
