Name,crocodile_5_pic_4h,crocodile_5_control_1,crocodile_3_control_2,crocodile_3_control_1,crocodile_3_pic_4h,crocodile_3_lps_4h
ENSCPRG00005015512,0,0,0,0,0,0
ENSCPRG00005010340,0,0,0,0,0,0
ENSCPRG00005018727,88,79,1005,945,1059,1120
ENSCPRG00005018619,0,0,0,0,0,0
ENSCPRG00005017658,0,0,0,0,0,0
ENSCPRG00005017337,117,122,1280,1048,1087,1631
ENSCPRG00005016881,36,51,276,231,186,256
ENSCPRG00005015796,0,0,0,0,0,1
ENSCPRG00005015685,20,23,42,38,37,28
ENSCPRG00005015398,0,0,0,0,0,0
ENSCPRG00005014756,3,2,1,2,4,3
ENSCPRG00005014388,0,0,0,0,0,0
ENSCPRG00005014074,0,0,37,34,47,47
ENSCPRG00005013932,0,0,0,0,0,0
ENSCPRG00005013569,136,91,1331,1429,1369,1792
ENSCPRG00005013414,1,0,0,4,1,3
ENSCPRG00005013238,0,4,0,0,1,0
ENSCPRG00005012836,0,0,0,0,0,0
ENSCPRG00005012573,0,0,0,0,0,0
ENSCPRG00005012340,17524,20854,165446,79779,127631,170348
ENSCPRG00005012165,504,415,4957,4325,4523,5660
ENSCPRG00005010947,0,0,0,0,0,0
ENSCPRG00005010631,1,0,2,0,0,1
ENSCPRG00005008985,0,3,0,0,0,0
ENSCPRG00005006630,11,6,42,31,35,39
ENSCPRG00005006048,0,0,0,0,0,0
ENSCPRG00005005638,5,5,4,1,6,6
ENSCPRG00005004394,53,89,70,49,44,78
ENSCPRG00005004164,242,334,159,163,180,179
ENSCPRG00005002370,11,7,80,72,91,90
ENSCPRG00005001477,0,0,3,0,1,2
ENSCPRG00005000776,0,0,0,0,0,0
ENSCPRG00005019208,0,0,0,0,0,0
ENSCPRG00005019205,0,0,0,0,0,0
ENSCPRG00005019203,0,0,0,0,0,0
ENSCPRG00005019198,26,29,42,24,33,50
ENSCPRG00005019197,36,33,48,47,61,46
ENSCPRG00005019193,0,0,0,0,0,0
ENSCPRG00005019192,0,0,0,0,0,0
ENSCPRG00005019184,0,0,0,0,0,0
ENSCPRG00005019181,136,197,234,160,201,245
ENSCPRG00005019177,1,0,1,1,1,0
ENSCPRG00005019173,234,254,171,174,186,225
ENSCPRG00005019170,2863,3064,3177,2842,3208,3664
ENSCPRG00005019169,7277,7412,6163,6248,7172,7358
ENSCPRG00005019167,857,956,773,820,876,940
ENSCPRG00005019165,29,53,205,119,138,196
ENSCPRG00005019163,84,79,145,125,186,176
ENSCPRG00005019162,773,805,959,831,986,1002
ENSCPRG00005019158,143,186,268,182,201,322
ENSCPRG00005019156,1246,1471,2702,2146,2492,2927
ENSCPRG00005019152,661,719,328,285,341,341
ENSCPRG00005019151,0,3,0,0,0,0
ENSCPRG00005019143,0,0,0,0,0,0
ENSCPRG00005019138,403,302,408,355,432,433
ENSCPRG00005019125,574,664,600,512,656,711
ENSCPRG00005019121,0,2,1,2,0,0
ENSCPRG00005019120,2752,3034,3383,3000,3123,3822
ENSCPRG00005019115,111,112,97,70,59,67
ENSCPRG00005019111,188,182,241,235,256,237
ENSCPRG00005019109,525,582,875,853,916,975
ENSCPRG00005019106,0,0,5,4,2,1
ENSCPRG00005019105,0,4,10,17,15,7
ENSCPRG00005019102,2406,2439,2944,2850,3201,3323
ENSCPRG00005019100,3278,3464,1834,1850,2079,2275
ENSCPRG00005019098,104,85,71,61,83,37
ENSCPRG00005019097,193,202,214,219,220,263
ENSCPRG00005019090,1132,1188,1228,1077,1230,1431
ENSCPRG00005019086,218,212,715,573,625,747
ENSCPRG00005019083,0,0,0,0,0,0
ENSCPRG00005019079,1517,2103,5599,4336,3996,6666
ENSCPRG00005019078,277,305,310,264,314,353
ENSCPRG00005019077,3,1,8,8,6,3
ENSCPRG00005019075,78,70,199,218,253,248
ENSCPRG00005019074,13,17,21,13,14,16
ENSCPRG00005019071,79,77,165,133,96,130
ENSCPRG00005019070,75,104,220,181,175,206
ENSCPRG00005019063,117,168,206,150,169,249
ENSCPRG00005019056,114,122,250,211,252,304
ENSCPRG00005019054,18,40,78,67,52,75
ENSCPRG00005019051,0,0,0,0,0,0
ENSCPRG00005019050,1560,1931,5284,4446,4127,6371
ENSCPRG00005016214,548,670,2676,2191,2011,3308
ENSCPRG00005019048,85,94,266,280,285,326
ENSCPRG00005019047,990,1330,4479,3056,3040,5272
ENSCPRG00005019044,204,194,231,198,206,251
ENSCPRG00005019040,2,3,20,16,13,17
ENSCPRG00005019038,153,182,170,161,213,239
ENSCPRG00005019035,0,0,15,12,13,19
ENSCPRG00005019033,209,223,585,519,519,719
ENSCPRG00005018354,0,0,0,0,0,0
ENSCPRG00005019029,13269,13571,21381,21068,25175,24932
ENSCPRG00005019026,36,54,178,123,102,241
ENSCPRG00005019025,49,79,525,356,301,587
ENSCPRG00005019022,1,1,6,6,4,5
