	khaleesi_control	achinoam_control	khaleesi_lf_4h	achinoam_lf_4h
ENSVKKG00000016197	39	97	34	131
ENSVKKG00000016192	4	5	4	1
ENSVKKG00000014375	380	300	384	268
ENSVKKG00000014249	64	138	44	202
ENSVKKG00000014237	1	6	2	4
ENSVKKG00000011906	160	305	149	247
ENSVKKG00000011465	5	4	4	2
ENSVKKG00000009845	25	60	46	39
ENSVKKG00000009619	59	24	87	48
ENSVKKG00000007984	37	18	48	17
ENSVKKG00000006369	14	11	7	9
ENSVKKG00000003956	29	22	29	18
ENSVKKG00000003277	5	2	9	7
ENSVKKG00000003089	4	20	15	45
ENSVKKG00000002805	32	40	47	40
ENSVKKG00000000925	45	23	58	49
ENSVKKG00000000711	142	172	99	193
ENSVKKG00000000688	984	623	941	633
ENSVKKG00000000513	23	7	16	14
ENSVKKG00000000131	1092	790	1052	749
ENSVKKG00000018769	611	870	538	804
ENSVKKG00000018767	281	259	345	264
ENSVKKG00000018765	9	3	3	1
ENSVKKG00000018764	7	7	1	1
ENSVKKG00000018756	161	112	95	109
ENSVKKG00000018746	12	25	13	13
ENSVKKG00000018745	1481	1327	1438	1241
ENSVKKG00000018744	2289	3965	2150	2738
ENSVKKG00000018743	10	0	7	2
ENSVKKG00000018730	191	250	229	222
ENSVKKG00000018726	366	256	394	249
ENSVKKG00000018723	817	677	713	729
ENSVKKG00000018717	3347	2602	3299	2656
ENSVKKG00000018710	624	549	563	522
ENSVKKG00000018708	4	1	2	7
ENSVKKG00000018704	2377	2364	1955	2631
ENSVKKG00000018693	323	277	278	268
ENSVKKG00000018687	2574	480	2184	527
ENSVKKG00000018686	1557	882	1766	1031
ENSVKKG00000018681	2	1	5	2
ENSVKKG00000018679	2095	2153	1839	1934
ENSVKKG00000018674	400	365	334	402
ENSVKKG00000018673	25	11	30	20
ENSVKKG00000018667	42	27	41	43
ENSVKKG00000018666	113	77	120	89
ENSVKKG00000018659	391	781	284	744
ENSVKKG00000018658	965	838	788	793
ENSVKKG00000018655	968	1077	839	1024
ENSVKKG00000018649	242	161	317	190
ENSVKKG00000018647	13	18	14	4
ENSVKKG00000018646	2505	1984	2065	1683
ENSVKKG00000018644	18	9	26	20
ENSVKKG00000018642	784	885	901	667
ENSVKKG00000018639	375	495	406	405
ENSVKKG00000018638	4304	5157	3570	4520
ENSVKKG00000018637	3796	2764	3108	2773
ENSVKKG00000018635	367	340	325	307
ENSVKKG00000018634	136	123	124	149
ENSVKKG00000018633	481	494	567	513
ENSVKKG00000018631	205	119	211	111
ENSVKKG00000018620	395	863	450	947
ENSVKKG00000018594	201	200	168	233
ENSVKKG00000018586	1933	1460	2178	1664
ENSVKKG00000018585	64	78	47	95
ENSVKKG00000018584	0	4	0	3
ENSVKKG00000018580	2530	1541	3101	1789
ENSVKKG00000018575	3978	2850	3866	2785
ENSVKKG00000018570	321	315	264	407
ENSVKKG00000018569	190	135	157	139
ENSVKKG00000018553	26	26	34	23
ENSVKKG00000018551	258	252	248	256
ENSVKKG00000018548	243	242	276	244
ENSVKKG00000018545	889	876	803	951
ENSVKKG00000018537	120	75	129	96
ENSVKKG00000018536	28	43	40	36
ENSVKKG00000018526	247	226	222	245
ENSVKKG00000018523	3	8	1	8
ENSVKKG00000018522	948	768	898	839
ENSVKKG00000018519	71	75	105	80
ENSVKKG00000018516	430	264	551	278
ENSVKKG00000018514	1140	821	989	893
ENSVKKG00000018513	882	912	751	1072
ENSVKKG00000018509	783	652	617	653
ENSVKKG00000018508	890	1026	767	917
ENSVKKG00000018507	1029	1078	919	1066
ENSVKKG00000018502	30	84	46	82
ENSVKKG00000018490	67	85	63	71
ENSVKKG00000018488	887	459	791	559
ENSVKKG00000018484	226	223	195	208
ENSVKKG00000018480	389	506	326	481
ENSVKKG00000018478	1277	1068	1290	1144
ENSVKKG00000018476	616	528	539	565
ENSVKKG00000018474	599	342	462	375
ENSVKKG00000018473	208	110	213	157
ENSVKKG00000018470	1121	147	905	172
ENSVKKG00000018468	908	760	836	670
ENSVKKG00000018459	2386	2045	2039	2236
ENSVKKG00000018448	485	459	359	459
ENSVKKG00000018447	2333	1737	2267	1800
ENSVKKG00000018446	11	5	8	0
ENSVKKG00000018445	5138	4341	4516	4893
ENSVKKG00000018442	6943	6572	6190	7460
ENSVKKG00000018441	182	3	195	7
ENSVKKG00000018436	177	178	171	160
