	khaleesi_control	achinoam_control	khaleesi_pic_4h	achinoam_pic_4h
ENSVKKG00000016197	39	97	84	360
ENSVKKG00000016192	4	5	3	7
ENSVKKG00000014375	380	300	211	204
ENSVKKG00000014249	64	138	244	1277
ENSVKKG00000014237	1	6	4	1
ENSVKKG00000011906	160	305	53	92
ENSVKKG00000011465	5	4	1	1
ENSVKKG00000009845	25	60	18	19
ENSVKKG00000009619	59	24	49	39
ENSVKKG00000007984	37	18	70	39
ENSVKKG00000006369	14	11	3	7
ENSVKKG00000003956	29	22	8	5
ENSVKKG00000003277	5	2	5	6
ENSVKKG00000003089	4	20	19	159
ENSVKKG00000002805	32	40	26	28
ENSVKKG00000000925	45	23	34	26
ENSVKKG00000000711	142	172	78	125
ENSVKKG00000000688	984	623	717	739
ENSVKKG00000000513	23	7	4	8
ENSVKKG00000000131	1092	790	1008	716
ENSVKKG00000018769	611	870	493	722
ENSVKKG00000018767	281	259	204	202
ENSVKKG00000018765	9	3	4	4
ENSVKKG00000018764	7	7	7	3
ENSVKKG00000018756	161	112	85	148
ENSVKKG00000018746	12	25	16	21
ENSVKKG00000018745	1481	1327	1153	1327
ENSVKKG00000018744	2289	3965	2262	3422
ENSVKKG00000018743	10	0	5	3
ENSVKKG00000018730	191	250	159	185
ENSVKKG00000018726	366	256	253	249
ENSVKKG00000018723	817	677	570	628
ENSVKKG00000018717	3347	2602	2015	2193
ENSVKKG00000018710	624	549	363	556
ENSVKKG00000018708	4	1	4	6
ENSVKKG00000018704	2377	2364	1898	3189
ENSVKKG00000018693	323	277	184	217
ENSVKKG00000018687	2574	480	1436	1496
ENSVKKG00000018686	1557	882	1406	929
ENSVKKG00000018681	2	1	4	7
ENSVKKG00000018679	2095	2153	1355	1981
ENSVKKG00000018674	400	365	248	333
ENSVKKG00000018673	25	11	7	11
ENSVKKG00000018667	42	27	35	35
ENSVKKG00000018666	113	77	61	73
ENSVKKG00000018659	391	781	170	663
ENSVKKG00000018658	965	838	355	505
ENSVKKG00000018655	968	1077	705	954
ENSVKKG00000018649	242	161	169	109
ENSVKKG00000018647	13	18	7	20
ENSVKKG00000018646	2505	1984	2031	2229
ENSVKKG00000018644	18	9	11	4
ENSVKKG00000018642	784	885	713	810
ENSVKKG00000018639	375	495	184	227
ENSVKKG00000018638	4304	5157	3154	4908
ENSVKKG00000018637	3796	2764	1537	1859
ENSVKKG00000018635	367	340	204	220
ENSVKKG00000018634	136	123	87	133
ENSVKKG00000018633	481	494	249	267
ENSVKKG00000018631	205	119	100	94
ENSVKKG00000018620	395	863	293	636
ENSVKKG00000018594	201	200	179	310
ENSVKKG00000018586	1933	1460	1332	1224
ENSVKKG00000018585	64	78	45	57
ENSVKKG00000018584	0	4	4	3
ENSVKKG00000018580	2530	1541	2076	1648
ENSVKKG00000018575	3978	2850	2675	2842
ENSVKKG00000018570	321	315	201	402
ENSVKKG00000018569	190	135	92	135
ENSVKKG00000018553	26	26	18	21
ENSVKKG00000018551	258	252	257	281
ENSVKKG00000018548	243	242	209	242
ENSVKKG00000018547	2	1	2	0
ENSVKKG00000018545	889	876	545	786
ENSVKKG00000018537	120	75	93	59
ENSVKKG00000018536	28	43	26	32
ENSVKKG00000018526	247	226	179	273
ENSVKKG00000018523	3	8	3	8
ENSVKKG00000018522	948	768	790	966
ENSVKKG00000018519	71	75	64	64
ENSVKKG00000018516	430	264	359	207
ENSVKKG00000018514	1140	821	807	927
ENSVKKG00000018513	882	912	577	940
ENSVKKG00000018509	783	652	477	839
ENSVKKG00000018508	890	1026	654	948
ENSVKKG00000018507	1029	1078	688	1171
ENSVKKG00000018502	30	84	35	76
ENSVKKG00000018490	67	85	39	71
ENSVKKG00000018488	887	459	318	324
ENSVKKG00000018484	226	223	167	219
ENSVKKG00000018480	389	506	248	367
ENSVKKG00000018478	1277	1068	1433	1830
ENSVKKG00000018476	616	528	439	613
ENSVKKG00000018474	599	342	257	367
ENSVKKG00000018473	208	110	116	123
ENSVKKG00000018470	1121	147	216	126
ENSVKKG00000018468	908	760	451	627
ENSVKKG00000018459	2386	2045	1711	2497
ENSVKKG00000018448	485	459	319	465
ENSVKKG00000018447	2333	1737	1619	2004
ENSVKKG00000018446	11	5	3	3
ENSVKKG00000018445	5138	4341	4082	5769
ENSVKKG00000018442	6943	6572	5736	7168
ENSVKKG00000018441	182	3	55	1
ENSVKKG00000018436	177	178	158	190
ENSVKKG00000018432	1073	979	561	731
ENSVKKG00000018430	257	224	173	252
ENSVKKG00000018429	793	627	456	678
ENSVKKG00000018419	100	2	23	4
ENSVKKG00000018416	425	481	277	340
ENSVKKG00000018415	639	580	481	676
ENSVKKG00000018414	1135	1376	923	1346
ENSVKKG00000018405	8	11	6	7
ENSVKKG00000018401	1156	678	512	550
ENSVKKG00000018400	18	9	11	4
ENSVKKG00000018397	125	1	27	0
ENSVKKG00000018392	55	67	37	65
ENSVKKG00000018391	128	114	105	111
ENSVKKG00000018387	13	7	12	6
ENSVKKG00000018386	812	1057	645	883
ENSVKKG00000018378	851	683	685	1023
ENSVKKG00000018374	432	340	294	410
ENSVKKG00000018354	790	730	392	702
ENSVKKG00000018351	3481	1808	1794	1364
ENSVKKG00000018344	976	1045	611	1052
ENSVKKG00000018341	521	285	389	282
ENSVKKG00000018339	348	291	335	257
ENSVKKG00000018338	28	32	23	38
ENSVKKG00000018335	211	274	119	148
ENSVKKG00000018334	1522	1604	1014	1274
ENSVKKG00000018333	2194	2515	1349	2097
ENSVKKG00000018332	17	42	15	19
ENSVKKG00000018331	3	29	1	15
ENSVKKG00000018329	1132	581	755	573
ENSVKKG00000018327	229	85	128	59
ENSVKKG00000018318	379	314	193	255
ENSVKKG00000018317	3054	2390	1779	2556
ENSVKKG00000018313	224	180	505	783
ENSVKKG00000018311	15	12	16	22
ENSVKKG00000018307	9	6	4	3
ENSVKKG00000018306	169	193	113	201
ENSVKKG00000018302	535	320	211	264
ENSVKKG00000018301	15	14	4	8
ENSVKKG00000018300	177	190	110	132
ENSVKKG00000018295	0	4	1	10
ENSVKKG00000018294	17	47	20	27
ENSVKKG00000018290	2254	3755	1520	2780
ENSVKKG00000018278	511	413	660	902
ENSVKKG00000018275	2	6	2	1
ENSVKKG00000018274	142	196	80	205
ENSVKKG00000018271	257	283	149	282
ENSVKKG00000018270	203	167	170	191
ENSVKKG00000018263	13065	14132	8313	13739
ENSVKKG00000018261	645	366	429	357
ENSVKKG00000018259	122	126	94	113
ENSVKKG00000018258	1692	718	1352	979
ENSVKKG00000018256	696	635	454	551
ENSVKKG00000018255	98	66	84	60
ENSVKKG00000018253	160	203	94	234
ENSVKKG00000018247	250	161	158	178
ENSVKKG00000018242	55	42	35	62
ENSVKKG00000018241	2	4	3	1
ENSVKKG00000018235	121	114	63	103
ENSVKKG00000018234	145	124	139	146
ENSVKKG00000018231	366	250	308	316
ENSVKKG00000018225	834	460	568	457
ENSVKKG00000018219	59	5	9	8
ENSVKKG00000018218	2	0	2	0
ENSVKKG00000018214	1447	1705	938	1230
ENSVKKG00000018213	3	5	2	1
ENSVKKG00000018211	1070	964	729	802
ENSVKKG00000018208	1684	1721	971	1075
ENSVKKG00000018209	2205	60	383	29
ENSVKKG00000018205	133	144	77	84
ENSVKKG00000018200	41	28	28	31
ENSVKKG00000018198	66	72	53	52
ENSVKKG00000018195	435	305	290	153
ENSVKKG00000018192	2619	2540	1555	1895
ENSVKKG00000018185	84	46	65	47
ENSVKKG00000018180	20	27	25	20
ENSVKKG00000018178	1212	1319	755	1102
ENSVKKG00000018177	1792	2155	1522	2304
ENSVKKG00000018174	116	97	91	92
ENSVKKG00000018170	660	561	489	580
ENSVKKG00000018169	117	102	108	144
ENSVKKG00000018167	516	481	442	629
ENSVKKG00000018162	886	905	500	611
ENSVKKG00000018160	139	86	70	84
ENSVKKG00000018148	4	4	24	17
ENSVKKG00000018143	257	268	222	305
ENSVKKG00000018141	814	887	549	937
ENSVKKG00000018140	3	0	2	3
ENSVKKG00000018138	688	770	431	735
ENSVKKG00000018135	2	2	1	1
ENSVKKG00000018132	19	34	12	21
ENSVKKG00000018130	1	3	2	0
ENSVKKG00000018129	370	384	312	526
ENSVKKG00000018126	42	37	17	48
ENSVKKG00000018125	8	10	13	9
ENSVKKG00000018159	1141	911	815	1126
ENSVKKG00000018120	258	134	197	158
ENSVKKG00000018117	9027	3384	5731	2573
ENSVKKG00000018116	142	103	57	111
ENSVKKG00000018112	16	6	3	17
ENSVKKG00000018110	27	22	16	27
ENSVKKG00000018106	465	491	321	387
ENSVKKG00000018102	1904	1367	1075	632
ENSVKKG00000018101	782	688	1083	1881
ENSVKKG00000018096	451	359	296	390
ENSVKKG00000005101	218	181	175	322
ENSVKKG00000018088	974	894	590	908
ENSVKKG00000018085	242	230	183	199
ENSVKKG00000018080	1111	890	903	1084
ENSVKKG00000018079	759	597	623	698
ENSVKKG00000018078	0	3	1	2
ENSVKKG00000018075	788	675	560	658
ENSVKKG00000018071	1576	1339	1064	1574
ENSVKKG00000018070	640	458	362	399
ENSVKKG00000018068	582	478	473	612
ENSVKKG00000018065	995	1032	656	1131
ENSVKKG00000018064	723	517	383	452
ENSVKKG00000018063	995	739	442	516
ENSVKKG00000018061	2	1	5	0
ENSVKKG00000018059	0	28	1	18
ENSVKKG00000018055	29	0	9	25
ENSVKKG00000018054	602	450	583	645
ENSVKKG00000018052	453	419	453	452
ENSVKKG00000018051	1810	1659	1598	2001
ENSVKKG00000018047	1747	1646	1092	1658
ENSVKKG00000018044	69	58	64	52
ENSVKKG00000018038	28	19	11	17
ENSVKKG00000018036	22	12	7	16
ENSVKKG00000018030	376	487	319	459
ENSVKKG00000018288	4200	3186	2943	3358
ENSVKKG00000018019	5	1	8	4
ENSVKKG00000018018	677	1025	403	608
ENSVKKG00000018014	0	3	3	0
ENSVKKG00000018013	1300	1185	1065	1246
ENSVKKG00000018007	162	214	73	97
ENSVKKG00000018004	2650	2504	2462	2849
ENSVKKG00000018003	1595	1490	1264	1657
ENSVKKG00000018002	2	2	0	0
ENSVKKG00000018000	37	0	6	0
ENSVKKG00000017999	4	6	108	138
ENSVKKG00000017997	3171	3367	2449	3857
ENSVKKG00000017996	1019	82	258	63
ENSVKKG00000017995	257	177	147	206
ENSVKKG00000017993	24	9	17	10
ENSVKKG00000017992	256	211	170	278
ENSVKKG00000017985	5	6	5	7
ENSVKKG00000018323	348	239	231	205
ENSVKKG00000017958	17	11	8	23
ENSVKKG00000017954	151	75	117	71
ENSVKKG00000017947	729	514	452	457
ENSVKKG00000017946	222	244	176	226
ENSVKKG00000017943	2606	1547	1335	1583
ENSVKKG00000017941	110	95	55	95
ENSVKKG00000017940	1426	1504	896	1177
ENSVKKG00000017935	1247	1035	717	871
ENSVKKG00000017933	2315	2367	1549	1985
ENSVKKG00000017931	56	72	29	36
ENSVKKG00000017929	260	274	168	177
ENSVKKG00000017926	385	404	297	399
ENSVKKG00000017922	3809	2711	3406	3190
ENSVKKG00000017915	4717	3582	2766	3123
ENSVKKG00000017914	310	265	202	198
ENSVKKG00000017913	653	472	399	469
ENSVKKG00000017909	3459	3368	2100	3057
ENSVKKG00000017907	1132	768	557	710
ENSVKKG00000017906	581	633	410	587
ENSVKKG00000018719	2838	1738	4981	8622
ENSVKKG00000017902	253	210	191	258
ENSVKKG00000017898	1914	2071	1886	3287
ENSVKKG00000017892	167	229	147	222
ENSVKKG00000017891	285	276	208	286
ENSVKKG00000017881	54	94	119	172
ENSVKKG00000017880	584	304	391	311
ENSVKKG00000017879	45	42	40	35
ENSVKKG00000017877	26	31	17	21
ENSVKKG00000017869	2246	2043	1409	1923
ENSVKKG00000017867	277	228	144	203
ENSVKKG00000017866	591	515	325	469
ENSVKKG00000017864	321	323	168	275
ENSVKKG00000017861	29	18	52	20
ENSVKKG00000017858	14	8	3	14
ENSVKKG00000017857	47	55	69	77
ENSVKKG00000017852	1833	1492	1311	1780
ENSVKKG00000017850	81	45	51	53
ENSVKKG00000017847	3818	3775	2598	3134
ENSVKKG00000017846	60	35	36	30
ENSVKKG00000017840	232	179	358	386
ENSVKKG00000017834	349	355	259	376
ENSVKKG00000017831	179	241	145	249
ENSVKKG00000017823	178	132	79	107
ENSVKKG00000017821	457	482	304	557
ENSVKKG00000017820	191	188	117	202
ENSVKKG00000017819	175	113	212	112
ENSVKKG00000017818	35	62	28	85
ENSVKKG00000017817	20	32	57	86
ENSVKKG00000017816	164	255	172	267
ENSVKKG00000017815	128	143	210	321
ENSVKKG00000018337	34	11	10	5
ENSVKKG00000017801	146	73	135	61
ENSVKKG00000017800	249	154	194	188
ENSVKKG00000018512	693	587	445	745
ENSVKKG00000017798	146	65	70	68
ENSVKKG00000017796	350	349	238	248
ENSVKKG00000017792	4035	3864	2455	3164
ENSVKKG00000017783	133	113	103	111
ENSVKKG00000017778	155	146	111	104
ENSVKKG00000017870	358	388	249	392
ENSVKKG00000017775	21915	28768	16888	27750
ENSVKKG00000017774	55	37	38	30
ENSVKKG00000017772	238	291	187	293
ENSVKKG00000017764	1	3	6	0
ENSVKKG00000017758	0	1	3	3
ENSVKKG00000017756	150	75	68	80
ENSVKKG00000017755	88	159	303	658
ENSVKKG00000017753	33	64	13	65
ENSVKKG00000017750	471	550	317	484
ENSVKKG00000017749	3044	2477	1541	3516
ENSVKKG00000017744	429	404	306	412
ENSVKKG00000017742	1367	1438	874	1215
ENSVKKG00000017739	988	1043	522	902
ENSVKKG00000017734	10	4	8	23
ENSVKKG00000017733	821	612	544	690
ENSVKKG00000017723	5	2	4	3
ENSVKKG00000017721	1925	1728	1059	1348
ENSVKKG00000017710	29	26	24	26
ENSVKKG00000017700	220	177	153	191
ENSVKKG00000017697	1055	857	710	1169
ENSVKKG00000017694	2742	1880	1659	1578
ENSVKKG00000017693	9	13	16	10
ENSVKKG00000017691	698	974	424	643
ENSVKKG00000017685	3607	3034	3678	4158
ENSVKKG00000017683	94	82	92	147
ENSVKKG00000017679	1002	863	780	1148
ENSVKKG00000017678	307	272	284	332
ENSVKKG00000017674	705	697	522	830
ENSVKKG00000017666	608	692	479	992
