,logFC,logCPM,PValue,QValue
ENSVKKG00000017415,0.632193956,5.836898092,0.040743949,1
ENSVKKG00000003991,0.648876714,6.840335709,0.049477059,1
ENSVKKG00000008345,0.651731075,8.015783994,0.048420195,1
ENSVKKG00000007241,0.656359171,6.041120391,0.032025857,1
ENSVKKG00000010328,0.658825295,7.373002886,0.042006244,1
ENSVKKG00000012931,0.660819676,6.795648492,0.042954625,1
ENSVKKG00000012477,0.667863576,5.494030073,0.03268042,1
ENSVKKG00000015880,0.695527964,5.27352774,0.048067283,1
ENSVKKG00000011557,0.696488801,6.956008353,0.037438193,1
ENSVKKG00000002426,0.698636878,8.442808806,0.033608314,1
ENSVKKG00000008877,0.699049193,5.173155632,0.038998394,1
ENSVKKG00000018377,0.701796593,5.696004914,0.029817771,1
ENSVKKG00000014231,0.713482956,6.831537871,0.046324524,1
ENSVKKG00000000661,0.718152524,7.335707146,0.04440697,1
ENSVKKG00000002663,0.720090671,5.988147335,0.043997754,1
ENSVKKG00000014888,0.724643181,4.950585512,0.041540073,1
ENSVKKG00000008651,0.730125219,5.303972996,0.022329914,0.96126676
ENSVKKG00000001107,0.737197222,6.789063663,0.022278737,0.96126676
ENSVKKG00000004198,0.743854723,6.688753178,0.016252639,0.803379499
ENSVKKG00000013329,0.75616988,4.582642615,0.04888196,1
ENSVKKG00000010115,0.757276236,5.527957267,0.042145112,1
ENSVKKG00000017107,0.762728687,4.891189939,0.028234244,1
ENSVKKG00000006523,0.778411296,6.030616106,0.012693387,0.686205823
ENSVKKG00000017224,0.779770744,7.071512784,0.025239403,1
ENSVKKG00000003245,0.796328363,6.067526321,0.016534817,0.808246349
ENSVKKG00000006601,0.798333517,5.35634284,0.016399627,0.805315639
ENSVKKG00000007460,0.809968351,8.129648961,0.012636139,0.686205823
ENSVKKG00000016523,-1.899890237,5.409754906,6.53E-07,0.000307577
ENSVKKG00000006755,0.812199273,8.164472541,0.040672696,1
ENSVKKG00000011233,-3.113050006,1.631970767,8.79E-07,0.000386758
ENSVKKG00000009105,0.817017436,7.077144389,0.043325719,1
ENSVKKG00000003052,0.824824128,4.876748847,0.046479159,1
ENSVKKG00000004398,0.826001396,6.43243411,0.008152696,0.508989715
