,logFC,logCPM,PValue,QValue
ENSVKKG00000017107,13.03500979,4.877118965,7.99E-36,8.09E-33
ENSVKKG00000008353,12.0110216,3.854434492,4.80E-16,1.26E-13
ENSVKKG00000013807,10.95610734,2.806671684,2.66E-16,7.46E-14
ENSVKKG00000009858,9.044308747,0.95393487,4.84E-08,4.79E-06
ENSVKKG00000003024,8.708619634,6.46886695,1.19E-56,7.82E-53
ENSVKKG00000006276,7.871754695,5.866873483,4.25E-70,5.59E-66
ENSVKKG00000008553,7.865256007,8.545584474,1.13E-28,7.85E-26
ENSVKKG00000012752,7.855035926,4.454808752,3.72E-40,5.44E-37
ENSVKKG00000004907,7.376207144,-0.580266981,2.49E-06,0.000191635
ENSVKKG00000011003,7.164730424,-0.755944285,1.01E-05,0.000670074
ENSVKKG00000018377,7.013273155,-0.946035595,0.009848317,0.231849457
ENSVKKG00000006602,6.68886646,6.647359692,2.94E-45,7.50E-42
ENSVKKG00000014833,6.542694655,5.09758056,6.82E-44,1.12E-40
ENSVKKG00000007850,6.538262832,-1.25817663,0.000151838,0.007428206
ENSVKKG00000003991,6.524154801,-1.241881903,0.001663749,0.055997296
ENSVKKG00000006162,6.420860691,7.272073062,1.39E-11,2.07E-09
ENSVKKG00000008413,6.392585894,8.532203445,1.65E-39,2.18E-36
ENSVKKG00000009905,6.328920283,-1.391346193,0.001911795,0.063855901
ENSVKKG00000008409,6.242365767,0.430738955,3.86E-07,3.32E-05
ENSVKKG00000006365,6.068085683,-1.597982294,0.001060382,0.037715224
ENSVKKG00000002709,5.953662002,9.197883779,3.57E-45,7.50E-42
ENSVKKG00000012738,5.920633523,0.9173151,1.46E-08,1.55E-06
ENSVKKG00000008345,5.889432348,8.465933257,2.16E-29,1.78E-26
ENSVKKG00000008886,5.863408873,-1.733714809,0.002150407,0.070221733
ENSVKKG00000005065,5.857687354,7.708617916,2.20E-18,7.23E-16
ENSVKKG00000010367,5.84401184,7.241922415,4.66E-52,1.53E-48
ENSVKKG00000013158,5.775771314,-1.762573558,0.011548604,0.260685471
ENSVKKG00000000908,5.7467128,6.248705744,3.99E-45,7.50E-42
ENSVKKG00000012477,5.680968503,10.54852021,1.32E-34,1.24E-31
ENSVKKG00000005362,5.632001325,3.232230053,8.67E-09,9.84E-07
ENSVKKG00000008651,5.587072519,1.503064988,1.07E-07,9.84E-06
ENSVKKG00000015305,5.586942112,-1.936743237,0.019763291,0.385882661
ENSVKKG00000007836,5.575001675,9.516947569,1.98E-20,7.46E-18
ENSVKKG00000007136,5.552169667,-1.944399718,0.01425092,0.307950908
ENSVKKG00000006161,5.53388603,6.275687458,1.88E-56,8.27E-53
ENSVKKG00000010948,5.481094324,3.046615032,5.35E-12,8.18E-10
ENSVKKG00000016032,5.479340064,-1.967285058,0.006873833,0.178773995
ENSVKKG00000001604,5.317640429,-2.056328996,0.01671749,0.346892131
ENSVKKG00000007976,5.289647186,-2.064053148,0.022566752,0.418199535
ENSVKKG00000006163,5.281204844,-0.460428641,3.03E-05,0.00174996
ENSVKKG00000003127,5.261486284,2.091655327,1.13E-12,1.84E-10
ENSVKKG00000014777,5.205029043,2.915434186,2.22E-13,3.84E-11
ENSVKKG00000007460,5.148366842,8.361570964,1.70E-10,2.24E-08
ENSVKKG00000016407,5.134274226,-2.150611087,0.029839706,0.50280477
ENSVKKG00000003121,5.134274226,-2.150611087,0.029839706,0.50280477
ENSVKKG00000003133,5.134274226,-2.150611087,0.029839706,0.50280477
ENSVKKG00000016008,5.045531833,-2.218677045,0.037164704,0.564766167
ENSVKKG00000004667,5.045531833,-2.218677045,0.037164704,0.564766167
ENSVKKG00000008877,5.039792215,6.548737524,1.56E-12,2.51E-10
ENSVKKG00000002052,5.010440526,-2.226733899,0.027036643,0.473487822
ENSVKKG00000014029,4.996696052,-0.673518713,3.50E-05,0.001976178
ENSVKKG00000012887,4.957850964,-2.242789267,0.042057616,0.607550193
ENSVKKG00000007241,4.957850964,-2.242789267,0.042057616,0.607550193
ENSVKKG00000001984,4.944827283,4.385629756,6.77E-26,3.71E-23
ENSVKKG00000002355,4.844417697,6.256629518,1.82E-38,2.18E-35
ENSVKKG00000008037,4.828271126,1.992538323,3.26E-11,4.56E-09
ENSVKKG00000001513,4.814774744,5.539738155,2.52E-28,1.66E-25
ENSVKKG00000012383,4.813844837,-2.324997428,0.047627291,0.655241136
ENSVKKG00000017164,4.661171655,4.317346851,5.97E-22,2.53E-19
ENSVKKG00000006123,4.566128468,0.777701603,3.36E-05,0.001905523
ENSVKKG00000003142,4.543029742,4.920599543,1.69E-17,5.17E-15
ENSVKKG00000004663,4.538368624,-1.064788523,0.007649536,0.192114293
ENSVKKG00000011576,4.537571915,5.288696752,1.40E-37,1.54E-34
ENSVKKG00000003245,4.499790908,10.00185525,1.84E-17,5.51E-15
ENSVKKG00000001067,4.490223297,6.284967653,7.12E-14,1.30E-11
ENSVKKG00000008465,4.389781277,4.791433186,6.13E-29,4.74E-26
ENSVKKG00000009902,4.372267097,9.058140255,4.25E-24,1.93E-21
ENSVKKG00000001787,4.299927783,-1.271207927,0.014319796,0.308139449
ENSVKKG00000008883,4.262147946,7.616018774,4.22E-16,1.13E-13
ENSVKKG00000003601,4.204241735,5.974373709,6.15E-08,5.95E-06
ENSVKKG00000006856,4.165888887,8.149346602,8.12E-29,5.94E-26
ENSVKKG00000014627,4.131934653,8.86288684,0.000302769,0.013281484
ENSVKKG00000013327,4.107365119,0.164795417,0.000946678,0.034510473
ENSVKKG00000009436,4.000267062,8.697748594,0.013491245,0.29346245
ENSVKKG00000005249,3.956469179,1.94383516,2.13E-05,0.00129571
ENSVKKG00000012326,3.918470691,3.645445305,2.90E-06,0.000217927
ENSVKKG00000016831,3.897757483,1.012279371,0.000159607,0.007722164
ENSVKKG00000013487,3.818227185,7.493699291,8.39E-21,3.25E-18
ENSVKKG00000005063,3.758954353,8.941110176,3.11E-28,1.95E-25
ENSVKKG00000006487,3.755873113,4.563465664,8.40E-14,1.51E-11
ENSVKKG00000012540,3.725313525,6.840945455,8.67E-34,7.60E-31
ENSVKKG00000013329,3.664660251,4.997920346,1.50E-10,2.01E-08
ENSVKKG00000006482,3.654179856,0.916688704,5.30E-05,0.002868299
ENSVKKG00000006129,3.646401934,-0.261580704,0.000183291,0.00870799
ENSVKKG00000016612,3.646373658,-1.06349012,0.002814846,0.089046558
ENSVKKG00000000884,3.643332992,4.268820757,6.05E-07,5.11E-05
ENSVKKG00000012420,3.626064846,8.231413765,2.45E-25,1.24E-22
