,logFC,logCPM,PValue,QValue
ENSVKKG00000017107,7.87175469531271,5.86687348349239,4.25115462916663e-70,5.59451949198328e-66
ENSVKKG00000008353,8.70861963428699,6.46886694998738,1.18852682933438e-56,7.82050653702025e-53
ENSVKKG00000013807,5.53388603026374,6.27568745818577,1.88477222075732e-56,8.26786747505545e-53
ENSVKKG00000009858,5.84401184015543,7.24192241481263,4.66271675710884e-52,1.53403381308881e-48
ENSVKKG00000003024,5.74671280041911,6.24870574406447,3.98903559596988e-45,7.49938692042337e-42
ENSVKKG00000006276,6.68886646030257,6.64735969198427,2.93565561486845e-45,7.49938692042337e-42
ENSVKKG00000008553,5.9536620023573,9.19788377933439,3.56738174636538e-45,7.49938692042337e-42
ENSVKKG00000012752,6.5426946554691,5.09758056021759,6.821258551134e-44,1.12209703166154e-40
ENSVKKG00000004907,7.85503592558335,4.45480875218511,3.72030877568176e-40,5.43991816533022e-37
ENSVKKG00000011003,6.39258589361834,8.53220344511495,1.65496303975626e-39,2.17793136031924e-36
ENSVKKG00000018377,4.84441769660254,6.25662951784298,1.8238771518623e-38,2.18202030168253e-35
ENSVKKG00000006602,4.53757191535811,5.28869675174616,1.40125452612066e-37,1.53670913031232e-34
ENSVKKG00000014833,13.0350097877711,4.87711896462013,7.98775168907364e-36,8.08606247909301e-33
ENSVKKG00000007850,5.68096850283842,10.5485202144812,1.3231439219718e-34,1.24375528665349e-31
ENSVKKG00000003991,3.72531352494791,6.84094545508599,8.66597180464746e-34,7.60294592994404e-31
ENSVKKG00000006162,5.88943234784424,8.46593325665354,2.15918140312657e-29,1.77592670407161e-26
ENSVKKG00000008413,4.38978127710163,4.79143318646681,6.12613451349937e-29,4.74234883515598e-26
ENSVKKG00000009905,4.16588888702162,8.14934660150236,8.1219643120011e-29,5.93805835255192e-26
ENSVKKG00000008409,7.86525600739653,8.5455844741561,1.13362047500126e-28,7.85181339527188e-26
ENSVKKG00000006365,4.81477474431695,5.53973815490459,2.51534838033825e-28,1.65509923426257e-25
ENSVKKG00000002709,3.75895435263586,8.941110176298,3.11295361859317e-28,1.95078426765172e-25
ENSVKKG00000012738,3.39964038761593,5.89836242913407,4.91742852911628e-28,2.94151633832592e-25
ENSVKKG00000008345,3.24077755539123,6.00172307456256,4.74474990686339e-26,2.71482212062271e-23
ENSVKKG00000008886,4.94482728261907,4.38562975648216,6.77261089246545e-26,3.71364830603522e-23
ENSVKKG00000005065,3.00899752600028,6.51883549233494,8.5378128122296e-26,4.49430466435766e-23
ENSVKKG00000010367,3.62606484551755,8.23141376481988,2.44675524362712e-25,1.23843457715896e-22
ENSVKKG00000013158,3.61049943495428,9.22196730360221,7.04520604267497e-25,3.43388561191121e-22
ENSVKKG00000000908,3.06466212540527,6.81875477754295,1.42365587466748e-24,6.69118261093716e-22
ENSVKKG00000012477,4.37226709680797,9.05814025545848,4.25418573554072e-24,1.93052014757641e-21
ENSVKKG00000005362,3.27302239039745,5.75912564396,3.51728427373023e-22,1.54291536807633e-19
ENSVKKG00000008651,4.66117165514704,4.31734685101449,5.96741351441778e-22,2.53326328547542e-19
ENSVKKG00000015305,3.45559581639653,5.36752701642315,3.31569825446808e-21,1.36358090715e-18
ENSVKKG00000007836,3.25345519334457,8.13810294443397,3.49727484670306e-21,1.39467081765492e-18
ENSVKKG00000007136,3.81822718480783,7.49369929138047,8.39399195958893e-21,3.24896865259383e-18
