,logFC,logCPM,PValue,QValue
ENSVKKG00000016523,-1.89989023746634,5.40975490585633,6.52535974845211e-07,0.0003075774927145
ENSVKKG00000011233,-3.11305000580805,1.63197076704307,8.79129579422612e-07,0.0003867584063073
ENSVKKG00000000938,-2.05267086026137,4.94265514087128,2.06032256086384e-06,0.0007438979807778
ENSVKKG00000013046,-2.11617576625657,3.63719344833997,1.70138637083501e-05,0.0039943998012386
ENSVKKG00000002486,-2.5637058675678,3.10105445097497,0.000399047896697,0.0542951973258535
ENSVKKG00000015798,-1.01751697396005,6.00231088028862,0.0014124533498634,0.146783931586598
ENSVKKG00000005313,-1.11318060880119,4.43902572068033,0.0026345742237092,0.235825825679484
ENSVKKG00000007664,-2.22391444404734,0.280518072206266,0.0027250727141095,0.2413792596028
ENSVKKG00000011409,-1.07266724222734,4.76427225512284,0.0035355276843441,0.284523746207157
ENSVKKG00000009304,-1.51423209322505,3.63781785434076,0.0042692441728639,0.333405234280815
ENSVKKG00000012114,-1.02898100878976,6.78392298359656,0.0046254288051396,0.349978992423962
ENSVKKG00000001858,-0.858545666528531,5.90724791238692,0.0051044355374928,0.380612091660063
ENSVKKG00000015143,-1.01128287211568,6.071426035572,0.0052474325575801,0.381086121733572
ENSVKKG00000008643,-1.01525409773711,8.70325790369627,0.0065612050456527,0.444075816371924
ENSVKKG00000004470,-1.14617817291433,6.643632458609,0.0069328065454174,0.460590748088723
ENSVKKG00000007347,-0.848013422643927,5.42304547293041,0.0069381282366303,0.460590748088723
ENSVKKG00000007589,-1.42185843062544,3.31478718799425,0.0079211976337711,0.500210365409149
ENSVKKG00000005161,-2.45510529659776,0.145742814439056,0.0081083304853479,0.508989714801636
ENSVKKG00000017051,-2.86819379428004,-1.43604041141159,0.0099510488942568,0.594271236680554
ENSVKKG00000002656,-0.962784769385405,7.42045546708432,0.0102651732462844,0.602969563838275
ENSVKKG00000014447,-2.33991382701326,0.219458544307859,0.0108067524836084,0.620875398069344
ENSVKKG00000009354,-3.42291704295402,-1.66091868156795,0.0107605680734364,0.620875398069344
ENSVKKG00000017644,-0.922264922917979,7.57400496599965,0.0110989496895538,0.631396284494529
ENSVKKG00000006466,-0.965370179542027,5.12149726860754,0.011369048780615,0.643985861830716
ENSVKKG00000016542,-1.08121733505514,4.66253114018371,0.0122122842981502,0.668787253804922
ENSVKKG00000010128,-2.09433040081179,2.25432420958999,0.0134661616179068,0.719540085154389
ENSVKKG00000011501,-0.868931854015635,5.27281120871892,0.0140580532391157,0.733352516402566
ENSVKKG00000016049,-1.32245199961386,2.25618055614003,0.0152763121780483,0.781460341573182
ENSVKKG00000002097,-1.13256861223906,3.32082135746914,0.0154128164509346,0.785399040615578
ENSVKKG00000004482,-1.67739170888949,0.436354657916761,0.0157127329789607,0.793996191608741
ENSVKKG00000013773,-1.95493694454698,6.36930018157327,0.0159644837112263,0.797700118397419
ENSVKKG00000002435,-1.00725771213768,5.26182831318372,0.0164138435314957,0.805315639140076
ENSVKKG00000011251,-1.43413895589052,2.78446385926003,0.0167266060448736,0.814604230923401
ENSVKKG00000002582,-1.1129578463488,5.74087894193146,0.0171840359212609,0.827718635360589
ENSVKKG00000016706,-1.09323214424861,3.62511260434519,0.0174659711553883,0.83035699649346
ENSVKKG00000016732,-1.28269592291008,3.54759137168911,0.0176203996127613,0.83035699649346
ENSVKKG00000005615,-0.80196170059443,5.59544843099501,0.0177818251327621,0.83035699649346
ENSVKKG00000007747,-1.64544101190033,0.855018426531089,0.0177412613595933,0.83035699649346
ENSVKKG00000016521,-1.52102738284099,1.8061747093827,0.0185194057361098,0.845740888945248
ENSVKKG00000004228,-1.02119523848281,4.91489829576342,0.0200376787727978,0.902584588543979
ENSVKKG00000000226,-0.879196844467312,9.59044847292193,0.0201510457989929,0.904603749847306
ENSVKKG00000003182,-1.18798625327751,3.96333810769089,0.0203990531470258,0.905303116394885
ENSVKKG00000011508,-1.17819019757045,4.49978884828896,0.0219360079540441,0.958647129064485
ENSVKKG00000002420,-1.03480416548975,4.77777937563719,0.0230164553958142,0.979907026819213
ENSVKKG00000018195,-1.15780962045277,3.84963195192351,0.026494296720183,1.0
ENSVKKG00000017783,-1.07095383235845,2.31578510705069,0.0383931917763967,1.0
ENSVKKG00000016749,-2.66863356376898,-1.5539756165537,0.0461929262437338,1.0
ENSVKKG00000016528,-5.0221452110949,-2.18661630416657,0.0279340432366675,1.0
ENSVKKG00000015989,-1.52653501832033,4.16232794283786,0.0239469192090182,1.0
ENSVKKG00000014218,-1.0954582617617,7.39817537495158,0.0384911643133798,1.0
ENSVKKG00000014071,-2.37158414617686,-0.593546120586745,0.0383430143267594,1.0
ENSVKKG00000013018,-0.67236612260392,5.51793127769495,0.030613541688314,1.0
ENSVKKG00000013747,-0.767339500118314,7.08243033930237,0.0412493364715513,1.0
ENSVKKG00000012473,-1.29251913763006,2.48033907971842,0.0356327603175501,1.0
ENSVKKG00000017949,-5.03347158546022,-2.18354883945346,0.0404136255794322,1.0
ENSVKKG00000012459,-1.34483080319682,1.737912177766,0.0280564165600294,1.0
ENSVKKG00000012413,-0.683004468926316,6.81893733386908,0.0403955083252721,1.0
ENSVKKG00000012042,-0.950956676706937,2.87820986296237,0.0454013589617435,1.0
ENSVKKG00000010737,-1.01222480059578,4.75378322746291,0.0275695094051579,1.0
ENSVKKG00000004245,-0.934705404142278,6.22623575449496,0.0359557465663149,1.0
ENSVKKG00000004188,-0.718086860459399,5.11685177710349,0.0385805380534862,1.0
ENSVKKG00000007666,-1.49352727424432,-0.387431631582423,0.0422622183999099,1.0
ENSVKKG00000001408,-0.682846918689192,8.37356743680399,0.0475220728772143,1.0
ENSVKKG00000003163,-0.682992363492586,4.87615860214385,0.048029479378099,1.0
ENSVKKG00000010228,-4.81382799085938,-2.28715814052492,0.0464759647078822,1.0
ENSVKKG00000004647,-0.637403627876165,6.07755526638773,0.0487332846595852,1.0
