,logFC,logCPM,PValue,QValue
ENSVKKG00000011233,-3.09327139098941,1.58881993251771,7.86601252694416e-06,0.0005391496086176
ENSVKKG00000011258,-7.07614636323734,-0.744702460987181,2.67276290107259e-05,0.0015632693234717
ENSVKKG00000015143,-1.29113359931939,5.92844517888137,4.73808798113293e-05,0.002587271279324
ENSVKKG00000010017,-1.86397219260751,4.60590023741589,7.37208917887566e-05,0.0039119634513711
ENSVKKG00000000938,-1.49492554568373,5.01190390391188,0.000128972864763,0.0064482455664634
ENSVKKG00000016733,-1.12813459699445,5.38162198174547,0.0001772028700996,0.0084492382989544
ENSVKKG00000002486,-2.84309948935131,3.01788703868932,0.0002020763825625,0.0094302311862505
ENSVKKG00000016523,-1.28158446901276,5.50866203736131,0.0002529013410324,0.0114370503367248
ENSVKKG00000003496,-1.63463914538719,5.64133094565754,0.0003002157905587,0.013213511049341
ENSVKKG00000014707,-1.33871232040244,4.7790727848736,0.0004475026629408,0.0185192925921419
ENSVKKG00000016357,-0.916325787768004,5.86417966450669,0.000741779258436,0.0289668102107388
ENSVKKG00000015204,-1.77491227810644,2.91890805548741,0.0007501347339196,0.0291202746264991
ENSVKKG00000015290,-6.06819661868119,-1.49570289797328,0.0007657591348151,0.0295524639711641
ENSVKKG00000006504,-1.11510158331335,5.45794290400966,0.0007867713385841,0.030098577952814
ENSVKKG00000013018,-1.06730548902886,5.32027643446288,0.0008953988603141,0.0331928140893932
ENSVKKG00000011504,-1.01650712722873,7.3068599536987,0.0009254668736959,0.0339251923616687
ENSVKKG00000009301,-2.35321540966668,1.53691449309126,0.0009843901621362,0.0355894904772322
ENSVKKG00000003002,-1.4380284979949,5.05956382623953,0.0011744852276355,0.0415489935367854
ENSVKKG00000017795,-1.37497044948418,4.18138168986273,0.0011830387089682,0.0417393817963076
ENSVKKG00000011501,-1.08014492825013,5.14542121513857,0.0012898156465157,0.0451435476280519
ENSVKKG00000013046,-1.48726640786592,3.72034076208808,0.0013565680225191,0.0471040505972345
ENSVKKG00000006468,-1.01124428126501,5.331065932268,0.0015397082051032,0.0522230927297906
ENSVKKG00000002582,-1.26462794660617,5.63467039217637,0.0021158247932112,0.0694370430889288
ENSVKKG00000017267,-0.916173286554359,6.33786713602514,0.0024198641170755,0.0782442549894699
ENSVKKG00000011742,-4.75284890550208,-0.598363734543926,0.0028256053884376,0.0891725825223977
ENSVKKG00000009303,-0.882514322825806,5.69545048000893,0.0029800587675168,0.0929326383424669
ENSVKKG00000001858,-0.831525059074245,5.85630163999365,0.0031302495834682,0.0969272576904515
ENSVKKG00000008876,-1.04493869611281,5.75242174639703,0.0031727691350938,0.0973278364052093
ENSVKKG00000015718,-2.79777574760873,0.384159632070546,0.0032425565323712,0.0987778795509395
ENSVKKG00000016732,-1.55270656899309,3.42322075009872,0.003509741210575,0.105693808538142
ENSVKKG00000016149,-1.09843383829531,4.1776913805422,0.0036256981671767,0.108936502009238
ENSVKKG00000010539,-2.93559692248999,-0.522725395272682,0.003969580886134,0.117922538287864
ENSVKKG00000008376,-0.914262317577202,5.70200650031064,0.0043315599826903,0.126956190138541
ENSVKKG00000017740,-0.799123381934881,5.75538590577623,0.0044166131911655,0.12885909328944
ENSVKKG00000001425,-1.9914599944479,0.898895337871021,0.0047778419079479,0.137284715084268
ENSVKKG00000016074,-1.43432614062822,3.0889519588377,0.0049028289966248,0.140263542599093
ENSVKKG00000011251,-1.64931268493216,2.68038342114924,0.0053011192334256,0.149065660495473
ENSVKKG00000010204,-0.894927742892697,8.53675677151146,0.0053517606243084,0.149849297480636
ENSVKKG00000008878,-0.947786817215479,5.97368824881088,0.0053801114399721,0.150323283545719
ENSVKKG00000018658,-0.822471929955165,5.18538284961076,0.0054668229529291,0.152334066028089
ENSVKKG00000012742,-1.86617067956559,1.65788224026499,0.0054752289689427,0.152334066028089
ENSVKKG00000001301,-2.17403635999397,0.432503858789259,0.005688103739728,0.1566013498218
ENSVKKG00000000319,-0.926188766875205,5.10003347008332,0.005857192526874,0.159587274645263
ENSVKKG00000006478,-1.15950035943671,3.69764251257594,0.0059195814734854,0.16062204575478
ENSVKKG00000014393,-0.748187675200308,6.47550570374809,0.00652659869563,0.171780077668982
ENSVKKG00000005636,-1.58159845395336,6.35665222578102,0.006502452379567,0.171780077668982
ENSVKKG00000000771,-0.76540118574427,5.45191030017538,0.0068721328434279,0.178773995099644
ENSVKKG00000009182,-1.64222712918958,4.58615645546059,0.0071823171922729,0.185331949510415
ENSVKKG00000015961,-0.76976660435923,5.95464278041358,0.0073232153473402,0.188229519474606
ENSVKKG00000017147,-1.81838096941333,3.9092662749988,0.00734531064679,0.188429411523892
ENSVKKG00000000228,-0.739781281786397,5.89138140832598,0.0073943699739189,0.188836145938276
ENSVKKG00000007515,-1.63461800709049,1.97809345500746,0.0075529632188158,0.191516369864387
ENSVKKG00000016885,-1.22376641256077,4.85834465332024,0.0078328680606018,0.195228302419546
ENSVKKG00000010383,-2.2904880513652,0.25321255298219,0.0079802831211586,0.197495173755781
ENSVKKG00000014982,-0.748575187171315,6.30571092303823,0.0081730117225343,0.20105693431909
ENSVKKG00000006448,-0.897553606907449,5.26593177438197,0.0084422436167459,0.205360306832489
ENSVKKG00000006976,-1.45551994335558,2.95840714734784,0.008524751864585,0.206223776724153
ENSVKKG00000002511,-0.949766415384461,4.63193760896296,0.0086102845735687,0.207910724748926
ENSVKKG00000016694,-0.773964915876729,5.19384547422844,0.0088074323738856,0.211893619817798
ENSVKKG00000009414,-0.700765654832621,6.03942615987804,0.0098805696108561,0.231959835095969
ENSVKKG00000006466,-1.03514249348272,5.03509366961811,0.0102757922898113,0.238244982135511
ENSVKKG00000015135,-0.896305278346881,6.04049131123721,0.0108624071567861,0.249475180075576
ENSVKKG00000013016,-0.959602057807065,4.03486947465788,0.0109400259022496,0.250820106051575
ENSVKKG00000004647,-0.746972216689823,5.9786114897952,0.0109752433601627,0.25118991759955
ENSVKKG00000012114,-0.804257849841477,6.80264627765496,0.0114536828018786,0.259880113228832
ENSVKKG00000011715,-0.815755467519161,6.52078048460603,0.0115235070218293,0.260565897607
ENSVKKG00000004482,-1.87646485131996,0.357765146178162,0.011735716141694,0.26400346055503
ENSVKKG00000016731,-3.51294535636811,-1.5406056454734,0.0118516147780706,0.265408021671513
ENSVKKG00000011646,-1.40911028983008,4.78874468305877,0.0122930335824015,0.274662685813928
ENSVKKG00000006458,-1.77326861591494,0.603561339791009,0.0123450337779304,0.275357024606041
ENSVKKG00000004315,-2.27847620336792,-0.339401445673294,0.012822116237768,0.283595041494163
ENSVKKG00000015711,-1.72393576385798,1.52895062687023,0.0130359794285945,0.28657656973358
ENSVKKG00000015797,-0.904681575314755,4.3918130444074,0.0132620973027172,0.290882000839597
ENSVKKG00000014978,-1.03257156734672,4.07837017560191,0.0133378663209451,0.29205710612918
ENSVKKG00000009416,-1.32474193261145,2.23889053305003,0.0134572991874313,0.293208704149994
ENSVKKG00000005944,-0.660539143579478,6.23210344975044,0.0140856290085468,0.305382006182004
ENSVKKG00000010596,-1.44035389803166,2.64836640962869,0.0145356848057579,0.311040019583371
ENSVKKG00000008408,-0.661879889076528,6.59910909591121,0.0148855048799019,0.314716023576037
ENSVKKG00000000179,-0.764314025181112,9.03612317205017,0.0148493589079455,0.314716023576037
ENSVKKG00000000486,-1.84402168824964,0.380352658534755,0.0147829910932303,0.314716023576037
ENSVKKG00000018289,-1.01944353025553,3.52319009385486,0.0148917318449097,0.314716023576037
ENSVKKG00000007306,-1.17625229017864,2.85389144237603,0.0148149027516755,0.314716023576037
