,logFC,logCPM,PValue,QValue
ENSVKKG00000003991,3.46546392206851,6.76853295827298,2.0034248932063e-36,3.63882063353061e-32
ENSVKKG00000008345,3.56604117709671,6.19982167347007,3.18356110638342e-26,2.89115101876211e-22
ENSVKKG00000012931,2.92527600904099,6.65444070835784,7.27417286029436e-19,4.40402672205088e-15
ENSVKKG00000015880,3.02829489527138,7.99542915096252,1.22681364495546e-18,5.57065405833148e-15
ENSVKKG00000007241,3.23762393378806,7.49146796066007,1.85265728867644e-18,6.72996286684605e-15
ENSVKKG00000012477,2.89925813309154,8.5725321876114,9.41746666312688e-18,2.85082411670622e-14
ENSVKKG00000017415,3.99547613648948,5.03560607418372,8.83160351722396e-17,2.29154878119056e-13
ENSVKKG00000010328,3.52925328861246,7.33262234762569,1.30610203741615e-16,2.9653414131987e-13
ENSVKKG00000011557,3.47099577222838,7.25779604754372,1.63921269421396e-15,3.30811335166757e-12
ENSVKKG00000014888,3.17148684507601,2.73437890179798,7.28956299372733e-13,1.20363938777336e-09
ENSVKKG00000002426,2.30046890741826,7.47294022299061,7.14735981102238e-13,1.20363938777336e-09
ENSVKKG00000008651,3.81789811656453,4.02860372587995,2.88186106920862e-12,4.36193688333635e-09
ENSVKKG00000018377,2.71489267347003,5.62833623596648,3.97993150421525e-12,5.5605766085432e-09
ENSVKKG00000006523,1.67984499628644,5.51383641349194,5.67702433004223e-12,7.36512806475408e-09
ENSVKKG00000003245,1.7244143233413,6.76731741175746,9.85506615704221e-12,1.19331711073572e-08
ENSVKKG00000001107,8.51122591475484,-0.0294309291721858,1.91694123117438e-11,2.17608772386377e-08
ENSVKKG00000007460,3.16341634506981,4.46691104690506,1.1622627168761e-10,1.24177516038944e-07
ENSVKKG00000014231,3.3080867285473,4.24913891389418,2.56911430332102e-10,2.59237906062331e-07
ENSVKKG00000010115,2.97981846713784,4.09819214326546,1.17627368248727e-09,1.09857381654422e-06
ENSVKKG00000009105,1.55597424652201,7.75390600684061,1.20968322033168e-09,1.09857381654422e-06
ENSVKKG00000007188,1.57761789918048,6.08614226787317,5.43220093043244e-09,4.69833645235449e-06
ENSVKKG00000016523,-1.89859009438557,5.52521862829693,5.90429630290522e-09,4.76258232824786e-06
ENSVKKG00000006755,1.67817574419027,5.2557186083373,6.03090863567146e-09,4.76258232824786e-06
ENSVKKG00000006601,2.03509251122609,5.21698840657802,7.18395876023418e-09,5.43676012342223e-06
ENSVKKG00000017224,1.71313539927866,6.3643506993635,1.11983485197928e-08,8.13582416659985e-06
ENSVKKG00000011233,-3.11024793562497,1.6347533581313,1.58448172396737e-08,1.02781934115784e-05
ENSVKKG00000001664,1.49977620008964,8.69153375693794,1.51796212973079e-08,1.02781934115784e-05
ENSVKKG00000002663,8.54859551684582,-0.24963995508519,1.57965187622749e-08,1.02781934115784e-05
ENSVKKG00000008877,3.59365196301915,7.37097423923133,1.71003931154896e-08,1.07101531088496e-05
ENSVKKG00000003052,1.8102133878289,4.50264679742126,2.31936715549379e-08,1.37044893625371e-05
ENSVKKG00000006768,1.44598688856172,5.33280665466412,2.33903633892336e-08,1.37044893625371e-05
ENSVKKG00000017107,4.37125532805438,5.04075579338805,2.51668592676616e-08,1.42845520274543e-05
ENSVKKG00000004799,1.70613157528664,8.93718175285366,3.13697312213385e-08,1.72657099446416e-05
ENSVKKG00000011551,1.37158745652143,5.58472964038318,3.67333305792051e-08,1.96231612738265e-05
ENSVKKG00000010402,1.68242088176726,8.50789592844485,4.2752334626749e-08,2.21860186807326e-05
ENSVKKG00000003970,1.40646964182125,7.23481213171116,5.08259693478357e-08,2.5643113368465e-05
ENSVKKG00000008341,1.56876426446444,5.24940788757046,1.21010821153086e-07,5.94032309352299e-05
ENSVKKG00000003863,1.89816375252046,3.58052547300626,1.55897066603229e-07,7.45146952819589e-05
ENSVKKG00000013327,2.59416864111723,4.20211875620984,1.67057697752492e-07,7.46786021726591e-05
ENSVKKG00000002422,1.84676233950986,4.80562213769195,1.65257258128246e-07,7.46786021726591e-05
ENSVKKG00000000661,2.41982646693484,5.75683937949566,1.68574722737379e-07,7.46786021726591e-05
ENSVKKG00000000938,-2.05287781354797,5.03447685675721,1.78097477544675e-07,7.7018678205808e-05
ENSVKKG00000013226,2.30135486839606,5.23051645669531,2.0054209393277e-07,8.47080477232767e-05
ENSVKKG00000003939,1.35729617937919,6.7453941121847,2.44822085495619e-07,0.00010106144406493
ENSVKKG00000013944,1.28526667109087,6.84280266715151,3.49265561644924e-07,0.000140971342136817
ENSVKKG00000001589,3.54754908096025,0.120070591024886,3.91670248567156e-07,0.000154650146189679
ENSVKKG00000012814,1.45146784308753,5.32255514228334,4.81104947087675e-07,0.000185921471360711
ENSVKKG00000013046,-2.11754927328305,3.77003901438655,5.03410476650399e-07,0.000187344899106376
ENSVKKG00000010995,1.38856391407783,5.17528192393191,5.05417610318364e-07,0.000187344899106376
ENSVKKG00000012743,2.06355427161442,3.38229469729003,6.16524860297709e-07,0.000223861450955909
ENSVKKG00000015003,1.83183097081815,4.21013734315575,6.28581952251906e-07,0.000223861450955909
ENSVKKG00000003812,1.90489697571597,4.51195706455522,6.77286509898303e-07,0.000236568363063132
ENSVKKG00000004398,2.0640503877305,6.78435388586402,8.58167250891136e-07,0.0002940922976969
ENSVKKG00000012252,5.11452050347348,-1.07794369153779,9.43841158148824e-07,0.000317462721397354
ENSVKKG00000008886,2.68219038433184,3.72828851749891,1.05552293597208e-06,0.00034234755510823
ENSVKKG00000015412,2.17009919512648,4.10275935009606,1.04788336912696e-06,0.00034234755510823
ENSVKKG00000016026,1.39970330887033,8.17730622436667,1.20680538607357e-06,0.000384547477671128
ENSVKKG00000003400,1.53062468807084,6.8476612604766,1.27525219196028e-06,0.000399351820044388
ENSVKKG00000009580,1.56838355745423,4.93482075257818,2.4131460106174e-06,0.00074288086425159
ENSVKKG00000002093,2.36389564282482,5.41641269513987,2.86758712430182e-06,0.0008680664156449
ENSVKKG00000005429,1.92516462186567,11.5621387405651,3.23427570060826e-06,0.00096301884508439
ENSVKKG00000002468,1.40810351314453,8.23957185979187,3.37951530561156e-06,0.000990034459610044
ENSVKKG00000006652,1.1787997094158,7.11495857638146,8.37322783604806e-06,0.00241401487597049
ENSVKKG00000005265,1.81816717595599,6.15987667294082,8.71713875665897e-06,0.0024738967380812
ENSVKKG00000004541,3.06893238769731,4.78786537639511,1.02286378178853e-05,0.00285819613363462
ENSVKKG00000003621,1.60520152161628,6.91259011751631,1.38686979960145e-05,0.00381662366214563
ENSVKKG00000013329,4.4055204353565,6.31222258018802,1.47479553696104e-05,0.00399801661758559
ENSVKKG00000009898,1.28680424656162,4.53919641153499,1.58497051834301e-05,0.00423350287127413
ENSVKKG00000013473,1.34237348707608,4.80760606115273,1.88032217061291e-05,0.00494960747606409
ENSVKKG00000010726,1.03226747675015,6.75835562176694,1.93092790109239e-05,0.00501020620964873
ENSVKKG00000016450,2.73213171045757,1.92246841682071,2.7771778082796e-05,0.00703289059364486
ENSVKKG00000009140,1.12646530065296,8.48630487319532,2.78791016210114e-05,0.00703289059364486
ENSVKKG00000007239,2.21534165483908,5.10732338476258,2.90977942320377e-05,0.00723977036488356
ENSVKKG00000002255,1.15580707591188,4.88632935532946,2.97706706201968e-05,0.00730709041181938
ENSVKKG00000009084,3.81100330224477,1.06825616926218,3.0579394442427e-05,0.00740551388343735
ENSVKKG00000018421,3.42336307855359,-0.133649294183313,3.27878140913755e-05,0.00783585614923228
ENSVKKG00000009479,0.970168213569691,6.27378154495622,3.3549964630196e-05,0.00791387022828895
ENSVKKG00000004067,1.05740173654681,5.6276174047459,3.73649446836984e-05,0.00859062645936726
ENSVKKG00000005982,1.6514614997505,6.93326747798508,3.7282766281793e-05,0.00859062645936726
ENSVKKG00000001744,7.35762393939956,0.483907778663202,4.12165800805256e-05,0.00935770930003234
ENSVKKG00000010729,1.83623241784825,3.07135968565608,4.52365298532458e-05,0.0101435937249939
ENSVKKG00000018050,3.47176350883256,1.00712395571475,4.83266343905662e-05,0.0107043495175104
ENSVKKG00000012637,1.04953197819321,5.9310706997141,5.42222283716187e-05,0.0118655220953459
ENSVKKG00000017755,2.80870489278694,4.45296690843652,5.53064887517186e-05,0.0119587113713984
ENSVKKG00000005376,1.20573813094468,8.53410983795167,6.1233380887086e-05,0.0130844929064958
ENSVKKG00000016574,1.98064515343503,3.68297326397825,6.20179724226918e-05,0.0130980515478297
ENSVKKG00000009970,1.02781875084623,6.63783099571386,6.78820859860947e-05,0.0141717508938556
ENSVKKG00000008838,1.31857034014883,4.88675967863312,7.3366489825346e-05,0.0151426767579291
ENSVKKG00000006400,1.53163255782922,5.99015553744991,8.47442619337086e-05,0.0172944947135051
ENSVKKG00000003865,1.72750714359139,2.84436382426624,8.69468563874035e-05,0.0175468416951601
ENSVKKG00000014498,1.73312141825749,5.75293100919372,8.86667903646418e-05,0.0176973067405823
ENSVKKG00000015798,-1.01696179714752,6.09463904132445,8.98674726150514e-05,0.0177419880989911
ENSVKKG00000008344,1.60269278873433,4.8602367338017,0.000103943939706898,0.0203003631924343
ENSVKKG00000016831,1.58530688832656,8.39813001823138,0.000105275766708076,0.0203417420289233
ENSVKKG00000006753,1.55622698762195,3.56756895725283,0.000113145552266707,0.0216322385875811
ENSVKKG00000014325,0.995756387902602,5.81176283210873,0.000128349123559023,0.0242465646715083
ENSVKKG00000007802,1.0008185354898,7.27943753165692,0.000129489444097138,0.0242465646715083
ENSVKKG00000017275,1.19683978772625,5.61387976025775,0.000135815278059237,0.0251715601570401
ENSVKKG00000012540,3.03353930877511,1.44110873479549,0.000148285360665712,0.0270291948219491
ENSVKKG00000004636,1.02561491269246,5.22112555598481,0.000148814594626158,0.0270291948219491
ENSVKKG00000000060,1.02291427180459,5.45641231612864,0.000153746534130056,0.027648498013903
ENSVKKG00000003112,2.00212763102601,1.52271858111126,0.000162636595800094,0.0289604753874225
ENSVKKG00000017853,0.953181520426594,6.04848096321382,0.000171915627595037,0.0303155683884335
ENSVKKG00000012420,2.13263636714856,3.64013460937692,0.000176138548434054,0.0307615813000742
ENSVKKG00000006296,1.03212446700372,5.91422791110498,0.000181413678782435,0.0307945481095829
ENSVKKG00000004198,4.19626231457485,1.00272153340429,0.000178737624928915,0.0307945481095829
ENSVKKG00000007938,1.60552028112761,2.4226256922435,0.000180678971895858,0.0307945481095829
ENSVKKG00000002669,0.990795935287348,6.24208271477887,0.000183922208008912,0.0309312876302396
ENSVKKG00000016490,2.202167079175,10.2975558719368,0.000212948772881039,0.0354842987324616
ENSVKKG00000008841,5.54918607214016,-0.683850908844373,0.000233329946408591,0.0385270165147203
ENSVKKG00000000064,2.09748913252426,3.75179633557984,0.00024098592234671,0.0394326784466963
ENSVKKG00000013795,1.07965653250554,4.5345519157766,0.000245849131693278,0.0398692658834375
ENSVKKG00000008409,2.1923398176904,7.62392235212697,0.000252057486734026,0.0405143374473462
ENSVKKG00000002486,-2.5618324618575,2.97575308739158,0.000261118981761972,0.041602667243357
ENSVKKG00000018550,1.13089636571814,7.2138796202759,0.000272393331191094,0.0427549921902863
ENSVKKG00000005884,1.57919773908776,3.54682569726216,0.000273059466722084,0.0427549921902863
ENSVKKG00000001118,0.871041395679579,6.89467630221349,0.000277331898754333,0.0430528143339739
ENSVKKG00000003402,1.66534872794828,10.1472040108365,0.000285144848265271,0.0438905582969671
ENSVKKG00000017216,1.08760833695094,6.46613538533481,0.000306314378250776,0.0459628335919502
ENSVKKG00000004105,0.883620923154124,8.08165700043852,0.000308730149106311,0.0459628335919502
ENSVKKG00000014253,1.58818383651555,3.70601437088134,0.000303727588799848,0.0459628335919502
ENSVKKG00000010701,1.64736657338283,7.31244850122258,0.000308172058857357,0.0459628335919502
ENSVKKG00000003244,0.998219587210014,7.11406646134171,0.000323204716936063,0.047726563200892
ENSVKKG00000005066,0.922399695691501,5.3549564113365,0.000330854813503065,0.0484622256262594
ENSVKKG00000003654,1.79854263175097,7.53183686591001,0.000336254519638773,0.0488591267215923
ENSVKKG00000008441,1.10663193980146,7.88095010892785,0.000362818297645538,0.0523005455566341
ENSVKKG00000005313,-1.11296702107924,4.57357781687281,0.000368999644576138,0.0527727601924125
ENSVKKG00000017968,6.61795608784345,-1.82298121147294,0.000382233764994769,0.0538179215007751
ENSVKKG00000003023,1.0478753250575,6.34037875687049,0.000379470078944018,0.0538179215007751
ENSVKKG00000003319,2.66225881042183,1.21653894985728,0.000404981272098295,0.056582114193241
ENSVKKG00000013770,2.28143728678663,3.57638734398483,0.000416213256238939,0.0577074913974645
ENSVKKG00000003061,1.50755210249381,3.75664071950143,0.000424939427103346,0.0584710213218035
ENSVKKG00000001209,1.66618667745934,1.49642021927884,0.000429059344105403,0.0585940215562889
ENSVKKG00000005274,0.910321158146969,8.27774549888932,0.000443872378240035,0.0598058560181934
ENSVKKG00000008853,1.25464763047587,5.92879044782035,0.000444518557642246,0.0598058560181934
ENSVKKG00000015143,-1.0109638417319,5.97373062203747,0.000451465753889325,0.0602939153521456
ENSVKKG00000009044,1.37848670548675,3.26583170407926,0.000480926303309023,0.062649494793969
ENSVKKG00000015598,7.85153316791078,-0.486882365845635,0.000478033898742877,0.062649494793969
ENSVKKG00000010460,0.952320569738837,7.59044606213744,0.0004814579144739,0.062649494793969
ENSVKKG00000008828,2.62450410425316,-0.549152882383929,0.000482900912357852,0.062649494793969
ENSVKKG00000007664,-2.21652650544358,0.495653313872765,0.000490641176978384,0.0632022389890666
ENSVKKG00000006065,1.04828398268499,7.95587732389177,0.000496745740112621,0.0634977018228289
ENSVKKG00000006322,1.33515692207774,8.09512948525553,0.000499926849125394,0.0634977018228289
ENSVKKG00000000511,6.58846241201036,-1.59184877009149,0.000534400606885087,0.0674049876587072
ENSVKKG00000009858,2.63870032081853,6.45604181352499,0.000556196840807024,0.0696703670315723
ENSVKKG00000002866,1.01186005628274,5.44563254648307,0.000588095439215919,0.0731614894690325
ENSVKKG00000012937,2.68176432616158,-0.369201550873536,0.000603432763398789,0.0740550627135959
ENSVKKG00000011409,-1.07284092702923,4.79484986191371,0.000599708351397698,0.0740550627135959
ENSVKKG00000017522,2.28258680365882,1.60704965037291,0.000636509996323823,0.077590141363957
ENSVKKG00000016270,2.67066223518956,-0.157136283778956,0.000642773046297088,0.0778312455992934
ENSVKKG00000015257,1.14676506802,7.12043078030049,0.000664189249767581,0.0787030287737822
ENSVKKG00000015002,1.77063664547521,2.70632472793635,0.000661518224148533,0.0787030287737822
ENSVKKG00000013425,1.38414844180117,2.85616327951322,0.000666764231653591,0.0787030287737822
ENSVKKG00000000952,1.03344410506075,8.00425543987038,0.000667305314714665,0.0787030287737822
ENSVKKG00000012953,1.00050994286554,6.41970927202833,0.0006956265743887,0.0815139707782062
ENSVKKG00000001756,2.60622061406358,3.20920890648363,0.000709942162378051,0.0826582018927727
ENSVKKG00000015365,0.826626456241566,6.29614042599103,0.000722460153816845,0.0835798966482506
ENSVKKG00000017660,1.00340570228228,4.81658277867511,0.000744573294675205,0.0855929414632009
ENSVKKG00000017552,1.20725646421868,7.11738402336448,0.000781472205034858,0.0887117478753008
ENSVKKG00000009304,-1.51238537186864,3.67372952438166,0.000780877580359941,0.0887117478753008
ENSVKKG00000012504,1.01163769670514,8.50534088982838,0.000803791263892335,0.0906786380501645
ENSVKKG00000016472,1.45086403459047,8.9603516163137,0.000820620768874813,0.0920057717597112
ENSVKKG00000008643,-1.01433228607986,8.9022549972687,0.000837659976374961,0.0933399886558186
ENSVKKG00000013158,0.952868322184121,8.54885523832317,0.000893118143965171,0.0989128344441426
ENSVKKG00000002906,2.14770151052291,1.44073375045768,0.000900331144304518,0.0991073610545634
ENSVKKG00000014916,1.2441060730267,5.66090692992349,0.000929377147908299,0.101688416490713
ENSVKKG00000000453,2.92232832198955,-0.295242205184966,0.00102343943938339,0.111309763697727
ENSVKKG00000016175,1.48231009371172,4.39200973741948,0.00107066794145903,0.114488101708439
ENSVKKG00000000935,1.98367543671214,5.69264169903272,0.00106468952059096,0.114488101708439
ENSVKKG00000008654,2.53731302276612,6.51287224013113,0.00107157282885177,0.114488101708439
ENSVKKG00000013946,1.33270732429454,6.55022311226467,0.0011461833331317,0.121743437892813
ENSVKKG00000001858,-0.8582412751718,5.92708576884313,0.00115427897524212,0.121890517600713
ENSVKKG00000007724,1.15500813697679,3.6895582654255,0.00119195313318767,0.124772809889351
ENSVKKG00000003873,2.23447854444344,0.0903589916726445,0.0011953129395335,0.124772809889351
ENSVKKG00000013150,3.56560572711452,-0.356435284156689,0.00121393238144724,0.125992307681293
ENSVKKG00000010464,0.859598576647129,7.11578459896458,0.00123963831591137,0.126491858044372
ENSVKKG00000017644,-0.921662842972647,7.6622642113135,0.00123759244591661,0.126491858044372
ENSVKKG00000008553,2.68977786025082,8.4052080042729,0.00123433295046489,0.126491858044372
ENSVKKG00000001141,1.89643829943521,1.12597650739776,0.00125698898232131,0.127545759139117
