,logFC,logCPM,PValue,QValue
ENSVKKG00000003991,3.731247892,6.768532958,4.66E-41,8.47E-37
ENSVKKG00000012477,4.372851897,8.572532188,8.19E-34,7.43E-30
ENSVKKG00000006276,6.696986741,5.724421748,4.34E-33,2.63E-29
ENSVKKG00000013158,3.613345056,8.548855238,1.10E-30,4.35E-27
ENSVKKG00000004907,7.859637696,3.527000236,1.20E-30,4.35E-27
ENSVKKG00000018377,4.849367157,5.628336236,3.80E-30,1.15E-26
ENSVKKG00000008353,8.710425992,5.520993263,6.17E-30,1.60E-26
ENSVKKG00000014833,13.03437152,3.922764697,1.68E-28,3.81E-25
ENSVKKG00000008409,7.859497785,7.623922352,3.66E-25,7.38E-22
ENSVKKG00000008345,3.245128069,6.199821673,1.62E-22,2.94E-19
ENSVKKG00000010367,3.633059873,7.557558774,2.16E-19,3.57E-16
ENSVKKG00000016032,7.875380713,5.040755793,1.25E-18,1.77E-15
ENSVKKG00000017107,3.313226096,4.117431086,1.27E-18,1.77E-15
ENSVKKG00000007460,4.541879624,4.466911047,1.59E-18,2.06E-15
ENSVKKG00000011576,2.358422749,7.216701607,7.20E-18,8.72E-15
ENSVKKG00000006365,4.822515578,4.718700337,1.86E-17,2.12E-14
ENSVKKG00000003245,2.166832326,6.767317412,2.97E-17,3.01E-14
ENSVKKG00000002355,2.298881239,5.738414309,2.98E-17,3.01E-14
ENSVKKG00000008886,3.764169993,8.285287554,4.84E-17,4.44E-14
ENSVKKG00000002709,4.948349091,3.728288517,4.89E-17,4.44E-14
ENSVKKG00000007241,3.022714293,7.491467961,1.48E-16,1.28E-13
ENSVKKG00000008651,4.66886904,4.028603726,1.57E-16,1.30E-13
ENSVKKG00000007976,2.678053563,4.941371552,2.40E-16,1.90E-13
ENSVKKG00000015305,3.463175853,4.675525722,3.47E-16,2.62E-13
ENSVKKG00000003133,2.618313319,7.804989273,4.67E-16,3.39E-13
ENSVKKG00000011003,6.394631391,7.660409423,5.97E-16,4.17E-13
ENSVKKG00000003121,2.709880919,6.910761723,1.50E-15,1.01E-12
ENSVKKG00000016407,4.497272743,9.260746421,2.09E-15,1.35E-12
ENSVKKG00000007850,2.060202248,7.753906007,2.18E-15,1.35E-12
ENSVKKG00000009105,5.682395892,9.703635469,2.23E-15,1.35E-12
ENSVKKG00000005249,2.277845865,7.054048432,2.46E-15,1.44E-12
ENSVKKG00000017164,2.456830233,4.743925137,1.61E-14,9.13E-12
ENSVKKG00000016831,3.348262883,8.398130018,1.72E-14,9.45E-12
ENSVKKG00000016612,2.072371112,6.762741451,4.61E-14,2.46E-11
ENSVKKG00000003142,2.34254147,7.031733374,6.83E-14,3.54E-11
ENSVKKG00000014777,2.793031056,7.063783221,9.94E-14,4.96E-11
ENSVKKG00000006123,2.356786585,6.451940181,1.01E-13,4.96E-11
ENSVKKG00000016008,10.95535588,1.865472467,1.24E-13,5.95E-11
ENSVKKG00000008465,2.480615833,8.166523868,1.41E-13,6.57E-11
ENSVKKG00000002052,12.00865669,2.900984617,2.11E-13,9.59E-11
ENSVKKG00000010486,2.493420305,6.528548574,2.28E-13,1.01E-10
ENSVKKG00000013327,3.7628323,4.202118756,2.94E-13,1.27E-10
ENSVKKG00000002829,1.862839089,7.30738341,3.00E-13,1.27E-10
ENSVKKG00000005063,2.112036972,5.40916617,4.06E-13,1.68E-10
ENSVKKG00000000689,4.393358529,3.989671983,4.47E-13,1.79E-10
ENSVKKG00000008413,2.113678965,7.554668594,4.54E-13,1.79E-10
ENSVKKG00000000884,5.475183758,2.238893036,7.59E-13,2.93E-10
