,logFC,logCPM,PValue,QValue
ENSVKKG00000003991,3.7312478915696,6.76853295827298,4.66145877325234e-41,8.46660756985822e-37
ENSVKKG00000012477,4.37285189660612,8.5725321876114,8.18565758183949e-34,7.43380493294753e-30
ENSVKKG00000006276,6.69698674092079,5.72442174805708,4.34137873338637e-33,2.62841539781655e-29
ENSVKKG00000013158,3.61334505633179,8.54885523832317,1.09653789575643e-30,4.34989506736049e-27
ENSVKKG00000004907,7.8596376956565,3.52700023561416,1.19746051515732e-30,4.34989506736049e-27
ENSVKKG00000018377,4.84936715745718,5.62833623596648,3.79720628542977e-30,1.14947762937102e-26
ENSVKKG00000008353,8.71042599198971,5.52099326261773,6.16849296619657e-30,1.60054768207183e-26
ENSVKKG00000014833,13.0343715161743,3.92276469660794,1.67615349719477e-28,3.80549699619357e-25
ENSVKKG00000008409,7.859497784979,7.62392235212697,3.65919100946617e-25,7.38465403388156e-22
ENSVKKG00000008345,3.24512806931855,6.19982167347007,1.62057601990189e-22,2.9434522249478e-19
ENSVKKG00000010367,3.63305987294795,7.55755877416858,2.16129525726106e-19,3.56869143251205e-16
ENSVKKG00000016032,3.31322609588343,4.11743108568635,1.26972839158721e-18,1.7740059058768e-15
ENSVKKG00000017107,7.87538071315474,5.04075579338805,1.25138159076555e-18,1.7740059058768e-15
ENSVKKG00000007460,4.54187962406646,4.46691104690506,1.5902780321919e-18,2.06315856419297e-15
ENSVKKG00000011576,2.35842274929386,7.21670160712617,7.19865013041639e-18,8.71660548791686e-15
ENSVKKG00000006365,4.82251557823127,4.71870033687564,1.86489866579983e-17,2.11700965418265e-14
ENSVKKG00000003245,2.16683232582826,6.76731741175746,2.96800166711558e-17,3.00902519562447e-14
ENSVKKG00000002355,2.29888123854639,5.73841430857404,2.98202133575073e-17,3.00902519562447e-14
ENSVKKG00000008886,4.94834909138827,3.72828851749891,4.89225973529039e-17,4.44290567860396e-14
ENSVKKG00000002709,3.76416999329081,8.28528755389955,4.84439031537774e-17,4.44290567860396e-14
ENSVKKG00000007241,3.02271429326969,7.49146796066007,1.48179504112731e-16,1.28161158723787e-13
ENSVKKG00000008651,4.66886903990338,4.02860372587995,1.56992407020555e-16,1.2961150403247e-13
ENSVKKG00000007976,2.67805356265367,4.94137155176945,2.40115904217908e-16,1.89618485578689e-13
ENSVKKG00000015305,3.46317585306239,4.67552572232068,3.4682457773212e-16,2.62473950222854e-13
ENSVKKG00000003133,2.61831331875236,7.8049892732426,4.67162421045086e-16,3.39402842137676e-13
ENSVKKG00000011003,6.3946313910062,7.66040942288252,5.96539544666859e-16,4.16728759607083e-13
ENSVKKG00000003121,2.70988091928079,6.91076172324397,1.49777881849394e-15,1.00756135852983e-12
ENSVKKG00000016407,4.49727274318857,9.26074642083465,2.08559510696886e-15,1.34742692002308e-12
ENSVKKG00000007850,5.68239589163374,9.70363546920851,2.22555787043398e-15,1.34742692002308e-12
ENSVKKG00000009105,2.06020224834474,7.75390600684061,2.17520629576323e-15,1.34742692002308e-12
ENSVKKG00000005249,2.27784586474203,7.05404843182238,2.45738522688042e-15,1.43978993147836e-12
ENSVKKG00000017164,2.45683023308712,4.74392513682264,1.60898544486477e-14,9.13250082346214e-12
ENSVKKG00000016831,3.34826288322486,8.39813001823138,1.71670342003136e-14,9.44863158122112e-12
ENSVKKG00000016612,2.07237111235857,6.76274145097242,4.61262931751785e-14,2.46409371453167e-11
ENSVKKG00000003142,2.34254146952955,7.03173337401387,6.82811871917872e-14,3.54340343704123e-11
ENSVKKG00000014777,2.79303105625343,7.06378322074378,9.9399754037006e-14,4.96405113632432e-11
ENSVKKG00000006123,2.35678658535703,6.45194018089366,1.01123103035842e-13,4.96405113632432e-11
ENSVKKG00000016008,10.955355878992,1.86547246712225,1.244389416202e-13,5.94785393854656e-11
ENSVKKG00000008465,2.48061583284458,8.16652386844865,1.4101744985193e-13,6.56743574784772e-11
ENSVKKG00000002052,12.0086566944692,2.90098461669893,2.11111214550633e-13,9.58603247470788e-11
ENSVKKG00000010486,2.49342030486661,6.52854857375824,2.27777638613738e-13,1.00905493905886e-10
