	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-8h-LPS	Turtle-3-8h-LPS
ENSCPBG00000014498	21	22	19	9
ENSCPBG00000004815	14	17	8	141
ENSCPBG00000004641	25	39	18	186
ENSCPBG00000002755	49	43	26	222
ENSCPBG00000028372	184	216	206	324
ENSCPBG00000021014	5	2	0	7
ENSCPBG00000020177	4	2	1	247
ENSCPBG00000018823	186	180	160	289
ENSCPBG00000014213	5	5	3	28
ENSCPBG00000013646	447	441	440	549
ENSCPBG00000012991	302	334	262	324
ENSCPBG00000012751	1096	1155	982	1602
ENSCPBG00000009852	4	6	0	7
ENSCPBG00000009612	1066	737	754	1141
ENSCPBG00000008352	176	178	55	175
ENSCPBG00000006806	5786	5917	6001	7561
ENSCPBG00000006187	207	240	184	368
ENSCPBG00000004419	3191	4106	3365	532
ENSCPBG00000004409	5567	5649	4973	1350
ENSCPBG00000004148	7	10	18	18
ENSCPBG00000003947	6	1	1	4
ENSCPBG00000003871	1653	926	918	1388
ENSCPBG00000003707	17	11	9	8
ENSCPBG00000003056	1071	1187	1258	211
ENSCPBG00000003052	6	6	13	24
ENSCPBG00000002987	3	2	0	0
ENSCPBG00000002032	13	5	2	20
ENSCPBG00000002023	235	274	215	253
ENSCPBG00000001987	2	3	1	1
ENSCPBG00000001820	5	5	5	81
ENSCPBG00000001225	16	19	20	71
ENSCPBG00000000468	46	24	11	43
ENSCPBG00000028437	57	50	28	118
ENSCPBG00000028436	4	2	0	7
ENSCPBG00000028426	166	179	152	170
ENSCPBG00000028425	232	208	134	67
ENSCPBG00000028422	1	0	2	5
ENSCPBG00000028421	363	297	226	681
ENSCPBG00000028407	446	354	377	888
ENSCPBG00000028406	257	268	189	467
ENSCPBG00000028405	471	444	380	395
ENSCPBG00000028404	493	448	389	1007
ENSCPBG00000028402	642	547	468	2090
ENSCPBG00000028400	121	122	85	287
ENSCPBG00000028398	5	8	3	17
ENSCPBG00000028396	652	656	702	1181
ENSCPBG00000028395	1581	1647	1518	2955
ENSCPBG00000028394	84	60	52	3027
ENSCPBG00000028392	20	15	19	57
ENSCPBG00000028390	168	166	127	542
ENSCPBG00000028385	1491	1266	1236	2852
ENSCPBG00000028384	2	2	3	74
ENSCPBG00000028383	560	558	471	1065
ENSCPBG00000028382	47	49	46	117
ENSCPBG00000028381	792	710	584	1760
ENSCPBG00000028380	29	28	8	306
ENSCPBG00000028379	2981	2612	3129	6782
ENSCPBG00000028377	593	439	561	1435
ENSCPBG00000028376	49	42	27	68
ENSCPBG00000028375	234	303	274	556
ENSCPBG00000028373	2	2	1	35
ENSCPBG00000028371	26	32	4	46
ENSCPBG00000028370	419	305	282	492
ENSCPBG00000028369	2	2	0	1
ENSCPBG00000028368	1	2	2	2
ENSCPBG00000028362	708	673	396	1110
ENSCPBG00000028361	176	204	72	664
ENSCPBG00000028360	1058	1006	660	3396
ENSCPBG00000028358	58	79	45	155
ENSCPBG00000028347	584	510	500	1883
ENSCPBG00000028344	134	132	67	2119
