	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-4h-PIC	Turtle-3-4h-PIC
ENSCPBG00000014498	21	22	19	7
ENSCPBG00000004815	14	17	15	83
ENSCPBG00000004641	25	39	8	259
ENSCPBG00000002755	49	43	21	218
ENSCPBG00000028372	184	216	129	275
ENSCPBG00000021014	5	2	0	6
ENSCPBG00000020177	4	2	0	235
ENSCPBG00000018823	186	180	188	232
ENSCPBG00000014801	3	0	2	2
ENSCPBG00000014213	5	5	0	11
ENSCPBG00000013646	447	441	411	359
ENSCPBG00000012991	302	334	184	428
ENSCPBG00000012751	1096	1155	827	1281
ENSCPBG00000009852	4	6	6	0
ENSCPBG00000009612	1066	737	947	935
ENSCPBG00000008352	176	178	83	171
ENSCPBG00000007597	0	1	5	12
ENSCPBG00000006806	5786	5917	4381	6395
ENSCPBG00000006187	207	240	174	453
ENSCPBG00000004419	3191	4106	3235	469
ENSCPBG00000004409	5567	5649	5509	1182
ENSCPBG00000004148	7	10	13	5
ENSCPBG00000003947	6	1	3	1
ENSCPBG00000003871	1653	926	673	1157
ENSCPBG00000003707	17	11	12	14
ENSCPBG00000003056	1071	1187	1113	152
ENSCPBG00000003052	6	6	3	8
ENSCPBG00000002987	3	2	0	2
ENSCPBG00000002032	13	5	3	24
ENSCPBG00000002023	235	274	256	226
ENSCPBG00000001987	2	3	1	0
ENSCPBG00000001820	5	5	2	99
ENSCPBG00000001225	16	19	17	47
ENSCPBG00000000832	1	2	2	6
ENSCPBG00000000468	46	24	22	35
ENSCPBG00000028437	57	50	61	62
ENSCPBG00000028436	4	2	5	3
ENSCPBG00000028426	166	179	168	112
ENSCPBG00000028425	232	208	204	53
ENSCPBG00000028422	1	0	3	3
ENSCPBG00000028421	363	297	286	583
ENSCPBG00000028407	446	354	471	801
ENSCPBG00000028406	257	268	248	348
ENSCPBG00000028405	471	444	392	316
ENSCPBG00000028404	493	448	455	785
ENSCPBG00000028402	642	547	556	1771
ENSCPBG00000028400	121	122	149	244
ENSCPBG00000028398	5	8	5	6
ENSCPBG00000028396	652	656	679	1036
ENSCPBG00000028395	1581	1647	1481	2200
ENSCPBG00000028394	84	60	83	1497
ENSCPBG00000028392	20	15	16	30
ENSCPBG00000028390	168	166	126	411
ENSCPBG00000028385	1491	1266	1464	2160
ENSCPBG00000028384	2	2	2	49
ENSCPBG00000028383	560	558	472	766
ENSCPBG00000028382	47	49	51	94
ENSCPBG00000028381	792	710	703	1434
ENSCPBG00000028380	29	28	20	272
ENSCPBG00000028379	2981	2612	3962	5418
ENSCPBG00000028377	593	439	641	876
ENSCPBG00000028376	49	42	18	36
ENSCPBG00000028375	234	303	259	338
ENSCPBG00000028373	2	2	0	19
ENSCPBG00000028371	26	32	13	119
ENSCPBG00000028370	419	305	364	401
ENSCPBG00000028369	2	2	1	0
ENSCPBG00000028368	1	2	1	3
ENSCPBG00000028362	708	673	373	988
ENSCPBG00000028361	176	204	158	543
ENSCPBG00000028360	1058	1006	1021	2906
ENSCPBG00000028358	58	79	46	106
ENSCPBG00000028347	584	510	519	1551
ENSCPBG00000028344	134	132	79	1591
ENSCPBG00000028343	1283	1255	1204	1209
ENSCPBG00000028342	565	554	398	2083
ENSCPBG00000028340	20	19	38	26
ENSCPBG00000028333	233	346	162	418
ENSCPBG00000028324	162	112	133	496
ENSCPBG00000028301	83	63	43	40
ENSCPBG00000028300	2	7	2	11
ENSCPBG00000028299	1269	944	1393	2251
ENSCPBG00000028297	597	577	532	1024
ENSCPBG00000028294	265	234	233	439
ENSCPBG00000028293	325	353	327	647
ENSCPBG00000028289	63	61	57	116
ENSCPBG00000028288	326	409	351	837
ENSCPBG00000028286	22	42	9	31
ENSCPBG00000028285	270	250	176	759
ENSCPBG00000028279	9071	10002	8315	10851
ENSCPBG00000028278	1	8	7	4
ENSCPBG00000028276	120	115	74	177
ENSCPBG00000028273	106	123	66	140
ENSCPBG00000028270	466	542	381	708
ENSCPBG00000028268	99	95	73	108
ENSCPBG00000028258	383	420	405	1055
ENSCPBG00000028249	182	180	164	404
ENSCPBG00000028245	24	21	28	245
ENSCPBG00000028243	73	50	69	87
ENSCPBG00000028233	10	2	5	65
ENSCPBG00000028229	9	8	8	11
ENSCPBG00000028223	116	143	53	130
ENSCPBG00000028221	625	491	455	646
ENSCPBG00000028220	1781	1255	2089	4070
ENSCPBG00000028219	8	9	7	29
ENSCPBG00000028218	120	96	50	86
ENSCPBG00000028214	143	121	141	181
ENSCPBG00000028204	0	2	4	1
ENSCPBG00000028203	5	12	13	20
ENSCPBG00000028201	36	76	34	66
ENSCPBG00000028198	138	112	83	196
ENSCPBG00000028192	389	365	238	116
ENSCPBG00000028189	494	499	493	695
ENSCPBG00000028187	21	35	15	39
ENSCPBG00000028186	5	13	6	1
ENSCPBG00000028185	52	41	45	153
ENSCPBG00000028181	590	452	588	1090
ENSCPBG00000028179	178	148	137	306
ENSCPBG00000028175	8	2	12	53
ENSCPBG00000028173	8	4	2	8
ENSCPBG00000028171	11	6	8	102
ENSCPBG00000028168	7	3	6	29
ENSCPBG00000028159	158	105	70	19
ENSCPBG00000028158	75	53	61	100
ENSCPBG00000028155	78	66	60	68
ENSCPBG00000028151	6842	5887	7197	9581
ENSCPBG00000028147	539	610	505	1411
ENSCPBG00000028144	14	15	13	10
ENSCPBG00000028143	3	2	2	6
ENSCPBG00000028138	79	95	37	67
ENSCPBG00000028135	37289	28068	38721	20247
ENSCPBG00000028134	170	120	92	76
ENSCPBG00000028133	796	633	548	982
ENSCPBG00000028130	12	21	2	11
ENSCPBG00000028118	8	3	3	0
ENSCPBG00000028117	655	562	687	943
ENSCPBG00000028116	593	477	594	901
ENSCPBG00000028114	308	221	285	594
ENSCPBG00000028103	421	425	331	446
ENSCPBG00000028101	2121	2052	2036	5363
ENSCPBG00000028099	334	307	259	381
ENSCPBG00000028097	194	250	174	205
ENSCPBG00000028086	1302	1245	1223	1325
ENSCPBG00000028081	235	215	182	418
ENSCPBG00000028079	23	12	23	30
ENSCPBG00000028078	58	69	54	70
ENSCPBG00000028074	2420	1992	2506	3185
ENSCPBG00000028072	8	10	15	22
ENSCPBG00000028071	104	112	75	114
ENSCPBG00000028069	37	36	58	65
ENSCPBG00000028068	552	516	496	569
ENSCPBG00000028067	214	232	153	453
ENSCPBG00000028065	1163	1118	1071	1454
ENSCPBG00000028064	2	0	4	114
