	turtle_3_control_1	turtle_3_control_2	turtle_3_lps_8h	turtle_5_lps_8h
ENSCPBG00000014498	20	2	9	19
ENSCPBG00000004815	169	68	141	8
ENSCPBG00000004641	154	104	186	18
ENSCPBG00000002755	221	115	222	26
ENSCPBG00000028372	423	202	324	206
ENSCPBG00000021014	3	3	7	0
ENSCPBG00000020177	305	88	247	1
ENSCPBG00000018823	407	192	289	160
ENSCPBG00000014213	23	18	28	3
ENSCPBG00000013646	619	299	549	440
ENSCPBG00000012991	371	140	324	262
ENSCPBG00000012751	1833	833	1602	982
ENSCPBG00000009852	1	6	7	0
ENSCPBG00000009612	1272	624	1141	754
ENSCPBG00000008352	189	98	175	55
ENSCPBG00000007597	10	7	10	1
ENSCPBG00000006806	8387	3916	7561	6001
ENSCPBG00000006187	423	142	368	184
ENSCPBG00000004419	779	293	532	3365
ENSCPBG00000004409	1849	672	1350	4973
ENSCPBG00000004148	30	5	18	18
ENSCPBG00000003871	886	1475	1388	918
ENSCPBG00000003707	17	3	8	9
ENSCPBG00000003056	271	104	211	1258
ENSCPBG00000003052	22	1	24	13
ENSCPBG00000002032	12	15	20	2
ENSCPBG00000002023	376	101	253	215
ENSCPBG00000001820	85	31	81	5
ENSCPBG00000001225	76	37	71	20
ENSCPBG00000000468	41	29	43	11
ENSCPBG00000028437	144	64	118	28
ENSCPBG00000028436	15	2	7	0
ENSCPBG00000028426	159	67	170	152
ENSCPBG00000028425	72	37	67	134
ENSCPBG00000028422	3	1	5	2
ENSCPBG00000028421	729	282	681	226
ENSCPBG00000028414	24	13	32	0
ENSCPBG00000028407	1013	405	888	377
ENSCPBG00000028406	579	250	467	189
ENSCPBG00000028405	393	145	395	380
ENSCPBG00000028404	1212	498	1007	389
ENSCPBG00000028402	2305	927	2090	468
ENSCPBG00000028400	369	141	287	85
ENSCPBG00000028398	8	0	17	3
ENSCPBG00000028396	1362	517	1181	702
ENSCPBG00000028395	2968	1082	2955	1518
ENSCPBG00000028394	2563	1100	3027	52
ENSCPBG00000028392	60	21	57	19
ENSCPBG00000028390	577	183	542	127
ENSCPBG00000028385	3379	1273	2852	1236
ENSCPBG00000028384	76	31	74	3
ENSCPBG00000028383	1126	367	1065	471
ENSCPBG00000028382	144	56	117	46
ENSCPBG00000028381	2043	941	1760	584
ENSCPBG00000028380	340	108	306	8
ENSCPBG00000028379	8890	2667	6782	3129
ENSCPBG00000028377	1636	665	1435	561
ENSCPBG00000028376	38	28	68	27
ENSCPBG00000028375	578	189	556	274
ENSCPBG00000028373	15	8	35	1
ENSCPBG00000028371	46	14	46	4
ENSCPBG00000028370	546	246	492	282
ENSCPBG00000028368	10	1	2	2
ENSCPBG00000028362	926	468	1110	396
ENSCPBG00000028361	767	258	664	72
ENSCPBG00000028360	4276	1686	3396	660
ENSCPBG00000028358	142	53	155	45
ENSCPBG00000028347	2309	807	1883	500
ENSCPBG00000028344	1643	689	2119	67
ENSCPBG00000028343	1782	734	1674	911
ENSCPBG00000028342	2303	751	2441	306
ENSCPBG00000028340	62	22	51	25
ENSCPBG00000028333	523	192	499	228
ENSCPBG00000028324	710	279	721	125
ENSCPBG00000028301	55	23	65	27
ENSCPBG00000028300	5	3	10	0
ENSCPBG00000028299	3480	1512	2932	1004
ENSCPBG00000028297	1446	533	1316	455
ENSCPBG00000028294	720	243	687	149
ENSCPBG00000028293	916	297	891	270
ENSCPBG00000028289	141	60	123	78
ENSCPBG00000028288	1446	436	1174	261
ENSCPBG00000028286	21	7	30	18
ENSCPBG00000028285	939	395	923	167
ENSCPBG00000028279	15945	5787	14465	6912
ENSCPBG00000028278	10	11	7	4
ENSCPBG00000028276	174	85	203	80
ENSCPBG00000028273	121	74	188	73
ENSCPBG00000028270	850	303	867	317
ENSCPBG00000028268	140	45	99	43
ENSCPBG00000028258	1436	395	1623	309
ENSCPBG00000028249	495	182	674	132
ENSCPBG00000028245	582	230	589	15
ENSCPBG00000028243	115	65	103	62
ENSCPBG00000028233	73	33	45	18
ENSCPBG00000028229	13	6	12	10
ENSCPBG00000028223	104	71	117	101
ENSCPBG00000028221	926	472	878	393
ENSCPBG00000028220	7148	3281	6303	1714
ENSCPBG00000028219	43	15	42	0
ENSCPBG00000028218	115	77	136	49
ENSCPBG00000028214	299	101	241	92
ENSCPBG00000028203	24	10	22	11
ENSCPBG00000028201	69	16	74	29
