	turtle_3_control_1	turtle_3_control_2	turtle_3_pic_4h	turtle_5_pic_4h
ENSCPBG00000014498	20	2	7	19
ENSCPBG00000004815	169	68	83	15
ENSCPBG00000004641	154	104	259	8
ENSCPBG00000002755	221	115	218	21
ENSCPBG00000028372	423	202	275	129
ENSCPBG00000021014	3	3	6	0
ENSCPBG00000020177	305	88	235	0
ENSCPBG00000018823	407	192	232	188
ENSCPBG00000014801	1	0	2	2
ENSCPBG00000014213	23	18	11	0
ENSCPBG00000013646	619	299	359	411
ENSCPBG00000012991	371	140	428	184
ENSCPBG00000012751	1833	833	1281	827
ENSCPBG00000009852	1	6	0	6
ENSCPBG00000009612	1272	624	935	947
ENSCPBG00000008352	189	98	171	83
ENSCPBG00000007597	10	7	12	5
ENSCPBG00000006806	8387	3916	6395	4381
ENSCPBG00000006187	423	142	453	174
ENSCPBG00000004419	779	293	469	3235
ENSCPBG00000004409	1849	672	1182	5509
ENSCPBG00000004148	30	5	5	13
ENSCPBG00000003871	886	1475	1157	673
ENSCPBG00000003707	17	3	14	12
ENSCPBG00000003056	271	104	152	1113
ENSCPBG00000003052	22	1	8	3
ENSCPBG00000002032	12	15	24	3
ENSCPBG00000002023	376	101	226	256
ENSCPBG00000001820	85	31	99	2
ENSCPBG00000001225	76	37	47	17
ENSCPBG00000000832	2	1	6	2
ENSCPBG00000000468	41	29	35	22
ENSCPBG00000028437	144	64	62	61
ENSCPBG00000028436	15	2	3	5
ENSCPBG00000028426	159	67	112	168
ENSCPBG00000028425	72	37	53	204
ENSCPBG00000028422	3	1	3	3
ENSCPBG00000028421	729	282	583	286
ENSCPBG00000028414	24	13	23	0
ENSCPBG00000028407	1013	405	801	471
ENSCPBG00000028406	579	250	348	248
ENSCPBG00000028405	393	145	316	392
ENSCPBG00000028404	1212	498	785	455
ENSCPBG00000028402	2305	927	1771	556
ENSCPBG00000028400	369	141	244	149
ENSCPBG00000028398	8	0	6	5
ENSCPBG00000028396	1362	517	1036	679
ENSCPBG00000028395	2968	1082	2200	1481
ENSCPBG00000028394	2563	1100	1497	83
ENSCPBG00000028392	60	21	30	16
ENSCPBG00000028390	577	183	411	126
ENSCPBG00000028385	3379	1273	2160	1464
ENSCPBG00000028384	76	31	49	2
ENSCPBG00000028383	1126	367	766	472
ENSCPBG00000028382	144	56	94	51
ENSCPBG00000028381	2043	941	1434	703
ENSCPBG00000028380	340	108	272	20
ENSCPBG00000028379	8890	2667	5418	3962
ENSCPBG00000028377	1636	665	876	641
ENSCPBG00000028376	38	28	36	18
ENSCPBG00000028375	578	189	338	259
ENSCPBG00000028373	15	8	19	0
ENSCPBG00000028371	46	14	119	13
ENSCPBG00000028370	546	246	401	364
ENSCPBG00000028368	10	1	3	1
ENSCPBG00000028362	926	468	988	373
ENSCPBG00000028361	767	258	543	158
ENSCPBG00000028360	4276	1686	2906	1021
ENSCPBG00000028358	142	53	106	46
ENSCPBG00000028347	2309	807	1551	519
ENSCPBG00000028344	1643	689	1591	79
ENSCPBG00000028343	1782	734	1209	1204
ENSCPBG00000028342	2303	751	2083	398
ENSCPBG00000028340	62	22	26	38
ENSCPBG00000028333	523	192	418	162
ENSCPBG00000028324	710	279	496	133
ENSCPBG00000028309	3	1	1	2
ENSCPBG00000028301	55	23	40	43
ENSCPBG00000028300	5	3	11	2
ENSCPBG00000028299	3480	1512	2251	1393
ENSCPBG00000028297	1446	533	1024	532
ENSCPBG00000028294	720	243	439	233
ENSCPBG00000028293	916	297	647	327
ENSCPBG00000028289	141	60	116	57
ENSCPBG00000028288	1446	436	837	351
ENSCPBG00000028286	21	7	31	9
ENSCPBG00000028285	939	395	759	176
ENSCPBG00000028279	15945	5787	10851	8315
ENSCPBG00000028278	10	11	4	7
ENSCPBG00000028276	174	85	177	74
ENSCPBG00000028273	121	74	140	66
ENSCPBG00000028270	850	303	708	381
ENSCPBG00000028268	140	45	108	73
ENSCPBG00000028258	1436	395	1055	405
ENSCPBG00000028249	495	182	404	164
ENSCPBG00000028245	582	230	245	28
ENSCPBG00000028243	115	65	87	69
ENSCPBG00000028233	73	33	65	5
ENSCPBG00000028229	13	6	11	8
ENSCPBG00000028223	104	71	130	53
ENSCPBG00000028221	926	472	646	455
ENSCPBG00000028220	7148	3281	4070	2089
ENSCPBG00000028219	43	15	29	7
ENSCPBG00000028218	115	77	86	50
ENSCPBG00000028214	299	101	181	141
ENSCPBG00000028204	2	0	1	4
ENSCPBG00000028203	24	10	20	13
ENSCPBG00000028201	69	16	66	34
ENSCPBG00000028198	211	129	196	83
ENSCPBG00000028196	3	5	2	0
ENSCPBG00000028192	89	55	116	238
ENSCPBG00000028189	921	368	695	493
ENSCPBG00000028187	72	17	39	15
ENSCPBG00000028186	4	4	1	6
ENSCPBG00000028185	241	120	153	45
ENSCPBG00000028183	3	2	6	0
ENSCPBG00000028181	1704	750	1090	588
ENSCPBG00000028179	522	220	306	137
ENSCPBG00000028175	93	32	53	12
ENSCPBG00000028173	13	3	8	2
ENSCPBG00000028171	91	34	102	8
ENSCPBG00000028168	43	13	29	6
ENSCPBG00000028159	53	25	19	70
ENSCPBG00000028158	210	58	100	61
ENSCPBG00000028155	69	38	68	60
ENSCPBG00000028151	17124	7248	9581	7197
ENSCPBG00000028147	2338	901	1411	505
ENSCPBG00000028144	11	6	10	13
ENSCPBG00000028143	11	6	6	2
ENSCPBG00000028138	55	27	67	37
ENSCPBG00000028135	35304	15190	20247	38721
ENSCPBG00000028134	131	52	76	92
ENSCPBG00000028133	1524	759	982	548
ENSCPBG00000028130	5	8	11	2
ENSCPBG00000028117	1485	641	943	687
ENSCPBG00000028116	1636	788	901	594
ENSCPBG00000028114	866	355	594	285
ENSCPBG00000028103	617	236	446	331
ENSCPBG00000028101	8627	3453	5363	2036
ENSCPBG00000028099	595	201	381	259
ENSCPBG00000028097	335	116	205	174
ENSCPBG00000028086	1971	706	1325	1223
ENSCPBG00000028081	599	229	418	182
ENSCPBG00000028079	50	33	30	23
ENSCPBG00000028078	144	42	70	54
ENSCPBG00000028074	4676	1643	3185	2506
ENSCPBG00000028072	42	11	22	15
ENSCPBG00000028071	211	96	114	75
ENSCPBG00000028069	93	40	65	58
ENSCPBG00000028068	769	437	569	496
ENSCPBG00000028067	664	277	453	153
ENSCPBG00000028065	1973	805	1454	1071
ENSCPBG00000028064	114	51	114	4
