,logFC,logCPM,PValue,QValue
ENSCPBG00000008586,14.8326190742013,6.72050644533131,1.21588489451048e-08,0.000183343283243235
ENSCPBG00000014498,1.23450095317831,-0.102509687023123,0.314609845164166,1
ENSCPBG00000004815,-0.881975286536954,2.34782187513637,0.373069556841405,1
ENSCPBG00000004641,-0.638508386669696,2.70118885415654,0.447374980502092,1
ENSCPBG00000002755,-0.629632766845021,3.00308499602257,0.406624750562084,1
ENSCPBG00000028372,0.042572491523335,4.16546401320344,0.936843006817666,1
ENSCPBG00000021014,-0.0656845703885668,-1.74766871838598,1,1
ENSCPBG00000020177,-0.907791207467209,2.97042476363936,0.577436759875287,1
ENSCPBG00000018823,-0.17764869982131,3.99433378415001,0.731228023649112,1
ENSCPBG00000014213,-0.646035845026858,0.193180615916211,0.458367733158436,1
ENSCPBG00000013646,0.462817775116304,4.94761425833488,0.409425073112707,1
ENSCPBG00000012991,0.624463124850519,4.13148044776973,0.288115064929078,1
ENSCPBG00000012751,0.240957550819376,6.34008440417806,0.636072057741951,1
ENSCPBG00000009852,-0.736728889838245,-1.59451807635327,0.750814763717803,1
ENSCPBG00000009612,0.287343373598382,5.8970814631066,0.576801984448187,1
ENSCPBG00000008352,-0.277599985291316,2.92252624231516,0.603978936589202,1
ENSCPBG00000007597,-0.726250375851713,-0.95779706702474,0.469839832087483,1
ENSCPBG00000006806,0.505290497860889,8.70174487030953,0.430132719336761,1
ENSCPBG00000006187,0.266711694353116,4.03949862810448,0.590860475120062,1
ENSCPBG00000004419,2.7644266671401,6.80606793081467,0.0376479328095551,1
ENSCPBG00000004409,2.16297878078032,7.52122778786284,0.0581147911886413,1
ENSCPBG00000004148,0.650657841378002,0.248865626594122,0.48557251414958,1
ENSCPBG00000003871,-0.0979641217526505,6.36654166685485,0.905045285597788,1
ENSCPBG00000003707,0.341005958036775,-0.581065337554145,0.739780308468963,1
ENSCPBG00000003056,2.85832870623969,5.3795074339889,0.0280666995967699,1
ENSCPBG00000003052,1.23685293795478,-0.0519703679146229,0.250330415048468,1
ENSCPBG00000002032,-0.657841538331417,-0.244398423502866,0.543612011132523,1
ENSCPBG00000002023,0.50446985898013,3.87252941365995,0.435006856132476,1
ENSCPBG00000001820,-0.593862125420622,1.43291581048503,0.542338046853794,1
ENSCPBG00000001225,-0.271188215872409,1.5932797904795,0.651496373879061,1
ENSCPBG00000000468,-0.447746118864618,0.9559672851192,0.53567326530443,1
ENSCPBG00000028437,-0.493907467530002,2.33031039641288,0.401363124975847,1
ENSCPBG00000028436,-1.1635743675076,-1.26236778183625,0.448187098636858,1
ENSCPBG00000028426,0.935616003545341,3.18986040184898,0.150295953475754,1
ENSCPBG00000028425,1.48259114040895,2.57547187883594,0.119123339032678,1
ENSCPBG00000028422,0.939971133959871,-1.86240048251285,0.436828115248881,1
ENSCPBG00000028421,-0.0206956172293458,4.76247337621245,0.963170231297556,1
