,logFC,logCPM,PValue,QValue
ENSCPBG00000007597,8.582648786,7.579561975,0.001916665,0.820493096
ENSCPBG00000028394,8.4963134,4.715511635,0.012724241,0.820493096
ENSCPBG00000028064,8.494727638,7.902628221,0.002530515,0.820493096
ENSCPBG00000028063,8.377065404,4.038856344,0.010520102,0.820493096
ENSCPBG00000027902,8.324428742,7.009119474,0.002927576,0.820493096
ENSCPBG00000012946,8.130899267,7.804691511,0.002719404,0.820493096
ENSCPBG00000023169,-1.640347821,6.336587426,0.000547015,0.820493096
ENSCPBG00000013325,7.831963647,0.477779385,0.004412813,0.820493096
ENSCPBG00000013259,-1.932714356,5.605545509,0.001342421,0.820493096
ENSCPBG00000002409,-5.958774768,-1.094157225,0.001457673,0.820493096
ENSCPBG00000016468,-2.105117041,3.925308142,0.001570452,0.820493096
ENSCPBG00000013184,7.809664947,6.331613494,0.003564688,0.820493096
ENSCPBG00000012527,7.685701451,5.384113675,0.00412365,0.820493096
ENSCPBG00000001598,7.588421971,0.27011228,0.005063357,0.820493096
ENSCPBG00000010925,7.583089955,0.248956103,0.0005106,0.820493096
ENSCPBG00000026445,7.534649383,2.406282318,0.003126325,0.820493096
ENSCPBG00000011922,-1.892428675,2.612882744,0.002294245,0.820493096
ENSCPBG00000019166,7.525644222,2.400465204,0.000496143,0.820493096
ENSCPBG00000011288,7.456716786,3.238239712,0.014377018,0.820493096
ENSCPBG00000007078,7.350482876,0.055449068,0.000932677,0.820493096
ENSCPBG00000001229,7.327467529,7.748170656,0.004102313,0.820493096
ENSCPBG00000017462,7.323754171,4.280458069,0.007810152,0.820493096
ENSCPBG00000016676,7.189337807,2.134595759,0.003552998,0.820493096
ENSCPBG00000025734,7.007288024,3.946511203,0.00376306,0.820493096
ENSCPBG00000025937,6.916964862,-0.310064935,0.000526028,0.820493096
ENSCPBG00000010784,6.859041243,4.248189721,0.000313325,0.820493096
ENSCPBG00000013287,6.791118006,3.051492722,0.003346944,0.820493096
ENSCPBG00000010349,6.790007269,4.922098955,0.008887523,0.820493096
ENSCPBG00000014046,6.770081183,3.975381595,0.00441468,0.820493096
ENSCPBG00000026910,6.73092334,2.992616508,0.021908258,0.85248954
ENSCPBG00000017990,6.644647325,4.405177849,0.013573334,0.820493096
ENSCPBG00000003934,6.624198674,4.196246507,0.006687218,0.820493096
ENSCPBG00000010779,6.59817094,3.261613509,0.022972881,0.85248954
ENSCPBG00000000842,6.587909198,7.012717928,0.005046505,0.820493096
ENSCPBG00000009658,6.563882734,4.85195085,0.000189391,0.820493096
ENSCPBG00000010357,6.480559563,-0.618440244,0.008495649,0.820493096
ENSCPBG00000027715,-1.48556604,4.799657346,0.003790639,0.820493096
ENSCPBG00000012898,6.455645297,3.152078492,0.011626396,0.820493096
ENSCPBG00000015099,6.433950577,-0.697628379,0.000310187,0.820493096
ENSCPBG00000013760,-1.43480827,4.262522895,0.003926725,0.820493096
ENSCPBG00000008914,6.385814323,9.993215303,0.006000462,0.820493096
ENSCPBG00000008724,6.334027455,3.315154317,0.001838012,0.820493096
ENSCPBG00000008717,6.264610913,5.155022128,0.008158557,0.820493096
ENSCPBG00000013384,6.242464054,7.71951645,0.0060776,0.820493096
ENSCPBG00000005175,6.207573129,6.155557544,0.004640369,0.820493096
ENSCPBG00000027085,6.204058577,5.874850935,0.003720834,0.820493096
ENSCPBG00000008165,6.162137099,-0.853621397,0.011017088,0.820493096
ENSCPBG00000004752,6.130921122,3.890108502,0.005562264,0.820493096
ENSCPBG00000013026,6.118745711,-0.910775361,0.002341209,0.820493096
ENSCPBG00000007796,6.108859874,2.469398141,0.019407567,0.85248954
ENSCPBG00000024929,6.075319218,4.364757203,0.004096141,0.820493096
ENSCPBG00000000044,-1.442623893,4.621815951,0.004564687,0.820493096
ENSCPBG00000013604,6.056865104,3.073079405,0.00955232,0.820493096
ENSCPBG00000008913,6.041798955,2.398806627,0.004695326,0.820493096
ENSCPBG00000003855,6.028164933,5.06577315,0.004898072,0.820493096
ENSCPBG00000007430,6.021482491,9.39562785,0.007351087,0.820493096
ENSCPBG00000007399,6.002689311,3.252357374,0.008122585,0.820493096
ENSCPBG00000007398,5.991054015,2.321313912,0.004792014,0.820493096
