,logFC,logCPM,PValue,QValue
ENSCPBG00000019065,5.70244414348674,3.33451310085368,1.46002608621765e-08,0.000219602523627997
ENSCPBG00000000576,2.68496325672747,4.20751854568628,2.37301009706765e-07,0.00178462224349972
ENSCPBG00000018875,3.19908721960311,5.70753540433791,3.74691652773344e-07,0.00187857904978796
ENSCPBG00000027449,-4.64498626810447,0.712943165670001,6.18092006825478e-07,0.00232418046866551
ENSCPBG00000021465,3.24954137665332,3.83037313907335,8.05617838966252e-07,0.00242345958317828
ENSCPBG00000016829,-3.54569834565499,1.18169096078016,2.51682397219246e-06,0.00540793562367811
ENSCPBG00000003070,-4.27638751382675,2.66628703876086,2.23729088935306e-06,0.00540793562367811
ENSCPBG00000019034,7.61043551720497,5.02363884164561,3.23805335910985e-06,0.00608794507179642
ENSCPBG00000012848,2.7979717993207,7.37864753417579,1.87495281735743e-05,0.0191666821408562
ENSCPBG00000023639,3.43388644881472,0.604718037068204,1.76683595336629e-05,0.0191666821408562
ENSCPBG00000007208,-3.37552811962958,1.13665261864091,1.88475071187734e-05,0.0191666821408562
ENSCPBG00000001856,5.3143130013488,-0.355891184744476,1.78767035999058e-05,0.0191666821408562
ENSCPBG00000010670,-2.67984459529082,6.62602905486592,1.86787914335948e-05,0.0191666821408562
ENSCPBG00000016885,-2.92375755748245,1.47780512484109,1.91144360157465e-05,0.0191666821408562
ENSCPBG00000026502,2.40917912200726,5.3629153837284,1.32750865019496e-05,0.0191666821408562
ENSCPBG00000005658,2.59021718784019,4.30811595999127,2.17868896460181e-05,0.0204810379478599
ENSCPBG00000016332,-2.48939061663327,2.96840377216702,2.87894108183335e-05,0.0254718545952091
ENSCPBG00000023089,2.2512886392771,3.6631064968386,3.93852717777306e-05,0.0329107707116026
ENSCPBG00000019028,7.60692619356519,5.45918670305892,4.6499259819044e-05,0.0347264305210061
ENSCPBG00000016632,2.07522997074266,5.08685660594053,4.55744800044561e-05,0.0347264305210061
ENSCPBG00000027191,-2.95672752663786,1.41048382605215,4.84844784882074e-05,0.0347264305210061
ENSCPBG00000019064,4.26539889862863,-0.132120097129918,7.08848983648842e-05,0.0484627161957374
ENSCPBG00000020101,-4.58100430626384,-0.589458212637216,7.91698706117789e-05,0.0517736532118159
ENSCPBG00000009887,2.02398977145572,3.57565846709303,0.000100166821762709,0.0627753819222042
ENSCPBG00000020904,-6.63180887900537,-1.01477870279752,0.000113304520107034,0.0655466648819193
ENSCPBG00000004314,5.06506689187594,0.132391669080116,0.000111900015210548,0.0655466648819193
ENSCPBG00000013900,-2.39482183671201,3.54462552414518,0.00013842861891558,0.0771149947077495
ENSCPBG00000027891,2.49567616497051,1.83979951005718,0.000194436727029731,0.0889756873312981
ENSCPBG00000010523,-3.99966167866007,0.430178475190248,0.000175825347789941,0.0889756873312981
ENSCPBG00000021186,-2.66201847025646,6.78165770625773,0.000173771227248826,0.0889756873312981
ENSCPBG00000025817,-2.55915158414903,1.66958124915273,0.000181504192889186,0.0889756873312981
ENSCPBG00000005827,2.24989410794721,2.5678247262348,0.000201128473456827,0.0889756873312981
ENSCPBG00000022584,-2.13290472428994,3.28309122927707,0.00019277956824497,0.0889756873312981
ENSCPBG00000024956,1.96645693947698,4.62177499340057,0.000196481539528808,0.0889756873312981
ENSCPBG00000019024,9.0139152877992,4.50584268386276,0.000233807080497759,0.100476922793337
ENSCPBG00000027361,-2.26041959780811,3.14175625790364,0.000240766142551785,0.100593431947817
ENSCPBG00000024732,-3.85307190913111,-0.0118593889870816,0.000266579348600906,0.108368107629898
ENSCPBG00000016274,-2.5847046330513,1.10155295631516,0.000293046828515917,0.115394043292198
ENSCPBG00000021431,-3.32911837497485,0.406511649392224,0.000299206680965078,0.115394043292198
ENSCPBG00000021468,2.46809643689635,1.10660065576358,0.000321620314785573,0.120937278867245
ENSCPBG00000012626,-2.55176381127428,3.37216976558722,0.000348342821073014,0.12779083833559
ENSCPBG00000023198,-2.63127852148079,0.864181933036812,0.000358637918851258,0.12843506993909
ENSCPBG00000012647,-2.12065540650246,3.01643415707881,0.000376637137190776,0.131744166988057
ENSCPBG00000003041,-2.57041309235653,2.82566913124716,0.000393939012631699,0.134664470204395
ENSCPBG00000005909,7.48002972942943,4.28417428689411,0.000406738453147179,0.135950068306372
ENSCPBG00000002648,-4.35691007903826,-0.758817480285227,0.000435442943056222,0.142380376228449
ENSCPBG00000010454,-2.28340889957113,3.25100969386262,0.000449409919745017,0.143820736231592
ENSCPBG00000012496,-2.19819221798216,1.79163425382694,0.000461424571381833,0.144589312044878
ENSCPBG00000021559,-1.69114547676256,4.88985201493845,0.000555581997714443,0.170540996482101
ENSCPBG00000007658,-3.67357335022408,-0.599159601419543,0.000590085358196121,0.177509477452557
ENSCPBG00000006674,-1.92370174624365,2.91707779595843,0.000609909828714068,0.179875563405653
ENSCPBG00000000839,4.51027661619129,3.82630707031383,0.000653137957919803,0.187158661964343
ENSCPBG00000008490,-4.3919188666022,-0.688163341774611,0.000671934561935676,0.187158661964343
ENSCPBG00000019059,1.89423084734745,3.81355504008061,0.000664918754836381,0.187158661964343
ENSCPBG00000002349,3.33916445418557,-0.960105389463464,0.000696496040412179,0.190472671706174
ENSCPBG00000009124,-1.74752565932828,3.99188580780028,0.000718016998095865,0.192851672649284
ENSCPBG00000003058,-2.07111246790831,2.5332142802801,0.000752379282100316,0.198535733018787
ENSCPBG00000006102,-3.88942131855457,-0.329578167876378,0.000871710978550055,0.222227200480871
ENSCPBG00000022324,-2.62000596616634,6.06328608371317,0.000865037142859505,0.222227200480871
ENSCPBG00000027227,2.3544117564869,2.8444610797896,0.000911487176901294,0.228494643796206
ENSCPBG00000011801,-1.74153900347816,3.58140661222393,0.000968721477609102,0.238861307290467
ENSCPBG00000024752,1.6981664045313,4.14195498097789,0.00100786516896989,0.24450483881413
ENSCPBG00000007538,-2.32781509917963,1.66570753633794,0.0010601217770221,0.251512717937867
ENSCPBG00000027441,-1.7595488587832,4.16916558570343,0.00107019572821112,0.251512717937867
ENSCPBG00000014255,2.40283196047752,7.6897990108522,0.00109976378998015,0.254485341001406
ENSCPBG00000006459,2.12321618618391,2.10709666709102,0.00112464702644551,0.256300241284348
ENSCPBG00000026498,1.62490849283062,4.56567387608741,0.00123316971732807,0.261240925610302
ENSCPBG00000002404,4.44075681499609,-1.19492561021334,0.00121718747860797,0.261240925610302
ENSCPBG00000001932,-2.35180452145528,1.76804463729802,0.0012115547264953,0.261240925610302
ENSCPBG00000019021,5.9659457731644,3.99350546237895,0.00119282842679237,0.261240925610302
ENSCPBG00000015208,3.28812120833334,1.63113290266275,0.00123072377351455,0.261240925610302
ENSCPBG00000011951,-1.63070087715305,4.52417128007334,0.00126447506399549,0.26415235329939
ENSCPBG00000016618,2.4457705358052,3.41277990984553,0.00132325819422028,0.272645568483113
ENSCPBG00000020801,2.52440095920508,0.848247421481907,0.00134973167754727,0.274342083270114
ENSCPBG00000007270,-1.90749812652727,3.41651380262204,0.00136843336136238,0.274434749176688
ENSCPBG00000005894,-1.60124773746342,4.50834953032186,0.00144522282330102,0.279793391540034
ENSCPBG00000024243,-4.20612560721449,-0.828410830384096,0.00145095967955074,0.279793391540034
ENSCPBG00000008335,-2.38736309100738,2.90199760011766,0.00142055291706938,0.279793391540034
ENSCPBG00000004110,-2.18492775258955,3.55622918735823,0.00149521521756308,0.28258036483332
ENSCPBG00000008968,-1.83713317826726,2.69399171458112,0.00150298711433187,0.28258036483332
ENSCPBG00000026381,-2.76028646486737,2.26362914951571,0.00154748195650598,0.284143912503805
ENSCPBG00000027686,6.41402075761728,-1.30262421860418,0.00154908588692986,0.284143912503805
ENSCPBG00000014998,1.89795459647221,3.39063542022195,0.00159124123691934,0.288359752343419
ENSCPBG00000022538,1.97133052173416,4.80323369029615,0.00164257096109218,0.294117974116518
ENSCPBG00000027534,1.92976813733171,6.22421009982339,0.00177787466918016,0.310942010455101
ENSCPBG00000016051,1.80898206183525,3.27761626368468,0.00176510660893902,0.310942010455101
ENSCPBG00000011546,-3.13611485139714,0.848274664095573,0.0018409934752932,0.318280262780287
ENSCPBG00000005631,-1.63883784627193,3.73341949828402,0.0018978362281108,0.318850986911631
ENSCPBG00000018647,4.0884391140254,2.94342245323665,0.00190789101935023,0.318850986911631
ENSCPBG00000001977,4.78456173528455,0.617675444351609,0.00189922850993935,0.318850986911631
ENSCPBG00000005301,-3.9730629667299,-1.04325291789161,0.00201250621579706,0.325485010664555
ENSCPBG00000017373,2.40567019208685,-0.0605015645227765,0.00199938316236282,0.325485010664555
ENSCPBG00000012466,6.09530167515624,-1.51489018456999,0.00199146368589499,0.325485010664555
ENSCPBG00000021550,2.47629199399833,0.0306114746352847,0.00207449047633499,0.328446434258469
ENSCPBG00000023108,-2.68924037345694,1.86530753028277,0.00205324245974086,0.328446434258469
ENSCPBG00000014473,2.11610554771888,5.18795432899866,0.00217024606145301,0.340027823024111
ENSCPBG00000020922,4.31323086167076,3.75673994882719,0.00226462771197265,0.351157375420418
ENSCPBG00000001440,-1.67171762426074,4.81361453970457,0.00229103618490687,0.351627298542697
ENSCPBG00000011274,6.80086230747008,-1.02290293456406,0.00247679443921128,0.372534651601769
ENSCPBG00000003762,6.44475645296233,-1.28822837345719,0.00246349227491559,0.372534651601769
ENSCPBG00000015199,1.94700069200798,3.65535055992279,0.00251410570287793,0.374402612643435
ENSCPBG00000024739,2.60160863598985,0.951495182230693,0.00256905830805717,0.378835353053803
ENSCPBG00000012897,-2.9535001954175,5.10665586298088,0.00264379391104997,0.3798164739325
ENSCPBG00000017036,3.44972525234793,1.75408953001824,0.00265635209130198,0.3798164739325
ENSCPBG00000003522,-1.75172557825967,2.24795159697905,0.00270077980655674,0.3798164739325
ENSCPBG00000015008,1.64492890678267,6.65514985927859,0.00262900301484437,0.3798164739325
ENSCPBG00000015929,-2.06333340359961,5.45556201111228,0.00270197212358071,0.3798164739325
ENSCPBG00000007961,-2.60736629019165,1.40722390429905,0.00273870677590525,0.381415635336952
ENSCPBG00000018535,-1.59665096751813,3.86590094894296,0.00279403041796503,0.385550564372587
ENSCPBG00000015784,6.63899885727868,2.62568052208523,0.00287402660986487,0.3894435517025
ENSCPBG00000012892,2.57594977548417,7.96532491593256,0.00286724755926361,0.3894435517025
ENSCPBG00000019023,6.38762013191703,-1.28798837900237,0.00294532473824302,0.395541333820654
ENSCPBG00000026384,-1.65847026813003,3.46855803357989,0.0030127773439746,0.401019327705503
ENSCPBG00000005094,2.49694492667429,-0.20860754657354,0.00309062353262083,0.407772531176754
ENSCPBG00000003501,-2.63774014060925,4.27235342344192,0.00316851724200812,0.414414502930818
ENSCPBG00000018704,2.12104476762447,1.28664966500558,0.0031980353420714,0.414669392931861
ENSCPBG00000027096,2.07974030876776,6.94836111431535,0.00323931731383133,0.416432236900316
ENSCPBG00000008285,-3.7320631757932,-1.21664403240671,0.00336242742470136,0.424993873066666
ENSCPBG00000004408,-1.6238104577339,5.44452770267837,0.00334570664804941,0.424993873066666
ENSCPBG00000028339,1.97138712915652,4.61998324977651,0.00350992381198363,0.435923872613118
ENSCPBG00000009270,-3.22741217513072,-0.924373550211053,0.00349707930106891,0.435923872613118
ENSCPBG00000007688,1.77592890847152,2.50601794419543,0.00353584950859653,0.435923872613118
ENSCPBG00000026703,-3.12988907891379,3.10596578702376,0.00371609773884623,0.445029099126279
ENSCPBG00000012423,-2.06400244514161,1.04374550657525,0.00367637942026614,0.445029099126279
ENSCPBG00000003474,-2.10585605186091,0.93395284157429,0.00372805441725358,0.445029099126279
ENSCPBG00000021068,2.01528702118052,2.49065260059352,0.00364164207403585,0.445029099126279
ENSCPBG00000011074,-2.1081377120827,3.89424955613754,0.00383578189382758,0.454283428858745
ENSCPBG00000003189,2.42022158355877,0.155109408555362,0.00387058420678127,0.454516575600978
ENSCPBG00000027246,-2.3771262045782,1.75491296533161,0.00390589239622576,0.454516575600978
ENSCPBG00000016201,-3.16559295364195,-0.242084286354949,0.00392840601210871,0.454516575600978
ENSCPBG00000026556,-1.38512343342764,4.73134772185364,0.00401179663514151,0.460621627398194
ENSCPBG00000021010,3.3244249224685,1.13456704636468,0.00408507241597253,0.465481622792748
ENSCPBG00000016334,-2.46796679099053,1.29649963465788,0.00415310859878407,0.46949255828022
ENSCPBG00000024519,1.83977730759143,1.59418980790607,0.00418270080510269,0.46949255828022
ENSCPBG00000022291,-2.42381757475929,3.17744220859931,0.0042330884673204,0.47162876768123
ENSCPBG00000006512,2.59536289391875,6.43568839324641,0.00431833131926106,0.47758839244857
ENSCPBG00000000938,-2.67833571672931,0.492289273562563,0.00443901028973642,0.487351487357121
ENSCPBG00000020431,-1.87585579288568,1.37170297505427,0.00458249009371038,0.492323096424985
ENSCPBG00000018224,1.60093054708155,6.04420002797498,0.00457636333943683,0.492323096424985
ENSCPBG00000014685,-2.45418247881311,-0.00180555890940103,0.00458117769674996,0.492323096424985
ENSCPBG00000018645,1.51201730907809,5.46820987494889,0.00463604526909078,0.494544375123365
ENSCPBG00000010741,1.48294136794909,4.20610425068952,0.00477375761418466,0.497066313046176
ENSCPBG00000018994,3.46789616673499,0.469245103167082,0.00480791769060988,0.497066313046176
ENSCPBG00000001661,1.73229780993502,3.22474074545602,0.00477612665716759,0.497066313046176
ENSCPBG00000010364,-1.62913003151849,4.33658282840981,0.00482492398808203,0.497066313046176
ENSCPBG00000024033,1.73274750921832,4.38527073974176,0.00480528017973646,0.497066313046176
ENSCPBG00000012668,2.40161531059309,3.95311542053924,0.00488015194593954,0.499335819176031
ENSCPBG00000007284,-1.81544273570561,8.07325091182959,0.00491789863331112,0.499798063132652
ENSCPBG00000013668,-1.51750119742952,3.17340432322118,0.00503376751320256,0.50140991500715
ENSCPBG00000017678,-1.84023284208095,2.35675413408716,0.00500557656756403,0.50140991500715
ENSCPBG00000020499,1.4870724966375,2.99831433617966,0.00498953061840386,0.50140991500715
ENSCPBG00000018503,-2.91728880733252,3.02502038092484,0.00509122612322619,0.503796921838454
ENSCPBG00000026788,-1.59470742040289,6.68751937126013,0.00516339301883071,0.507598656184527
ENSCPBG00000005118,-2.15184096072491,0.293107395030757,0.00526435891503086,0.510846596393414
ENSCPBG00000006581,-1.56429810142069,4.70106311452944,0.00525631277534142,0.510846596393414
ENSCPBG00000010491,-5.83114654854235,-1.58666966530146,0.00547979492665302,0.512794902070912
ENSCPBG00000009142,2.3684716505729,-0.42550478248719,0.00548899536157282,0.512794902070912
ENSCPBG00000001861,3.74350029814786,-0.574693931017866,0.00532511788360037,0.512794902070912
ENSCPBG00000021011,5.28755479809222,-0.598383620289086,0.00537743290696125,0.512794902070912
ENSCPBG00000005273,-1.88507790677661,3.58947572979564,0.00546646260362273,0.512794902070912
ENSCPBG00000024709,-3.742353882852,2.98356462734881,0.00545971704064556,0.512794902070912
ENSCPBG00000002726,-3.72860049681894,1.54648796709401,0.00553747659184711,0.514130774185015
ENSCPBG00000008345,2.65149830917637,-0.774106535722563,0.00561939740187038,0.51838397215046
ENSCPBG00000009615,2.94623240796537,3.89084941422477,0.0057436687837249,0.51838397215046
ENSCPBG00000019355,3.55297905173406,1.52440474702286,0.00569169671188931,0.51838397215046
ENSCPBG00000016836,-1.63085880454397,4.61598738274459,0.00579006844184813,0.51838397215046
ENSCPBG00000001574,2.31231069157223,0.0500243577762396,0.00579007428503937,0.51838397215046
ENSCPBG00000021074,3.05114270051157,3.73276369353416,0.00576586177238083,0.51838397215046
ENSCPBG00000009237,-1.59749865346306,2.91206783966033,0.0058836078411023,0.519095207051409
ENSCPBG00000018365,-1.81962419964703,3.95801641346794,0.00587484857760614,0.519095207051409
ENSCPBG00000009593,2.38928316868486,1.12136751446547,0.00590155444490332,0.519095207051409
ENSCPBG00000010894,3.61531849348044,3.86014331080045,0.0059897521971473,0.521008700466691
ENSCPBG00000004522,1.96079968415661,1.55708199678957,0.00603743432167502,0.521008700466691
ENSCPBG00000002310,3.56658573562478,-1.74971226941136,0.00606186573909121,0.521008700466691
ENSCPBG00000011177,7.1915554057776,-0.720112449008257,0.00604327425561536,0.521008700466691
ENSCPBG00000005958,-1.73152068860422,2.32974638019018,0.00613892263776294,0.524633723832911
ENSCPBG00000026108,-2.1230403481312,5.31503901375834,0.00620142268073974,0.52698078271755
ENSCPBG00000007979,-2.54738348832627,-0.614618535763193,0.00624797270627978,0.527953693680642
ENSCPBG00000022371,1.60079524529275,4.76104896721879,0.00634611397167766,0.533250839374322
