,logFC,logCPM,PValue,QValue
ENSCPBG00000013797,-5.02555048820378,-2.07707614648156,0.0253266235711633,1
ENSCPBG00000011472,-6.35489375023313,-1.34220293243123,0.0089428787717342,1
ENSCPBG00000010302,-2.11217578117166,-0.723703838901892,0.043946267476362,1
ENSCPBG00000010171,-2.56698428090669,-1.49047390395243,0.0366179810866784,1
ENSCPBG00000015278,-3.52749108587122,-1.55243621942793,0.0259970297242663,1
ENSCPBG00000006862,-1.40753544477919,0.894961357008933,0.0306826987502034,1
ENSCPBG00000011081,-3.04550786546936,-1.79383228532723,0.0418319719946624,1
ENSCPBG00000007851,-3.66475125307605,-1.39311000284486,0.0093326276571126,1
ENSCPBG00000013443,-3.23721984170061,-0.652211005040211,0.0010820480990126,1
ENSCPBG00000005594,-5.1652521294812,-2.00305821684527,0.0239491349603657,1
ENSCPBG00000000170,-5.47192299477507,-1.89613417122317,0.0343864276836226,1
ENSCPBG00000004293,-5.2478606622302,-2.00380534467559,0.0361598669014142,1
ENSCPBG00000024728,-3.42148797902084,-1.57209772477342,0.0176585576820031,1
ENSCPBG00000005779,-1.40059587769723,0.208730306107079,0.0479186122133672,1
ENSCPBG00000005857,-0.992708685535451,5.91688259909936,0.0455590636778569,1
ENSCPBG00000003531,-1.48364741634605,0.429377809721444,0.0358811749034302,1
ENSCPBG00000004124,-1.66923175492216,0.124313257191416,0.0279557589692119,1
ENSCPBG00000005287,-1.92223074110492,-0.635644487943789,0.0399349498317846,1
ENSCPBG00000005966,-2.04802894092264,-0.940816500793869,0.0383416920293847,1
ENSCPBG00000006227,-1.31514230485166,1.61344865421246,0.0476236720849792,1
ENSCPBG00000008822,-3.3181022446372,-1.60268348201009,0.0235565177458392,1
ENSCPBG00000008963,-1.41201972956703,0.555565960956628,0.0440077287619527,1
ENSCPBG00000020008,-3.86538497836491,-1.34632908900726,0.0167596159277018,1
ENSCPBG00000023197,-5.336714057863,-1.90099159496357,0.0182847386857054,1
ENSCPBG00000015365,-2.14976973318795,-0.84623801228419,0.0195284233350357,1
ENSCPBG00000017117,-3.59695446001328,-1.45844907807655,0.0271683002131906,1
ENSCPBG00000017119,-1.83517716117616,-0.352728753887347,0.0424834836857283,1
ENSCPBG00000012647,-1.90750763209382,3.25376026892553,0.0112256847510085,1
ENSCPBG00000025607,-1.90830325172927,-0.684738625370219,0.0417797048705687,1
ENSCPBG00000017729,-5.12188333523441,-2.0404838200444,0.0326318501896489,1
ENSCPBG00000021218,-4.9487519913967,-2.1135600864049,0.0383511570325687,1
ENSCPBG00000026806,-5.12188333523441,-2.0404838200444,0.0326318501896489,1
ENSCPBG00000021408,-2.19537809179878,-1.11950534077975,0.0458780292153934,1
ENSCPBG00000018578,-3.52738718012405,-0.517212843786202,0.0058530129680604,1
ENSCPBG00000016554,-5.73913245395219,-1.73208487212647,0.0192868722488597,1
ENSCPBG00000023077,-2.96837389941943,-0.295330363280548,0.0012568920856694,1
ENSCPBG00000002917,-1.38118036105923,0.671234921039191,0.0482250827530325,1
