,logFC,logCPM,PValue,QValue
ENSCPBG00000024752,1.91365582071557,4.43271833933036,6.87817449530572e-05,0.516516513724983
ENSCPBG00000004419,2.576309816181,6.61287648254321,0.0343300615605596,1.0
ENSCPBG00000004409,2.17407560166233,7.49915965296475,0.0450718787674076,1.0
ENSCPBG00000003056,2.53875235576498,5.07341671833211,0.0382609184647649,1.0
ENSCPBG00000028192,1.80468686967721,3.24254952390432,0.0280401362204449,1.0
ENSCPBG00000027949,4.06631573020907,5.21103364928191,0.0065123539163084,1.0
ENSCPBG00000013705,2.36114547859539,-1.48602219153269,0.041304163811717,1.0
ENSCPBG00000019696,1.32928938496657,2.41522559855549,0.0289047660628272,1.0
ENSCPBG00000013455,5.89999338463709,-1.62443504833601,0.0156042991189256,1.0
ENSCPBG00000018089,0.992505942611161,3.97020272169235,0.047454954755512,1.0
ENSCPBG00000001411,4.78221473537013,3.61590372362004,0.0092720246695933,1.0
ENSCPBG00000020185,1.66662626457179,3.69107771573724,0.0390160985879904,1.0
ENSCPBG00000012869,3.06641939345372,1.32594398777611,0.0121396627343823,1.0
ENSCPBG00000019065,4.77717347834378,2.49653579945914,0.0053477056617186,1.0
ENSCPBG00000009893,1.63427887345192,4.11348359135036,0.0279711866252097,1.0
ENSCPBG00000012668,1.94085848252635,3.70148187543446,0.022048027273387,1.0
ENSCPBG00000020576,1.18436104888916,5.34428889847708,0.0409211205796717,1.0
ENSCPBG00000012433,2.29438406655635,4.1901949412815,0.0233210547749166,1.0
ENSCPBG00000028339,1.90665551149495,4.69257260666225,0.0033341145313812,1.0
ENSCPBG00000012077,1.35020866178153,6.78101173367931,0.0161606070562895,1.0
ENSCPBG00000025901,2.07354206688825,0.0432035516131875,0.0203194200010733,1.0
ENSCPBG00000019166,1.25736836729599,4.10664802427784,0.0086423652835652,1.0
ENSCPBG00000015410,2.26242384661964,2.28959512287547,0.0414935421460162,1.0
ENSCPBG00000014473,0.966166977595191,4.46187220400921,0.034725026393319,1.0
ENSCPBG00000015784,6.35664984752476,2.46086376351273,0.0063841570045731,1.0
ENSCPBG00000013155,3.3641696474473,0.581595403157846,0.0368850633510284,1.0
ENSCPBG00000019349,1.98014427895745,4.11820418309513,0.0376568587610547,1.0
ENSCPBG00000012848,1.83273599239013,6.70069847546213,0.0054374281130877,1.0
ENSCPBG00000009895,1.55760946234941,2.86717887061022,0.0499934515969277,1.0
ENSCPBG00000010975,1.76090904932186,-0.722299435639129,0.0452031648630133,1.0
ENSCPBG00000006410,1.12132409907345,6.07295657091911,0.0370562512956647,1.0
ENSCPBG00000010917,2.35801583275263,1.64021286727051,0.036696126824211,1.0
ENSCPBG00000015692,1.22382530750479,3.76464536762238,0.0332533218151334,1.0
ENSCPBG00000012536,2.86991892515569,1.15508509472088,0.0373041582819433,1.0
ENSCPBG00000023885,1.36283102870227,5.47814841607768,0.022448187255936,1.0
ENSCPBG00000010361,2.59114937462235,-0.773847971524333,0.0450490131730137,1.0
ENSCPBG00000013890,1.87208841304163,1.22058727459062,0.0178104231376534,1.0
ENSCPBG00000012892,1.23202525764282,7.0339574215656,0.0126637388699788,1.0
ENSCPBG00000027534,1.37514166101489,5.92827640182975,0.0132762434949,1.0
ENSCPBG00000018994,3.04471415099076,0.22561880280371,0.0147986831108415,1.0
ENSCPBG00000010077,5.89999338463709,-1.62443504833601,0.0156042991189256,1.0
ENSCPBG00000009822,2.06732252459454,3.28786490812106,0.0443436781737648,1.0
ENSCPBG00000013841,1.25200490086877,3.48738937383926,0.0280692661379093,1.0
ENSCPBG00000027072,2.60194192456239,-0.997840964620685,0.0155508099785793,1.0
ENSCPBG00000011890,3.54575513173714,-1.20760506137627,0.0358779615768876,1.0
ENSCPBG00000017036,3.11447636524591,1.55277646846932,0.041365099041867,1.0
ENSCPBG00000014995,3.03700546328698,-1.34489650490617,0.0499210105362221,1.0
ENSCPBG00000000703,2.68944829184979,0.992610935660699,0.0477301394550174,1.0
ENSCPBG00000010800,2.58137951355193,0.422407587576545,0.0194378203408507,1.0
ENSCPBG00000008889,2.38758401124109,0.0291409565697036,0.0461263648772028,1.0
ENSCPBG00000008786,1.09196439727158,4.25786759702601,0.0472539788080746,1.0
ENSCPBG00000008783,2.75838443857141,2.98646741706889,0.0186266805481863,1.0
ENSCPBG00000027577,1.89339099943685,0.117983932186866,0.0359717439502679,1.0
ENSCPBG00000020735,2.28421497431191,-1.07320514440393,0.0405103087121977,1.0
ENSCPBG00000008345,2.98369805806912,-0.415154024197024,0.0038406152167326,1.0
ENSCPBG00000026627,5.96567498155053,-1.60303644885049,0.0249155112968409,1.0
ENSCPBG00000011825,1.53865964835684,1.22469074784373,0.0333760574870252,1.0
ENSCPBG00000009615,2.64540667535633,3.75105293672811,0.0224010684233808,1.0
ENSCPBG00000007842,3.74371286478826,1.98514555722683,0.0223585402221346,1.0
ENSCPBG00000007738,3.22291615079087,3.40318348121597,0.0171335231709193,1.0
ENSCPBG00000008749,3.50643122654762,-0.98911463245174,0.0094627379474248,1.0
ENSCPBG00000009113,3.08223456895103,-1.4550572381063,0.0317764564081743,1.0
ENSCPBG00000007676,2.29039849311589,-0.582833231459319,0.0360702443529128,1.0
ENSCPBG00000009887,1.42285476834464,3.24343380572908,0.0088771761639092,1.0
ENSCPBG00000013157,1.33719795707246,3.92523568423889,0.0345970999862432,1.0
ENSCPBG00000024730,1.48392473589806,2.95579529285386,0.0176318699351679,1.0
ENSCPBG00000000936,1.93244892346869,-0.205724085400657,0.0398230256081076,1.0
ENSCPBG00000007457,2.24648964240628,3.583153768055,0.0405912781513517,1.0
ENSCPBG00000016123,2.84818232751491,-1.55901386926355,0.0279769790351567,1.0
ENSCPBG00000007344,0.966851308497396,4.667702499686,0.0341712966304712,1.0
ENSCPBG00000027699,3.79794581990024,-0.820140971088489,0.0287744700427386,1.0
ENSCPBG00000003762,5.8818909657707,-1.5973987635666,0.0036016850574235,1.0
ENSCPBG00000007245,1.62243114446498,5.69599017321234,0.0375270473877186,1.0
ENSCPBG00000006221,2.17274670923454,2.5348077834983,0.0369354830179014,1.0
ENSCPBG00000012100,1.60290950926436,5.27737653950612,0.0414013022161841,1.0
ENSCPBG00000001956,1.3190997064421,3.43175088111905,0.0322553935901604,1.0
ENSCPBG00000005827,1.87097606072533,2.38424663826441,0.0123168225044816,1.0
ENSCPBG00000003325,1.5251759421096,0.64769351313446,0.0396438776773791,1.0
ENSCPBG00000007991,4.59767705958057,3.65281892423266,0.0044187075019669,1.0
ENSCPBG00000001364,1.95054582600996,4.29437290949541,0.0454136900822381,1.0
ENSCPBG00000003017,4.28017109802868,-0.998129027050209,0.0488142620012999,1.0
ENSCPBG00000002389,4.81636770046279,0.438952967101892,0.0063725812755967,1.0
ENSCPBG00000008430,3.03615365676208,0.617482732021326,0.0106026863164937,1.0
ENSCPBG00000009027,3.01772089716955,3.05364653913367,0.0421940569814567,1.0
ENSCPBG00000010894,2.7087013848604,3.17256547295731,0.0473263923054125,1.0
ENSCPBG00000016178,1.96076562441218,6.31031060503351,0.0432194762273281,1.0
ENSCPBG00000015066,1.37962220517695,5.93614496738518,0.0240929229486933,1.0
ENSCPBG00000001961,2.48436345576266,3.09390286814582,0.0447728298092254,1.0
ENSCPBG00000001861,3.02694624165339,-0.997934527672917,0.0142599922853855,1.0
ENSCPBG00000024241,2.22764477703959,5.2461736100468,0.0420284971023109,1.0
ENSCPBG00000026666,2.91546049192911,0.0671408991918585,0.0133759034434884,1.0
ENSCPBG00000000839,2.25252284715508,1.94457563177379,0.0493892406162911,1.0
ENSCPBG00000001785,2.11404163381639,8.53560445858337,0.0433142563023379,1.0
ENSCPBG00000013291,5.91437386197199,2.72343063015168,0.0059477721123493,1.0
ENSCPBG00000020903,1.27739377360933,1.57785321056915,0.0270657833900635,1.0
ENSCPBG00000004313,2.17393202074864,3.26861192817918,0.0416458305449665,1.0
ENSCPBG00000006986,1.55487395881301,3.00054309783989,0.0286801683490965,1.0
ENSCPBG00000009090,3.95971241489553,4.53634498516852,0.0193562794112674,1.0
ENSCPBG00000000695,2.43964256933994,4.9834263076507,0.0371553723192115,1.0
ENSCPBG00000000576,1.88065214039431,3.66799130474964,0.0047039864920647,1.0
ENSCPBG00000005549,5.61951375467728,-1.76276722025477,0.0074537024777831,1.0
ENSCPBG00000017670,3.03968436305497,1.46549550618369,0.028394911172047,1.0
ENSCPBG00000005299,1.78088304801843,3.01578047913167,0.0263149780717797,1.0
ENSCPBG00000002404,4.25433396013492,-1.26764593035544,0.0205440215898335,1.0
ENSCPBG00000000480,2.02052214661746,-0.821608166931936,0.0380342102168852,1.0
ENSCPBG00000016869,5.0988263213426,1.4502554507383,0.0108605266224709,1.0
ENSCPBG00000019355,3.09570328957945,1.22982852637148,0.0268622400715769,1.0
ENSCPBG00000007044,1.75938239956854,3.51208534704571,0.0231492107864303,1.0
ENSCPBG00000012888,2.30972173349679,0.289078373655764,0.0274801156141646,1.0
ENSCPBG00000007402,5.56289166640029,-1.81886665798851,0.0164465596094202,1.0
ENSCPBG00000006558,2.8866220218003,5.78177343493632,0.018296880323879,1.0
ENSCPBG00000023603,2.69169567620109,-0.124694306421226,0.0133769163833102,1.0
ENSCPBG00000004924,2.79880753585038,2.01975837634969,0.0352754715032032,1.0
ENSCPBG00000002740,5.14115747123101,-2.03761090063719,0.0293978554342118,1.0
ENSCPBG00000003189,2.2486357645271,0.110316112105053,0.0279937331882582,1.0
ENSCPBG00000001046,6.45475432918383,-1.27208273426189,0.0193243709009418,1.0
ENSCPBG00000005786,2.13881382586652,2.41091391130323,0.0184782674027198,1.0
ENSCPBG00000016180,1.87537864693105,0.549746973313867,0.0350499794271531,1.0
ENSCPBG00000006512,1.83302922285693,5.93439878255329,0.0411749125550875,1.0
ENSCPBG00000007313,2.10466972467136,3.88623578354386,0.0131314151184729,1.0
ENSCPBG00000001215,1.20782675723055,7.86277350418154,0.0466712865516249,1.0
ENSCPBG00000017797,3.16529042203262,-1.43511550018806,0.0432249639025751,1.0
ENSCPBG00000002397,2.59952915509674,0.577189223387,0.0170278456671023,1.0
ENSCPBG00000009767,1.33977338439359,3.83167628541448,0.0198309325189333,1.0
ENSCPBG00000013209,2.5225501830297,5.7321776325895,0.0241465313867808,1.0
ENSCPBG00000005011,1.23208862871327,4.83683633505818,0.040173112540881,1.0
ENSCPBG00000018358,2.34129778419377,2.12138436170954,0.0319151854857794,1.0
ENSCPBG00000028235,1.44102376127433,3.56058051859899,0.0330529896749851,1.0
ENSCPBG00000001001,2.82721407691292,0.425429879800555,0.0199186645935266,1.0
ENSCPBG00000008553,2.19072501404665,1.61354253943139,0.0229402470231321,1.0
ENSCPBG00000001333,3.74600691983116,0.352499027980318,0.0322218420224007,1.0
ENSCPBG00000014374,2.85210273281016,2.28746304587246,0.0343460618876794,1.0
ENSCPBG00000003648,4.24744291832509,1.49066969565716,0.0055974556432272,1.0
ENSCPBG00000008438,1.61811256822545,1.44506094293049,0.0116058018193716,1.0
ENSCPBG00000014130,1.20140076783935,4.43845413989619,0.0144034193153423,1.0
ENSCPBG00000001856,4.44866925564962,-0.93304489332233,0.0024115849323088,1.0
ENSCPBG00000002349,3.85422668691381,-0.534980907186978,0.0061885235210766,1.0
ENSCPBG00000022793,3.20693932304684,-0.192244549561974,0.0136477554975353,1.0
ENSCPBG00000001518,2.35748000098068,4.36054850233677,0.0273931220560688,1.0
ENSCPBG00000015330,2.03127889685403,5.116849880462,0.0349261787887616,1.0
ENSCPBG00000003880,2.27134904965502,-0.76916585787356,0.03925705049532,1.0
ENSCPBG00000001485,2.24930367750682,1.92939947539816,0.0439118120642607,1.0
ENSCPBG00000003709,3.45743668318014,0.125785477061243,0.0287459920151356,1.0
ENSCPBG00000017470,2.62664942510203,3.44855135750421,0.0180133035966807,1.0
ENSCPBG00000006459,1.63640735971015,1.85947437703291,0.006832662927339,1.0
ENSCPBG00000005376,2.98286474053138,-1.15384724723935,0.0274009166884596,1.0
ENSCPBG00000020801,2.63667107461971,1.03203767307835,0.0101747018881882,1.0
ENSCPBG00000009610,3.36853525909081,8.44056413246039,0.0185223605325506,1.0
ENSCPBG00000003743,3.30058445337337,-1.8002043662428,0.0093709916074991,1.0
ENSCPBG00000006695,2.17852948613059,0.202177249281398,0.0230378028541421,1.0
ENSCPBG00000020669,2.40121113882562,-0.150142365418645,0.0495927850798096,1.0
ENSCPBG00000007611,1.47257417565089,9.15535802889483,0.0359330699445088,1.0
ENSCPBG00000004186,1.44939321176876,0.0550857245207681,0.0456352605842195,1.0
ENSCPBG00000021125,2.39406865570372,1.22998579796467,0.0292720516244329,1.0
ENSCPBG00000016622,2.22590170297943,7.02247134642157,0.0162615371613546,1.0
ENSCPBG00000015210,1.4844801700617,-0.0063331454993359,0.0489544417891208,1.0
ENSCPBG00000004266,3.14887088054825,0.392715755771712,0.0479589130273115,1.0
ENSCPBG00000005548,2.95150996827136,-0.250746995340764,0.0483934958592104,1.0
ENSCPBG00000015508,1.34547014116424,3.48005495740402,0.0377526426998239,1.0
ENSCPBG00000004358,1.78216135002763,2.22717891587761,0.0348524218918923,1.0
ENSCPBG00000000850,1.42014708137776,5.49973069033854,0.0305548745018575,1.0
ENSCPBG00000004522,1.87607441209503,1.6109614077172,0.0330436948273831,1.0
