,logFC,logCPM,PValue,QValue
ENSCPBG00000027449,-4.64498626810447,0.712943165670001,6.18092006825478e-07,0.0023241804686655
ENSCPBG00000016829,-3.54569834565499,1.18169096078016,2.51682397219246e-06,0.0054079356236781
ENSCPBG00000003070,-4.27638751382675,2.66628703876086,2.23729088935306e-06,0.0054079356236781
ENSCPBG00000007208,-3.37552811962958,1.13665261864091,1.88475071187734e-05,0.0191666821408562
ENSCPBG00000010670,-2.67984459529082,6.62602905486592,1.86787914335948e-05,0.0191666821408562
ENSCPBG00000016885,-2.92375755748245,1.47780512484109,1.91144360157465e-05,0.0191666821408562
ENSCPBG00000016332,-2.48939061663327,2.96840377216702,2.87894108183335e-05,0.0254718545952091
ENSCPBG00000027191,-2.95672752663786,1.41048382605215,4.84844784882074e-05,0.0347264305210061
ENSCPBG00000020101,-4.58100430626384,-0.589458212637216,7.91698706117789e-05,0.0517736532118159
ENSCPBG00000020904,-6.63180887900537,-1.01477870279752,0.000113304520107,0.0655466648819193
ENSCPBG00000013900,-2.39482183671201,3.54462552414518,0.0001384286189155,0.0771149947077495
ENSCPBG00000010523,-3.99966167866007,0.430178475190248,0.0001758253477899,0.0889756873312981
ENSCPBG00000021186,-2.66201847025646,6.78165770625773,0.0001737712272488,0.0889756873312981
ENSCPBG00000025817,-2.55915158414903,1.66958124915273,0.0001815041928891,0.0889756873312981
ENSCPBG00000022584,-2.13290472428994,3.28309122927707,0.0001927795682449,0.0889756873312981
ENSCPBG00000027361,-2.26041959780811,3.14175625790364,0.0002407661425517,0.100593431947817
ENSCPBG00000024732,-3.85307190913111,-0.0118593889870816,0.0002665793486009,0.108368107629898
ENSCPBG00000016274,-2.5847046330513,1.10155295631516,0.0002930468285159,0.115394043292198
ENSCPBG00000021431,-3.32911837497485,0.406511649392224,0.000299206680965,0.115394043292198
ENSCPBG00000012626,-2.55176381127428,3.37216976558722,0.000348342821073,0.12779083833559
ENSCPBG00000023198,-2.63127852148079,0.864181933036812,0.0003586379188512,0.12843506993909
ENSCPBG00000012647,-2.12065540650246,3.01643415707881,0.0003766371371907,0.131744166988057
ENSCPBG00000003041,-2.57041309235653,2.82566913124716,0.0003939390126316,0.134664470204395
ENSCPBG00000002648,-4.35691007903826,-0.758817480285227,0.0004354429430562,0.142380376228449
ENSCPBG00000010454,-2.28340889957113,3.25100969386262,0.000449409919745,0.143820736231592
ENSCPBG00000012496,-2.19819221798216,1.79163425382694,0.0004614245713818,0.144589312044878
ENSCPBG00000021559,-1.69114547676256,4.88985201493845,0.0005555819977144,0.170540996482101
ENSCPBG00000007658,-3.67357335022408,-0.599159601419543,0.0005900853581961,0.177509477452557
ENSCPBG00000006674,-1.92370174624365,2.91707779595843,0.000609909828714,0.179875563405653
ENSCPBG00000008490,-4.3919188666022,-0.688163341774611,0.0006719345619356,0.187158661964343
ENSCPBG00000009124,-1.74752565932828,3.99188580780028,0.0007180169980958,0.192851672649284
ENSCPBG00000003058,-2.07111246790831,2.5332142802801,0.0007523792821003,0.198535733018787
ENSCPBG00000006102,-3.88942131855457,-0.329578167876378,0.00087171097855,0.222227200480871
ENSCPBG00000022324,-2.62000596616634,6.06328608371317,0.0008650371428595,0.222227200480871
ENSCPBG00000011801,-1.74153900347816,3.58140661222393,0.0009687214776091,0.238861307290467
ENSCPBG00000007538,-2.32781509917963,1.66570753633794,0.0010601217770221,0.251512717937867
ENSCPBG00000027441,-1.7595488587832,4.16916558570343,0.0010701957282111,0.251512717937867
ENSCPBG00000001932,-2.35180452145528,1.76804463729802,0.0012115547264953,0.261240925610302
ENSCPBG00000011951,-1.63070087715305,4.52417128007334,0.0012644750639954,0.26415235329939
ENSCPBG00000007270,-1.90749812652727,3.41651380262204,0.0013684333613623,0.274434749176688
ENSCPBG00000005894,-1.60124773746342,4.50834953032186,0.001445222823301,0.279793391540034
ENSCPBG00000024243,-4.20612560721449,-0.828410830384096,0.0014509596795507,0.279793391540034
ENSCPBG00000008335,-2.38736309100738,2.90199760011766,0.0014205529170693,0.279793391540034
ENSCPBG00000004110,-2.18492775258955,3.55622918735823,0.001495215217563,0.28258036483332
ENSCPBG00000008968,-1.83713317826726,2.69399171458112,0.0015029871143318,0.28258036483332
ENSCPBG00000026381,-2.76028646486737,2.26362914951571,0.0015474819565059,0.284143912503805
ENSCPBG00000011546,-3.13611485139714,0.848274664095573,0.0018409934752932,0.318280262780287
ENSCPBG00000005631,-1.63883784627193,3.73341949828402,0.0018978362281108,0.318850986911631
ENSCPBG00000005301,-3.9730629667299,-1.04325291789161,0.002012506215797,0.325485010664555
ENSCPBG00000023108,-2.68924037345694,1.86530753028277,0.0020532424597408,0.328446434258469
ENSCPBG00000001440,-1.67171762426074,4.81361453970457,0.0022910361849068,0.351627298542697
ENSCPBG00000012897,-2.9535001954175,5.10665586298088,0.0026437939110499,0.3798164739325
ENSCPBG00000003522,-1.75172557825967,2.24795159697905,0.0027007798065567,0.3798164739325
ENSCPBG00000015929,-2.06333340359961,5.45556201111228,0.0027019721235807,0.3798164739325
ENSCPBG00000007961,-2.60736629019165,1.40722390429905,0.0027387067759052,0.381415635336952
ENSCPBG00000018535,-1.59665096751813,3.86590094894296,0.002794030417965,0.385550564372587
ENSCPBG00000026384,-1.65847026813003,3.46855803357989,0.0030127773439746,0.401019327705503
ENSCPBG00000003501,-2.63774014060925,4.27235342344192,0.0031685172420081,0.414414502930818
ENSCPBG00000008285,-3.7320631757932,-1.21664403240671,0.0033624274247013,0.424993873066666
ENSCPBG00000004408,-1.6238104577339,5.44452770267837,0.0033457066480494,0.424993873066666
ENSCPBG00000009270,-3.22741217513072,-0.924373550211053,0.0034970793010689,0.435923872613118
ENSCPBG00000026703,-3.12988907891379,3.10596578702376,0.0037160977388462,0.445029099126279
ENSCPBG00000012423,-2.06400244514161,1.04374550657525,0.0036763794202661,0.445029099126279
ENSCPBG00000003474,-2.10585605186091,0.93395284157429,0.0037280544172535,0.445029099126279
ENSCPBG00000011074,-2.1081377120827,3.89424955613754,0.0038357818938275,0.454283428858745
ENSCPBG00000027246,-2.3771262045782,1.75491296533161,0.0039058923962257,0.454516575600978
ENSCPBG00000016201,-3.16559295364195,-0.242084286354949,0.0039284060121087,0.454516575600978
ENSCPBG00000026556,-1.38512343342764,4.73134772185364,0.0040117966351415,0.460621627398194
ENSCPBG00000016334,-2.46796679099053,1.29649963465788,0.004153108598784,0.46949255828022
ENSCPBG00000022291,-2.42381757475929,3.17744220859931,0.0042330884673204,0.47162876768123
ENSCPBG00000000938,-2.67833571672931,0.492289273562563,0.0044390102897364,0.487351487357121
ENSCPBG00000020431,-1.87585579288568,1.37170297505427,0.0045824900937103,0.492323096424985
ENSCPBG00000014685,-2.45418247881311,-0.001805558909401,0.0045811776967499,0.492323096424985
ENSCPBG00000010364,-1.62913003151849,4.33658282840981,0.004824923988082,0.497066313046176
ENSCPBG00000007284,-1.81544273570561,8.07325091182959,0.0049178986333111,0.499798063132652
ENSCPBG00000013668,-1.51750119742952,3.17340432322118,0.0050337675132025,0.50140991500715
ENSCPBG00000017678,-1.84023284208095,2.35675413408716,0.005005576567564,0.50140991500715
ENSCPBG00000018503,-2.91728880733252,3.02502038092484,0.0050912261232261,0.503796921838454
ENSCPBG00000026788,-1.59470742040289,6.68751937126013,0.0051633930188307,0.507598656184527
ENSCPBG00000005118,-2.15184096072491,0.293107395030757,0.0052643589150308,0.510846596393414
ENSCPBG00000006581,-1.56429810142069,4.70106311452944,0.0052563127753414,0.510846596393414
ENSCPBG00000010491,-5.83114654854235,-1.58666966530146,0.005479794926653,0.512794902070912
ENSCPBG00000005273,-1.88507790677661,3.58947572979564,0.0054664626036227,0.512794902070912
ENSCPBG00000024709,-3.742353882852,2.98356462734881,0.0054597170406455,0.512794902070912
ENSCPBG00000002726,-3.72860049681894,1.54648796709401,0.0055374765918471,0.514130774185015
ENSCPBG00000016836,-1.63085880454397,4.61598738274459,0.0057900684418481,0.51838397215046
ENSCPBG00000009237,-1.59749865346306,2.91206783966033,0.0058836078411023,0.519095207051409
ENSCPBG00000018365,-1.81962419964703,3.95801641346794,0.0058748485776061,0.519095207051409
ENSCPBG00000005958,-1.73152068860422,2.32974638019018,0.0061389226377629,0.524633723832911
ENSCPBG00000026108,-2.1230403481312,5.31503901375834,0.0062014226807397,0.52698078271755
ENSCPBG00000007979,-2.54738348832627,-0.614618535763193,0.0062479727062797,0.527953693680642
ENSCPBG00000011952,-1.69349765286621,3.9533186454497,0.0073978055241092,0.533427957120806
ENSCPBG00000006587,-2.19881574180292,0.0394836554200964,0.0073105125881535,0.533427957120806
ENSCPBG00000010814,-1.70957819980338,2.05863926441023,0.0073281813013441,0.533427957120806
ENSCPBG00000016763,-1.99748510194639,3.67000628280158,0.0071292766446759,0.533427957120806
ENSCPBG00000008680,-1.88013021120322,1.13494769268199,0.0068642361557425,0.533427957120806
