,logFC,logCPM,PValue,QValue
ENSCPBG00000021318,-3.12396213,-1.60247739,0.003267149,1
ENSCPBG00000014498,-2.979127836,-1.508671615,0.004337971,1
ENSCPBG00000004815,2.327039628,-2.00670407,0.011185827,1
ENSCPBG00000004641,-5.008309406,-1.64612942,0.014431995,1
ENSCPBG00000002755,2.102537761,-1.138831034,0.014747115,1
ENSCPBG00000028372,1.890898419,-0.942490209,0.014894073,1
ENSCPBG00000024634,4.601065187,-2.412404825,0.018418211,1
ENSCPBG00000023712,1.771635667,-0.946739907,0.018835202,1
ENSCPBG00000022554,3.134039973,-2.123399466,0.019963602,1
ENSCPBG00000022134,4.391735458,-2.689325521,0.0201465,1
ENSCPBG00000021714,-2.389657901,-1.291842486,0.020637121,1
ENSCPBG00000021014,-1.609738314,-0.711014814,0.021199533,1
ENSCPBG00000020177,-4.97578629,-1.294779498,0.021818852,1
ENSCPBG00000018823,4.397965363,-2.608106413,0.022408976,1
ENSCPBG00000017998,2.677488595,-1.347103253,0.02304326,1
ENSCPBG00000017288,1.41227389,-0.009615674,0.023234725,1
ENSCPBG00000017260,-3.712662363,-1.039898928,0.024125629,1
ENSCPBG00000016241,1.832821889,-1.714151956,0.025302311,1
ENSCPBG00000016020,2.389018865,-2.092301863,0.026827943,1
ENSCPBG00000014801,1.015057537,2.651207055,0.027058241,1
ENSCPBG00000014213,-4.915850479,-2.054418529,0.027878774,1
ENSCPBG00000013646,-1.489381484,-0.212457286,0.028754447,1
ENSCPBG00000012991,-4.668245579,-1.71213994,0.029930065,1
ENSCPBG00000012751,2.496765744,-1.996446864,0.03039999,1
ENSCPBG00000011701,1.158831837,-0.203080032,0.030703939,1
ENSCPBG00000010870,-2.663121552,-1.337561902,0.030819146,1
ENSCPBG00000009971,1.532751687,0.401698464,0.031084168,1
ENSCPBG00000009852,-1.488589622,-1.522623904,0.031531223,1
ENSCPBG00000009612,2.50766774,-1.878332402,0.032011989,1
ENSCPBG00000008608,3.405003347,-2.043339516,0.032146291,1
ENSCPBG00000008397,2.803126057,-2.021869219,0.033728012,1
ENSCPBG00000008352,2.530148373,-1.872760723,0.037070896,1
ENSCPBG00000007901,-1.279818051,-0.009944426,0.039196419,1
ENSCPBG00000007597,4.585529415,-2.685814959,0.039559251,1
ENSCPBG00000007575,4.585529415,-2.685814959,0.039559251,1
ENSCPBG00000006806,4.471087418,-2.38086095,0.040279748,1
ENSCPBG00000006288,2.999380295,-2.280821815,0.042380859,1
ENSCPBG00000006187,0.950334014,4.384033443,0.042856719,1
ENSCPBG00000004592,4.822769965,-2.603751143,0.04358479,1
ENSCPBG00000004419,2.44602668,-1.629334523,0.044232085,1
ENSCPBG00000004409,3.994665248,-2.517805255,0.044252673,1
ENSCPBG00000004148,-1.891522033,-0.896348109,0.04546176,1
ENSCPBG00000003947,2.614302348,-2.055539715,0.048519957,1
ENSCPBG00000003871,4.155748495,-2.677205757,0.050193274,1
ENSCPBG00000003707,4.429495579,-2.436214252,0.052084429,1
ENSCPBG00000003490,4.430128279,-2.120315475,0.052381423,1
ENSCPBG00000003056,2.943614528,-2.109738523,0.0527345,1
ENSCPBG00000003052,0.772365578,2.571442713,0.056248328,1
ENSCPBG00000002987,-4.583294448,-2.148499369,0.057129109,1
ENSCPBG00000002629,2.854429586,-1.260315652,0.058822522,1
ENSCPBG00000002330,1.715981327,-1.154722421,0.059031395,1
ENSCPBG00000002032,1.288740095,-1.541962315,0.05945225,1
ENSCPBG00000002023,-1.61227754,-1.00132217,0.060902366,1
ENSCPBG00000001987,4.445989842,-2.573843962,0.060903633,1
ENSCPBG00000001820,0.693229824,5.558492792,0.06604237,1
ENSCPBG00000001353,2.357753565,-2.361583723,0.06641618,1
ENSCPBG00000001225,-0.85017266,2.409363921,0.067850735,1
ENSCPBG00000001085,4.64508055,-2.430173204,0.06915836,1
ENSCPBG00000000832,1.024411568,0.472510874,0.0692626,1
ENSCPBG00000000468,4.141339504,-2.742677113,0.069445205,1
ENSCPBG00000000194,4.141339504,-2.701587426,0.069445205,1
ENSCPBG00000028437,4.141339504,-2.693345604,0.069445205,1
ENSCPBG00000028436,4.141339504,-2.699327659,0.069445205,1
ENSCPBG00000028433,4.141339504,-2.742677113,0.069445205,1
ENSCPBG00000028426,-1.633331857,0.160265711,0.070930111,1
ENSCPBG00000028425,2.741697207,-2.295517355,0.071153718,1
ENSCPBG00000028424,2.966995354,-2.183479633,0.071237381,1
ENSCPBG00000028422,2.741795699,-2.530935892,0.071515619,1
ENSCPBG00000028421,-4.529582182,-1.958700424,0.072000446,1
ENSCPBG00000028420,-0.988301379,5.301278195,0.072794617,1
ENSCPBG00000028416,2.090569422,-1.355188595,0.072850632,1
ENSCPBG00000028414,-1.82155018,-1.323001684,0.073444989,1
ENSCPBG00000028410,-0.997381001,-0.067450168,0.074938982,1
ENSCPBG00000028409,2.06045696,-2.352839715,0.075401124,1
ENSCPBG00000028407,0.940134257,-0.310387999,0.076037692,1
ENSCPBG00000028406,5.317667186,-2.374149052,0.076421965,1
ENSCPBG00000028405,0.95772422,4.122047491,0.076550845,1
ENSCPBG00000028404,3.06912593,-2.329803426,0.077566695,1
ENSCPBG00000028402,1.49540821,0.075525829,0.077824646,1
ENSCPBG00000028400,2.731430153,-2.123993701,0.079814051,1
ENSCPBG00000028399,-4.477979,-2.291547947,0.079880827,1
ENSCPBG00000028398,1.497586858,-1.750580171,0.080750382,1
ENSCPBG00000028396,-4.648991861,-1.743393177,0.081430471,1
ENSCPBG00000028395,1.76356254,-1.679251213,0.082709647,1
ENSCPBG00000028394,-1.395482967,-0.909623654,0.083231856,1
ENSCPBG00000028392,1.564649264,-0.348693204,0.083739839,1
ENSCPBG00000028390,2.835713211,-1.357624561,0.083855497,1
ENSCPBG00000028389,0.711171169,5.113744457,0.084167742,1
ENSCPBG00000028385,-4.977800997,-2.02248278,0.084327491,1
ENSCPBG00000028384,1.235511882,1.51258207,0.084419275,1
ENSCPBG00000028383,-2.326228906,-1.151999995,0.085396695,1
ENSCPBG00000028382,1.517605901,-1.540741403,0.086497204,1
ENSCPBG00000028381,3.384245772,-2.251766781,0.08722971,1
ENSCPBG00000028380,4.670622678,-2.254940505,0.087265101,1
ENSCPBG00000028379,-3.094129593,-1.654935851,0.08733098,1
ENSCPBG00000028377,1.902586071,0.751139124,0.088206793,1
ENSCPBG00000028376,2.437314311,-1.913174932,0.090387262,1
ENSCPBG00000028375,-1.59616859,-0.537328681,0.091011098,1
ENSCPBG00000028374,2.744062973,-2.213164287,0.092126789,1
ENSCPBG00000028373,0.883988614,6.206849699,0.093804953,1
ENSCPBG00000028371,0.965569555,-0.363879869,0.094185032,1
ENSCPBG00000028370,-0.794516006,1.379453201,0.094937719,1
ENSCPBG00000028369,4.717091703,-2.303139831,0.094986197,1
ENSCPBG00000028368,0.885921847,4.454076141,0.095047913,1
ENSCPBG00000028367,-4.656314513,-1.676741456,0.095538721,1
ENSCPBG00000028363,2.106316196,-1.774744012,0.095745763,1
ENSCPBG00000028362,-0.866021096,0.568403327,0.096535923,1
ENSCPBG00000028361,4.868932068,-2.327564497,0.097429568,1
ENSCPBG00000028360,3.802911554,-2.338490928,0.09939443,1
ENSCPBG00000028358,2.79006279,-2.212439185,0.099605031,1
ENSCPBG00000028357,1.971312158,-1.360693343,0.100088274,1
ENSCPBG00000028354,-1.758772537,-0.463723843,0.100793199,1
ENSCPBG00000028347,-1.126285846,-0.326258667,0.101137584,1
ENSCPBG00000028344,-1.696772649,-1.512994837,0.101276561,1
ENSCPBG00000028343,2.571506378,-1.563867553,0.101401665,1
ENSCPBG00000028342,3.652377024,-2.535819435,0.102754584,1
ENSCPBG00000028340,2.110643422,-1.977868106,0.103063602,1
ENSCPBG00000028333,-2.520872694,-1.768338641,0.104685358,1
ENSCPBG00000028327,-2.622019685,-1.160870877,0.105895687,1
ENSCPBG00000028324,1.963800183,-1.32412407,0.105920356,1
ENSCPBG00000028323,2.849202623,-1.436084479,0.106228157,1
ENSCPBG00000028320,4.215801066,-2.692726213,0.107112865,1
ENSCPBG00000028316,2.286207746,-1.314119773,0.107298191,1
ENSCPBG00000028309,-1.093984823,0.417906918,0.107670521,1
ENSCPBG00000028308,1.097340542,-0.529333324,0.108104078,1
ENSCPBG00000028301,-2.614298939,-1.46414669,0.108319225,1
ENSCPBG00000028300,2.779430979,-1.995779382,0.109333454,1
ENSCPBG00000028299,1.205286861,-0.039421266,0.10958157,1
ENSCPBG00000028297,-1.503753477,-0.964668186,0.110782575,1
ENSCPBG00000028294,0.701639114,5.000192641,0.112338111,1
ENSCPBG00000028293,-2.151206344,-0.833200969,0.112483543,1
ENSCPBG00000028289,3.990271085,-1.816317396,0.112533121,1
ENSCPBG00000028288,1.115302028,-1.294540857,0.112667684,1
ENSCPBG00000028286,2.537517099,-2.218446635,0.112957257,1
ENSCPBG00000028285,-4.491392639,-2.185483198,0.113280857,1
ENSCPBG00000028279,-1.090459336,-0.163468948,0.1136357,1
ENSCPBG00000028278,-1.0098485,0.553278051,0.114641837,1
ENSCPBG00000028276,1.757154924,0.001257485,0.115084346,1
ENSCPBG00000028275,2.422254522,-2.496399004,0.115355589,1
ENSCPBG00000028273,-0.858469593,0.568003022,0.116059484,1
ENSCPBG00000028271,1.165843126,-1.355309606,0.116860687,1
ENSCPBG00000028270,1.602136796,-1.501725129,0.117028486,1
ENSCPBG00000028269,-3.384366914,-1.452013014,0.117167923,1
ENSCPBG00000028268,-1.413057731,0.457916522,0.117218488,1
ENSCPBG00000028266,3.988597436,-2.42879009,0.117914583,1
ENSCPBG00000028265,1.291853321,-0.843544039,0.118043081,1
ENSCPBG00000028264,0.695458503,2.116088233,0.118425825,1
ENSCPBG00000028261,2.17196094,-2.254988355,0.118837782,1
ENSCPBG00000028259,2.523870512,-2.303250376,0.118947241,1
ENSCPBG00000028258,1.51630024,-0.746720278,0.119133979,1
ENSCPBG00000028254,3.799363148,-2.418118857,0.119145347,1
ENSCPBG00000028249,1.655503459,-1.823922208,0.119219913,1
ENSCPBG00000028245,-2.06052842,-1.585719369,0.119405622,1
ENSCPBG00000028244,2.463799217,-2.342933542,0.119566936,1
ENSCPBG00000028243,-2.159850697,-1.854113105,0.119587896,1
ENSCPBG00000028242,-0.80273547,1.3763395,0.120302172,1
ENSCPBG00000028233,-1.801333411,-0.524338528,0.120557257,1
ENSCPBG00000028231,1.030377838,-0.54349703,0.120747895,1
ENSCPBG00000028229,3.086008496,-2.600355863,0.121816494,1
ENSCPBG00000028223,2.164954724,-2.134405902,0.123887838,1
ENSCPBG00000028221,-0.932857721,0.604785835,0.124163185,1
ENSCPBG00000028220,1.481111937,-0.442905032,0.124410842,1
ENSCPBG00000028219,0.650295967,3.576011055,0.124929278,1
ENSCPBG00000028218,1.8177603,-1.773078761,0.125078688,1
ENSCPBG00000028214,0.892699354,0.504456884,0.125098484,1
ENSCPBG00000028204,-1.344300165,-0.113965502,0.125603563,1
ENSCPBG00000028203,-2.414805356,-1.60601834,0.126670505,1
ENSCPBG00000028201,1.515121934,-0.00622622,0.126895719,1
ENSCPBG00000028199,0.701568108,1.863593931,0.127711198,1
ENSCPBG00000028198,1.189178982,-0.315811549,0.128609189,1
ENSCPBG00000028196,3.901449468,-2.560398659,0.128873602,1
ENSCPBG00000028192,1.178730523,-1.827228528,0.129248108,1
ENSCPBG00000028189,1.656588125,-1.494127798,0.129893799,1
ENSCPBG00000028187,1.704250187,-2.208593106,0.130015831,1
ENSCPBG00000028186,-1.895686365,-1.862004435,0.130611753,1
ENSCPBG00000028185,-4.051090407,-2.387527954,0.13079501,1
ENSCPBG00000028183,-1.715337715,-1.736109471,0.131146928,1
ENSCPBG00000028181,3.522043364,-2.750271771,0.131574372,1
ENSCPBG00000028179,3.522043364,-2.744717494,0.131574372,1
ENSCPBG00000028175,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028173,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028171,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028170,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028168,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028159,3.522043364,-2.756340741,0.131574372,1
ENSCPBG00000028158,3.522043364,-2.744717494,0.131574372,1
ENSCPBG00000028155,3.664719488,-2.782907658,0.131574372,1
ENSCPBG00000028153,3.522043364,-2.758709932,0.131574372,1
ENSCPBG00000028151,3.522043364,-2.744717494,0.131574372,1
ENSCPBG00000028148,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028147,3.522043364,-2.717333542,0.131574372,1
ENSCPBG00000028144,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028143,3.522043364,-2.801327803,0.131574372,1
ENSCPBG00000028138,3.770813844,-2.765094019,0.131574372,1
