,logFC,logCPM,PValue,QValue
ENSCPBG00000021318,0,-2.92443984078305,1,1
ENSCPBG00000014498,0.0482395530252552,0.287357736231446,0.926478248868403,1
ENSCPBG00000004815,-0.160435273418459,1.91693337712149,0.961160017668708,1
ENSCPBG00000004641,-0.0862273290013094,3.00952416746544,1,1
ENSCPBG00000002755,-0.130310842848697,3.03258630990826,0.977236206427107,1
ENSCPBG00000028372,0.0569631258413548,4.19132536594079,0.866881131620948,1
ENSCPBG00000024634,0,-2.92443984078305,1,1
ENSCPBG00000023712,0,-2.92443984078305,1,1
ENSCPBG00000022554,0,-2.92443984078305,1,1
ENSCPBG00000022134,0,-2.92443984078305,1,1
ENSCPBG00000021714,0,-2.92443984078305,1,1
ENSCPBG00000021014,-0.492624988817378,-1.46319200590959,0.795667399180353,1
ENSCPBG00000020177,0.0564991736861897,2.57180268097063,0.846362977024008,1
ENSCPBG00000018823,-0.129288838498017,3.91401235609909,0.77527428431909,1
ENSCPBG00000017998,0,-2.87822393480994,1,1
ENSCPBG00000017288,0,-2.92443984078305,1,1
ENSCPBG00000017260,0,-2.92443984078305,1,1
ENSCPBG00000016241,0,-2.92443984078305,1,1
ENSCPBG00000016020,0,-2.92443984078305,1,1
ENSCPBG00000014801,-0.827787268807313,-2.1014155892107,0.960866126462228,1
ENSCPBG00000014213,-0.132797112323995,0.00407804324190077,1,1
ENSCPBG00000013646,0.158917703743369,4.98847973672791,0.719462653389004,1
ENSCPBG00000012991,0.0468598179444172,4.27488360806987,0.896772242434134,1
ENSCPBG00000012751,0.0396537353326259,6.32094004085982,0.895937526258186,1
ENSCPBG00000011701,0,-2.92443984078305,1,1
ENSCPBG00000010870,2.15844690866077,-2.78137693508264,0.666666666666666,1
ENSCPBG00000009971,-0.012170415212214,-2.64651366285059,1,1
ENSCPBG00000009852,-1.02660003587494,-1.19772848773636,0.543818041195419,1
ENSCPBG00000009612,0.00858858757242076,6.02978771414332,0.956953576266494,1
ENSCPBG00000008608,0,-2.92443984078305,1,1
ENSCPBG00000008397,0,-2.80543053547126,1,1
ENSCPBG00000008352,-0.782556519074856,3.33557841349972,0.172712118699893,1
ENSCPBG00000007901,0,-2.92443984078305,1,1
ENSCPBG00000007597,0.0305658185095052,-1.12674352270131,1,1
ENSCPBG00000007575,0,-2.92443984078305,1,1
ENSCPBG00000006806,0.208575441929404,8.69365592318408,0.644389362174821,1
ENSCPBG00000006288,0,-2.86393882093421,1,1
ENSCPBG00000006187,0.0718869090613669,4.22760689376886,0.842975648532039,1
ENSCPBG00000004592,0,-2.92443984078305,1,1
ENSCPBG00000004419,0.185147906937453,7.27646161096405,0.813812823506142,1
ENSCPBG00000004409,0.133169252536848,7.97485355045789,0.841138114378684,1
