,logFC,logCPM,PValue,QValue
ENSCPBG00000019034,7.736953662,4.337267232,9.47E-09,0.000201572
ENSCPBG00000019028,7.512348754,4.85325983,3.77E-08,0.000400991
ENSCPBG00000005658,2.438263885,4.384033443,1.51E-07,0.001070543
ENSCPBG00000000839,4.928839255,3.906624949,1.43E-06,0.00760743
ENSCPBG00000015208,3.345401603,0.899046026,2.31E-06,0.008978817
ENSCPBG00000027227,2.202961475,2.403453192,2.53E-06,0.008978817
ENSCPBG00000019024,8.328533547,3.76940592,6.80E-06,0.020697897
ENSCPBG00000019021,6.803283964,3.32363992,1.29E-05,0.034335807
ENSCPBG00000005909,6.919978699,3.758120709,1.87E-05,0.044353453
ENSCPBG00000006512,2.832419122,6.020810029,3.31E-05,0.064975189
ENSCPBG00000026502,2.057582934,5.066285038,3.36E-05,0.064975189
ENSCPBG00000003762,1.846022207,4.963883812,0.000136329,0.233991614
ENSCPBG00000011915,1.607593951,5.461690789,0.000143743,0.233991614
ENSCPBG00000005566,3.988270627,-1.347103253,0.000153841,0.233991614
ENSCPBG00000022875,3.869527822,0.574936905,0.00016844,0.239117437
ENSCPBG00000009124,-1.751102557,4.428014527,0.000195914,0.245730288
ENSCPBG00000021943,-2.206006051,2.13359356,0.000206904,0.245730288
ENSCPBG00000014220,2.272203585,5.343208806,0.000207718,0.245730288
ENSCPBG00000020202,1.684684116,5.91368099,0.000229467,0.257171812
ENSCPBG00000010802,3.572553554,0.480572559,0.000270312,0.287801264
ENSCPBG00000010167,1.670629405,5.037176523,0.000313819,0.300644206
ENSCPBG00000007991,1.696157894,2.403109272,0.000319882,0.300644206
ENSCPBG00000007688,4.145539937,2.824495805,0.000324731,0.300644206
ENSCPBG00000019023,6.255239666,-1.528345508,0.00044451,0.392919374
ENSCPBG00000024193,1.554822504,5.862234285,0.000461303,0.392919374
ENSCPBG00000025486,2.32655071,7.567369433,0.000507305,0.415483155
ENSCPBG00000023941,2.519424203,7.339198569,0.000564317,0.445057688
ENSCPBG00000010168,2.36281756,1.6939356,0.000616901,0.466780019
ENSCPBG00000008710,1.538337765,8.852366559,0.000635701,0.466780019
ENSCPBG00000014146,3.664511258,8.126742192,0.000748034,0.530954336
ENSCPBG00000010809,4.086086192,-0.074671132,0.000884126,0.607309335
ENSCPBG00000010112,1.678773247,0.339731158,0.000924178,0.614982371
ENSCPBG00000022451,4.832421899,5.565152463,0.001012549,0.653370164
ENSCPBG00000012852,2.268554035,6.495968966,0.001133535,0.709926061
ENSCPBG00000014847,1.556206457,6.353052085,0.001185593,0.72131477
ENSCPBG00000019027,6.290043147,0.005985218,0.001460895,0.864119212
ENSCPBG00000009791,3.126772203,2.237194208,0.001509514,0.868745748
ENSCPBG00000000068,2.798856639,6.825297608,0.001646988,0.905363049
ENSCPBG00000000134,2.353562422,0.235428164,0.00172885,0.905363049
ENSCPBG00000028228,1.125282226,5.978762501,0.001731877,0.905363049
ENSCPBG00000019069,1.670160016,4.641635937,0.001773786,0.905363049
ENSCPBG00000022905,1.894421084,5.780959786,0.001785726,0.905363049
ENSCPBG00000010172,3.611910958,3.757274606,0.001909929,0.945814563
ENSCPBG00000021318,3.205342855,7.196315448,0.002219037,1
ENSCPBG00000014498,2.561648671,1.161099329,0.002229029,1
ENSCPBG00000004815,3.662671263,0.735332588,0.002283444,1
ENSCPBG00000004641,1.991686298,-0.54349703,0.002331537,1
ENSCPBG00000002755,2.033678186,3.901749335,0.002386915,1
ENSCPBG00000028372,2.368479724,9.849432878,0.002477922,1
ENSCPBG00000024634,2.772084216,11.57049064,0.0025507,1
ENSCPBG00000023712,1.80536593,4.807218833,0.002617729,1
ENSCPBG00000022554,2.032914063,-0.486649201,0.00263993,1
ENSCPBG00000022134,1.425101665,5.239972985,0.002673369,1
ENSCPBG00000021714,1.723452208,5.277687193,0.002845249,1
ENSCPBG00000021014,1.532958506,9.687193644,0.003249001,1
ENSCPBG00000020177,1.827399205,8.051366197,0.003315129,1
ENSCPBG00000018823,-1.545440982,2.085072667,0.003461026,1
ENSCPBG00000017998,2.901521378,9.934670778,0.003594068,1
ENSCPBG00000017288,2.484687052,2.873449299,0.00380602,1
ENSCPBG00000017260,8.105651929,0.797268216,0.003953095,1
ENSCPBG00000016241,2.192763988,11.58964907,0.00408104,1
ENSCPBG00000016020,-1.808693124,5.03968313,0.004140387,1
ENSCPBG00000014801,2.962614633,-0.864087748,0.004197438,1
ENSCPBG00000014213,-3.006670319,-0.733035166,0.004231385,1
ENSCPBG00000013646,3.895255579,-2.171012238,0.004261166,1
ENSCPBG00000012991,-2.340610965,-0.182239008,0.004311653,1
ENSCPBG00000012751,1.409857945,2.07026753,0.004771943,1
ENSCPBG00000011701,2.201512592,1.634905992,0.004830028,1
ENSCPBG00000010870,1.01061586,4.067291266,0.004860918,1
ENSCPBG00000009971,1.115160802,4.949940386,0.004922777,1
ENSCPBG00000009852,2.016641893,8.753993213,0.004936599,1
ENSCPBG00000009612,1.485450393,1.007135441,0.005098017,1
ENSCPBG00000008608,1.559597064,4.580672567,0.005107029,1
ENSCPBG00000008397,2.018308947,5.167464544,0.00529511,1
ENSCPBG00000008352,1.857582694,3.838620796,0.005317134,1
ENSCPBG00000007901,1.824907869,1.444702371,0.005319872,1
ENSCPBG00000007597,3.167100712,-1.993033663,0.005324328,1
ENSCPBG00000007575,8.142294376,-0.330766951,0.005531142,1
ENSCPBG00000006806,1.995916044,3.844170642,0.005903462,1
ENSCPBG00000006288,-1.576101901,6.596522067,0.005985954,1
ENSCPBG00000006187,1.630654602,5.017952058,0.006049659,1
ENSCPBG00000004592,0.996998049,5.538697909,0.006084442,1
ENSCPBG00000004419,1.305499961,7.996942599,0.006310942,1
ENSCPBG00000004409,3.678782799,1.376045186,0.006488975,1
ENSCPBG00000004148,1.531216791,7.664092949,0.006740961,1
ENSCPBG00000003947,1.323869397,1.625313544,0.006742661,1
ENSCPBG00000003871,2.615525844,1.185522269,0.006761461,1
ENSCPBG00000003707,1.450545976,-0.30164189,0.006775031,1
ENSCPBG00000003490,-1.748362951,1.717089421,0.006801548,1
ENSCPBG00000003056,1.067654841,2.887563578,0.007015668,1
ENSCPBG00000003052,1.398951751,4.882109776,0.007490331,1
ENSCPBG00000002987,-1.776096067,-0.003891439,0.007634779,1
ENSCPBG00000002629,1.502106139,7.077249355,0.007641118,1
ENSCPBG00000002330,2.079856495,3.842318915,0.007810945,1
ENSCPBG00000002032,2.76282362,-1.452528114,0.008093908,1
ENSCPBG00000002023,3.69633388,11.07340625,0.008395305,1
ENSCPBG00000001987,1.872740983,7.353668049,0.008591521,1
ENSCPBG00000001820,2.024146787,4.430842077,0.008665681,1
ENSCPBG00000001353,1.257102006,3.108362472,0.008761828,1
ENSCPBG00000001225,1.850345482,-0.518513805,0.00920627,1
ENSCPBG00000001085,-1.177908376,5.389309848,0.009305303,1
ENSCPBG00000000832,1.062999932,2.491500998,0.0094984,1
ENSCPBG00000000468,1.556659952,-0.320845666,0.00955021,1
ENSCPBG00000000194,1.326768985,4.257462519,0.009683016,1
ENSCPBG00000028437,1.37840668,3.484341085,0.009794122,1
ENSCPBG00000028436,1.107662473,4.085527148,0.00979506,1
ENSCPBG00000028433,-5.039468634,-1.665808052,0.009996505,1
ENSCPBG00000028426,2.810464548,-1.966654522,0.010039253,1
ENSCPBG00000028425,1.637997077,3.222976897,0.010451484,1
ENSCPBG00000028424,2.346033346,0.968432845,0.010668424,1
ENSCPBG00000028422,-1.117817721,4.997018062,0.010775542,1
ENSCPBG00000028421,1.426186407,4.512435636,0.011417708,1
ENSCPBG00000028420,2.530025208,6.27642914,0.011647903,1
ENSCPBG00000028416,2.083548435,7.452021223,0.011727616,1
ENSCPBG00000028414,4.834536705,-0.619628919,0.011765262,1
ENSCPBG00000028410,1.201120011,3.528885995,0.011772758,1
ENSCPBG00000028409,1.500035279,1.648346526,0.011828707,1
ENSCPBG00000028407,1.145292862,3.860045745,0.011952915,1
ENSCPBG00000028406,3.548078028,-2.164169778,0.012017458,1
ENSCPBG00000028405,1.476550799,7.011271743,0.01202697,1
ENSCPBG00000028404,1.138348271,7.32214437,0.012150152,1
ENSCPBG00000028402,1.536689334,0.66502998,0.012231416,1
ENSCPBG00000028400,1.622777307,7.368440975,0.012243788,1
ENSCPBG00000028399,1.170359481,4.516828118,0.012331383,1
ENSCPBG00000028398,2.059323564,9.135654718,0.012558878,1
ENSCPBG00000028396,2.494588573,-1.581283685,0.012586882,1
ENSCPBG00000028395,1.616514785,0.15609561,0.012609224,1
ENSCPBG00000028394,1.128546195,4.007776558,0.012612513,1
ENSCPBG00000028392,1.238291351,8.40965876,0.012661371,1
ENSCPBG00000028390,1.917855185,9.126579014,0.012699092,1
ENSCPBG00000028389,1.785316685,5.073620285,0.012728612,1
ENSCPBG00000028385,5.489928046,1.553260758,0.012828081,1
ENSCPBG00000028384,2.446805073,-0.738109648,0.012882046,1
ENSCPBG00000028383,1.375754851,5.490447054,0.0129076,1
ENSCPBG00000028382,1.60422319,-0.751692691,0.013252391,1
ENSCPBG00000028381,2.409105583,-1.77476453,0.013767419,1
ENSCPBG00000028380,1.709849466,7.153143987,0.014037149,1
ENSCPBG00000028379,2.124329138,1.822117352,0.014477609,1
ENSCPBG00000028377,2.108451253,5.7118858,0.014545883,1
ENSCPBG00000028376,3.293793597,-2.043339516,0.014672898,1
ENSCPBG00000028375,2.342536255,-1.235315073,0.014773569,1
ENSCPBG00000028374,1.745476673,4.686859703,0.014918493,1
ENSCPBG00000028373,4.741391278,-1.892201852,0.015224178,1
ENSCPBG00000028371,-1.281867446,2.975190345,0.015248199,1
ENSCPBG00000028370,1.791975673,4.969150964,0.015327968,1
ENSCPBG00000028369,4.930743434,2.484749534,0.015403087,1
ENSCPBG00000028368,1.539737886,5.124280119,0.015606761,1
ENSCPBG00000028367,1.684255156,7.20325921,0.015740239,1
