,logFC,logCPM,PValue,QValue
ENSCPBG00000019034,7.73695366226291,4.33726723231675,9.4661232839013e-09,0.000201571629207394
ENSCPBG00000019028,7.51234875359721,4.85325983045818,3.76623616221934e-08,0.000400991164191493
ENSCPBG00000005658,2.4382638848577,4.38403344309295,1.50823235124747e-07,0.00107054332291545
ENSCPBG00000000839,4.9288392548449,3.90662494926838,1.42902783721262e-06,0.00760742969140136
ENSCPBG00000015208,3.34540160322041,0.899046025939842,2.30934036161545e-06,0.00897881655894196
ENSCPBG00000027227,2.20296147528978,2.40345319236315,2.52995676498787e-06,0.00897881655894196
ENSCPBG00000019024,8.32853354692486,3.76940591975674,6.80404239559073e-06,0.020697896967387
ENSCPBG00000019021,6.80328396409784,3.32363992017439,1.28997113726103e-05,0.0343358067460454
ENSCPBG00000005909,6.9199786991407,3.75812070932044,1.87461762288883e-05,0.0443534529575498
ENSCPBG00000006512,2.8324191219693,6.02081002938325,3.31018095722241e-05,0.0649751890770301
ENSCPBG00000026502,2.05758293423823,5.06628503775057,3.35647168144703e-05,0.0649751890770301
ENSCPBG00000003762,3.98827062728372,-1.34710325286441,0.000153840640332958,0.233991613946429
ENSCPBG00000011915,1.60759395061256,5.46169078863303,0.000143743488540224,0.233991613946429
ENSCPBG00000005566,1.84602220675586,4.96388381222114,0.000136329493202468,0.233991613946429
ENSCPBG00000022875,3.86952782184543,0.574936904702126,0.000168440009453488,0.239117437420172
ENSCPBG00000009124,-1.75110255725485,4.42801452733612,0.000195914160972512,0.245730288364187
ENSCPBG00000021943,2.27220358511712,5.34320880621224,0.000207717910705146,0.245730288364187
ENSCPBG00000014220,-2.20600605121249,2.13359355956127,0.000206904473355834,0.245730288364187
ENSCPBG00000020202,1.6846841158184,5.91368099021833,0.000229466724471486,0.257171812152412
ENSCPBG00000010802,3.57255355391277,0.480572559225733,0.000270312073342261,0.287801264487506
ENSCPBG00000010167,1.67062940540347,5.03717652260405,0.000313819329656027,0.300644205858919
ENSCPBG00000007991,4.14553993728314,2.8244958045972,0.00032473075677445,0.300644205858919
ENSCPBG00000007688,1.6961578938886,2.40310927163542,0.000319882332624907,0.300644205858919
ENSCPBG00000019023,6.2552396660387,-1.5283455075182,0.000444510158651697,0.392919374081097
ENSCPBG00000024193,1.55482250371335,5.86223428532863,0.000461302918757745,0.392919374081097
ENSCPBG00000025486,2.32655070981267,7.56736943271176,0.000507305439078657,0.41548315460542
ENSCPBG00000023941,2.51942420306886,7.3391985689484,0.000564316594910306,0.445057687852594
ENSCPBG00000010168,1.53833776528537,8.85236655935211,0.000635701162104988,0.466780018822883
ENSCPBG00000008710,2.36281755965004,1.69393560034319,0.00061690121996195,0.466780018822883
ENSCPBG00000014146,3.6645112575406,8.12674219198788,0.000748033721521639,0.53095433553606
ENSCPBG00000010809,4.08608619166549,-0.0746711319618419,0.000884126485852286,0.607309335152858
ENSCPBG00000010112,1.67877324700671,0.339731157684359,0.000924177508083403,0.614982370535249
ENSCPBG00000022451,4.83242189910182,5.56515246258026,0.00101254885947207,0.653370164048429
ENSCPBG00000012852,2.26855403483016,6.49596896602279,0.00113353461388264,0.709926060824028
ENSCPBG00000014847,1.55620645665816,6.35305208534512,0.00118559298147505,0.721314769929418
ENSCPBG00000019027,6.29004314674344,0.00598521825677239,0.00146089469521546,0.864119212219946
ENSCPBG00000009791,3.12677220334226,2.23719420779324,0.00150951407406379,0.868745748462548
ENSCPBG00000000068,2.35356242221829,0.235428164020103,0.00172884991734896,0.905363048973736
ENSCPBG00000000134,1.6701600155135,4.64163593668703,0.00177378648183357,0.905363048973736
ENSCPBG00000028228,2.79885663879211,6.82529760762301,0.00164698771513203,0.905363048973736
ENSCPBG00000019069,1.89442108366868,5.78095978644716,0.00178572593485944,0.905363048973736
ENSCPBG00000022905,1.12528222582531,5.97876250133198,0.0017318769509464,0.905363048973736
ENSCPBG00000010172,3.61191095802773,3.7572746062677,0.00190992891036706,0.945814563194332
ENSCPBG00000021318,0,-2.92443984078305,1,1
ENSCPBG00000014498,0.335846125222488,0.287357736231446,0.725512722019913,1
ENSCPBG00000004815,-0.337199135556112,1.91693337712149,0.834460345771086,1
ENSCPBG00000004641,1.3435651841853,3.00952416746544,0.243939917815149,1
ENSCPBG00000002755,0.718969152270101,3.03258630990826,0.456835531017269,1
ENSCPBG00000028372,0.242856881795297,4.19132536594079,0.55112503253034,1
ENSCPBG00000024634,0,-2.92443984078305,1,1
ENSCPBG00000023712,0,-2.92443984078305,1,1
ENSCPBG00000022554,0,-2.92443984078305,1,1
ENSCPBG00000022134,0,-2.92443984078305,1,1
ENSCPBG00000021714,0,-2.92443984078305,1,1
ENSCPBG00000021014,-0.163546711843728,-1.46319200590959,1,1
