	turtle_5_control_2	turtle_5_control_1	turtle_5_pic_8h	turtle_5_lps_8h	turtle_5_pic_4h	turtle_5_lps_4h	turtle_3_control_2	turtle_3_control_1	turtle_3_pic_8h	turtle_3_lps_8h	turtle_3_pic_4h	turtle_3_lps_4h	turtle_3_pic_24h	turtle_3_lps_24h
ENSCPBG00000021318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000014498	21	22	23	19	19	25	2	20	10	9	7	8	8	11
ENSCPBG00000004815	14	17	12	8	15	15	68	169	73	141	83	110	51	109
ENSCPBG00000004641	25	39	10	18	8	42	104	154	380	186	259	203	243	117
ENSCPBG00000002755	49	43	10	26	21	46	115	221	313	222	218	160	217	176
ENSCPBG00000028372	184	216	147	206	129	313	202	423	390	324	275	330	303	360
ENSCPBG00000024634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000023712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000022554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000022134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000021714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000021014	5	2	0	0	0	0	3	3	6	7	6	1	13	3
ENSCPBG00000020177	4	2	0	1	0	2	88	305	117	247	235	193	111	198
ENSCPBG00000018823	186	180	178	160	188	180	192	407	182	289	232	243	176	313
ENSCPBG00000017998	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSCPBG00000017288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000017260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000016241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000016020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000014801	3	0	2	1	2	2	0	1	1	0	2	3	3	0
ENSCPBG00000014213	5	5	0	3	0	3	18	23	20	28	11	20	33	28
ENSCPBG00000013646	447	441	477	440	411	493	299	619	370	549	359	461	435	447
ENSCPBG00000012991	302	334	158	262	184	407	140	371	289	324	428	324	159	229
ENSCPBG00000012751	1096	1155	894	982	827	1412	833	1833	1071	1602	1281	1421	811	1164
ENSCPBG00000011701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000010870	0	0	0	0	0	1	0	0	1	1	0	0	0	0
ENSCPBG00000009971	0	0	0	0	0	0	0	2	0	1	0	0	0	4
ENSCPBG00000009852	4	6	6	0	6	7	6	1	3	7	0	5	2	7
ENSCPBG00000009612	1066	737	1021	754	947	930	624	1272	875	1141	935	938	727	1056
ENSCPBG00000008608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000008397	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000008352	176	178	58	55	83	204	98	189	194	175	171	173	177	132
ENSCPBG00000007901	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000007597	0	1	3	1	5	2	7	10	5	10	12	7	4	5
ENSCPBG00000007575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000006806	5786	5917	5132	6001	4381	8184	3916	8387	5028	7561	6395	7078	3874	5721
ENSCPBG00000006288	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000006187	207	240	154	184	174	272	142	423	382	368	453	431	207	337
ENSCPBG00000004592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000004419	3191	4106	3316	3365	3235	4831	293	779	446	532	469	539	341	406
ENSCPBG00000004409	5567	5649	5559	4973	5509	6685	672	1849	963	1350	1182	1176	827	925
ENSCPBG00000004148	7	10	12	18	13	25	5	30	8	18	5	12	9	26
ENSCPBG00000003947	6	1	3	1	3	3	0	0	2	4	1	2	0	2
ENSCPBG00000003871	1653	926	2242	918	673	921	1475	886	2357	1388	1157	695	1135	724
ENSCPBG00000003707	17	11	7	9	12	7	3	17	9	8	14	4	8	9
ENSCPBG00000003490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000003056	1071	1187	1231	1258	1113	1419	104	271	119	211	152	163	115	188
ENSCPBG00000003052	6	6	0	13	3	11	1	22	10	24	8	6	8	4
ENSCPBG00000002987	3	2	0	0	0	1	1	1	1	0	2	1	0	0
ENSCPBG00000002629	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSCPBG00000002330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000002032	13	5	5	2	3	4	15	12	20	20	24	20	49	27
ENSCPBG00000002023	235	274	251	215	256	302	101	376	229	253	226	257	205	214
ENSCPBG00000001987	2	3	0	1	1	0	0	2	1	1	0	1	5	0
ENSCPBG00000001820	5	5	3	5	2	6	31	85	184	81	99	58	106	78
ENSCPBG00000001353	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCPBG00000001225	16	19	22	20	17	19	37	76	45	71	47	75	36	92
ENSCPBG00000001085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000000832	1	2	0	0	2	5	1	2	2	0	6	5	0	2
ENSCPBG00000000468	46	24	4	11	22	18	29	41	22	43	35	33	38	60
ENSCPBG00000000194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000028437	57	50	31	28	61	62	64	144	64	118	62	86	98	128
ENSCPBG00000028436	4	2	5	0	5	6	2	15	5	7	3	9	2	3
ENSCPBG00000028433	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSCPBG00000028426	166	179	151	152	168	222	67	159	76	170	112	120	104	136
ENSCPBG00000028425	232	208	195	134	204	275	37	72	78	67	53	68	76	45
ENSCPBG00000028424	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000028422	1	0	0	2	3	2	1	3	16	5	3	3	22	7
ENSCPBG00000028421	363	297	282	226	286	348	282	729	298	681	583	560	252	510
ENSCPBG00000028420	0	0	2	0	0	2	0	0	0	2	0	0	1	0
ENSCPBG00000028416	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000028414	0	0	0	0	0	1	13	24	13	32	23	11	27	22
ENSCPBG00000028410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCPBG00000028409	0	0	0	0	2	0	0	0	0	0	0	0	0	0
