,logFC,logCPM,PValue,QValue
ENSGALG00010024441,6.30344188464951,7.62674575970554,2.48646055600511e-46,3.29853857359638e-42
ENSGALG00010010422,3.50902027135473,4.2706670958876,6.76517698343884e-25,4.48734189311498e-21
ENSGALG00010018665,6.79095991711758,6.15094434536512,3.99940374724065e-24,1.76853633702981e-20
ENSGALG00010009195,4.8594994545309,5.07933280504619,2.04701024987869e-23,6.78890949372268e-20
ENSGALG00010006134,2.97296654129837,6.25821874090406,6.53366308925947e-21,1.73351149084232e-17
ENSGALG00010029295,3.48951851221121,5.49300920080053,1.67172606712911e-18,3.69618633442246e-15
ENSGALG00010004483,4.16439816697069,5.11859670733722,1.98003360910666e-18,3.75244655120128e-15
ENSGALG00010029329,3.4679362695594,4.31392616476785,2.14774102486897e-17,3.56149155448897e-14
ENSGALG00010027200,3.90949840670801,5.79723649280723,3.9680721514666e-17,5.45087478020892e-14
ENSGALG00010009125,3.22410509581504,7.32320166782905,4.10890606076355e-17,5.45087478020892e-14
ENSGALG00010008006,5.91410620766295,2.63026318990322,6.89931215731673e-17,8.32057046172397e-14
ENSGALG00010001911,4.82554173492078,4.07058107625213,1.38864605698321e-16,1.41705989168764e-13
ENSGALG00010022270,5.09258272236618,5.05876878522408,1.28294805067625e-16,1.41705989168764e-13
ENSGALG00010017380,4.39968782759405,6.42546354405647,4.35692727719798e-16,4.12849980423632e-13
ENSGALG00010005131,2.53256748705126,4.24177605609706,3.03649751913275e-15,2.685478405921e-12
ENSGALG00010002669,5.49402877703266,4.88453511317658,5.80735149953147e-15,4.81502031204903e-12
ENSGALG00010021717,2.73135761816579,5.55160734968722,1.52748437798837e-14,1.19197692696434e-11
ENSGALG00010001313,2.79605712442196,4.18915322962516,2.95085005417191e-14,2.17477648992469e-11
ENSGALG00010010014,3.19523944530478,3.42157960054332,3.12608206708569e-14,2.18266340536625e-11
ENSGALG00010024571,2.72680713715964,5.35059978010395,3.4306452986154e-14,2.27554702657159e-11
ENSGALG00010027425,5.67189649944123,1.83659860495983,1.11475949283882e-13,7.04209496761895e-11
ENSGALG00010028912,3.33864679465836,9.11224677385834,2.70828052488815e-13,1.63309315650755e-10
ENSGALG00010023272,6.9860676311579,2.99989772899177,1.89105724368609e-12,1.06211899158941e-09
ENSGALG00010021094,3.12824282351913,3.44766133885279,1.92151785000345e-12,1.06211899158941e-09
ENSGALG00010015094,3.00997581918618,11.0354689391768,2.26660513127767e-12,1.20275134686118e-09
ENSGALG00010008126,2.48021638698984,4.21179040419304,5.1276735135279e-12,2.61629680117158e-09
ENSGALG00010012118,2.79394424948722,4.06369376789288,6.85256892444753e-12,3.36689553154522e-09
ENSGALG00010026128,1.97775154282592,10.0334857228171,9.04043727845516e-12,4.28323003342807e-09
ENSGALG00010011634,6.63395223084487,8.61665141423959,1.23648059913424e-11,5.65625918210855e-09
ENSGALG00010016941,-1.81556196526448,5.16152200253721,1.39357109344993e-11,6.16237137523561e-09
ENSGALG00010029562,2.50634879568186,6.40374208074195,1.51491493770119e-11,6.48285856888514e-09
ENSGALG00010002601,1.8721693875439,6.37297086330721,1.98877218868236e-11,8.24470370470629e-09
ENSGALG00010008203,8.61008905513331,0.256073469326197,2.22337623734111e-11,8.93797247411127e-09
ENSGALG00010005254,2.01644512957276,4.05020782323823,4.30251604643564e-11,1.6787405256475e-08
ENSGALG00010011749,6.16328075257848,1.93901108174322,1.74426895971076e-10,6.61127771986371e-08
ENSGALG00010029140,2.87226075154861,3.40278753555734,2.26603350866955e-10,8.35033347944729e-08
ENSGALG00010009353,3.78275317459479,3.45075285319189,2.90353554433361e-10,1.04103520354405e-07
ENSGALG00010014054,3.66252538309277,3.34585763759519,3.33979664724931e-10,1.16594058743182e-07
ENSGALG00010027141,4.80316580267444,1.19747288037449,4.08024243134646e-10,1.38791015626262e-07
