,logFC,logCPM,PValue,QValue
ENSGALG00010012381,13.8927843842604,7.7261908079118,3.06482919101235e-131,4.16816769977679e-127
ENSGALG00010008064,11.5919946001181,7.45898692592572,1.30827859003837e-128,8.89629441226091e-125
ENSGALG00010012356,14.8573344972689,6.5306139784719,1.73125550427076e-121,7.84835828602747e-118
ENSGALG00010011543,11.3811912952573,6.04126754384873,4.577791597458e-117,1.55644914313572e-113
ENSGALG00010012421,11.1099145907945,6.32177597693151,8.52980654754902e-98,2.32010738093333e-94
ENSGALG00010012349,10.6265375911599,6.20553860158423,1.23392991834791e-97,2.79690781492193e-94
ENSGALG00010010889,10.3960184873194,5.57334043503124,2.80925106216453e-87,5.45797349220538e-84
ENSGALG00010001941,9.68452605870247,7.66930539946,3.41002566169692e-78,5.15292766656424e-75
ENSGALG00010018016,6.86005143838953,12.7297139273128,3.3326195389334e-78,5.15292766656424e-75
ENSGALG00010019269,5.55614976364606,7.50693841824257,3.86999651040632e-74,5.26319525415259e-71
ENSGALG00010023603,7.10364659495371,5.89412987559021,1.2164049298249e-71,1.50391882232896e-68
ENSGALG00010023972,5.96121888362229,5.89406257634002,3.6670020471742e-71,4.15593565346409e-68
ENSGALG00010009615,5.58495342808978,7.1663110413001,1.33799801768916e-70,1.39975177235173e-67
ENSGALG00010020999,5.48348347244583,9.76102560888426,5.53196870522499e-67,5.37391245650427e-64
ENSGALG00010028610,5.02882821980249,9.0154076621247,1.93332563544546e-62,1.75288190947055e-59
ENSGALG00010024053,4.93953507767398,5.6033707578315,8.05504854311115e-61,6.84679126164448e-58
ENSGALG00010028489,5.93486211979896,6.06598305183139,2.56166447838234e-60,2.04933158270587e-57
ENSGALG00010022412,4.71124623606735,5.48697024627015,6.27631527302654e-57,4.74210487295339e-54
ENSGALG00010007707,9.45972425262621,4.6328598891,1.17103212709813e-56,8.38212469922871e-54
ENSGALG00010017699,4.62940704432794,8.04636506482047,3.35587842787726e-56,2.28199733095653e-53
ENSGALG00010022800,4.9715638521491,5.32437336546296,2.3862890940728e-55,1.54540627044715e-52
ENSGALG00010016655,5.98632747186521,10.4369638806444,3.38134412327582e-55,2.09028545802505e-52
ENSGALG00010004479,4.55225950416604,5.73103934092293,7.92293593921544e-55,4.68486646840565e-52
ENSGALG00010020548,5.06112509279217,9.75746303942272,9.38603451748159e-55,5.31875289323957e-52
ENSGALG00010012416,13.3373991820455,5.01081702961083,9.71257322572514e-54,5.28363983479448e-51
ENSGALG00010007927,7.79699929965947,4.61385742942328,2.46178697512365e-53,1.28770395621852e-50
ENSGALG00010016462,4.42548911730366,6.07058035253009,9.01472379757078e-53,4.54074976470232e-50
ENSGALG00010009024,4.37559471403144,8.5900756523844,1.28807052902941e-52,6.25634256957144e-50
ENSGALG00010003240,4.34625000355323,8.46595223585747,1.42894307691063e-52,6.7012502917188e-50
ENSGALG00010003331,4.95854666413081,8.19969428504863,4.42658501239569e-52,2.00671853895271e-49
ENSGALG00010020557,4.7718592621167,9.05437270054701,1.12866626746106e-51,4.95156814111948e-49
ENSGALG00010026316,4.68246977238632,6.19532256474006,1.20835561084053e-51,5.13551134607224e-49
ENSGALG00010015816,4.59091227981125,6.75109516197836,4.49650993188185e-51,1.85310712344222e-48
ENSGALG00010012633,4.40652028560539,8.69923127524278,8.54494648191944e-51,3.41797859276778e-48
ENSGALG00010027634,6.62803088540517,10.7704719174231,9.01220542871516e-51,3.50188553801503e-48
ENSGALG00010015706,5.91570874678652,4.91748933176686,1.98458550196948e-50,7.49732300744027e-48
ENSGALG00010003583,4.68402173891375,11.1718844518577,4.25149993888241e-49,1.56271349104867e-46
ENSGALG00010023655,4.10675456126528,5.46193234574485,4.1551785411409e-48,1.48711653051358e-45
ENSGALG00010013837,8.35980382238526,7.87658860809241,2.3626903961969e-47,8.23912548417382e-45
ENSGALG00010028160,5.50472804853808,7.31996561802878,5.15729508356932e-47,1.75348032841357e-44
ENSGALG00010015563,5.05638247630817,4.50620141676399,6.54147643060669e-47,2.16985559649393e-44
ENSGALG00010021717,6.07423493702785,8.70951945675471,1.22686638981995e-46,3.97271021465508e-44
ENSGALG00010021272,4.3039254860702,7.57659962631269,2.01801683800209e-46,6.38256488298337e-44
ENSGALG00010024965,4.19067881409574,8.82830961058001,2.84082968475619e-46,8.78074629833731e-44
ENSGALG00010014231,6.90100257870566,3.73711176190064,5.90346031615165e-46,1.78415689554805e-43
ENSGALG00010013809,8.66088158842065,8.71566071148705,5.87744309887053e-45,1.73767882923129e-42
