,logFC,logCPM,PValue,QValue
ENSGALG00010007190,-2.81724250450866,4.31265754517666,4.9842255748805005e-18,2.44503954589971e-15
ENSGALG00010015260,-3.06419239313692,4.65136825601612,2.2005891397288802e-14,5.71505944229588e-12
ENSGALG00010014984,-2.65640484868421,6.85311154231431,4.60109665376179e-14,1.1080277305286299e-11
ENSGALG00010007201,-2.49336332523817,4.03284260133814,1.22052645817757e-12,2.3094104197945601e-10
ENSGALG00010003479,-2.8527175730785,8.73994012951693,2.51184790147716e-12,4.37755598092961e-10
ENSGALG00010012771,-2.28436050619957,5.94590827694129,4.07146191691021e-12,6.57640403530192e-10
ENSGALG00010029709,-2.27232312538618,5.67920110339311,6.46196490952963e-12,1.0100991947822301e-09
ENSGALG00010020041,-2.25932978526887,4.49699483662407,6.74629047088757e-12,1.0390071777547201e-09
ENSGALG00010018458,-2.52675364154725,6.03867306208242,8.56892588939698e-12,1.2752294764613802e-09
ENSGALG00010012653,-1.96613503328584,5.17997709445794,1.3071545928144399e-11,1.90255632767332e-09
ENSGALG00010014780,-2.21180831500939,4.91085999216476,1.56361070926834e-11,2.2268842843289303e-09
ENSGALG00010012650,-2.00965488649255,5.99149241538264,1.04075789612037e-10,1.30045644661455e-08
ENSGALG00010005216,-2.63538114378828,3.17963915619953,1.1508346863975801e-10,1.42456125433046e-08
ENSGALG00010019617,-2.27971808642164,4.45870508980779,1.7328931438932701e-10,2.04930086525593e-08
ENSGALG00010005675,-2.07833339847976,5.47913144829731,1.87734280226614e-10,2.20047835539956e-08
ENSGALG00010016426,-2.07874507688712,5.63974029710274,1.92584628188098e-10,2.21807252204466e-08
ENSGALG00010018638,-2.37025440979975,6.08496513372582,2.36717557982492e-10,2.65705428430348e-08
ENSGALG00010029418,-2.29882487146601,6.07426385034845,2.4354436657443503e-10,2.69383878682543e-08
ENSGALG00010023759,-2.0325576675599,5.59884489186552,3.6537244746471004e-10,3.9344374525773e-08
ENSGALG00010027720,-2.6207574903039,8.16181306496079,4.07817661302969e-10,4.35558396892681e-08
ENSGALG00010014193,-2.51645678784351,4.08629297300932,4.35252194012933e-10,4.57532961087405e-08
ENSGALG00010018215,-2.91126960515201,5.04739099065446,6.48240769819217e-10,6.40742462407129e-08
ENSGALG00010005198,-2.46422504909996,6.10360821480279,7.61488729106529e-10,7.41611633604116e-08
ENSGALG00010025207,-2.39210425119987,4.79316640458192,8.79415310099358e-10,8.37975236134244e-08
ENSGALG00010014668,-2.32058410005806,7.12028944489374,1.093920740377e-09,1.02758724867329e-07
ENSGALG00010000436,-2.00277585440229,5.19207057415045,1.1030079424578202e-09,1.02882677449675e-07
ENSGALG00010005629,-2.43449206822809,7.11183324176941,1.1405454228679e-09,1.05640028852345e-07
ENSGALG00010023677,-2.68010541378593,5.04876571007399,1.4572569065118202e-09,1.3220114881335e-07
ENSGALG00010011941,-2.31917477249556,7.00667570819717,1.7846084499143202e-09,1.58638516235672e-07
ENSGALG00010018616,-2.32021532054813,6.32200096358858,1.88490875663129e-09,1.65170019874135e-07
ENSGALG00010018627,-2.30525903541925,6.51531219810765,2.46485098050096e-09,2.1199318984893e-07
ENSGALG00010011984,-3.0526235763495,5.71805411306782,2.5022858865850404e-09,2.1382436495367e-07
ENSGALG00010011278,-1.99997789744178,4.63350851830939,2.7318737998317e-09,2.30469225979432e-07
ENSGALG00010023234,-1.95994041792018,5.62193511828494,3.8481843947592e-09,3.1855751442866e-07
ENSGALG00010014302,-2.44911889412474,4.85800847522438,4.2813929319549e-09,3.47896008489219e-07
ENSGALG00010007973,-2.2221694792806,6.81206482706126,7.80920405701601e-09,6.01354114739401e-07
ENSGALG00010010338,-2.27796927133522,8.09221023894825,8.310036998714742e-09,6.36222196809114e-07
ENSGALG00010027634,-2.24431967225012,4.36747905873818,8.4914235529681e-09,6.46373017006106e-07
ENSGALG00010018443,-1.83639561441224,4.60891665591695,9.2214913466275e-09,6.93969618670916e-07
ENSGALG00010002380,-2.59255552323157,6.06296915519252,1.04962936624889e-08,7.85442991862517e-07
ENSGALG00010019114,-2.15869419125289,6.1651778509572,1.0921189765917e-08,8.08107030444528e-07
ENSGALG00010002810,-2.03923888876509,5.30298971693563,1.09157271852402e-08,8.08107030444528e-07
ENSGALG00010020572,-2.15969087974862,5.54027365672938,1.30036433773632e-08,9.41165336246858e-07
