,logFC,logCPM,PValue,QValue
ENSGALG00010010422,4.31170105894667,4.9806632282197,6.23461032284037e-41,8.25774137260207e-37
ENSGALG00010018564,4.73141759528156,4.12861260257572,1.0379797462525e-34,6.87402086955717e-31
ENSGALG00010029207,4.06143275687467,4.30916951839509,1.42741093010018e-33,6.3020192563922894e-30
ENSGALG00010009597,4.56720893441836,4.85094127189747,1.0072909251469699e-30,3.3353920758929e-27
ENSGALG00010017105,4.99971079416495,4.12406699109015,1.6067619157580698e-30,4.25631231484312e-27
ENSGALG00010027200,3.66276315178053,5.52804043470152,4.74027041457999e-29,9.54386707091165e-26
ENSGALG00010015892,5.10337495389772,4.1621057570995,5.0439463568426996e-29,9.54386707091165e-26
ENSGALG00010023264,5.39216932484943,3.38264126170399,3.3030915669656e-28,5.468680975557421e-25
ENSGALG00010017767,3.20117108788465,5.0663730121611,2.01993960355742e-27,2.97267778323533e-24
ENSGALG00010029317,3.41746766146824,5.82229643429298,1.2471325168177199e-26,1.65182701852507e-23
ENSGALG00010008126,3.60219737013583,5.1677689365302,1.5187091687511901e-25,1.82866390364631e-22
ENSGALG00010005131,3.86314673401427,5.39477988848857,3.93714991185488e-25,4.34562921520983e-22
ENSGALG00010004483,5.16458711807735,6.03187175601845,6.77612469123001e-25,6.90382857964165e-22
ENSGALG00010027926,3.39101024006448,4.31399603267936,1.1255263979490301e-24,1.06482836720249e-21
ENSGALG00010018460,3.62587632489015,5.18827823247442,1.26478958477033e-23,1.1168092033522e-20
ENSGALG00010023110,3.58607762646374,3.95996096997551,1.17558719851158e-22,9.731657777678711e-20
ENSGALG00010013249,4.34997483551774,3.38463766335957,1.41555171345178e-22,1.10288132027464e-19
ENSGALG00010005254,3.59548461126638,5.37988054784767,1.74753049546832e-22,1.28589118958211e-19
ENSGALG00010016788,4.28332270205115,4.20160443904918,4.378973442878949e-22,3.05260543425956e-19
ENSGALG00010017024,4.35616102474481,3.57674790513041,3.99095713166478e-21,2.643011360445e-18
ENSGALG00010020370,6.11608902856711,2.40640125547182,3.4596861570085e-20,2.18207348331322e-17
ENSGALG00010000278,9.96246095138293,1.48386850137613,2.2621066366195997e-19,1.36189101827394e-16
ENSGALG00010023134,4.03429805114568,3.15021230739927,4.61465266239772e-19,2.65743802232425e-16
ENSGALG00010022881,2.67306694507806,4.36103013323542,1.2529438211193001e-18,6.91468371280212e-16
ENSGALG00010014099,2.66440617392377,4.64827349980169,1.97971266095815e-18,1.0488517677756301e-15
ENSGALG00010029562,3.55358294323073,7.28827904561411,2.43999022640833e-18,1.24298732879917e-15
ENSGALG00010001783,5.81046688588933,2.1047340349968,6.2325952975190595e-18,2.94824016841571e-15
ENSGALG00010027092,3.72721224244184,3.58671476225831,6.55184178722042e-18,2.99238429212878e-15
ENSGALG00010022270,5.89381465601751,5.78940708775201,7.53190631764296e-18,3.3253366392393704e-15
ENSGALG00010023017,3.63768536812832,3.19973625869508,1.65873121662271e-17,7.0870628916670105e-15
ENSGALG00010015390,3.22164644565906,3.8128330966167,1.98831979411416e-17,8.229779897825641e-15
ENSGALG00010029295,3.62752373897701,5.57364088072894,2.70541203459258e-17,1.08585401206602e-14
ENSGALG00010022489,4.20481085877913,3.57017825177194,2.79173448876217e-17,1.0875448030486701e-14
ENSGALG00010025358,3.36442828267512,4.1896980369998,1.31879623479839e-16,4.99070175140133e-14
ENSGALG00010025660,3.68236258068344,3.15538159907641,2.3679609260967497e-16,8.71212290726428e-14
ENSGALG00010003239,2.62557076849174,4.89740436699807,3.5292974430870097e-16,1.26339309820777e-13
ENSGALG00010023359,5.5737742537575,3.03646480241028,4.02572613473306e-16,1.40317743827735e-13
ENSGALG00010011548,2.34138718374853,5.93215541634347,1.264413649988e-15,4.29414328053618e-13
ENSGALG00010019477,3.17242562994606,3.38875837961128,2.5321049182332503e-15,8.38443241049985e-13
ENSGALG00010016958,2.81002722742802,7.74924203393853,2.59555454512396e-15,8.38490730491874e-13
ENSGALG00010023259,3.598617090505,3.14491738635576,2.82369487709376e-15,8.69763689467603e-13
ENSGALG00010005217,3.3425946102325,4.32187383582175,2.7597217957011304e-15,8.69763689467603e-13
ENSGALG00010018665,6.68282258834277,5.98249739608567,2.9667735695319503e-15,8.930662711011509e-13
ENSGALG00010020101,3.7286986720209,3.66936620097572,3.3692656142026305e-15,9.91687179113641e-13
ENSGALG00010002669,6.14875331191113,5.47837964617024,3.73109128165e-15,1.0743109570750899e-12
