,logFC,logCPM,PValue,QValue
ENSGALG00010020525,-3.9215759570302,6.89850193065715,4.6327926862296095e-34,7.58494214616557e-32
ENSGALG00010008392,-3.77422170081143,6.84156976703319,5.16000863404695e-27,5.35262269679878e-25
ENSGALG00010021843,-3.78189744085203,4.36103906797225,2.77513146750203e-26,2.7130403965385e-24
ENSGALG00010020056,-3.29363796059329,6.23010091431614,8.56576811490836e-24,7.36710271604365e-22
ENSGALG00010020153,-3.58383239334891,5.42287538492124,2.6336444073984e-22,2.06870484694432e-20
ENSGALG00010020622,-4.62152840046487,3.38808588049964,1.96307283047324e-19,1.22931781996778e-17
ENSGALG00010021958,-3.41882660578999,4.13389557022892,1.94875275634812e-17,1.06780650024252e-15
ENSGALG00010029670,-2.64793264385378,4.90456390624867,3.75395572402089e-17,1.9695947619196903e-15
ENSGALG00010001883,-7.2988933152558,1.34523539522478,8.043170581885761e-17,4.09358221113279e-15
ENSGALG00010008232,-3.56479149721201,3.88165477783066,4.25719608153396e-16,2.0514552323391802e-14
ENSGALG00010004060,-5.35847750602794,1.74976308678825,6.981090748206711e-15,3.11036203860266e-13
ENSGALG00010021625,-4.2516769795222,2.05490169824415,4.98965694534783e-14,2.09272988365221e-12
ENSGALG00010017421,-2.43409593121379,3.99068925553726,7.84242479585263e-14,3.24910702898907e-12
ENSGALG00010023453,-3.38469225693754,3.97977325833503,9.838550494277831e-14,4.06371011145111e-12
ENSGALG00010024748,-2.68892234771669,4.37035718050117,2.69921033666402e-13,1.0851943569505099e-11
ENSGALG00010005350,-6.29768746863027,2.89952377026602,2.8676634133341497e-13,1.1461375918764099e-11
ENSGALG00010029417,-2.89234250635433,6.27691152116026,4.2864329969551697e-13,1.6738028159662e-11
ENSGALG00010016415,-3.79417890969442,4.29782798951384,5.32005952418189e-13,2.0479968519577198e-11
ENSGALG00010007925,-3.62272652198961,4.86581910516259,1.1995554726804499e-12,4.44162379243997e-11
ENSGALG00010023746,-2.02218085648379,5.09210275737966,3.65110649273906e-12,1.29542783628802e-10
ENSGALG00010012974,-2.40476850918618,4.28706336955993,4.197986265123139e-12,1.47788692634089e-10
ENSGALG00010021426,-1.90362340834339,5.48425390394209,5.20261168871772e-12,1.8221208824223002e-10
ENSGALG00010017400,-5.03627694689181,1.44686564753566,6.12625208207635e-12,2.1183114387617201e-10
ENSGALG00010008229,-3.22915559064351,2.96833892715707,6.1991069091925196e-12,2.13806253271617e-10
ENSGALG00010018099,-2.3805835997505,4.4779649365738,6.27381270322102e-12,2.1583504006093802e-10
ENSGALG00010005042,-2.00666653948225,6.65558704824192,6.3596047866657395e-12,2.18234013752527e-10
ENSGALG00010015971,-2.29401291190705,4.06543282803458,8.31072230756189e-12,2.79540607518462e-10
ENSGALG00010010461,-2.00416514012911,8.52257913864532,8.58238912752856e-12,2.87965644083915e-10
ENSGALG00010027170,-2.04198444577335,5.00247765036139,9.01232962485475e-12,3.01118462572383e-10
ENSGALG00010021602,-2.50502891179522,4.2998261513188,9.395720942262339e-12,3.12172253996095e-10
ENSGALG00010017425,-2.11589535857333,4.63870083741457,1.2520920004353499e-11,4.11977680240097e-10
ENSGALG00010027076,-3.15991818843407,4.90587424177007,1.71407771242166e-11,5.55909356422384e-10
ENSGALG00010014614,-3.16404913897975,2.73090808602721,1.86532424921471e-11,6.02087677495931e-10
ENSGALG00010002972,-2.95728400102185,3.428034859541,2.08955211779704e-11,6.69082760624859e-10
ENSGALG00010027050,-2.89455205999537,2.79558794314799,2.4162631393545197e-11,7.635953442020591e-10
ENSGALG00010016752,-4.0165114393585,1.82965774164258,2.6570871361209398e-11,8.33883535629272e-10
ENSGALG00010008871,-2.44174839587205,3.3595604807134,2.92040881208714e-11,9.12308858562119e-10
ENSGALG00010020211,-1.81413302444346,6.48436800819173,3.1279733579082795e-11,9.72678031135368e-10
ENSGALG00010025829,-3.709043115107,2.33724453258812,3.4778889861517494e-11,1.0741143962003701e-09
ENSGALG00010019692,-5.59160995518574,1.04184508780487,3.57045813034768e-11,1.09789791222509e-09
ENSGALG00010023668,-3.11924927058287,2.70101182242152,3.89808883248805e-11,1.1957365495413101e-09
