	chicken_d_control_2	chicken_d_pic_8h	chicken_d_lps_8h	chicken_d_pic_4h	chicken_d_lps_4h	chicken_d_lps_24h	chicken_a_lps_8h	chicken_a_pic_4h	chicken_a_pic_24h	chicken_a_lps_24h	chicken_a_control_2	chicken_d_control_1	chicken_a_control_1	chicken_a_pic_8h	chicken_a_lps_4h
ENSGALG00010014241	101	59	45	26	82	108	85	88	15	117	216	133	50	46	150
ENSGALG00010029524	1519	2991	1347	1992	1400	1169	2250	1741	3726	1590	1723	1919	2541	2309	2591
ENSGALG00010024689	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
ENSGALG00010024181	0	14	2	34	0	0	2	14	1	0	1	0	1	25	0
ENSGALG00010021631	16	15	11	21	23	16	24	36	12	23	42	30	33	22	41
ENSGALG00010015073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00010012013	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
ENSGALG00010012009	0	0	4	0	3	5	0	0	1	1	7	1	0	1	3
ENSGALG00010011611	0	1	1	0	0	3	0	7	0	0	0	0	0	10	0
ENSGALG00010011525	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0
ENSGALG00010008507	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSGALG00010005701	0	0	0	2	0	1	0	3	5	0	0	0	2	1	1
ENSGALG00010005393	5	26	11	17	13	61	97	75	21	180	26	8	64	49	91
ENSGALG00010001782	0	0	0	1	0	0	0	4	0	0	0	0	0	1	2
ENSGALG00010001772	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSGALG00010000515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00010000514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00010000313	42	83	10	88	19	52	193	53	55	121	35	26	266	95	228
ENSGALG00010000251	0	0	0	3	0	0	0	11	0	0	0	0	0	3	0
ENSGALG00010000249	497	558	473	674	529	757	938	931	590	942	476	607	832	572	856
ENSGALG00010030108	1715	1834	1276	1908	1781	1422	1823	1576	1448	1949	2428	2146	2725	1363	2570
ENSGALG00010030107	461	233	422	234	392	507	650	337	304	622	489	449	725	307	696
ENSGALG00010030106	1869	94	2279	92	1478	3372	3935	545	247	3469	2106	2376	3140	448	3790
ENSGALG00010030103	2	2	0	5	4	0	3	10	5	3	6	4	0	1	7
ENSGALG00010030014	182	103	230	40	159	387	262	65	45	258	140	256	169	89	226
ENSGALG00010029966	732	826	561	902	731	897	1212	1172	747	1367	921	978	1440	1037	1310
ENSGALG00010029962	0	403	602	824	196	92	214	156	341	438	0	109	30	63	13
ENSGALG00010029949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00010029947	12	49	23	57	149	37	78	101	90	59	55	33	65	114	170
ENSGALG00010029945	41	12283	32	22719	209	71	205	24005	1012	90	20	85	130	16968	494
ENSGALG00010029942	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
