,logFC,logCPM,PValue,QValue
ENSGALG00010014241,1.05189222956823,2.21857618112096,0.189358131279734,1
ENSGALG00010029524,-0.469290960366797,6.78840500049715,0.44476868643233,1
ENSGALG00010024689,-1.60055427371697,-3.13836823042778,1,1
ENSGALG00010024181,1.66998342061838,-1.12946037668161,0.60962140508518,1
ENSGALG00010021631,0.474058970079157,0.430040850300767,0.399138141030464,1
ENSGALG00010015073,0,-3.28454432349721,1,1
ENSGALG00010012013,-1.60055427371697,-3.10053340064048,1,1
ENSGALG00010012009,2.35378094298857,-2.34949381974333,0.0817460867339108,1
ENSGALG00010011611,2.48416935986363,-2.4639701507293,0.666666666666668,1
ENSGALG00010011525,-1.44841191702011,-3.11714692261581,1,1
ENSGALG00010008507,-2.54675975272286,-3.16460590251499,0.944802673955398,1
ENSGALG00010005701,-3.91825259008218,-2.68276507973213,0.368121569772507,1
ENSGALG00010005393,-0.136930842809937,1.26430345194522,0.93548732815516,1
ENSGALG00010001782,0,-2.94869210435131,1,1
ENSGALG00010001772,-2.24436087080171,-3.19227500536467,0.944802673955398,1
ENSGALG00010000515,0,-3.28454432349721,1,1
ENSGALG00010000514,0,-3.28454432349721,1,1
ENSGALG00010000313,-1.68268381791885,2.10978242416548,0.0702086195853253,1
ENSGALG00010000251,0,-2.62098556998834,1,1
ENSGALG00010000249,-0.177252626224667,5.14421404802714,0.583872891378558,1
ENSGALG00010030108,0.0982939143525589,6.61174944604132,0.7534402978711,1
ENSGALG00010030107,0.170072763201607,4.54142228262453,0.623962282417693,1
ENSGALG00010030106,0.69181781954976,6.56733334349824,0.505343340486512,1
ENSGALG00010030103,0.0130559144974484,-1.81478276289949,1,1
ENSGALG00010030014,0.630700456880081,3.18990053357063,0.380059795382365,1
ENSGALG00010029966,-0.109458631055403,5.66629112704153,0.715829627749277,1
ENSGALG00010029962,1.22250331012429,3.78114045415565,0.458203890235714,1
ENSGALG00010029949,0,-3.28454432349721,1,1
ENSGALG00010029947,-1.00135462262875,1.95678031402362,0.307847807636831,1
ENSGALG00010029945,-3.70835509476673,8.21943696429277,0.171089104078168,1
ENSGALG00010029942,-4.6063273726338,-2.69450792365014,0.477590538040875,1
ENSGALG00010029941,0.120232125302039,3.96541513881549,0.701512951446719,1
ENSGALG00010029940,0,-3.28454432349721,1,1
ENSGALG00010029939,0,-3.18839919734071,1,1
ENSGALG00010029938,0.734432718258,-1.49822614622013,0.488471561957642,1
ENSGALG00010029937,0.563597265792442,7.55792531114403,0.308353051044836,1
ENSGALG00010029936,0.411374048986469,-0.511646903402294,0.590495113972072,1
ENSGALG00010029935,-0.0612392665469404,5.40239238557273,0.862029445072881,1
ENSGALG00010029932,-0.764826301930399,1.15022827475389,0.343810498809351,1
ENSGALG00010029930,0.0904767955552599,-2.5335374496011,1,1
ENSGALG00010029929,0.180016356343515,5.83247820490282,0.71173041045562,1
ENSGALG00010029927,-1.6979992600347,-0.554911529280276,0.268813021504712,1
ENSGALG00010029925,0.0838564519046613,5.17284006428133,0.758450101628139,1
