,logFC,logCPM,PValue,QValue
ENSGALG00010004065,2.61916244308054,4.42713679626139,4.83715098881504e-06,0.0819897092604149
ENSGALG00010009374,3.27186843723188,2.59872318922138,1.24889980578324e-05,0.10584425854013
ENSGALG00010016458,1.8587570251003,7.11927444877801,3.51895013911766e-05,0.198820682860148
ENSGALG00010009346,2.41599399319261,1.45289870838741,6.28523273290786e-05,0.26633673705697
ENSGALG00010029437,8.78470751645879,0.824773789531183,0.000266880706366077,0.904725594581002
ENSGALG00010014241,0.195824215677504,2.21857618112096,0.781782687582935,1
ENSGALG00010029524,-0.472253421261542,6.78840500049715,0.441727323597531,1
ENSGALG00010024689,-1.64029147687437,-3.13836823042778,1,1
ENSGALG00010024181,4.41320187435214,-1.12946037668161,0.09639829691454,1
ENSGALG00010021631,-0.118334536276582,0.430040850300767,0.897106527693366,1
ENSGALG00010015073,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010012013,-1.64029147687437,-3.10053340064048,1,1
ENSGALG00010012009,1.34011239095994,-2.34949381974333,0.426607173646791,1
ENSGALG00010011611,5.74462306330876,-2.4639701507293,0.00124331835287506,1
ENSGALG00010011525,0.836797524808571,-3.11714692261581,1,1
ENSGALG00010008507,-2.59720557574175,-3.16460590251499,0.944802673955398,1
ENSGALG00010005701,-0.795931000640704,-2.68276507973213,0.944657115155969,1
ENSGALG00010005393,1.28494735338883,1.26430345194522,0.08566964882743,1
ENSGALG00010001782,2.33483742922418,-2.94869210435131,0.666666666666668,1
ENSGALG00010001772,-2.29180436585363,-3.19227500536467,0.944802673955398,1
ENSGALG00010000515,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010000514,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010000313,-0.0908275892955235,2.10978242416548,0.974712864665822,1
ENSGALG00010000251,3.72207081154121,-2.62098556998834,0.231224666243426,1
ENSGALG00010000249,0.0964706133455855,5.14421404802714,0.736688908172672,1
ENSGALG00010030108,-0.467314772246707,6.61174944604132,0.188108306839754,1
ENSGALG00010030107,-0.193870488999292,4.54142228262453,0.623716584426336,1
ENSGALG00010030106,0.261211671746509,6.56733334349824,0.759201233265702,1
ENSGALG00010030103,-2.38594037968188,-1.81478276289949,0.217683685287964,1
ENSGALG00010030014,0.729683313358514,3.18990053357063,0.312310323562386,1
ENSGALG00010029966,0.108805939552591,5.66629112704153,0.682718367820001,1
ENSGALG00010029962,-1.11775453433671,3.78114045415565,0.732356106924656,1
ENSGALG00010029949,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029947,-0.179396207104727,1.95678031402362,0.894510796485974,1
ENSGALG00010029945,4.40787170028218,8.21943696429277,0.0198823485211665,1
ENSGALG00010029942,-4.66370361266878,-2.69450792365014,0.456407003542388,1
ENSGALG00010029941,-0.169292565153353,3.96541513881549,0.627588776641924,1
ENSGALG00010029940,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029939,3.17040685537417,-3.18839919734071,0.278136007288732,1
ENSGALG00010029938,0.930252044757224,-1.49822614622013,0.313952090170383,1
ENSGALG00010029937,-0.301814782047317,7.55792531114403,0.645702724580247,1
ENSGALG00010029936,-0.0926235929586864,-0.511646903402294,1,1
ENSGALG00010029935,-0.350971097096749,5.40239238557273,0.269391783363729,1
ENSGALG00010029932,-0.328325646882498,1.15022827475389,0.701002582046265,1
ENSGALG00010029930,-3.20210710477044,-2.5335374496011,0.48971963879845,1
ENSGALG00010029929,-0.178422244154464,5.83247820490282,0.781586822274081,1
ENSGALG00010029927,0.128283774640507,-0.554911529280276,0.860256796708544,1
ENSGALG00010029925,-0.0966177197662854,5.17284006428133,0.76001452415524,1
ENSGALG00010029907,-2.30275149127522,-3.0310116222017,0.915929482055153,1
ENSGALG00010029895,-0.231095093232014,6.90960722059785,0.555241286487575,1
ENSGALG00010029864,-0.621125643588617,4.83574803302354,0.495922121454047,1
ENSGALG00010029859,0.0431183340166363,6.03379406026319,0.884197062983267,1
ENSGALG00010029835,-0.187097577900925,4.46753138831567,0.718777377849678,1
ENSGALG00010029782,-0.491763389359592,4.72298813936007,0.245617975580915,1
ENSGALG00010029779,5.12548240610387e-15,-3.28454432349721,1,1
ENSGALG00010029776,0.0763796530913326,6.110404316735,0.785058129044496,1
ENSGALG00010029774,-0.751422121004988,-0.586935824876859,0.486530186847048,1
ENSGALG00010029773,-0.333749497007073,4.64805968411398,0.274520086897554,1
ENSGALG00010029772,-0.240955025519556,5.70481087007493,0.400760947867249,1
ENSGALG00010029770,-0.426552960417769,3.71553820067185,0.736219090129337,1
ENSGALG00010029766,0.124914660140535,3.66789151654847,0.679379594909099,1
ENSGALG00010029765,0.167601934916355,-0.70655795967318,0.828597373841436,1
ENSGALG00010029761,-0.0857402033996871,4.06529180749129,0.819394818941049,1
ENSGALG00010029755,-0.215625080769109,6.19594536392955,0.778810640906071,1
