,logFC,logCPM,PValue,QValue
ENSCPRG00005015943,7.62824205782391,2.54056396101647,1.6385036976028e-15,1.84298895906363e-11
ENSCPRG00005017770,3.5728421349668,5.53982087210498,3.22141263957233e-14,1.81172246849548e-10
ENSCPRG00005014884,6.90638582687549,2.66261472374859,1.75990099743873e-12,6.59845547306363e-09
ENSCPRG00005004140,2.78772221448644,5.66598951950332,6.55712072821281e-11,1.84386234877344e-07
ENSCPRG00005006846,5.05312786360438,2.31650695551737,4.30959664272691e-10,9.69486860747845e-07
ENSCPRG00005000694,2.92250610333479,3.24259436995972,2.89958179455103e-08,4.65921371787285e-05
ENSCPRG00005006763,2.32516013014397,7.62235065284162,2.72538996131532e-08,4.65921371787285e-05
ENSCPRG00005009119,2.78840593603929,5.63914820790454,1.37942983607324e-07,0.000193947834951898
ENSCPRG00005006749,3.52847278320827,0.938603856162271,2.27358258851842e-06,0.00284147299507279
ENSCPRG00005015564,7.03010702246404,-0.0869515990944748,2.55658917989289e-06,0.00287565150954352
ENSCPRG00005002774,2.39474519514209,4.01364546543995,3.79087482329884e-06,0.00387634181931503
ENSCPRG00005017776,2.5127081055977,1.93032013836244,2.52218862534097e-05,0.0236413147148627
ENSCPRG00005014537,1.80128048188308,4.74604352272504,2.74381346877964e-05,0.0237403183821795
ENSCPRG00005014013,1.74580510787317,4.35378267809909,6.2311758101857e-05,0.0500630467949777
ENSCPRG00005018657,1.91077686643589,6.32409172998735,8.09084599783182e-05,0.0606705571890749
ENSCPRG00005007275,2.47276748224014,4.58274243238292,9.67912785429847e-05,0.0680442688157182
ENSCPRG00005008617,3.58201028298436,0.145270423282149,0.000104531150008253,0.0691627279584014
ENSCPRG00005017800,1.79710962461925,6.25388880824994,0.000200946707236909,0.125569364611153
ENSCPRG00005003675,1.47674622530878,8.56341573027838,0.000370229406213993,0.219175808478684
ENSCPRG00005006849,2.43145982598148,1.03331948965207,0.000394315895312335,0.221763259523657
ENSCPRG00005001128,-2.75994370694586,0.469765515013211,0.000533685842693969,0.285852302791513
ENSCPRG00005015100,3.03166581262668,2.85696303570246,0.000566754191108518,0.2897659609813
ENSCPRG00005015469,2.2271565428492,2.22534222353305,0.00061890747886843,0.302672666187483
ENSCPRG00005009766,1.66878641424524,2.56710636728615,0.00114054980304319,0.534537674359576
ENSCPRG00005018727,-0.797037188392041,6.11772327604681,0.400199330862591,0.917893541569414
ENSCPRG00005017337,-0.964321283488374,6.30836895273868,0.265820801662303,0.917893541569414
ENSCPRG00005016881,-1.15881159755154,4.06107095957808,0.0942104203917182,0.917893541569414
ENSCPRG00005014756,1.31113460919005,-1.21384500847282,0.421215660070234,0.917893541569414
ENSCPRG00005013569,-0.903192189746452,6.58491512033298,0.312580916532873,0.917893541569414
ENSCPRG00005012340,-0.736209675562036,13.0847367945501,0.380027796219592,0.917893541569414
ENSCPRG00005012165,-0.899333852952166,8.32555865169816,0.293413666683143,0.917893541569414
ENSCPRG00005006630,-0.566398096154755,1.55270200869747,0.378413866051124,0.917893541569414
ENSCPRG00005005638,1.28213633036685,-0.798881173457282,0.260231853844024,0.917893541569414
ENSCPRG00005004164,0.634624168156955,4.22807300048793,0.220254173049007,0.917893541569414
ENSCPRG00005019173,0.520163497465745,4.25878266921177,0.298714532133642,0.917893541569414
ENSCPRG00005019169,0.430813385216618,9.36214921564576,0.31341707113081,0.917893541569414
ENSCPRG00005019167,0.325830399201376,6.34573300406798,0.436971690203314,0.917893541569414
ENSCPRG00005019165,-0.901619938440447,3.49486192829551,0.208650783176333,0.917893541569414
ENSCPRG00005019152,1.00553793640104,5.37895526250133,0.0986213228090991,0.917893541569414
ENSCPRG00005019138,0.335133544834019,5.28491513400901,0.422184907243276,0.917893541569414
ENSCPRG00005019125,0.343226812470072,5.82982562040716,0.390176724513482,0.917893541569414
ENSCPRG00005019106,-1.91606786349615,-1.16492778976352,0.18126056837263,0.917893541569414
ENSCPRG00005019100,0.808077298284854,7.83880857741125,0.131467326826686,0.917893541569414
ENSCPRG00005019098,0.741063592373919,3.01897251418384,0.177509322693663,0.917893541569414
ENSCPRG00005019086,-0.525344073712593,5.61935474100349,0.289003638683313,0.917893541569414
ENSCPRG00005019079,-0.754210001297837,8.47108460759478,0.110668628496696,0.917893541569414
ENSCPRG00005019077,-0.667313330350307,-0.360730993868959,0.431854051874293,0.917893541569414
ENSCPRG00005019071,-0.577825299035944,3.50698338697429,0.214337219187098,0.917893541569414
ENSCPRG00005019070,-0.569315280284571,3.93162525206902,0.234127617987004,0.917893541569414
ENSCPRG00005019054,-0.951948040384029,2.36172157037842,0.109887689626444,0.917893541569414
ENSCPRG00005019050,-0.683053514312535,8.47114610530871,0.145791617511959,0.917893541569414
ENSCPRG00005016214,-0.869628490068468,7.40279276693448,0.122323577472048,0.917893541569414
ENSCPRG00005019048,-0.500179115254126,4.40967542993494,0.367541710168847,0.917893541569414
ENSCPRG00005019047,-0.81957199060195,8.04357467347623,0.117870159011552,0.917893541569414
ENSCPRG00005019040,-1.17707501338318,0.445592907825736,0.148885618404925,0.917893541569414
ENSCPRG00005019038,0.312507963715878,4.07962952159539,0.45673941701123,0.917893541569414
ENSCPRG00005019035,-1.05814869074806,0.140431936150806,0.45998743964138,0.917893541569414
ENSCPRG00005019033,-0.501797961707247,5.41140804844722,0.275859805879536,0.917893541569414
ENSCPRG00005019026,-1.02412423015191,3.35507830690783,0.0689083003600556,0.917893541569414
ENSCPRG00005019025,-1.30750029034361,4.79886264287012,0.0826616354390746,0.917893541569414
ENSCPRG00005019022,-1.09441097888541,-0.767220476823277,0.318873919690285,0.917893541569414
ENSCPRG00005019019,-0.463914176148954,7.22263318241536,0.328692638946219,0.917893541569414
ENSCPRG00005019013,-1.53037041362368,3.25081981533129,0.0163672860994398,0.917893541569414
ENSCPRG00005019012,-0.535555458209646,8.95215100450604,0.313604410253921,0.917893541569414
ENSCPRG00005019008,-0.314905770247208,6.99832311138054,0.436078575100679,0.917893541569414
ENSCPRG00005019006,0.524706598951671,7.99099622166188,0.231481819643433,0.917893541569414
ENSCPRG00005019005,-0.547841790266354,3.73864798167168,0.367362323857578,0.917893541569414
ENSCPRG00005019003,2.01939735107013,-0.221334150280481,0.110479299185411,0.917893541569414
ENSCPRG00005018999,-1.47419889003274,-0.148417926801446,0.191592669910127,0.917893541569414
ENSCPRG00005018997,0.547740436179717,0.380694255161859,0.440681197261673,0.917893541569414
ENSCPRG00005018995,-0.689212101386337,4.63687556694051,0.170375075750796,0.917893541569414
ENSCPRG00005018987,-1.49419330116357,0.0725972387539188,0.0636868585876519,0.917893541569414
ENSCPRG00005018986,-0.454604772401115,6.74080918055241,0.377695909041223,0.917893541569414
ENSCPRG00005018970,0.367193938040839,3.46147442282932,0.420606160868015,0.917893541569414
ENSCPRG00005018965,0.755113058067382,5.2062573048545,0.122381963026982,0.917893541569414
ENSCPRG00005018964,-0.719574758137412,5.36424882440143,0.226182504729603,0.917893541569414
ENSCPRG00005018963,0.427597189307983,7.48319792027289,0.334888360665836,0.917893541569414
ENSCPRG00005018957,0.583049367020878,5.70720024109103,0.225239237716415,0.917893541569414
