,logFC,logCPM,PValue,QValue
ENSCPRG00005015943,7.182989604,1.998946998,4.07E-16,6.22E-12
ENSCPRG00005015564,6.977508652,-0.537165551,2.03E-07,0.001548922
ENSCPRG00005006749,3.419015021,0.602336033,7.46E-07,0.003800536
ENSCPRG00005006846,2.316354451,5.455013851,1.04E-05,0.028601901
ENSCPRG00005004140,3.974622776,1.861985233,1.05E-05,0.028601901
ENSCPRG00005008617,4.026000553,-0.273271782,1.12E-05,0.028601901
ENSCPRG00005014013,1.757893162,4.219531392,1.51E-05,0.029958129
ENSCPRG00005006763,1.987751113,7.471363761,1.57E-05,0.029958129
ENSCPRG00005014884,5.079247497,2.166850918,2.46E-05,0.039385564
ENSCPRG00005000694,2.461363391,2.955506269,2.58E-05,0.039385564
ENSCPRG00005017776,2.308359432,1.591258451,4.49E-05,0.062447145
ENSCPRG00005006849,2.522929394,0.720823242,5.69E-05,0.072437569
ENSCPRG00005017770,2.72615692,5.195419022,0.00011378,0.133761982
ENSCPRG00005009119,2.254435467,5.411957339,0.000215412,0.235152868
ENSCPRG00005015100,3.486340516,2.411919657,0.00052384,0.533723011
ENSCPRG00005015512,1.539852381,2.378100518,0.00156068,1
ENSCPRG00005010340,1.918058208,1.993347923,0.001977526,1
ENSCPRG00005018727,1.212237977,5.948957477,0.003151062,1
ENSCPRG00005018619,5.181997871,-1.276224474,0.004972676,1
ENSCPRG00005017658,1.389797,4.36854766,0.00620057,1
ENSCPRG00005017337,1.96894102,-0.486249711,0.010777834,1
ENSCPRG00005016881,5.20226377,-1.563650723,0.010926452,1
ENSCPRG00005015796,4.85857731,-1.743858919,0.011349395,1
ENSCPRG00005015685,-4.915597809,-1.244870761,0.019471704,1
ENSCPRG00005015398,4.698092339,-1.736491341,0.020113219,1
ENSCPRG00005014756,2.765895044,-0.666379283,0.020553509,1
ENSCPRG00005014388,1.955890195,-0.572364021,0.02163467,1
ENSCPRG00005014074,1.787888969,-0.202676209,0.02168264,1
ENSCPRG00005013932,3.210486648,-1.416116363,0.024188223,1
ENSCPRG00005013569,1.25525623,4.640941303,0.025043707,1
ENSCPRG00005013414,-2.780973875,-0.164000042,0.025061222,1
ENSCPRG00005013238,4.751128218,-1.594271518,0.027355464,1
ENSCPRG00005012836,0.805079366,6.090549384,0.027811442,1
ENSCPRG00005012573,4.605230057,-1.831070645,0.02815267,1
ENSCPRG00005012340,-2.454086321,-0.690742949,0.028279259,1
ENSCPRG00005012165,-1.723343149,0.24837427,0.028834609,1
ENSCPRG00005010947,3.172783012,-1.600918811,0.030237638,1
ENSCPRG00005010631,1.367682221,0.22790904,0.030465001,1
ENSCPRG00005008985,1.673989779,-0.300441167,0.034558072,1
ENSCPRG00005006630,-2.417083404,-0.35131485,0.034903698,1
ENSCPRG00005006048,-1.977320665,0.12189373,0.037833427,1
ENSCPRG00005005638,4.422849967,-1.559568356,0.038162294,1
ENSCPRG00005004394,1.715728918,-0.319551501,0.038268733,1
ENSCPRG00005004164,4.470572659,-1.811718917,0.04286198,1
ENSCPRG00005002370,-2.182770752,-0.587561984,0.04375953,1
ENSCPRG00005001477,4.372514252,-1.911023503,0.045020939,1
ENSCPRG00005000776,3.013934567,-1.48927048,0.045386967,1
ENSCPRG00005019208,-2.548424666,-0.527210548,0.045826623,1
ENSCPRG00005019205,3.154789311,-1.514420174,0.046423437,1
ENSCPRG00005019203,2.285819199,-1.305615517,0.049492403,1
ENSCPRG00005019198,5.31499857,-1.338698091,0.050643677,1
ENSCPRG00005019197,-0.985891114,4.025502245,0.052292104,1
ENSCPRG00005019193,1.19841853,0.750440265,0.052390175,1
ENSCPRG00005019192,-1.110624464,0.995778203,0.053232145,1
ENSCPRG00005019184,-0.844632524,5.776551432,0.053393916,1
ENSCPRG00005019181,2.67251347,-1.04807782,0.053632046,1
ENSCPRG00005019177,1.513549451,-0.173560723,0.053658852,1
ENSCPRG00005019173,1.101040732,0.853675674,0.054199714,1
ENSCPRG00005019170,-0.922992743,4.045708389,0.054608485,1
ENSCPRG00005019169,-2.609849417,-0.79163953,0.054691305,1
ENSCPRG00005019167,-0.817914834,5.31486528,0.054692148,1
ENSCPRG00005019165,4.27355795,-1.958669903,0.054946434,1
ENSCPRG00005019163,4.27355795,-1.958669903,0.054946434,1
ENSCPRG00005019162,4.27355795,-1.958669903,0.054946434,1
ENSCPRG00005019158,-1.29670037,3.360751162,0.057461038,1
ENSCPRG00005019156,-1.221966573,1.18002763,0.05816514,1
ENSCPRG00005019152,-2.214083896,-0.771283719,0.058468671,1
