,logFC,logCPM,PValue,QValue
ENSCPRG00005015943,7.18298960388664,1.99894699770446,4.070147526903e-16,6.22040646536586e-12
ENSCPRG00005015564,6.97750865156492,-0.537165550957692,2.02698695206293e-07,0.00154892207941889
ENSCPRG00005006749,3.41901502095367,0.602336032765517,7.460319994287e-07,0.00380053568242294
ENSCPRG00005006846,3.97462277592881,1.86198523299277,1.05377099945404e-05,0.0286019005022656
ENSCPRG00005004140,2.31635445147528,5.45501385096109,1.04395191285876e-05,0.0286019005022656
ENSCPRG00005008617,4.02600055280279,-0.273271782481343,1.12289081341094e-05,0.0286019005022656
ENSCPRG00005014013,1.75789316199154,4.21953139202296,1.51329625118458e-05,0.0299581289549134
ENSCPRG00005006763,1.98775111255095,7.47136376086654,1.56818053810971e-05,0.0299581289549134
ENSCPRG00005014884,5.0792474967883,2.16685091797111,2.46138752474146e-05,0.0393855638422183
ENSCPRG00005000694,2.46136339115418,2.95550626851431,2.57708328484056e-05,0.0393855638422183
ENSCPRG00005017776,2.30835943188148,1.59125845141265,4.49465808938143e-05,0.0624471450727422
ENSCPRG00005006849,2.52292939422999,0.720823241576862,5.68769765449032e-05,0.0724375693779797
ENSCPRG00005017770,2.72615691998634,5.19541902218399,0.000113780394540717,0.133761982289676
ENSCPRG00005009119,2.25443546742255,5.41195733882421,0.000215411905505831,0.235152867988973
ENSCPRG00005015100,3.48634051616648,2.41191965738672,0.00052383989837746,0.533723011126848
ENSCPRG00005015512,0,-2.41281998138349,1,1
ENSCPRG00005010340,0,-2.41281998138349,1,1
ENSCPRG00005018727,-0.292251207120961,5.95768569817388,0.852304270779118,1
ENSCPRG00005018619,0,-2.41281998138349,1,1
ENSCPRG00005017658,0,-2.41281998138349,1,1
ENSCPRG00005017337,-0.480169682932767,6.24675678797105,0.703007092709461,1
ENSCPRG00005016881,-0.757723264852479,3.94802684439508,0.40719256640283,1
ENSCPRG00005015796,0,-2.30516511289738,1,1
ENSCPRG00005015685,-0.219701607429012,1.64546663252643,0.734193902167799,1
ENSCPRG00005015398,0,-2.41281998138349,1,1
ENSCPRG00005014756,1.0617953946869,-1.23344364119432,0.393328312787741,1
ENSCPRG00005014388,0,-2.41281998138349,1,1
ENSCPRG00005014074,-0.0948330406457236,1.3548563786855,1,1
ENSCPRG00005013932,0,-2.41281998138349,1,1
ENSCPRG00005013569,-0.384953100673445,6.46914111481026,0.796093070769593,1
ENSCPRG00005013414,-0.29234765419264,-1.61361716851331,1,1
ENSCPRG00005013238,-1.43683792873405,-1.88530647419994,0.883981680338483,1
ENSCPRG00005012836,0,-2.41281998138349,1,1
ENSCPRG00005012573,0,-2.41281998138349,1,1
ENSCPRG00005012340,-0.30785433955375,13.0281208512971,0.787585423619278,1
ENSCPRG00005012165,-0.40127247033681,8.19929247825217,0.762830464317291,1
ENSCPRG00005010947,0,-2.41281998138349,1,1
ENSCPRG00005010631,-0.195599026271899,-1.99994399396445,1,1
ENSCPRG00005008985,-3.22488647683561,-2.06924438032837,0.507298485605268,1
ENSCPRG00005006630,-0.15172075394797,1.39786192177605,0.923864101386624,1
ENSCPRG00005006048,0,-2.41281998138349,1,1
ENSCPRG00005005638,0.74867877471648,-0.700502777581537,0.500363320677476,1
ENSCPRG00005004394,-0.431220945998287,2.66764078322825,0.510733188451704,1
ENSCPRG00005004164,0.0155798347115392,4.40672332759013,0.961187339406368,1
ENSCPRG00005002370,-0.0872415793865259,2.40646404731518,0.993041874960725,1
ENSCPRG00005001477,-0.79019750507925,-1.85085486931244,1,1
ENSCPRG00005000776,0,-2.41281998138349,1,1
ENSCPRG00005019208,0,-2.41281998138349,1,1
ENSCPRG00005019205,0,-2.41281998138349,1,1
ENSCPRG00005019203,0,-2.41281998138349,1,1
ENSCPRG00005019198,-0.028289278593112,1.74856010281257,1,1
ENSCPRG00005019197,0.228511940702116,2.15179981454902,0.640894853740892,1
ENSCPRG00005019193,0,-2.41281998138349,1,1
ENSCPRG00005019192,0,-2.41281998138349,1,1
ENSCPRG00005019184,0,-2.41281998138349,1,1
ENSCPRG00005019181,-0.181222068818874,4.21630540622871,0.69078749647526,1
ENSCPRG00005019177,0.591949088582514,-1.99159867170662,1,1
ENSCPRG00005019173,0.158613443532351,4.36036790136069,0.758780041168076,1
ENSCPRG00005019170,0.0765572518159726,8.22993562008709,0.832139029657169,1
ENSCPRG00005019169,0.203647469878402,9.39715983398922,0.631237880676144,1
ENSCPRG00005019167,0.0968123189952314,6.40134394835739,0.811608927572544,1
ENSCPRG00005019165,-0.600414663568672,3.47016225939775,0.458197403402658,1
ENSCPRG00005019163,0.239058208312953,3.6282787459902,0.60189820327914,1
ENSCPRG00005019162,0.0893087261482607,6.41123580609328,0.798401016132639,1
ENSCPRG00005019158,-0.237214782193172,4.34555229865171,0.578520104109234,1
ENSCPRG00005019156,-0.136799096041579,7.63739557298796,0.751537276825017,1
ENSCPRG00005019152,0.278325411652852,5.52029184522291,0.686313672015706,1
ENSCPRG00005019151,-3.22488647683561,-2.06924438032837,0.507298485605268,1
ENSCPRG00005019143,0,-2.41281998138349,1,1
ENSCPRG00005019138,0.33076643987201,5.22350550062977,0.397281881720812,1
ENSCPRG00005019125,0.113845656990138,5.89996241942285,0.776413222623973,1
ENSCPRG00005019121,-3.83708783421784,-1.89615521703613,0.205255623596328,1
ENSCPRG00005019120,-0.0192331421516878,8.2460747287991,0.974892367187364,1
ENSCPRG00005019115,0.0168394506693114,3.13401006691249,0.959210307565593,1
ENSCPRG00005019111,0.0820181903812679,4.41692949015346,0.827887029151971,1
ENSCPRG00005019109,-0.0549052264557129,6.20069358749949,0.901464352362261,1
ENSCPRG00005019106,-1.44545357155389,-1.42910839617991,0.579080517226456,1
ENSCPRG00005019105,-0.574206711775031,-0.00847319475483714,0.745332017664549,1
ENSCPRG00005019102,0.0925043608881556,8.08381014734801,0.787764360052009,1
ENSCPRG00005019100,0.264188615267484,7.95341175878464,0.656539405548722,1
ENSCPRG00005019098,0.468247908932924,2.92006993707604,0.390939764715261,1
ENSCPRG00005019097,0.0372274813425668,4.39305330970966,0.922494490668032,1
ENSCPRG00005019090,0.0968761200380235,6.86357785480489,0.79452401771019,1
ENSCPRG00005019086,-0.221076155041343,5.53627700919801,0.736533413419898,1
ENSCPRG00005019083,0,-2.41281998138349,1,1
ENSCPRG00005019079,-0.518118075975684,8.49758061633733,0.336807041783601,1
ENSCPRG00005019078,0.0810204114217979,4.8712026836254,0.836397103006367,1
ENSCPRG00005019077,-0.2480351524696,-0.647167456122362,0.928349784295137,1
ENSCPRG00005019075,0.0296414466391412,4.0175559900133,0.948860379755504,1
ENSCPRG00005019074,-0.25384751606972,0.750670739962732,0.736819412368085,1
ENSCPRG00005019071,-0.407513409535481,3.42993324951566,0.421992905875594,1
ENSCPRG00005019070,-0.401733407527832,3.89219332865247,0.435318824548082,1
ENSCPRG00005019063,-0.238550352539707,4.05989144445553,0.590424182637487,1
ENSCPRG00005019056,-0.0557580860168369,4.26517842379618,0.925941738409772,1
ENSCPRG00005019054,-0.808467263425751,2.379494916983,0.182281925694259,1
ENSCPRG00005019051,0,-2.41281998138349,1,1
ENSCPRG00005019050,-0.427203250158128,8.4695463769943,0.441854454492234,1
ENSCPRG00005016214,-0.523241458343513,7.38957204854368,0.470566369071138,1
ENSCPRG00005019048,-0.20683031258284,4.33495900688257,0.769616011708448,1
ENSCPRG00005019047,-0.53314727318791,8.06747455618122,0.392709360405693,1
ENSCPRG00005019044,0.0762208826250851,4.36764346823904,0.845562218196135,1
ENSCPRG00005019040,-0.782614331763383,0.318421698051986,0.529364390151772,1
ENSCPRG00005019038,0.135272297280286,4.157442406289,0.741605354243337,1
ENSCPRG00005019035,-0.525668791977264,0.0650272712169465,0.88602730499487,1
ENSCPRG00005019033,-0.251889295004453,5.38677597032873,0.654987264935385,1
ENSCPRG00005018354,0,-2.41281998138349,1,1
ENSCPRG00005019029,0.0746630568901481,10.8507283758262,0.837398803514616,1
ENSCPRG00005019026,-0.74657725942353,3.45561547020866,0.258079466502502,1
ENSCPRG00005019025,-0.887853973444822,4.7857560808941,0.362916766057317,1
ENSCPRG00005019022,-0.721510416521524,-0.894080527245853,0.676571874983359,1
ENSCPRG00005019019,-0.193921138195542,7.18930550254709,0.744746631197672,1
ENSCPRG00005019017,-0.0687989344167693,6.97984377789097,0.89757902777708,1
ENSCPRG00005019013,-1.29670037015634,3.36075116223446,0.0574610381593002,1
ENSCPRG00005019012,-0.22779134934312,8.93727705939199,0.737518924135952,1
ENSCPRG00005019008,-0.159089928480856,6.97490209688397,0.722065760785503,1
ENSCPRG00005019007,-0.0228595553574838,7.54445703994087,0.964123804138438,1
ENSCPRG00005019006,0.182391099622907,8.08301491576835,0.695025263973495,1
ENSCPRG00005019005,-0.278723076336591,3.73365346545966,0.69958542467926,1
ENSCPRG00005019003,1.47307087121383,-0.371406807456396,0.168686160533852,1
ENSCPRG00005019001,0.00310098445073677,5.92881064360897,0.981244485526962,1
ENSCPRG00005018999,-1.14995816915893,-0.17096129438321,0.432560364365706,1
ENSCPRG00005018997,0.334302743797701,0.344446891585238,0.616701967085348,1
ENSCPRG00005018996,-0.0120476685676931,5.84703216303706,0.990085857867813,1
ENSCPRG00005018995,-0.421431809454944,4.64602232293086,0.484125546545023,1
ENSCPRG00005018994,0.030019428886782,7.57801846507366,0.924714270489778,1
ENSCPRG00005018987,-1.72334314914155,0.24837426966666,0.0288346089111882,1
ENSCPRG00005018986,-0.124295461680709,6.64533174659966,0.869763681209827,1
ENSCPRG00005018983,-1.83605724798491,-2.29980652584813,1,1
ENSCPRG00005018974,-3.14758155187283,-2.00087646747488,0.507298485605268,1
ENSCPRG00005018970,0.213044914713683,3.49582579533282,0.625790212033164,1
ENSCPRG00005019140,-3.0973984105606,-2.01198532733107,0.507298485605268,1
ENSCPRG00005018969,0.149787940558835,6.81204733817966,0.672155017329421,1
ENSCPRG00005018967,0.0667542795866315,7.3256243862659,0.844985983946657,1
ENSCPRG00005018965,0.28749060051948,5.29367767206021,0.602583856740225,1
ENSCPRG00005018964,-0.331165850721413,5.28397557590923,0.695499221080524,1
ENSCPRG00005018963,0.125031860677207,7.55884280356655,0.778968485558432,1
ENSCPRG00005018961,0.02524561168587,1.29486851011481,1,1
ENSCPRG00005018960,3.30206032520518,-2.17005042354848,0.362604322280901,1
ENSCPRG00005018959,0.0381731716560077,0.746083415543879,1,1
ENSCPRG00005018957,0.25773322356675,5.76606018556566,0.602819122630268,1
ENSCPRG00005018955,-0.476271218292788,0.974845447001555,0.462813006959275,1
ENSCPRG00005018950,0.0859324621923977,8.04702416455753,0.843240352109401,1
ENSCPRG00005018947,-0.413822703554786,5.86523306283418,0.688572098579061,1
ENSCPRG00005018945,-0.531731922754786,0.709676389652434,0.527968901385321,1
ENSCPRG00005018940,-0.250811773506777,4.04261243256581,0.790798351121323,1
ENSCPRG00005018939,0.082288349122502,0.0689490602508591,0.998119472079771,1
ENSCPRG00005018938,-2.09762291232559,-1.05905240698494,0.0718025518066071,1
ENSCPRG00005018937,-0.286773973070875,5.4578240012131,0.768980394254619,1
ENSCPRG00005018935,0.188747465477059,3.02283340276513,0.68774380730952,1
ENSCPRG00005018933,0.470192530530146,0.411617865823202,0.622799823124373,1
ENSCPRG00005018932,0,-2.41281998138349,1,1
ENSCPRG00005018929,-0.34927737712224,3.9192919276766,0.588047750095238,1
ENSCPRG00005018927,-0.0090781742729757,4.90989816314471,0.99813851488835,1
ENSCPRG00005018926,0.227757236139199,5.82013243329717,0.56063821203446,1
ENSCPRG00005018925,0.114863263947457,6.49352271281082,0.790588767224902,1
ENSCPRG00005018924,-0.530194000071597,0.786938647858993,0.89400349529222,1
ENSCPRG00005018921,-0.389163564166,6.17644483064533,0.741828748560724,1
ENSCPRG00005018917,0.0401754816891226,6.697315535127,0.904636898188237,1
ENSCPRG00005018911,-0.247382306117964,5.10781711823939,0.762966594626661,1
ENSCPRG00005018909,0.289105348606859,-1.24556201612778,0.882119001946964,1
ENSCPRG00005018905,-0.466433124073861,4.96079948145577,0.703955143173359,1
ENSCPRG00005018904,-0.197407529746445,0.929695396653794,0.78821349181679,1
ENSCPRG00005018901,0,-2.41281998138349,1,1
ENSCPRG00005018900,-0.673399954921307,3.62992599883345,0.581485586862168,1
ENSCPRG00005018899,-0.344901458479953,3.23961456785525,0.821653904296343,1
ENSCPRG00005018897,-0.488056728372133,4.29710829918638,0.741715718468266,1
ENSCPRG00005018896,-0.249386708271346,5.28969073319704,0.748417357887365,1
ENSCPRG00005018893,-0.48582572751452,4.3543262479024,0.580774890861699,1
ENSCPRG00005018891,0,-2.41281998138349,1,1
ENSCPRG00005018890,-0.276760455906308,5.37450118331307,0.714726148753305,1
ENSCPRG00005018885,0,-2.41281998138349,1,1
ENSCPRG00005018881,-0.308638858787794,2.73112385361164,0.673686735836081,1
ENSCPRG00005018868,-0.0206394224638912,1.24422339763309,1,1
ENSCPRG00005018859,-1.83605724798491,-2.1080929387971,1,1
ENSCPRG00005018856,0.575347981540646,0.831908916488002,0.575578069729454,1
ENSCPRG00005018855,0,-2.41281998138349,1,1
ENSCPRG00005018854,0,-2.41281998138349,1,1
ENSCPRG00005018851,-0.0897609840178959,3.16398363010671,0.909435772987498,1
ENSCPRG00005018847,-0.152874076972691,3.82570072495393,0.739735452358657,1
ENSCPRG00005018845,-0.334536015748789,-2.09069417966002,1,1
ENSCPRG00005018844,0.0736109980271922,-0.00597223807078318,1,1
ENSCPRG00005018843,0,-2.41281998138349,1,1
ENSCPRG00005018840,0,-2.41281998138349,1,1
ENSCPRG00005018839,-0.310120940667408,4.64679480130945,0.470664186247303,1
ENSCPRG00005018832,-0.264957194993596,4.5089974461861,0.652132397223625,1
ENSCPRG00005018831,0,-2.41281998138349,1,1
