	khaleesi_control	achinoam_control	khaleesi_lps_4h	achinoam_lps_4h
ENSVKKG00000016197	39	97	30	292
ENSVKKG00000016192	4	5	9	9
ENSVKKG00000014375	380	300	268	285
ENSVKKG00000014249	64	138	56	447
ENSVKKG00000011906	160	305	109	199
ENSVKKG00000011465	5	4	1	4
ENSVKKG00000010506	0	3	3	1
ENSVKKG00000009845	25	60	21	33
ENSVKKG00000009619	59	24	52	46
ENSVKKG00000007984	37	18	43	24
ENSVKKG00000006369	14	11	13	19
ENSVKKG00000003956	29	22	4	14
ENSVKKG00000003277	5	2	8	2
ENSVKKG00000003089	4	20	29	86
ENSVKKG00000002805	32	40	38	37
ENSVKKG00000000925	45	23	41	43
ENSVKKG00000000711	142	172	79	167
ENSVKKG00000000688	984	623	707	749
ENSVKKG00000000513	23	7	16	11
ENSVKKG00000000131	1092	790	1197	1260
ENSVKKG00000018769	611	870	309	610
ENSVKKG00000018767	281	259	243	246
ENSVKKG00000018765	9	3	4	10
ENSVKKG00000018764	7	7	0	12
ENSVKKG00000018756	161	112	116	138
ENSVKKG00000018746	12	25	11	17
ENSVKKG00000018745	1481	1327	1042	1289
ENSVKKG00000018744	2289	3965	1950	3635
ENSVKKG00000018743	10	0	11	3
ENSVKKG00000018730	191	250	332	433
ENSVKKG00000018726	366	256	268	312
ENSVKKG00000018723	817	677	551	764
ENSVKKG00000018717	3347	2602	2412	2603
ENSVKKG00000018710	624	549	429	633
ENSVKKG00000018708	4	1	1	7
ENSVKKG00000018704	2377	2364	1900	3305
ENSVKKG00000018693	323	277	262	345
ENSVKKG00000018687	2574	480	2000	839
ENSVKKG00000018686	1557	882	1059	825
ENSVKKG00000018681	2	1	4	8
ENSVKKG00000018679	2095	2153	1487	2180
ENSVKKG00000018674	400	365	312	434
ENSVKKG00000018673	25	11	15	15
ENSVKKG00000018667	42	27	40	51
ENSVKKG00000018666	113	77	76	81
ENSVKKG00000018659	391	781	445	1043
ENSVKKG00000018658	965	838	685	817
ENSVKKG00000018655	968	1077	713	1162
ENSVKKG00000018649	242	161	192	181
ENSVKKG00000018647	13	18	10	19
ENSVKKG00000018646	2505	1984	2034	2471
ENSVKKG00000018644	18	9	10	19
ENSVKKG00000018642	784	885	639	832
ENSVKKG00000018639	375	495	215	243
ENSVKKG00000018638	4304	5157	2727	5398
ENSVKKG00000018637	3796	2764	2483	2808
ENSVKKG00000018635	367	340	213	262
ENSVKKG00000018634	136	123	90	166
ENSVKKG00000018633	481	494	326	434
ENSVKKG00000018631	205	119	166	124
ENSVKKG00000018620	395	863	265	940
ENSVKKG00000018612	0	0	3	3
