	khaleesi_control	khaleesi_pic_4h	khaleesi_lps_4h	khaleesi_lf_4h	achinoam_control	achinoam_pic_4h	achinoam_lps_4h	achinoam_lf_4h
ENSVKKG00000017411	0	0	0	0	0	0	0	0
ENSVKKG00000008954	0	0	0	0	0	0	0	0
ENSVKKG00000018228	0	0	0	0	0	0	0	0
ENSVKKG00000016434	0	0	0	0	0	0	0	0
ENSVKKG00000016346	0	0	0	0	0	0	0	0
ENSVKKG00000016197	39	84	30	34	97	360	292	131
ENSVKKG00000016192	4	3	9	4	5	7	9	1
ENSVKKG00000016101	0	0	0	0	0	0	0	0
ENSVKKG00000014375	380	211	268	384	300	204	285	268
ENSVKKG00000014249	64	244	56	44	138	1277	447	202
ENSVKKG00000014237	1	4	1	2	6	1	0	4
ENSVKKG00000013206	0	0	0	0	0	0	0	0
ENSVKKG00000012286	0	0	0	0	0	0	0	0
ENSVKKG00000011906	160	53	109	149	305	92	199	247
ENSVKKG00000011465	5	1	1	4	4	1	4	2
ENSVKKG00000010506	0	0	3	0	3	0	1	0
ENSVKKG00000010505	0	0	0	1	0	0	0	0
ENSVKKG00000009910	0	0	0	0	0	0	0	0
ENSVKKG00000009845	25	18	21	46	60	19	33	39
ENSVKKG00000009619	59	49	52	87	24	39	46	48
ENSVKKG00000007984	37	70	43	48	18	39	24	17
ENSVKKG00000007648	0	0	0	0	0	0	0	0
ENSVKKG00000006369	14	3	13	7	11	7	19	9
ENSVKKG00000006364	1	0	1	0	0	2	0	0
ENSVKKG00000006228	0	0	0	0	0	0	0	0
ENSVKKG00000005887	0	0	0	1	0	0	0	0
ENSVKKG00000004751	0	0	0	0	0	0	0	0
ENSVKKG00000003956	29	8	4	29	22	5	14	18
ENSVKKG00000003277	5	5	8	9	2	6	2	7
ENSVKKG00000003089	4	19	29	15	20	159	86	45
ENSVKKG00000002805	32	26	38	47	40	28	37	40
ENSVKKG00000001960	0	0	0	0	0	0	0	0
ENSVKKG00000001288	0	0	0	0	0	0	0	0
ENSVKKG00000000925	45	34	41	58	23	26	43	49
ENSVKKG00000000711	142	78	79	99	172	125	167	193
ENSVKKG00000000688	984	717	707	941	623	739	749	633
ENSVKKG00000000513	23	4	16	16	7	8	11	14
ENSVKKG00000000131	1092	1008	1197	1052	790	716	1260	749
ENSVKKG00000018772	0	0	0	0	2	0	0	0
ENSVKKG00000018771	0	0	0	0	0	0	0	0
ENSVKKG00000018769	611	493	309	538	870	722	610	804
ENSVKKG00000018767	281	204	243	345	259	202	246	264
ENSVKKG00000018765	9	4	4	3	3	4	10	1
ENSVKKG00000018764	7	7	0	1	7	3	12	1
ENSVKKG00000018763	0	0	0	0	0	0	0	0
ENSVKKG00000018758	0	0	0	0	1	0	0	0
ENSVKKG00000018756	161	85	116	95	112	148	138	109
ENSVKKG00000018749	1	0	0	0	0	0	1	0
ENSVKKG00000018746	12	16	11	13	25	21	17	13
ENSVKKG00000018745	1481	1153	1042	1438	1327	1327	1289	1241
ENSVKKG00000018744	2289	2262	1950	2150	3965	3422	3635	2738
ENSVKKG00000018743	10	5	11	7	0	3	3	2
ENSVKKG00000018740	0	1	0	0	0	0	0	0
ENSVKKG00000018734	2	0	0	0	0	0	0	0
ENSVKKG00000018730	191	159	332	229	250	185	433	222
ENSVKKG00000018726	366	253	268	394	256	249	312	249
ENSVKKG00000018725	0	0	0	0	0	1	0	0
ENSVKKG00000018723	817	570	551	713	677	628	764	729
ENSVKKG00000018722	0	0	0	0	0	0	0	0
ENSVKKG00000018720	0	0	0	0	0	0	0	0
ENSVKKG00000018717	3347	2015	2412	3299	2602	2193	2603	2656
ENSVKKG00000018715	0	0	0	0	0	0	0	0
ENSVKKG00000018714	0	0	0	0	0	0	0	0
ENSVKKG00000018710	624	363	429	563	549	556	633	522
ENSVKKG00000018708	4	4	1	2	1	6	7	7
ENSVKKG00000018704	2377	1898	1900	1955	2364	3189	3305	2631
ENSVKKG00000018693	323	184	262	278	277	217	345	268
ENSVKKG00000018691	0	0	0	0	0	0	0	0
ENSVKKG00000018689	0	0	0	0	0	0	0	0
ENSVKKG00000018687	2574	1436	2000	2184	480	1496	839	527
ENSVKKG00000018686	1557	1406	1059	1766	882	929	825	1031
ENSVKKG00000018681	2	4	4	5	1	7	8	2
ENSVKKG00000018679	2095	1355	1487	1839	2153	1981	2180	1934
ENSVKKG00000018676	0	0	0	1	0	0	1	0
ENSVKKG00000018674	400	248	312	334	365	333	434	402
ENSVKKG00000018673	25	7	15	30	11	11	15	20
ENSVKKG00000018671	1	0	1	0	1	0	0	0
ENSVKKG00000018667	42	35	40	41	27	35	51	43
ENSVKKG00000018666	113	61	76	120	77	73	81	89
ENSVKKG00000018662	0	0	0	0	0	0	0	0
ENSVKKG00000018659	391	170	445	284	781	663	1043	744
ENSVKKG00000018658	965	355	685	788	838	505	817	793
