,logFC,logCPM,PValue,QValue
ENSVKKG00000017411,5.386748506,-2.099735856,0.006113834,1
ENSVKKG00000008954,1.723224577,0.233498604,0.010674484,1
ENSVKKG00000018228,-2.350184178,-1.622488824,0.011005147,1
ENSVKKG00000016434,5.524463249,-2.183311754,0.013844894,1
ENSVKKG00000016346,-1.852485219,-0.309228921,0.014323988,1
ENSVKKG00000016197,2.548774882,-1.275341462,0.014814884,1
ENSVKKG00000016192,5.386383212,0.483907779,0.016151371,1
ENSVKKG00000016101,-3.115404843,-1.709781832,0.017584224,1
ENSVKKG00000014375,-1.350830752,0.597251996,0.021282015,1
ENSVKKG00000014249,5.074111817,-1.465764192,0.021965342,1
ENSVKKG00000014237,-5.024033851,-2.292058654,0.025029079,1
ENSVKKG00000013206,4.887159628,-2.13130859,0.028234833,1
ENSVKKG00000012286,-2.041661068,-0.103671739,0.028577176,1
ENSVKKG00000011906,-4.820582825,-2.14921964,0.03056614,1
ENSVKKG00000011465,2.109209818,-0.2741525,0.033314084,1
ENSVKKG00000010506,-1.121283627,0.736478954,0.033965452,1
ENSVKKG00000010505,4.889150936,-2.29233017,0.035715539,1
ENSVKKG00000009910,-1.35413624,-0.190330524,0.036979976,1
ENSVKKG00000009845,2.072211681,-0.295242205,0.037014928,1
ENSVKKG00000009619,-2.390352523,-1.628239796,0.037756291,1
ENSVKKG00000007984,0.525346657,8.361195426,0.038655001,1
ENSVKKG00000007648,6.225398223,-1.885438046,0.040648997,1
ENSVKKG00000006369,5.072778553,-2.334177056,0.041026533,1
ENSVKKG00000006364,1.067615449,1.242384543,0.043042296,1
ENSVKKG00000006228,-2.264402049,-1.825339034,0.043528095,1
ENSVKKG00000005887,-1.674507909,-0.573986218,0.044778039,1
ENSVKKG00000004751,2.378544809,-1.779723233,0.045706427,1
ENSVKKG00000003956,1.370569408,-0.382242178,0.046672815,1
ENSVKKG00000003277,1.312018154,0.92882815,0.047703274,1
ENSVKKG00000003089,1.246767241,1.133652955,0.05185984,1
ENSVKKG00000002805,1.294778977,-0.527683515,0.054098559,1
ENSVKKG00000001960,1.046807845,2.264751266,0.054128529,1
ENSVKKG00000001288,2.37920479,-1.819540127,0.05446548,1
ENSVKKG00000000925,-2.845130623,-2.095665758,0.055367054,1
ENSVKKG00000000711,-4.985907626,-2.302962468,0.055395362,1
ENSVKKG00000000688,2.735050146,-1.929452654,0.05567223,1
ENSVKKG00000000513,4.672129016,-2.562876215,0.058867487,1
ENSVKKG00000000131,-5.217959008,-1.703075621,0.058980276,1
ENSVKKG00000018772,0.542144277,4.738292951,0.059198079,1
ENSVKKG00000018771,-4.616154014,-2.625251304,0.060186196,1
ENSVKKG00000018769,-4.616160286,-2.624305245,0.06049657,1
ENSVKKG00000018767,-4.607855722,-2.038043966,0.060613804,1
ENSVKKG00000018765,-1.225849951,-0.02492293,0.065145105,1
ENSVKKG00000018764,-4.616250126,-2.567170097,0.065274798,1
ENSVKKG00000018763,-1.2783433,-0.578228638,0.065719871,1
ENSVKKG00000018758,1.138775356,-0.47034853,0.06683384,1
ENSVKKG00000018756,4.674615001,-2.620472997,0.067884965,1
ENSVKKG00000018749,3.212875135,-1.928245573,0.068582401,1
ENSVKKG00000018746,2.780601396,-2.045711318,0.069543435,1
ENSVKKG00000018745,-0.624184577,7.491467961,0.070468984,1
ENSVKKG00000018744,1.393986408,-0.734954696,0.072709901,1
ENSVKKG00000018743,1.441379978,-0.752060582,0.073085512,1
ENSVKKG00000018740,4.671848922,-2.245911513,0.073745742,1
ENSVKKG00000018734,0.582939326,5.785545101,0.076516427,1
ENSVKKG00000018730,-1.477984633,-0.425118026,0.076793441,1
ENSVKKG00000018726,-1.778393499,-1.593256057,0.080205493,1
ENSVKKG00000018725,-1.441953822,-1.079649319,0.080526376,1
ENSVKKG00000018723,-1.710428718,-0.776098201,0.081035319,1
ENSVKKG00000018722,5.075759307,-1.899151992,0.081169581,1
ENSVKKG00000018720,2.277023876,-1.818543397,0.08204492,1
ENSVKKG00000018717,2.779250876,-1.816859793,0.082073326,1
ENSVKKG00000018715,1.967527731,-1.501313211,0.082806431,1
ENSVKKG00000018714,4.421945422,-2.234895875,0.084078803,1
ENSVKKG00000018710,4.671703938,-2.492823099,0.084284768,1
ENSVKKG00000018708,1.942542986,-1.237127587,0.084544818,1
ENSVKKG00000018704,-1.540996613,-0.601096303,0.084973842,1
ENSVKKG00000018693,1.205282191,-0.333267389,0.085881594,1
ENSVKKG00000018691,1.48680632,0.520730655,0.086368442,1
ENSVKKG00000018689,0.501412673,5.056130212,0.086617139,1
ENSVKKG00000018687,-5.154879534,-1.959576451,0.086851077,1
ENSVKKG00000018686,4.421990593,-2.445691288,0.087089538,1
ENSVKKG00000018681,1.636768754,-0.995779029,0.088854196,1
ENSVKKG00000018679,0.834020247,1.051527588,0.090522462,1
ENSVKKG00000018676,-1.108311851,-0.400230902,0.090810388,1
ENSVKKG00000018674,1.769414845,-1.136853655,0.091071146,1
ENSVKKG00000018673,2.079074832,-1.705303233,0.091197781,1
ENSVKKG00000018671,-1.960745033,-1.576626211,0.0919893,1
ENSVKKG00000018667,-1.412658674,-1.347003417,0.092131534,1
ENSVKKG00000018666,1.015560599,1.908332147,0.092217912,1
ENSVKKG00000018662,-1.476070223,-0.952346673,0.092247855,1
ENSVKKG00000018659,1.069782705,0.370327977,0.093474051,1
ENSVKKG00000018658,0.89237968,1.64954881,0.093894565,1
ENSVKKG00000018655,2.251456871,-1.5457854,0.094685532,1
ENSVKKG00000018654,-0.860111094,0.715464762,0.094958701,1
ENSVKKG00000018653,1.194206409,-0.667773273,0.094998207,1
ENSVKKG00000018650,0.900353006,0.861244106,0.095477126,1
ENSVKKG00000018649,-2.676863134,-2.452030937,0.096505635,1
ENSVKKG00000018647,-1.585099953,-1.577828971,0.097641124,1
ENSVKKG00000018646,-0.875264899,1.218864058,0.097744729,1
ENSVKKG00000018644,1.853303638,-1.471737674,0.097869066,1
ENSVKKG00000018642,-2.485179469,-1.709418813,0.098699453,1
ENSVKKG00000018639,-1.343571899,-1.029783231,0.099006652,1
ENSVKKG00000018638,4.422155661,-2.627227868,0.100253431,1
ENSVKKG00000018637,4.420845298,-2.755421504,0.10139487,1
ENSVKKG00000018635,0.41901668,5.546688963,0.102338559,1
ENSVKKG00000018634,2.780800347,-2.284551451,0.102393766,1
ENSVKKG00000018633,1.804951197,-1.018512644,0.104160827,1
