,logFC,logCPM,PValue,QValue
ENSVKKG00000017411,0,-3.14673988884005,1,1
ENSVKKG00000008954,0,-3.14673988884005,1,1
ENSVKKG00000018228,0,-3.14673988884005,1,1
ENSVKKG00000016434,0,-3.14673988884005,1,1
ENSVKKG00000016346,0,-3.14673988884005,1,1
ENSVKKG00000016197,0.305730990125164,2.89121975102828,0.795203126930319,1
ENSVKKG00000016192,-0.761040630398052,-1.28298578653965,0.511838854247687,1
ENSVKKG00000016101,0,-3.14673988884005,1,1
ENSVKKG00000014375,0.00593728817410191,4.03542611610742,0.991070994099735,1
ENSVKKG00000014249,0.314211400925789,4.12166527743075,0.782204748615812,1
ENSVKKG00000014237,-0.187134749953102,-2.00204916957565,1,1
ENSVKKG00000013206,0,-3.14673988884005,1,1
ENSVKKG00000012286,0,-3.14673988884005,1,1
ENSVKKG00000011906,-0.194259639327443,3.20052966686883,0.719461799499149,1
ENSVKKG00000011465,-0.504658396354663,-1.91188282613998,0.67531327164539,1
ENSVKKG00000010506,-3.70650033743802,-2.61631513934172,0.37518854191995,1
ENSVKKG00000010505,2.34799879217805,-3.05933022393605,1,1
ENSVKKG00000009910,0,-3.14673988884005,1,1
ENSVKKG00000009845,0.036760680819822,0.95972457424516,0.978341342878729,1
ENSVKKG00000009619,0.78390443233099,1.58990855085514,0.250658245666816,1
ENSVKKG00000007984,0.321054403170743,1.21115759867298,0.71738596409695,1
ENSVKKG00000007648,0,-3.14673988884005,1,1
ENSVKKG00000006369,-0.574069268321257,-0.53377774339877,0.408511690565286,1
ENSVKKG00000006364,-2.2878610325332,-2.82273185165056,1,1
ENSVKKG00000006228,0,-3.14673988884005,1,1
ENSVKKG00000005887,2.34799879217805,-3.05933022393605,1,1
ENSVKKG00000004751,0,-3.14673988884005,1,1
ENSVKKG00000003956,-0.0506060625882779,0.00829251121421927,0.963934936725451,1
ENSVKKG00000003277,1.23536364166872,-1.21722246223625,0.287799286115632,1
ENSVKKG00000003089,1.33119358362115,1.44977382055813,0.280817273677479,1
ENSVKKG00000002805,0.325791867894894,1.11285913988958,0.541970729559957,1
ENSVKKG00000001960,0,-3.14673988884005,1,1
ENSVKKG00000001288,0,-3.14673988884005,1,1
ENSVKKG00000000925,0.727370505874467,1.25355929740037,0.216389164920808,1
ENSVKKG00000000711,-0.0549271844099271,2.89776008334448,0.917017919638684,1
ENSVKKG00000000688,0.0435031715318196,5.44714166420647,0.907224859189799,1
ENSVKKG00000000513,0.083947117131141,-0.305303097534101,0.951251776386659,1
ENSVKKG00000000131,0.00585438644809201,5.82472059911655,0.989786272753504,1
ENSVKKG00000018772,-3.16225947732055,-2.97709044376283,0.549134479568151,1
ENSVKKG00000018771,0,-3.14673988884005,1,1
ENSVKKG00000018769,-0.096437598769555,5.12858142193272,0.796239898627014,1
ENSVKKG00000018767,0.235011843617929,3.87449983777768,0.54591954167027,1
ENSVKKG00000018765,-1.45355347254179,-1.40399443884616,0.174299934235314,1
ENSVKKG00000018764,-2.60841822941492,-1.40701511205428,0.12501368278777,1
ENSVKKG00000018763,0,-3.14673988884005,1,1
ENSVKKG00000018758,-2.30909054056565,-3.05941341551314,1,1
ENSVKKG00000018756,-0.352112609895293,2.79073436394416,0.407768675834499,1
ENSVKKG00000018749,-2.2878610325332,-2.98225451792223,1,1
ENSVKKG00000018746,-0.461555534415537,0.0337863634706757,0.512356832164129,1
ENSVKKG00000018745,-0.00585180870181369,6.19684311936765,0.982987843060353,1
ENSVKKG00000018744,-0.315034835881598,7.30472980438596,0.407131045901752,1
ENSVKKG00000018743,-0.0361955982776025,-1.28977948943061,1,1
ENSVKKG00000018740,0,-3.05446019662264,1,1
ENSVKKG00000018734,-3.12599769045041,-2.98049348874669,0.549134479568151,1
ENSVKKG00000018730,0.0829526793096207,3.83444257786725,0.827053235701951,1
ENSVKKG00000018726,0.118403581915844,4.06998114374939,0.772332977936199,1
ENSVKKG00000018725,0,-3.0591644603536,1,1
ENSVKKG00000018723,0.0124497542318791,5.27282098960142,0.96347185285444,1
ENSVKKG00000018722,0,-3.14673988884005,1,1
ENSVKKG00000018720,0,-3.14673988884005,1,1
ENSVKKG00000018717,0.0681194354472387,7.22787088138749,0.819483740161672,1
ENSVKKG00000018715,0,-3.14673988884005,1,1
ENSVKKG00000018714,0,-3.14673988884005,1,1
ENSVKKG00000018710,-0.0503028516891926,4.90228177512841,0.854718367600822,1
ENSVKKG00000018708,0.887401582710405,-1.56983763259129,0.58456227013989,1
ENSVKKG00000018704,0.00892321116427755,7.11083594567704,0.976385960377202,1
ENSVKKG00000018693,-0.0732992164019457,3.93423635235628,0.820482041381857,1
ENSVKKG00000018691,0,-3.14673988884005,1,1
ENSVKKG00000018689,0,-3.14673988884005,1,1
ENSVKKG00000018687,-0.0654153194804339,6.39293468238883,0.947380152982836,1
ENSVKKG00000018686,0.275020970201639,6.09892375193715,0.603367431802067,1
ENSVKKG00000018681,1.21839639439197,-1.53063254044194,0.404436596479202,1
ENSVKKG00000018679,-0.114092346083686,6.72675735988399,0.629758112646287,1
ENSVKKG00000018676,2.34799879217805,-2.98047244385094,1,1
ENSVKKG00000018674,0.00428025978525455,4.32419424827816,0.994751210175772,1
ENSVKKG00000018673,0.548157575465223,0.0739358776867356,0.422269711756597,1
ENSVKKG00000018671,-3.14408971027094,-2.89704719694608,0.549134479568151,1
ENSVKKG00000018667,0.351165917788463,1.22912746227593,0.479349512895771,1
ENSVKKG00000018666,0.207186855984487,2.31970731876756,0.652092162074771,1
ENSVKKG00000018662,0,-3.14673988884005,1,1
ENSVKKG00000018659,-0.155387464404123,4.96111219584305,0.832513248986798,1
ENSVKKG00000018658,-0.127284061671969,5.33349033972333,0.620561935508613,1
ENSVKKG00000018655,-0.0804578574175659,5.71418244375273,0.757530114548548,1
ENSVKKG00000018654,0,-3.14673988884005,1,1
ENSVKKG00000018653,0,-3.14673988884005,1,1
ENSVKKG00000018650,0,-3.14673988884005,1,1
ENSVKKG00000018649,0.403268490599947,3.49247904823132,0.461287240464858,1
ENSVKKG00000018647,-0.722498922745844,-0.238411535617453,0.377493374492711,1
ENSVKKG00000018646,-0.194240697346285,6.92404336766315,0.478491374884115,1
ENSVKKG00000018644,0.837221414745944,-0.0993975036963781,0.266168339228596,1
ENSVKKG00000018642,-0.0343549220128174,5.47536416676003,0.908105795300229,1
ENSVKKG00000018639,-0.0513918442839616,4.17225482670454,0.885879746440373,1
ENSVKKG00000018638,-0.17444910646814,7.88649369154452,0.578358053200277,1
ENSVKKG00000018637,-0.0894284577578069,7.21408934955691,0.749440481345346,1
ENSVKKG00000018635,-0.101152459035143,3.99055149349442,0.755604082021873,1
ENSVKKG00000018634,0.136128893201225,2.84205861929373,0.728080465613227,1
ENSVKKG00000018633,0.205252230972855,4.55369447989143,0.485842476050869,1
ENSVKKG00000018631,0.0676296802696783,3.02981740178361,0.913631659703229,1
ENSVKKG00000018628,2.34799879217805,-3.05933022393605,1,1
ENSVKKG00000018620,0.183320889060382,5.04754188726058,0.783285373651744,1
ENSVKKG00000018618,2.34799879217805,-3.05933022393605,1,1
ENSVKKG00000018616,0,-3.14673988884005,1,1
ENSVKKG00000018615,0,-3.14673988884005,1,1
ENSVKKG00000018612,0,-2.55229243335772,1,1
ENSVKKG00000018605,0,-3.14673988884005,1,1
ENSVKKG00000018603,0,-3.14673988884005,1,1
ENSVKKG00000018602,0,-3.14673988884005,1,1
ENSVKKG00000018595,0,-3.14673988884005,1,1
ENSVKKG00000018594,0.0569322727314308,3.57293633696407,0.88860668684649,1
ENSVKKG00000018591,0,-3.05446019662264,1,1
ENSVKKG00000018590,0,-3.14673988884005,1,1
ENSVKKG00000018589,0,-3.14673988884005,1,1
ENSVKKG00000018588,-1.37475299317329,-2.51328981142959,0.55254049156836,1
ENSVKKG00000018587,0,-3.14673988884005,1,1
ENSVKKG00000018586,0.247018671699667,6.52905809047853,0.432170002522193,1
ENSVKKG00000018585,0.0500542944013376,1.88189974734161,0.938326399613279,1
