,logFC,logCPM,PValue,QValue
ENSVKKG00000003991,3.465463922,6.768532958,2.00E-36,3.64E-32
ENSVKKG00000008345,3.566041177,6.199821673,3.18E-26,2.89E-22
ENSVKKG00000012931,2.925276009,6.654440708,7.27E-19,4.40E-15
ENSVKKG00000015880,3.028294895,7.995429151,1.23E-18,5.57E-15
ENSVKKG00000007241,3.237623934,7.491467961,1.85E-18,6.73E-15
ENSVKKG00000012477,2.899258133,8.572532188,9.42E-18,2.85E-14
ENSVKKG00000017415,3.995476136,5.035606074,8.83E-17,2.29E-13
ENSVKKG00000010328,3.529253289,7.332622348,1.31E-16,2.97E-13
ENSVKKG00000011557,3.470995772,7.257796048,1.64E-15,3.31E-12
ENSVKKG00000014888,2.300468907,7.472940223,7.15E-13,1.20E-09
ENSVKKG00000002426,3.171486845,2.734378902,7.29E-13,1.20E-09
ENSVKKG00000008651,3.817898117,4.028603726,2.88E-12,4.36E-09
ENSVKKG00000018377,2.714892673,5.628336236,3.98E-12,5.56E-09
ENSVKKG00000006523,1.679844996,5.513836413,5.68E-12,7.37E-09
ENSVKKG00000003245,1.724414323,6.767317412,9.86E-12,1.19E-08
ENSVKKG00000001107,8.511225915,-0.029430929,1.92E-11,2.18E-08
ENSVKKG00000007460,3.163416345,4.466911047,1.16E-10,1.24E-07
ENSVKKG00000014231,3.308086729,4.249138914,2.57E-10,2.59E-07
ENSVKKG00000010115,2.979818467,4.098192143,1.18E-09,1.10E-06
ENSVKKG00000009105,1.555974247,7.753906007,1.21E-09,1.10E-06
ENSVKKG00000007188,1.577617899,6.086142268,5.43E-09,4.70E-06
ENSVKKG00000016523,-1.898590094,5.525218628,5.90E-09,4.76E-06
ENSVKKG00000006755,1.678175744,5.255718608,6.03E-09,4.76E-06
ENSVKKG00000006601,2.035092511,5.216988407,7.18E-09,5.44E-06
ENSVKKG00000017224,1.713135399,6.364350699,1.12E-08,8.14E-06
ENSVKKG00000011233,1.4997762,8.691533757,1.52E-08,1.03E-05
ENSVKKG00000001664,-3.110247936,1.634753358,1.58E-08,1.03E-05
ENSVKKG00000002663,8.548595517,-0.249639955,1.58E-08,1.03E-05
ENSVKKG00000008877,3.593651963,7.370974239,1.71E-08,1.07E-05
ENSVKKG00000003052,1.810213388,4.502646797,2.32E-08,1.37E-05
