Unnamed: 0	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-4h-LPS	Turtle-3-4h-LPS
ENSCPBG00000014498	21	22	25	8
ENSCPBG00000004815	14	17	15	110
ENSCPBG00000004641	25	39	42	203
ENSCPBG00000002755	49	43	46	160
ENSCPBG00000028372	184	216	313	330
ENSCPBG00000021014	5	2	0	1
ENSCPBG00000020177	4	2	2	193
ENSCPBG00000018823	186	180	180	243
ENSCPBG00000014801	3	0	2	3
ENSCPBG00000014213	5	5	3	20
ENSCPBG00000013646	447	441	493	461
ENSCPBG00000012991	302	334	407	324
ENSCPBG00000012751	1096	1155	1412	1421
ENSCPBG00000009852	4	6	7	5
ENSCPBG00000009612	1066	737	930	938
ENSCPBG00000008352	176	178	204	173
ENSCPBG00000007597	0	1	2	7
ENSCPBG00000006806	5786	5917	8184	7078
ENSCPBG00000006187	207	240	272	431
ENSCPBG00000004419	3191	4106	4831	539
ENSCPBG00000004409	5567	5649	6685	1176
ENSCPBG00000004148	7	10	25	12
ENSCPBG00000003947	6	1	3	2
ENSCPBG00000003871	1653	926	921	695
ENSCPBG00000003707	17	11	7	4
ENSCPBG00000003056	1071	1187	1419	163
ENSCPBG00000003052	6	6	11	6
ENSCPBG00000002987	3	2	1	1
ENSCPBG00000002032	13	5	4	20
ENSCPBG00000002023	235	274	302	257
ENSCPBG00000001987	2	3	0	1
ENSCPBG00000001820	5	5	6	58
ENSCPBG00000001225	16	19	19	75
ENSCPBG00000000832	1	2	5	5
ENSCPBG00000000468	46	24	18	33
ENSCPBG00000028437	57	50	62	86
ENSCPBG00000028436	4	2	6	9
ENSCPBG00000028426	166	179	222	120
ENSCPBG00000028425	232	208	275	68
ENSCPBG00000028422	1	0	2	3
ENSCPBG00000028421	363	297	348	560
ENSCPBG00000028407	446	354	466	738
ENSCPBG00000028406	257	268	408	360
ENSCPBG00000028405	471	444	548	360
ENSCPBG00000028404	493	448	545	825
ENSCPBG00000028402	642	547	729	1750
ENSCPBG00000028400	121	122	89	226
ENSCPBG00000028398	5	8	2	15
ENSCPBG00000028396	652	656	987	1038
ENSCPBG00000028395	1581	1647	2136	2451
ENSCPBG00000028394	84	60	76	2044
ENSCPBG00000028392	20	15	14	42
ENSCPBG00000028390	168	166	251	465
ENSCPBG00000028385	1491	1266	1666	2513
ENSCPBG00000028384	2	2	1	83
ENSCPBG00000028383	560	558	746	890
ENSCPBG00000028382	47	49	66	84
ENSCPBG00000028381	792	710	910	1419
ENSCPBG00000028380	29	28	29	275
ENSCPBG00000028379	2981	2612	3610	5400
ENSCPBG00000028377	593	439	657	1035
ENSCPBG00000028376	49	42	55	49
ENSCPBG00000028375	234	303	426	466
ENSCPBG00000028373	2	2	0	27
ENSCPBG00000028371	26	32	34	29
ENSCPBG00000028370	419	305	432	393
ENSCPBG00000028369	2	2	5	0
ENSCPBG00000028368	1	2	0	6
ENSCPBG00000028362	708	673	814	966
ENSCPBG00000028361	176	204	264	587
ENSCPBG00000028360	1058	1006	1151	2877
ENSCPBG00000028358	58	79	76	119
ENSCPBG00000028347	584	510	679	1733
ENSCPBG00000028344	134	132	148	1826
ENSCPBG00000028343	1283	1255	1664	1353
ENSCPBG00000028342	565	554	746	2200
ENSCPBG00000028340	20	19	37	27
ENSCPBG00000028333	233	346	422	429
ENSCPBG00000028324	162	112	156	573
ENSCPBG00000028301	83	63	67	53
ENSCPBG00000028300	2	7	5	8
ENSCPBG00000028299	1269	944	1237	2252
ENSCPBG00000028297	597	577	758	1142
ENSCPBG00000028294	265	234	292	522
ENSCPBG00000028293	325	353	463	668
ENSCPBG00000028289	63	61	81	83
ENSCPBG00000028288	326	409	472	1007
ENSCPBG00000028286	22	42	44	17
ENSCPBG00000028285	270	250	322	784
ENSCPBG00000028279	9071	10002	12304	11656
ENSCPBG00000028278	1	8	2	12
ENSCPBG00000028276	120	115	135	205
ENSCPBG00000028273	106	123	108	186
ENSCPBG00000028270	466	542	689	737
ENSCPBG00000028268	99	95	108	96
ENSCPBG00000028258	383	420	578	1120
ENSCPBG00000028249	182	180	267	424
ENSCPBG00000028245	24	21	28	533
ENSCPBG00000028243	73	50	96	85
ENSCPBG00000028233	10	2	13	49
ENSCPBG00000028229	9	8	12	16
ENSCPBG00000028223	116	143	169	124
ENSCPBG00000028221	625	491	620	762
ENSCPBG00000028220	1781	1255	1874	5010
ENSCPBG00000028219	8	9	11	43
ENSCPBG00000028218	120	96	136	96
ENSCPBG00000028214	143	121	142	213
ENSCPBG00000028203	5	12	10	14
ENSCPBG00000028201	36	76	60	45
ENSCPBG00000028198	138	112	153	197
ENSCPBG00000028192	389	365	362	96
ENSCPBG00000028189	494	499	552	665
ENSCPBG00000028187	21	35	58	41
ENSCPBG00000028186	5	13	5	4
ENSCPBG00000028185	52	41	67	186
ENSCPBG00000028181	590	452	572	1104
ENSCPBG00000028179	178	148	167	352
ENSCPBG00000028175	8	2	13	55
ENSCPBG00000028173	8	4	3	10
ENSCPBG00000028171	11	6	17	84
ENSCPBG00000028168	7	3	4	35
ENSCPBG00000028159	158	105	159	24
ENSCPBG00000028158	75	53	65	110
ENSCPBG00000028155	78	66	68	83
ENSCPBG00000028151	6842	5887	7867	12230
ENSCPBG00000028147	539	610	719	1674
ENSCPBG00000028144	14	15	16	18
ENSCPBG00000028143	3	2	0	15
ENSCPBG00000028138	79	95	144	58
ENSCPBG00000028135	37289	28068	35629	20816
ENSCPBG00000028134	170	120	153	99
ENSCPBG00000028133	796	633	827	1372
ENSCPBG00000028130	12	21	19	3
ENSCPBG00000028118	8	3	2	1
ENSCPBG00000028117	655	562	638	1113
ENSCPBG00000028116	593	477	591	1147
ENSCPBG00000028114	308	221	267	597
ENSCPBG00000028103	421	425	504	497
ENSCPBG00000028101	2121	2052	2754	6094
ENSCPBG00000028099	334	307	392	460
ENSCPBG00000028097	194	250	238	216
ENSCPBG00000028086	1302	1245	1727	1473
ENSCPBG00000028081	235	215	266	482
ENSCPBG00000028079	23	12	28	41
ENSCPBG00000028078	58	69	109	103
ENSCPBG00000028074	2420	1992	2549	3317
ENSCPBG00000028072	8	10	9	35
ENSCPBG00000028071	104	112	115	165
ENSCPBG00000028069	37	36	56	83
ENSCPBG00000028068	552	516	635	534
ENSCPBG00000028067	214	232	299	525
ENSCPBG00000028065	1163	1118	1492	1591
ENSCPBG00000028064	2	0	8	83
ENSCPBG00000028063	5	3	6	408
ENSCPBG00000028062	106	86	147	157
ENSCPBG00000028060	283	301	315	522
ENSCPBG00000028059	535	500	671	1284
ENSCPBG00000028057	6	3	2	658
ENSCPBG00000028055	105	79	73	121
ENSCPBG00000028054	405	381	494	275
ENSCPBG00000028053	5169	4180	5345	11134
ENSCPBG00000028046	201	207	250	274
ENSCPBG00000028043	32	44	46	136
ENSCPBG00000028041	223	215	248	624
ENSCPBG00000028040	317	217	292	544
ENSCPBG00000028039	190	197	259	98
ENSCPBG00000028035	11	9	15	40
ENSCPBG00000028034	1856	1643	1807	4244
ENSCPBG00000028029	199	167	201	591
ENSCPBG00000028027	1368	1303	1501	1341
ENSCPBG00000028022	25	17	27	13
ENSCPBG00000028020	1	3	0	143
ENSCPBG00000028019	7	3	14	101
ENSCPBG00000028017	287	258	303	735
ENSCPBG00000028016	199	143	173	884
ENSCPBG00000028009	773	703	834	1495
ENSCPBG00000028003	16	17	16	8
ENSCPBG00000027999	760	608	914	5004
ENSCPBG00000027994	1	0	3	87
ENSCPBG00000027991	374	378	493	636
ENSCPBG00000027982	7	7	19	33
ENSCPBG00000027977	117	92	134	196
ENSCPBG00000027975	3589	3110	4224	3897
ENSCPBG00000027973	239	205	284	512
ENSCPBG00000027970	260	189	276	299
ENSCPBG00000027964	493	437	617	1555
ENSCPBG00000027960	2056	1967	2504	2226
ENSCPBG00000027958	62	49	58	74
ENSCPBG00000027952	172	187	199	211
ENSCPBG00000027951	2917	2427	2874	4689
ENSCPBG00000027949	1973	1658	1895	112
ENSCPBG00000027932	289	297	410	576
ENSCPBG00000027927	1494	1858	2511	1604
ENSCPBG00000027926	196	215	230	271
ENSCPBG00000027925	276	237	265	602
ENSCPBG00000027923	56	62	97	23
ENSCPBG00000027918	24	32	59	37
ENSCPBG00000027917	6	3	5	8
ENSCPBG00000027916	0	1	4	2
ENSCPBG00000027913	249	199	270	390
ENSCPBG00000027911	841	767	974	3286
ENSCPBG00000027905	231	216	239	655
ENSCPBG00000027904	10	9	12	389
ENSCPBG00000027903	34	18	65	34
ENSCPBG00000027902	248	197	173	16091
ENSCPBG00000027891	48	47	61	9
ENSCPBG00000027890	4	3	2	1
ENSCPBG00000027889	2	1	2	0
ENSCPBG00000027888	317	345	433	577
ENSCPBG00000027886	2	1	3	81
ENSCPBG00000027885	8403	7237	8857	6630
ENSCPBG00000027878	2	1	3	0
ENSCPBG00000027874	2	6	5	0
ENSCPBG00000027873	42	63	105	22
ENSCPBG00000027871	364	322	377	304
ENSCPBG00000027867	9	9	8	15
ENSCPBG00000027863	35	54	63	56
ENSCPBG00000027861	2	1	0	2
ENSCPBG00000027860	84	42	56	347
ENSCPBG00000027859	936	958	1391	1865
ENSCPBG00000027858	967	926	1191	2039
ENSCPBG00000027857	850	983	1242	2999
ENSCPBG00000027855	257	269	325	486
ENSCPBG00000027854	5	3	3	7
ENSCPBG00000027852	259	222	247	359
ENSCPBG00000027846	503	468	656	704
ENSCPBG00000027840	167	168	213	432
ENSCPBG00000013969	110	86	115	85
ENSCPBG00000004944	52	46	54	113
ENSCPBG00000013967	47	27	33	38
ENSCPBG00000020981	1	2	2	0
ENSCPBG00000013955	312	220	306	255
ENSCPBG00000024122	3	1	1	2
ENSCPBG00000013944	3	8	3	17
ENSCPBG00000011150	3789	3351	4747	5059
ENSCPBG00000013935	1	5	3	233
ENSCPBG00000013923	8	1	6	28
ENSCPBG00000003211	25	28	31	64
ENSCPBG00000016789	242	192	226	176
ENSCPBG00000023836	1912	1612	2003	2102
ENSCPBG00000013920	869	765	1072	1778
ENSCPBG00000013915	1389	1325	1556	5752
ENSCPBG00000013906	203	335	463	500
ENSCPBG00000020010	259	212	266	220
ENSCPBG00000009847	226	123	161	442
ENSCPBG00000005719	30	9	16	75
ENSCPBG00000014042	247	226	269	3786
ENSCPBG00000013893	111	76	74	138
ENSCPBG00000013889	432	385	462	1083
ENSCPBG00000002440	2	8	15	13
ENSCPBG00000013887	439	484	561	1211
ENSCPBG00000013879	78	76	86	121
ENSCPBG00000013877	6	11	7	104
ENSCPBG00000017480	1090	1168	1623	2170
ENSCPBG00000009718	493	476	553	5496
ENSCPBG00000025962	832	740	931	2122
ENSCPBG00000025814	431	315	405	515
ENSCPBG00000002970	216	180	244	618
ENSCPBG00000022372	121	141	174	294
ENSCPBG00000027455	57	74	81	117
ENSCPBG00000013846	989	798	1049	2042
ENSCPBG00000019486	245	271	309	522
ENSCPBG00000013835	36	31	45	42
ENSCPBG00000026979	505	387	451	555
ENSCPBG00000013832	211	255	334	329
ENSCPBG00000013830	142	126	158	202
ENSCPBG00000009295	93	123	143	0
ENSCPBG00000013827	4	1	1	18
ENSCPBG00000011194	855	851	1139	756
ENSCPBG00000017868	218	168	252	292
ENSCPBG00000000026	10	9	33	23
ENSCPBG00000020282	179	196	254	374
ENSCPBG00000016829	2	2	4	48
ENSCPBG00000023220	78	53	80	27
ENSCPBG00000013795	251	202	290	273
ENSCPBG00000013792	64	38	46	63
ENSCPBG00000013788	22	11	13	27
ENSCPBG00000023509	10	6	9	25
ENSCPBG00000020135	360	314	425	531
ENSCPBG00000013778	82	106	90	154
ENSCPBG00000022437	778	625	884	721
ENSCPBG00000027443	68	64	94	356
ENSCPBG00000013774	898	1017	1250	1412
ENSCPBG00000013772	247	205	241	275
ENSCPBG00000013771	525	499	628	425
ENSCPBG00000028028	4	0	2	20
ENSCPBG00000003481	990	1026	1268	1787
ENSCPBG00000017949	1604	1544	1976	1434
ENSCPBG00000013757	151	149	200	226
ENSCPBG00000027565	466	525	591	4006
ENSCPBG00000007652	136	170	248	213
ENSCPBG00000013750	70	71	83	57
ENSCPBG00000023657	4	0	7	19
ENSCPBG00000011148	1198	1088	1583	1541
ENSCPBG00000013744	122	119	123	1556
ENSCPBG00000012946	442	461	527	284
ENSCPBG00000017223	152	121	158	1754
ENSCPBG00000001407	421	318	420	338
ENSCPBG00000013734	353	310	362	1948
ENSCPBG00000013731	121	161	156	99
ENSCPBG00000013725	447	408	475	1311
ENSCPBG00000013717	11	20	28	19
ENSCPBG00000018601	20	27	31	103
ENSCPBG00000013714	7171	6625	8796	12521
ENSCPBG00000003378	910	619	807	1110
ENSCPBG00000013709	3	0	2	0
ENSCPBG00000028391	121	93	141	136
ENSCPBG00000015868	4	10	5	16
ENSCPBG00000013705	3	5	11	7
ENSCPBG00000013704	1026	721	989	919
ENSCPBG00000013699	45	44	51	31
ENSCPBG00000013694	180	139	164	562
ENSCPBG00000013693	67	62	121	83
ENSCPBG00000013688	335	343	359	502
ENSCPBG00000024358	0	3	3	1
ENSCPBG00000012670	66	53	57	107
ENSCPBG00000013686	216	173	186	1558
ENSCPBG00000013685	165	89	125	298
ENSCPBG00000027355	127	109	113	404
ENSCPBG00000019696	118	139	173	90
ENSCPBG00000013671	621	536	742	461
ENSCPBG00000013670	314	282	369	528
ENSCPBG00000015839	377	538	646	1086
ENSCPBG00000013821	209	141	177	261
ENSCPBG00000013338	131	196	250	170
ENSCPBG00000013657	1537	1175	1466	4866
ENSCPBG00000023947	2211	2221	2788	4667
ENSCPBG00000013656	3913	3253	3635	5854
ENSCPBG00000013653	36	46	49	93
ENSCPBG00000013652	418	340	412	335
ENSCPBG00000021070	930	1092	1351	1240
ENSCPBG00000013641	5	0	0	4
ENSCPBG00000016506	20	11	13	44
ENSCPBG00000016953	20	18	21	48
