	turtle_3_control_1	turtle_3_control_2	turtle_3_lps_4h	turtle_5_lps_4h
ENSCPBG00000014498	20	2	8	25
ENSCPBG00000004815	169	68	110	15
ENSCPBG00000004641	154	104	203	42
ENSCPBG00000002755	221	115	160	46
ENSCPBG00000028372	423	202	330	313
ENSCPBG00000021014	3	3	1	0
ENSCPBG00000020177	305	88	193	2
ENSCPBG00000018823	407	192	243	180
ENSCPBG00000014801	1	0	3	2
ENSCPBG00000014213	23	18	20	3
ENSCPBG00000013646	619	299	461	493
ENSCPBG00000012991	371	140	324	407
ENSCPBG00000012751	1833	833	1421	1412
ENSCPBG00000009852	1	6	5	7
ENSCPBG00000009612	1272	624	938	930
ENSCPBG00000008352	189	98	173	204
ENSCPBG00000007597	10	7	7	2
ENSCPBG00000006806	8387	3916	7078	8184
ENSCPBG00000006187	423	142	431	272
ENSCPBG00000004419	779	293	539	4831
ENSCPBG00000004409	1849	672	1176	6685
ENSCPBG00000004148	30	5	12	25
ENSCPBG00000003947	0	0	2	3
ENSCPBG00000003871	886	1475	695	921
ENSCPBG00000003707	17	3	4	7
ENSCPBG00000003056	271	104	163	1419
ENSCPBG00000003052	22	1	6	11
ENSCPBG00000002032	12	15	20	4
ENSCPBG00000002023	376	101	257	302
ENSCPBG00000001820	85	31	58	6
ENSCPBG00000001225	76	37	75	19
ENSCPBG00000000832	2	1	5	5
ENSCPBG00000000468	41	29	33	18
ENSCPBG00000028437	144	64	86	62
ENSCPBG00000028436	15	2	9	6
ENSCPBG00000028426	159	67	120	222
ENSCPBG00000028425	72	37	68	275
ENSCPBG00000028422	3	1	3	2
ENSCPBG00000028421	729	282	560	348
ENSCPBG00000028414	24	13	11	1
ENSCPBG00000028407	1013	405	738	466
ENSCPBG00000028406	579	250	360	408
ENSCPBG00000028405	393	145	360	548
ENSCPBG00000028404	1212	498	825	545
ENSCPBG00000028402	2305	927	1750	729
ENSCPBG00000028400	369	141	226	89
ENSCPBG00000028398	8	0	15	2
ENSCPBG00000028396	1362	517	1038	987
ENSCPBG00000028395	2968	1082	2451	2136
ENSCPBG00000028394	2563	1100	2044	76
ENSCPBG00000028392	60	21	42	14
ENSCPBG00000028390	577	183	465	251
ENSCPBG00000028385	3379	1273	2513	1666
ENSCPBG00000028384	76	31	83	1
ENSCPBG00000028383	1126	367	890	746
ENSCPBG00000028382	144	56	84	66
ENSCPBG00000028381	2043	941	1419	910
ENSCPBG00000028380	340	108	275	29
ENSCPBG00000028379	8890	2667	5400	3610
ENSCPBG00000028377	1636	665	1035	657
ENSCPBG00000028376	38	28	49	55
ENSCPBG00000028375	578	189	466	426
ENSCPBG00000028373	15	8	27	0
ENSCPBG00000028371	46	14	29	34
ENSCPBG00000028370	546	246	393	432
ENSCPBG00000028368	10	1	6	0
ENSCPBG00000028362	926	468	966	814
ENSCPBG00000028361	767	258	587	264
ENSCPBG00000028360	4276	1686	2877	1151
ENSCPBG00000028358	142	53	119	76
ENSCPBG00000028347	2309	807	1733	679
ENSCPBG00000028344	1643	689	1826	148
ENSCPBG00000028343	1782	734	1353	1664
ENSCPBG00000028342	2303	751	2200	746
ENSCPBG00000028340	62	22	27	37
ENSCPBG00000028333	523	192	429	422
ENSCPBG00000028324	710	279	573	156
ENSCPBG00000028309	3	1	0	2
ENSCPBG00000028301	55	23	53	67
ENSCPBG00000028300	5	3	8	5
ENSCPBG00000028299	3480	1512	2252	1237
ENSCPBG00000028297	1446	533	1142	758
ENSCPBG00000028294	720	243	522	292
ENSCPBG00000028293	916	297	668	463
ENSCPBG00000028289	141	60	83	81
ENSCPBG00000028288	1446	436	1007	472
ENSCPBG00000028286	21	7	17	44
ENSCPBG00000028285	939	395	784	322
ENSCPBG00000028279	15945	5787	11656	12304
ENSCPBG00000028278	10	11	12	2
ENSCPBG00000028276	174	85	205	135
ENSCPBG00000028275	0	2	3	0
ENSCPBG00000028273	121	74	186	108
ENSCPBG00000028270	850	303	737	689
ENSCPBG00000028268	140	45	96	108
ENSCPBG00000028258	1436	395	1120	578
ENSCPBG00000028249	495	182	424	267
ENSCPBG00000028245	582	230	533	28
ENSCPBG00000028243	115	65	85	96
ENSCPBG00000028233	73	33	49	13
ENSCPBG00000028229	13	6	16	12
ENSCPBG00000028223	104	71	124	169
ENSCPBG00000028221	926	472	762	620
ENSCPBG00000028220	7148	3281	5010	1874
ENSCPBG00000028219	43	15	43	11
ENSCPBG00000028218	115	77	96	136
ENSCPBG00000028214	299	101	213	142
ENSCPBG00000028203	24	10	14	10
ENSCPBG00000028201	69	16	45	60
ENSCPBG00000028198	211	129	197	153
ENSCPBG00000028196	3	5	6	0
ENSCPBG00000028192	89	55	96	362
ENSCPBG00000028189	921	368	665	552
ENSCPBG00000028187	72	17	41	58
ENSCPBG00000028186	4	4	4	5
ENSCPBG00000028185	241	120	186	67
ENSCPBG00000028183	3	2	2	0
ENSCPBG00000028181	1704	750	1104	572
ENSCPBG00000028179	522	220	352	167
ENSCPBG00000028175	93	32	55	13
ENSCPBG00000028173	13	3	10	3
ENSCPBG00000028171	91	34	84	17
ENSCPBG00000028168	43	13	35	4
ENSCPBG00000028159	53	25	24	159
ENSCPBG00000028158	210	58	110	65
ENSCPBG00000028155	69	38	83	68
ENSCPBG00000028151	17124	7248	12230	7867
ENSCPBG00000028147	2338	901	1674	719
ENSCPBG00000028144	11	6	18	16
ENSCPBG00000028143	11	6	15	0
ENSCPBG00000028138	55	27	58	144
ENSCPBG00000028135	35304	15190	20816	35629
ENSCPBG00000028134	131	52	99	153
ENSCPBG00000028133	1524	759	1372	827
ENSCPBG00000028130	5	8	3	19
ENSCPBG00000028117	1485	641	1113	638
ENSCPBG00000028116	1636	788	1147	591
ENSCPBG00000028114	866	355	597	267
ENSCPBG00000028103	617	236	497	504
ENSCPBG00000028101	8627	3453	6094	2754
ENSCPBG00000028099	595	201	460	392
ENSCPBG00000028097	335	116	216	238
ENSCPBG00000028086	1971	706	1473	1727
ENSCPBG00000028081	599	229	482	266
ENSCPBG00000028079	50	33	41	28
ENSCPBG00000028078	144	42	103	109
ENSCPBG00000028074	4676	1643	3317	2549
ENSCPBG00000028072	42	11	35	9
ENSCPBG00000028071	211	96	165	115
ENSCPBG00000028069	93	40	83	56
ENSCPBG00000028068	769	437	534	635
ENSCPBG00000028067	664	277	525	299
ENSCPBG00000028065	1973	805	1591	1492
ENSCPBG00000028064	114	51	83	8
ENSCPBG00000028063	555	154	408	6
ENSCPBG00000028062	139	72	157	147
ENSCPBG00000028060	658	299	522	315
ENSCPBG00000028059	1673	736	1284	671
ENSCPBG00000028057	607	339	658	2
ENSCPBG00000028055	158	61	121	73
ENSCPBG00000028054	419	106	275	494
ENSCPBG00000028053	16299	6573	11134	5345
ENSCPBG00000028046	257	171	274	250
ENSCPBG00000028043	119	73	136	46
ENSCPBG00000028041	806	370	624	248
ENSCPBG00000028040	847	293	544	292
ENSCPBG00000028039	170	83	98	259
ENSCPBG00000028035	80	23	40	15
ENSCPBG00000028034	5427	2119	4244	1807
ENSCPBG00000028031	4	3	3	1
ENSCPBG00000028029	975	344	591	201
ENSCPBG00000028027	1943	787	1341	1501
ENSCPBG00000028022	27	15	13	27
ENSCPBG00000028020	216	79	143	0
ENSCPBG00000028019	117	46	101	14
ENSCPBG00000028017	674	283	735	303
ENSCPBG00000028016	1223	610	884	173
ENSCPBG00000028009	1521	893	1495	834
ENSCPBG00000028003	12	1	8	16
ENSCPBG00000027999	6202	2747	5004	914
ENSCPBG00000027994	66	44	87	3
ENSCPBG00000027991	727	315	636	493
ENSCPBG00000027982	44	16	33	19
ENSCPBG00000027977	300	126	196	134
ENSCPBG00000027975	5357	2184	3897	4224
ENSCPBG00000027973	440	179	512	284
ENSCPBG00000027970	513	187	299	276
ENSCPBG00000027964	2030	645	1555	617
ENSCPBG00000027960	2626	1404	2226	2504
ENSCPBG00000027958	109	38	74	58
ENSCPBG00000027952	303	99	211	199
ENSCPBG00000027951	6023	2655	4689	2874
ENSCPBG00000027949	114	44	112	1895
ENSCPBG00000027932	673	204	576	410
ENSCPBG00000027927	2209	775	1604	2511
ENSCPBG00000027926	394	114	271	230
ENSCPBG00000027925	841	291	602	265
ENSCPBG00000027923	46	16	23	97
ENSCPBG00000027918	67	29	37	59
ENSCPBG00000027917	13	6	8	5
ENSCPBG00000027916	0	0	2	4
ENSCPBG00000027913	495	198	390	270
ENSCPBG00000027911	4459	1866	3286	974
ENSCPBG00000027905	864	362	655	239
ENSCPBG00000027904	372	135	389	12
ENSCPBG00000027903	71	25	34	65
ENSCPBG00000027902	20932	8024	16091	173
ENSCPBG00000027899	92	28	74	0
ENSCPBG00000027894	133	65	102	0
ENSCPBG00000027891	31	12	9	61
ENSCPBG00000027890	7	2	1	2
ENSCPBG00000027888	870	355	577	433
ENSCPBG00000027886	78	48	81	3
ENSCPBG00000027885	9021	4422	6630	8857
ENSCPBG00000027873	23	21	22	105
ENSCPBG00000027871	437	151	304	377
ENSCPBG00000027867	21	11	15	8
ENSCPBG00000027863	75	39	56	63
ENSCPBG00000027861	4	1	2	0
ENSCPBG00000027860	551	188	347	56
ENSCPBG00000027859	2271	821	1865	1391
ENSCPBG00000027858	2621	1119	2039	1191
ENSCPBG00000027857	2941	886	2999	1242
ENSCPBG00000027855	763	243	486	325
ENSCPBG00000027854	6	1	7	3
ENSCPBG00000027853	9	5	7	0
ENSCPBG00000027852	357	153	359	247
ENSCPBG00000027846	929	373	704	656
ENSCPBG00000027840	497	189	432	213
ENSCPBG00000013969	105	52	85	115
ENSCPBG00000004944	155	72	113	54
ENSCPBG00000013967	53	21	38	33
ENSCPBG00000013955	450	128	255	306
ENSCPBG00000024122	5	1	2	1
ENSCPBG00000013944	39	11	17	3
ENSCPBG00000011150	4629	1951	5059	4747
ENSCPBG00000013935	244	94	233	3
ENSCPBG00000013923	26	19	28	6
ENSCPBG00000003211	53	28	64	31
ENSCPBG00000016789	281	92	176	226
ENSCPBG00000023836	3002	1369	2102	2003
ENSCPBG00000013920	2382	772	1778	1072
ENSCPBG00000025591	2	3	0	0
ENSCPBG00000013915	7754	2427	5752	1556
ENSCPBG00000013906	498	238	500	463
ENSCPBG00000020010	273	127	220	266
ENSCPBG00000009847	556	257	442	161
ENSCPBG00000005719	109	33	75	16
ENSCPBG00000014042	5389	1890	3786	269
ENSCPBG00000013893	116	85	138	74
ENSCPBG00000013889	1317	484	1083	462
ENSCPBG00000002440	16	3	13	15
ENSCPBG00000013887	1345	489	1211	561
ENSCPBG00000013879	96	59	121	86
ENSCPBG00000013877	183	54	104	7
ENSCPBG00000017480	2595	919	2170	1623
ENSCPBG00000009718	6618	2591	5496	553
ENSCPBG00000025962	2946	1145	2122	931
ENSCPBG00000025814	791	374	515	405
ENSCPBG00000002970	668	364	618	244
ENSCPBG00000022372	323	147	294	174
ENSCPBG00000027455	178	98	117	81
ENSCPBG00000013846	2364	1024	2042	1049
ENSCPBG00000013836	5	0	13	1
ENSCPBG00000019486	364	246	522	309
ENSCPBG00000013835	60	12	42	45
ENSCPBG00000026979	835	308	555	451
ENSCPBG00000013832	344	153	329	334
ENSCPBG00000013830	303	108	202	158
ENSCPBG00000013827	30	4	18	1
ENSCPBG00000011194	1001	435	756	1139
ENSCPBG00000017868	454	178	292	252
ENSCPBG00000000026	36	24	23	33
ENSCPBG00000020282	620	195	374	254
ENSCPBG00000016829	115	46	48	4
ENSCPBG00000013806	20	11	24	1
ENSCPBG00000023220	39	25	27	80
ENSCPBG00000013797	5	3	0	0
ENSCPBG00000013795	485	182	273	290
ENSCPBG00000013792	92	53	63	46
ENSCPBG00000013788	31	14	27	13
ENSCPBG00000023509	43	21	25	9
ENSCPBG00000020135	579	261	531	425
ENSCPBG00000013778	213	75	154	90
ENSCPBG00000022437	1075	518	721	884
ENSCPBG00000027443	498	223	356	94
ENSCPBG00000013774	1905	878	1412	1250
ENSCPBG00000013772	371	144	275	241
ENSCPBG00000007016	56	45	43	0
ENSCPBG00000013771	512	285	425	628
ENSCPBG00000028028	11	6	20	2
ENSCPBG00000003481	2519	945	1787	1268
ENSCPBG00000017949	2356	1058	1434	1976
ENSCPBG00000013757	259	100	226	200
ENSCPBG00000027565	5043	1763	4006	591
ENSCPBG00000007652	153	74	213	248
ENSCPBG00000013750	60	36	57	83
ENSCPBG00000023657	34	17	19	7
ENSCPBG00000011148	1773	693	1541	1583
ENSCPBG00000013744	2278	1008	1556	123
ENSCPBG00000012946	211	118	284	527
ENSCPBG00000017223	2605	1010	1754	158
ENSCPBG00000001407	409	178	338	420
ENSCPBG00000013734	2204	1120	1948	362
ENSCPBG00000013731	172	51	99	156
ENSCPBG00000013725	1198	687	1311	475
ENSCPBG00000013717	35	10	19	28
ENSCPBG00000018601	165	60	103	31
ENSCPBG00000013714	15308	7590	12521	8796
ENSCPBG00000003378	1510	614	1110	807
ENSCPBG00000028391	160	62	136	141
ENSCPBG00000015868	16	5	16	5
ENSCPBG00000013705	3	0	7	11
ENSCPBG00000013704	1428	703	919	989
ENSCPBG00000013699	26	24	31	51
ENSCPBG00000013694	949	380	562	164
ENSCPBG00000013693	110	39	83	121
ENSCPBG00000013688	441	189	502	359
ENSCPBG00000024358	0	2	1	3
ENSCPBG00000012670	155	65	107	57
ENSCPBG00000013686	2227	891	1558	186
ENSCPBG00000002825	2	0	1	4
ENSCPBG00000013685	427	189	298	125
ENSCPBG00000027355	413	163	404	113
ENSCPBG00000019696	82	31	90	173
ENSCPBG00000013671	696	258	461	742
ENSCPBG00000013670	627	256	528	369
ENSCPBG00000015839	1620	444	1086	646
ENSCPBG00000013821	405	145	261	177
ENSCPBG00000013338	188	68	170	250
ENSCPBG00000013657	6824	3037	4866	1466
ENSCPBG00000023947	6582	2266	4667	2788
ENSCPBG00000013656	8110	3609	5854	3635
ENSCPBG00000013653	148	65	93	49
ENSCPBG00000013652	541	261	335	412
ENSCPBG00000021070	1060	535	1240	1351
ENSCPBG00000013641	4	0	4	0
ENSCPBG00000016506	64	22	44	13
ENSCPBG00000016953	45	14	48	21
ENSCPBG00000013638	2502	945	1834	969
ENSCPBG00000013624	57	25	44	45
ENSCPBG00000013622	353	233	230	184
ENSCPBG00000019569	6104	2309	4018	2904
ENSCPBG00000023169	169	89	144	2
ENSCPBG00000013608	11	2	5	15
ENSCPBG00000007883	502	248	360	352
ENSCPBG00000013602	3	0	3	7
ENSCPBG00000013364	5678	2361	4073	1851
ENSCPBG00000013591	9764	4288	5737	7025
ENSCPBG00000020888	2043	881	1388	1059
ENSCPBG00000024880	2637	1182	2140	636
ENSCPBG00000023200	740	253	658	39
ENSCPBG00000025146	465	157	345	197
ENSCPBG00000013568	15726	6644	11273	2493
ENSCPBG00000013565	285	131	214	194
ENSCPBG00000013562	19	16	17	24
ENSCPBG00000013556	72	32	61	27
ENSCPBG00000013551	4408	1795	3054	826
ENSCPBG00000017551	3	2	7	1
ENSCPBG00000018352	317	76	212	51
ENSCPBG00000013532	178	54	125	96
ENSCPBG00000011014	2	3	0	2
ENSCPBG00000004307	851	311	718	620
ENSCPBG00000013528	4	2	1	3
ENSCPBG00000013523	335	115	194	155
ENSCPBG00000023226	1948	630	1734	1104
ENSCPBG00000013518	1519	516	1101	684
ENSCPBG00000013517	85	27	61	21
ENSCPBG00000013506	639	299	416	299
ENSCPBG00000004026	573	265	369	267
ENSCPBG00000019417	1418	680	1378	546
ENSCPBG00000019898	288	150	273	178
ENSCPBG00000013491	1613	713	1394	933
ENSCPBG00000013489	1367	451	909	542
ENSCPBG00000020589	2106	992	1427	3197
ENSCPBG00000013486	33	10	44	10
ENSCPBG00000004058	39	14	16	14
ENSCPBG00000011831	386	177	360	320
ENSCPBG00000012513	3849	1776	3890	3435
ENSCPBG00000013477	1075	477	848	619
ENSCPBG00000012530	169	65	115	84
ENSCPBG00000006324	115	42	92	76
ENSCPBG00000019038	72	23	54	7
ENSCPBG00000017116	1140	482	663	120
ENSCPBG00000013437	512	225	453	0
ENSCPBG00000013505	22	10	10	11
ENSCPBG00000018089	241	129	405	567
ENSCPBG00000013424	55	22	67	63
ENSCPBG00000013417	1539	610	1115	1329
ENSCPBG00000013398	9088	3989	6526	2230
ENSCPBG00000013397	69	22	25	40
ENSCPBG00000013389	3614	1367	3405	1308
ENSCPBG00000028215	241	83	269	126
ENSCPBG00000013081	1269	582	814	677
ENSCPBG00000008460	25	3	11	1
ENSCPBG00000013382	163	52	96	74
ENSCPBG00000019487	2662	977	1817	1165
ENSCPBG00000020556	755	328	424	242
ENSCPBG00000013381	1995	1070	1685	89
ENSCPBG00000013379	89	32	52	38
ENSCPBG00000027330	19	17	20	7
