	turtle_3_control_1	turtle_3_control_2	turtle_3_pic_8h	turtle_5_pic_8h
ENSCPBG00000014498	20	2	10	23
ENSCPBG00000004815	169	68	73	12
ENSCPBG00000004641	154	104	380	10
ENSCPBG00000002755	221	115	313	10
ENSCPBG00000028372	423	202	390	147
ENSCPBG00000021014	3	3	6	0
ENSCPBG00000020177	305	88	117	0
ENSCPBG00000018823	407	192	182	178
ENSCPBG00000014213	23	18	20	0
ENSCPBG00000013646	619	299	370	477
ENSCPBG00000012991	371	140	289	158
ENSCPBG00000012751	1833	833	1071	894
ENSCPBG00000009852	1	6	3	6
ENSCPBG00000009612	1272	624	875	1021
ENSCPBG00000008352	189	98	194	58
ENSCPBG00000007597	10	7	5	3
ENSCPBG00000006806	8387	3916	5028	5132
ENSCPBG00000006187	423	142	382	154
ENSCPBG00000004419	779	293	446	3316
ENSCPBG00000004409	1849	672	963	5559
ENSCPBG00000004148	30	5	8	12
ENSCPBG00000003947	0	0	2	3
ENSCPBG00000003871	886	1475	2357	2242
ENSCPBG00000003707	17	3	9	7
ENSCPBG00000003056	271	104	119	1231
ENSCPBG00000003052	22	1	10	0
ENSCPBG00000002032	12	15	20	5
ENSCPBG00000002023	376	101	229	251
ENSCPBG00000001820	85	31	184	3
ENSCPBG00000001225	76	37	45	22
ENSCPBG00000000832	2	1	2	0
ENSCPBG00000000468	41	29	22	4
ENSCPBG00000028437	144	64	64	31
ENSCPBG00000028436	15	2	5	5
ENSCPBG00000028426	159	67	76	151
ENSCPBG00000028425	72	37	78	195
ENSCPBG00000028422	3	1	16	0
ENSCPBG00000028421	729	282	298	282
ENSCPBG00000028414	24	13	13	0
ENSCPBG00000028407	1013	405	1380	515
ENSCPBG00000028406	579	250	350	212
ENSCPBG00000028405	393	145	298	393
ENSCPBG00000028404	1212	498	656	377
ENSCPBG00000028402	2305	927	2150	495
ENSCPBG00000028400	369	141	201	145
ENSCPBG00000028398	8	0	8	3
ENSCPBG00000028396	1362	517	835	695
ENSCPBG00000028395	2968	1082	2131	1538
ENSCPBG00000028394	2563	1100	1366	57
ENSCPBG00000028392	60	21	23	18
ENSCPBG00000028390	577	183	393	109
ENSCPBG00000028385	3379	1273	1588	1609
ENSCPBG00000028384	76	31	13	1
ENSCPBG00000028383	1126	367	588	418
ENSCPBG00000028382	144	56	113	66
ENSCPBG00000028381	2043	941	1473	764
ENSCPBG00000028380	340	108	762	19
ENSCPBG00000028379	8890	2667	5221	4392
ENSCPBG00000028377	1636	665	810	730
ENSCPBG00000028376	38	28	35	40
ENSCPBG00000028375	578	189	271	212
ENSCPBG00000028373	15	8	12	5
