,logFC,logCPM,PValue,QValue
ENSCPBG00000028175,11.55276886,3.874761729,0.001310336,0.796581414
ENSCPBG00000028063,9.295572784,5.524476944,0.001079175,0.796581414
ENSCPBG00000028057,9.158395411,3.983479732,0.000950208,0.796581414
ENSCPBG00000027904,-4.643327373,-0.459180117,0.000816625,0.796581414
ENSCPBG00000027894,8.969239799,7.673083791,0.00272187,0.796581414
ENSCPBG00000016829,8.87357015,6.583071355,0.003780873,0.796581414
ENSCPBG00000013325,8.541736986,5.502310882,0.005141102,0.796581414
ENSCPBG00000013259,8.529004078,7.548498198,0.001766349,0.796581414
ENSCPBG00000016468,8.442045465,7.872760494,0.00257026,0.796581414
ENSCPBG00000012798,8.285671878,4.059999067,0.004225866,0.796581414
ENSCPBG00000012782,-3.391677764,-0.402450612,0.001237559,0.796581414
ENSCPBG00000012527,8.176982072,0.687859687,0.000162348,0.796581414
ENSCPBG00000012477,8.037988839,0.591490573,0.003069585,0.796581414
ENSCPBG00000009052,8.007917563,6.551404125,0.00688973,0.796581414
ENSCPBG00000025966,7.886417321,3.578115503,0.005854974,0.796581414
ENSCPBG00000001598,7.560298352,7.260293005,0.002836774,0.796581414
ENSCPBG00000010925,6.947736081,-0.333712673,0.002338325,0.796581414
ENSCPBG00000026445,6.899023646,5.60913074,0.015991728,0.812022121
ENSCPBG00000019166,6.878043014,-0.406243531,0.001199824,0.796581414
ENSCPBG00000011454,6.877867874,1.852618547,0.001280386,0.796581414
ENSCPBG00000011288,-4.283421308,-0.743270505,0.001943639,0.796581414
ENSCPBG00000007078,6.832552817,3.145487823,0.002618188,0.796581414
ENSCPBG00000001229,6.771853435,3.740131577,0.005514252,0.796581414
ENSCPBG00000017462,6.747027567,3.428475665,0.018793455,0.815967612
ENSCPBG00000016676,6.737286392,-0.504162457,0.002497712,0.796581414
ENSCPBG00000015692,-2.289739954,1.313851031,0.002181158,0.796581414
ENSCPBG00000025734,6.714895641,3.000892625,0.003873669,0.796581414
ENSCPBG00000026389,6.675470593,4.832963667,0.009734212,0.796581414
ENSCPBG00000010349,6.657630282,4.441295657,0.007136075,0.796581414
ENSCPBG00000014046,6.636503065,-0.584826953,0.002691886,0.796581414
ENSCPBG00000021186,6.628925036,4.225106637,0.001653262,0.796581414
ENSCPBG00000010013,6.563481402,3.279392496,0.01092546,0.796581414
ENSCPBG00000026910,6.42363175,6.873924622,0.006986765,0.796581414
ENSCPBG00000003934,6.378783239,10.00952313,0.008637371,0.796581414
ENSCPBG00000000842,6.350805047,2.655009908,0.018207514,0.812022121
ENSCPBG00000018024,6.345158965,-0.789598988,0.006762801,0.796581414
ENSCPBG00000009658,6.338554007,2.106026863,0.01492807,0.801338795
ENSCPBG00000010357,6.330870654,2.671201996,0.018771157,0.815967612
ENSCPBG00000009877,6.301989249,-0.878720489,0.00088933,0.796581414
ENSCPBG00000012898,-1.597901148,4.889648947,0.002860445,0.796581414
ENSCPBG00000013867,6.293809735,3.536772315,0.002912618,0.796581414
ENSCPBG00000009196,6.290130242,3.299434242,0.010837171,0.796581414
ENSCPBG00000008717,6.234229639,-0.898693377,0.003563124,0.796581414
ENSCPBG00000013384,6.212465121,6.66893315,0.006315666,0.796581414
ENSCPBG00000005175,6.204046802,6.175670144,0.012400473,0.796581414
ENSCPBG00000008234,6.154456557,5.587726455,0.006772709,0.796581414
ENSCPBG00000008165,6.136619036,-0.972263626,0.003740504,0.796581414
ENSCPBG00000004752,6.125736203,4.43754251,0.000966689,0.796581414
ENSCPBG00000007976,6.124717576,5.041954769,0.006297464,0.796581414
ENSCPBG00000013026,6.09994731,1.925028389,0.002626665,0.796581414
ENSCPBG00000007796,6.098845412,3.140270822,0.015303427,0.803947292
ENSCPBG00000024929,6.090456499,5.786799852,0.002204739,0.796581414
ENSCPBG00000023423,6.067720169,7.570787458,0.009169916,0.796581414
ENSCPBG00000013604,6.060831772,3.846905261,0.009635916,0.796581414
ENSCPBG00000000936,6.009888275,-1.040024164,0.008379507,0.796581414
ENSCPBG00000003855,6.001398122,3.27366467,0.00165054,0.796581414
ENSCPBG00000007442,5.978043145,-1.103321549,0.002108437,0.796581414
ENSCPBG00000007284,-1.313171665,5.322425978,0.00403348,0.796581414
ENSCPBG00000021148,5.966415704,5.594300526,0.008042149,0.796581414
ENSCPBG00000011853,5.90008997,-1.187372248,0.005262591,0.796581414
ENSCPBG00000010514,5.898200452,0.92893059,0.006917481,0.796581414
ENSCPBG00000005405,5.841958013,2.825998763,0.013481275,0.796581414
ENSCPBG00000016743,5.839264999,3.914646699,0.008429598,0.796581414
ENSCPBG00000011456,5.794857332,0.885288477,0.007495443,0.796581414
ENSCPBG00000004745,5.751314979,8.376027166,0.008923455,0.796581414
ENSCPBG00000002553,5.722158725,3.225504203,0.008346079,0.796581414
ENSCPBG00000011536,5.695722468,3.636446822,0.009267114,0.796581414
ENSCPBG00000027669,5.690622745,7.168947198,0.004130999,0.796581414
ENSCPBG00000007063,5.642692672,4.543852196,0.012844936,0.796581414
ENSCPBG00000026108,5.604061006,9.009006744,0.013566842,0.796581414
ENSCPBG00000006496,5.601968115,5.4109015,0.022742262,0.843631838
ENSCPBG00000002254,5.584091763,1.41956683,0.048424651,0.977899731
ENSCPBG00000003261,5.556449761,-1.372868095,0.008230539,0.796581414
ENSCPBG00000006348,5.525032373,1.887110535,0.006562581,0.796581414
ENSCPBG00000007166,5.513618732,4.831447235,0.00567404,0.796581414
ENSCPBG00000003241,5.512347233,2.253762825,0.001874556,0.796581414
ENSCPBG00000000642,5.500870242,4.577467334,0.009094215,0.796581414
ENSCPBG00000021471,5.486996866,2.209509035,0.013569224,0.796581414
ENSCPBG00000018081,5.477733236,-1.407266606,0.016400475,0.812022121
ENSCPBG00000003801,5.477733236,-1.407266606,0.016400475,0.812022121
ENSCPBG00000018263,5.454995641,0.534751173,0.001866694,0.796581414
ENSCPBG00000001825,5.442631047,-1.447469255,0.011566262,0.796581414
ENSCPBG00000025015,5.422568051,3.06518532,0.006400354,0.796581414
ENSCPBG00000019552,5.415350871,1.786173347,0.004533461,0.796581414
ENSCPBG00000001384,5.405931649,1.262962727,0.022530921,0.843631838
ENSCPBG00000021817,5.387509961,4.454930822,0.011373401,0.796581414
ENSCPBG00000020680,5.365732514,6.492507878,0.006121529,0.796581414
ENSCPBG00000007080,5.364289636,6.046700385,0.008696843,0.796581414
ENSCPBG00000013813,5.338106191,1.752834462,0.029990811,0.869958872
ENSCPBG00000011761,5.309518873,5.365701537,0.007950303,0.796581414
ENSCPBG00000023210,5.29592976,-1.519619895,0.020581623,0.824328972
ENSCPBG00000026029,5.29592976,-1.519619895,0.020581623,0.824328972
ENSCPBG00000017430,5.28583233,4.235431363,0.00385327,0.796581414
